date,o,h,l,c,v
1998-12-22,5.705171611366668,5.718040943145752,5.696592405936041,5.718040943145752,3800
1998-12-23,5.756648608924182,5.803834776892931,5.756648608924182,5.778097152709961,1400
1998-12-24,5.846730155154085,5.911073684692383,5.820992533885469,5.911073684692383,3000
1998-12-28,5.902496594810207,5.902496594810207,5.851021333808955,5.85960054397583,5000
1998-12-29,5.966839790344238,5.966839790344238,5.966839790344238,5.966839790344238,200
1998-12-30,5.962550048301159,5.962550048301159,5.949681758880615,5.949681758880615,1600
1998-12-31,6.001157373641972,6.0397632915025765,6.001157373641972,6.01831579208374,6600
1999-01-04,6.022602601484818,6.10839466133503,5.945389747619629,5.945389747619629,26000
1999-01-05,6.001158735569907,6.121267691920314,6.001158735569907,6.091239929199219,8800
1999-01-06,6.129848331256797,6.198482036590577,6.099820561539652,6.198482036590576,25800
1999-01-07,6.168451218758002,6.421538405747912,6.129845302218326,6.15129280090332,172400
1999-01-08,6.2070587527110455,6.361484527587891,6.2070587527110455,6.361484527587891,50400
1999-01-11,6.365773245912862,6.37435245513916,6.314297990555077,6.37435245513916,28400
1999-01-12,6.318589675856344,6.348616391914326,6.198480717090397,6.211349010467529,10200
1999-01-13,6.02689249871271,6.142711251468982,6.02689249871271,6.074077606201172,11000
1999-01-14,6.091235910338917,6.099815115846437,5.919651800188525,5.971127033233643,254600
1999-01-15,6.0397635153551565,6.061212062835693,6.009736805602553,6.061212062835693,31600
1999-01-19,6.039762926624483,6.039762926624483,5.906785715367657,5.949681758880615,53400
1999-01-20,5.949679299003679,5.992575324781406,5.923941683537044,5.9282307624816895,81800
1999-01-21,5.9282334883545715,5.93681269745494,5.872469152835545,5.902495861053467,119800
1999-01-22,5.8424445875258995,5.863893145621836,5.778101007772704,5.786680221557617,14000
1999-01-25,5.84673152553444,5.902495861053467,5.825282979150151,5.902495861053467,58600
1999-01-26,5.881047795411881,5.885336875915527,5.816703209724093,5.885336875915527,3600
1999-01-27,5.992580622094589,5.992580622094589,5.8381547927856445,5.8381547927856445,30200
1999-01-28,5.8724684186273794,5.8724684186273794,5.765227794647217,5.765227794647217,13600
1999-01-29,5.752359620023492,5.795255661010742,5.752359620023492,5.795255661010742,800
1999-02-01,5.842438697814941,5.902493133768987,5.842438697814941,5.842438697814941,5800
1999-02-02,5.820992610630821,5.86817772661214,5.816702483396244,5.8467302322387695,5600
1999-02-03,5.85101842880249,5.872466967204001,5.83386001698782,5.85101842880249,2200
