date,o,h,l,c,v
1998-12-22,5.748188466002191,5.7674523024721465,5.717367080125504,5.736630916595459,30400
1998-12-23,5.755891048908233,5.85606050491333,5.748185706138611,5.85606050491333,135600
1998-12-24,5.871472199757894,5.871472199757894,5.8175347910987005,5.825240135192871,24600
1998-12-28,5.856062528934884,5.856062528934884,5.755893038308367,5.794419765472412,27000
1998-12-29,5.809831596875242,5.8522114753723145,5.755894168257036,5.8522114753723145,44000
1998-12-30,5.848354339599609,5.848354339599609,5.75974338050847,5.7635955810546875,43600
1998-12-31,5.755890369415283,5.755890369415283,5.725069001975308,5.755890369415283,26000
1999-01-04,5.740482374536381,5.856062556574026,5.740482374536381,5.752040863037109,57200
1999-01-05,5.786713541911133,5.786713541911133,5.713513241704487,5.721218585968018,85400
1999-01-06,5.786712921893581,5.917703760338576,5.7481862047038765,5.909998416900635,112800
1999-01-07,5.909998647368913,5.9138517895349825,5.81368232093551,5.883030414581299,145200
1999-01-08,5.917703760338576,6.056399942221511,5.763596891579758,5.909998416900635,842200
1999-01-11,5.8560612640027,5.863766607771125,5.7790078263184546,5.798271656036377,70000
1999-01-12,5.794416903805958,5.817532928688163,5.7019528042771395,5.709658145904541,178400
1999-01-13,5.609490606229599,5.7173654255801685,5.594079917750946,5.624901294708252,84800
1999-01-14,5.609490069597127,5.640311443605903,5.517025947570801,5.517025947570801,140000
1999-01-15,5.5632551473961245,5.609487184632103,5.5362869293050725,5.601781845092773,21400
1999-01-19,5.624897863710763,5.624897863710763,5.555549807856795,5.601781845092773,25600
1999-01-20,5.570966994382141,5.624904434161775,5.551704093329424,5.555556297302246,31600
1999-01-21,5.555549807856795,5.648013882328752,5.547844468317464,5.601781845092773,47800
1999-01-22,5.60949106071335,5.624901750440585,5.563258991531646,5.570964336395264,38600
1999-01-25,5.594080984427328,5.594080984427328,5.517027527341552,5.563259601593018,36400
1999-01-26,5.570964931941533,5.570964931941533,5.463090092318875,5.509322166442871,51400
1999-01-27,5.517026857772784,5.517026857772784,5.3937413413979725,5.409152030944824,74200
1999-01-28,5.4245637385414796,5.4245637385414796,5.33209958390725,5.378331661224365,61600
1999-01-29,5.347510276346289,5.378331661224365,5.285867506590136,5.378331661224365,37200
1999-02-01,5.378332131160841,5.393742824946402,5.324394702911377,5.324394702911377,46200
1999-02-02,5.332098960876465,5.3783310327915785,5.308982924918908,5.332098960876465,53000
1999-02-03,5.3629191770391955,5.486204675361935,5.3629191770391955,5.45538330078125,58800
1999-02-04,5.455386094832688,5.501618180382118,5.439975399649545,5.486207485198975,52000
1999-02-05,5.501615993312147,5.655722883881115,5.470794615198354,5.640312194824219,132000
1999-02-08,5.663426439717131,5.7173638343811035,5.655721097622278,5.7173638343811035,62200
1999-02-09,5.725072013807821,5.725072013807821,5.60949182510376,5.60949182510376,128600
1999-02-10,5.632606638947578,5.686544048622863,5.594079917750946,5.624901294708252,138600
1999-02-11,5.60178462444748,5.60178462444748,5.493909817374213,5.578668594360352,433600
1999-02-12,5.517026879723553,5.578669638156218,5.463089466094971,5.463089466094971,484600
1999-02-16,5.505467104873705,5.532435330477628,5.3706231550736865,5.424560546875,73200
1999-02-17,5.393739615485521,5.447677011640376,5.362918246254176,5.370623588562012,83400
1999-02-18,5.362919885201515,5.4168572978400364,5.308982472562994,5.386035919189453,166000
1999-02-19,5.40915393554907,5.416859283035608,5.308984418224088,5.3552165031433105,260600
1999-02-22,5.3937413413979725,5.424562720491675,5.347509272757419,5.409152030944824,159000
1999-02-23,5.424562563841371,5.447678597494104,5.362919807434082,5.362919807434082,619200
1999-02-24,5.378329457314671,5.44767754487317,5.3398027420043945,5.3398027420043945,69000
1999-02-25,5.335953645675463,5.40144862951659,5.332100501605535,5.366775035858154,89200
1999-02-26,5.386036378110765,5.424563104706692,5.332098960876465,5.332098960876465,49800
1999-03-01,5.343657913768195,5.34751011646577,5.262751310585189,5.278162002563477,26600
1999-03-02,5.285867817633975,5.308983857652782,5.2011090042316805,5.224225044250488,110200
1999-03-03,5.270454654445896,5.362918771190561,5.231927939135619,5.3398027420043945,206600
1999-03-04,5.38603810081907,5.56326109984459,5.38603810081907,5.532439708709717,180800
1999-03-05,5.671131967175021,5.678837309521726,5.578667859014558,5.636458396911621,185400
1999-03-08,5.667279581061316,5.73277451857081,5.644163554776757,5.7173638343811035,215200
1999-03-09,5.655725479125977,5.748189655896429,5.6326094349333635,5.655725479125977,158000
1999-03-10,5.678838798680256,5.994757917738452,5.678838798680256,5.979347229003906,3467600
1999-03-11,6.164276917977436,6.2259196871572104,5.979348610438113,6.064107418060303,1818000
1999-03-12,6.133453038274025,6.179685096351467,5.979346178015883,6.040988922119141,1208600
1999-03-15,6.056400404491278,6.0718110925434186,5.921557354331924,5.994757652282715,1046000
1999-03-16,5.940822671550189,5.994760101771786,5.917706630026648,5.9639387130737305,546600
1999-03-17,5.994757445693317,6.125748289622348,5.979346758172254,6.118042945861816,725600
1999-03-18,6.225917868353241,6.241328556146194,6.148864429388473,6.195096492767334,665200
1999-03-19,6.2483003431130175,6.256033388092118,6.093639443531012,6.132304668426514,520800
1999-03-22,6.186436531238986,6.217368713895181,6.120706115082222,6.170970439910889,330000
1999-03-23,6.124570822229191,6.124570822229191,6.000842118749813,6.062706470489502,275800
1999-03-24,6.093639356662066,6.116838491268647,5.977643683629158,6.031774997711182,122200
1999-03-25,6.016307133238029,6.0781714739397055,5.954442792536352,6.047239303588867,333000
1999-03-26,6.109103331662188,6.155501584814052,6.054972036318346,6.124569416046143,89400
1999-03-29,6.279234527662872,6.35656500214148,6.271501480215012,6.294700622558594,168800
1999-03-30,6.2560318313044805,6.263764874359246,6.163235314647307,6.178701400756836,121600
1999-03-31,6.225102293142975,6.232835339469861,6.085907459259033,6.085907459259033,134000
1999-04-01,6.093637815868581,6.10137085878212,6.0124413372639065,6.078171730041504,44000
1999-04-05,6.078173144559682,6.248300128249648,6.078173144559682,6.225100994110107,116800
1999-04-06,6.209637288317327,6.217370335998918,6.116840716138239,6.163239002227783,85200
1999-04-07,6.155500187166743,6.163233227602882,6.0549706614969345,6.1013689041137695,1672800
1999-04-08,6.128440759648399,6.2328364313621,6.105241616603626,6.163239002227783,1704600
1999-04-09,6.167101480538889,6.310162285865822,6.159368438521897,6.279230117797852,104800
1999-04-12,6.248299745592337,6.372028453425848,6.248299745592337,6.325630187988281,125000
1999-04-13,6.286966090978578,6.368163542001005,6.286966090978578,6.317898273468018,135600
1999-04-14,6.310163164670582,6.348828380140378,6.240565776824951,6.240565776824951,54000
1999-04-15,6.27923198663707,6.542155493466701,6.27923198663707,6.511223316192627,518800
