date,o,h,l,c,v
1998-12-22,13.656166710943547,14.002518765206608,13.656166710943547,13.9860258102417,150300
1998-12-23,14.142704745717069,15.198253554726856,14.084979420224347,14.324127197265625,44000
1998-12-24,14.32413499990549,14.32413499990549,14.249916683843805,14.299395561218262,45500
1998-12-28,14.324131738282134,14.33237821596681,14.15095570690394,14.216927528381348,25400
1998-12-29,14.225172861209655,14.546785465028309,13.713891285908208,14.530292510986328,123500
1998-12-30,14.530293122078609,14.571525508917652,14.41484243892929,14.439581871032715,10200
1998-12-31,14.406598604726847,14.472570435773106,14.291147900395893,14.332380294799805,66300
1999-01-04,14.447828903552274,14.563279591137738,14.10972331848056,14.216927528381348,50000
1999-01-05,14.299387772054459,14.398345472899127,14.258155396702515,14.324127197265625,27900
1999-01-06,14.423093273371153,14.505558071961039,14.332381994922278,14.49731159210205,118500
1999-01-07,14.390105646965281,14.390105646965281,14.225176069349635,14.332380294799805,43500
1999-01-08,14.332385483537363,14.34063196540361,14.052005100084964,14.274660110473633,63800
1999-01-11,14.241666612197768,14.241666612197768,13.895314557934707,13.9860258102417,65400
1999-01-12,13.977783903506138,14.027262784580497,13.854086700820243,13.878826141357422,29400
1999-01-13,13.482993998137234,13.977782768711076,13.482993998137234,13.903564453125,73800
1999-01-14,13.845835162189303,13.895314025187002,13.450004258207715,13.639673233032227,30800
1999-01-15,13.755138141686837,13.837602998651386,13.631440856240014,13.788124084472656,39000
1999-01-19,13.895310193065868,13.895310193065868,13.540711772708697,13.631422996520996,39200
1999-01-20,13.713898001303862,13.821102255072322,13.6066937475354,13.6726655960083,480500
1999-01-21,13.614936905117466,13.6891552165324,13.384035491826559,13.466500282287598,42500
1999-01-22,13.384034044119028,13.548963607201209,13.309815740732045,13.400527000427246,75700
1999-01-25,13.400533918537231,13.450012813005676,13.252097235131897,13.367547988891602,179000
1999-01-26,13.375785693122078,13.68090534210205,13.3510462621237,13.68090534210205,85000
1999-01-27,13.812847764345948,13.944791384781492,13.771615382959842,13.862326622009277,50400
1999-01-28,13.878834852623285,14.142722383986294,13.862341881913096,14.109736442565918,57300
1999-01-29,14.150955255803144,14.241666507442908,13.953039797680022,14.142708778381348,167800
1999-02-01,14.241666901027848,14.291145766926034,14.076737348033895,14.084983825683594,57200
1999-02-02,14.134475202925946,14.200447082519533,14.002531443738771,14.200447082519531,81800
1999-02-03,14.134461292853722,14.200433107522816,14.010764140349167,14.150954246520996,65300
1999-02-04,14.09323030333329,14.20043451277936,14.019012004486012,14.084983825683594,34400
1999-02-05,14.084986268269178,14.084986268269178,13.854084854035257,13.870577812194824,33000
1999-02-08,13.837592067570826,13.920056859391867,13.730387838203471,13.84583854675293,83500
1999-02-09,13.8128495346495,13.8128495346495,13.573701691960046,13.598441123962402,44500
1999-02-10,13.664420840397144,13.697406768798826,13.524230644689991,13.697406768798828,32000
1999-02-11,13.746876465349667,13.936545426779206,13.705644082430203,13.928298950195312,22400
1999-02-12,13.953044934628615,13.994277336917706,13.713897001351883,13.812854766845703,29600
1999-02-16,13.986031591364767,14.076742881167252,13.93655270601796,13.977785110473633,37700
1999-02-17,13.969533866864136,14.101477516137942,13.738632480634978,13.837590217590332,26800
1999-02-18,13.887068080452254,14.02725819765397,13.862328648004892,13.9860258102417,29400
1999-02-19,13.961284856530886,14.051996098953708,13.903559520443634,13.928298950195312,30300
1999-02-22,13.986027035920515,14.315886164126187,13.944794644894806,14.225174903869629,183700
1999-02-23,14.241679507265523,14.332390841706706,14.134475202925946,14.200447082519531,35400
1999-02-24,14.299393950221694,14.390105215188498,14.035506633954627,14.117971420288086,69000
1999-02-25,13.97778146655847,14.051999775230463,13.763373019283828,13.953042030334473,28100
1999-02-26,13.920051089159234,14.035501749851313,13.837586331522035,13.994269371032715,15100
1999-03-01,13.9447919033631,13.994270762866458,13.804601801436919,13.928298950195312,17500
1999-03-02,14.002516553973924,14.093227791956087,13.86232645891058,13.887065887451172,29700
1999-03-03,13.944791220712547,13.944791220712547,13.746875792387828,13.887065887451172,32000
1999-03-04,13.911815390226502,14.10148447971981,13.837597050859555,14.07674503326416,85300
1999-03-05,14.084988089427739,14.373614894538964,14.084988089427739,14.291150093078613,49100
1999-03-08,14.324130790662247,14.357116699218752,14.159201247879722,14.35711669921875,30700
1999-03-09,14.373617172241211,14.456081986769272,14.249919950449117,14.373617172241211,23300
1999-03-10,14.315885260597458,14.315885260597458,14.16744866227329,14.216927528381348,32600
1999-03-11,14.324130790662247,14.456074424888266,14.258158973549236,14.35711669921875,55700
1999-03-12,14.489061411529576,14.555033233551338,14.38185720074421,14.480814933776855,48100
1999-03-15,14.563278874591674,14.711715465612428,14.51380001091809,14.604511260986328,246400
1999-03-16,14.629248348362598,14.752945487723048,14.621001872405234,14.670480728149414,63700
1999-03-17,14.662233964452202,14.662233964452202,14.414839690586305,14.423086166381836,40900
1999-03-18,14.36536111772697,14.670480728149414,14.36536111772697,14.670480728149414,22300
1999-03-19,14.762481952684498,14.762481952684498,14.48986756855546,14.605522155761719,174200
1999-03-22,14.531170243790545,14.605519608312497,14.423776717258836,14.597258567810059,93400
1999-03-23,14.432029451960107,14.531161880937509,14.018977664554264,14.184198379516602,91600
1999-03-24,14.060286933169778,14.200724581738452,14.010720704263186,14.175941467285156,46700
1999-03-25,14.308128354727293,14.374216707405017,14.151168517117696,14.283345222473145,46000
1999-03-26,14.15116377203394,14.266818350439353,14.118119606775249,14.233774185180664,20400
1999-03-29,14.374202138031793,14.522900780839018,14.374202138031793,14.415507316589355,18200
1999-03-30,14.126386014023268,14.349434214244688,14.126386014023268,14.291606903076172,45800
