date,bullish,neutral,bearish,bull_bear_spread
1987-07-24,36,50,14,22
1987-07-31,26,48,26,0
1987-08-07,56,15,29,27
1987-08-14,45,35,20,25
1987-08-21,66,28,6,60
1987-08-28,52,18,30,22
1987-09-04,42,17,41,1
1987-09-11,50,23,27,23
1987-09-18,60,29,11,49
1987-09-25,53,17,30,23
1987-10-02,44,26,30,14
1987-10-09,46,39,15,31
1987-10-16,37,30,33,4
1987-10-23,39,30,31,8
1987-10-30,44,23,33,11
1987-11-06,47,31,22,25
1987-11-13,31,41,28,3
1987-11-20,39,42,19,20
1987-11-27,27,46,27,0
1987-12-04,25,33,42,-17
1987-12-11,23,45,32,-9
1987-12-18,33,40,27,6
1987-12-24,28,52,20,8
1987-12-31,25,49,26,-1
1988-01-08,34,46,20,14
1988-01-15,34,40,26,8
1988-01-22,21,48,31,-10
1988-01-29,26,45,29,-3
1988-02-05,32,53,15,17
1988-02-12,32,46,22,10
1988-02-19,27,49,24,3
1988-02-26,30,51,19,11
1988-03-04,38,40,22,16
1988-03-11,43,40,17,26
1988-03-18,41,49,10,31
1988-03-25,45,38,17,28
1988-04-01,35,45,20,15
1988-04-08,33,48,19,14
1988-04-15,23,53,24,-1
1988-04-22,23,57,20,3
1988-04-29,22,48,30,-8
1988-05-06,38,42,20,18
1988-05-13,19,56,25,-6
1988-05-20,23,52,25,-2
1988-05-27,28,52,20,8
1988-06-03,26,62,12,14
1988-06-10,28,49,23,5
1988-06-17,29,50,21,8
1988-06-24,33,44,23,10
1988-07-01,45,38,17,28
1988-07-08,35,50,15,20
1988-07-15,26,37,37,-11
1988-07-22,16,58,26,-10
1988-07-29,23,54,23,0
1988-08-05,21,49,30,-9
1988-08-12,26,48,26,0
1988-08-19,19,53,28,-9
1988-08-26,28,40,32,-4
1988-09-02,18,43,39,-21
1988-09-09,17,52,31,-14
1988-09-16,24,46,30,-6
1988-09-23,20,53,27,-7
1988-09-30,26,44,30,-4
1988-10-07,13,49,38,-25
1988-10-14,22,46,32,-10
1988-10-21,26,51,23,3
1988-10-28,40,38,22,18
1988-11-04,35,46,19,16
1988-11-11,23,56,21,2
1988-11-18,30,34,36,-6
1988-11-25,17,44,39,-22
1988-12-02,19,47,34,-15
1988-12-09,17,44,39,-22
1988-12-16,24,54,22,2
1988-12-23,22,46,32,-10
1988-12-30,24,54,22,2
1989-01-06,26,51,23,3
1989-01-13,36,44,20,16
1989-01-20,36,47,17,19
1989-01-27,32,49,19,13
1989-02-03,33,44,23,10
1989-02-10,43,31,26,17
1989-02-17,42,41,17,25
1989-02-24,29,45,26,3
1989-03-03,29,35,36,-7
1989-03-10,13,52,35,-22
1989-03-17,28,43,29,-1
1989-03-23,29,41,30,-1
1989-03-31,18,42,40,-22
1989-04-07,23,45,32,-9
1989-04-14,25,42,33,-8
1989-04-21,21,51,28,-7
1989-04-28,31,40,29,2
1989-05-05,30,40,30,0
1989-05-12,38,43,19,19
1989-05-19,43,38,19,24
1989-05-26,48,31,21,27
1989-06-02,42,27,31,11
1989-06-09,43,34,23,20
1989-06-16,32,37,31,1
1989-06-23,33,22,45,-12
1989-06-30,40,34,26,14
1989-07-07,37,32,31,6
1989-07-14,22,30,48,-26
1989-07-21,32,39,29,3
1989-07-28,41,25,34,7
1989-08-04,35,30,35,0
1989-08-11,53,21,26,27
1989-08-18,35,28,37,-2
1989-08-25,45,24,31,14
1989-09-01,34,30,36,-2
1989-09-08,30,30,40,-10
1989-09-15,31,44,25,6
1989-09-22,24,37,39,-15
1989-09-29,33,38,29,4
1989-10-06,24,43,33,-9
1989-10-13,28,52,20,8
1989-10-20,39,28,33,6
1989-10-27,36,33,31,5
1989-11-03,37,31,32,5
1989-11-10,27,37,36,-9
1989-11-17,24,28,48,-24
1989-11-22,27,40,33,-6
1989-12-01,28,40,32,-4
1989-12-08,31,41,28,3
1989-12-15,42,30,28,14
1989-12-22,36,32,32,4
1989-12-29,35,31,34,1
1990-01-05,40,30,30,10
1990-01-12,45,38,17,28
1990-01-19,31,49,20,11
1990-01-26,24,38,38,-14
1990-02-02,15,37,48,-33
1990-02-09,19,30,51,-32
1990-02-16,23,43,34,-11
1990-02-23,24,38,38,-14
1990-03-02,21,37,42,-21
1990-03-09,22,42,36,-14
1990-03-16,25,35,40,-15
1990-03-23,37,39,24,13
1990-03-30,34,35,31,3
1990-04-06,38,37,25,13
1990-04-12,27,56,17,10
1990-04-20,34,43,23,11
1990-04-27,28,35,37,-9
1990-05-04,20,35,45,-25
1990-05-11,28,38,34,-6
1990-05-18,37,35,28,9
1990-05-25,39,32,29,10
1990-06-01,37,28,35,2
1990-06-08,35,35,30,5
1990-06-15,43,32,25,18
1990-06-22,34,32,34,0
1990-06-29,31,31,38,-7
1990-07-06,28,34,38,-10
1990-07-13,40,30,30,10
1990-07-20,40,30,30,10
1990-07-27,52,24,24,28
1990-08-03,26,28,46,-20
1990-08-10,25,21,54,-29
1990-08-17,18,23,59,-41
1990-08-24,25,24,51,-26
1990-08-31,23,16,61,-38
1990-09-07,33,18,49,-16
1990-09-14,16,33,51,-35
1990-09-21,13,31,56,-43
1990-09-28,26,20,54,-28
1990-10-05,15,26,59,-44
1990-10-12,21,27,52,-31
1990-10-19,13,20,67,-54
1990-10-26,23,19,58,-35
1990-11-02,20,36,44,-24
1990-11-09,20,32,48,-28
1990-11-16,12,33,55,-43
1990-11-21,16,37,47,-31
1990-11-30,22,33,45,-23
1990-12-07,26,33,41,-15
1990-12-14,31,31,38,-7
1990-12-21,16,34,50,-34
1990-12-28,30,30,40,-10
1991-01-04,31,39,30,1
1991-01-11,22,30,48,-26
1991-01-18,22,27,51,-29
1991-01-25,25,25,50,-25
1991-02-01,29,29,42,-13
1991-02-08,36,28,36,0
1991-02-15,46,30,24,22
1991-02-22,57,20,23,34
1991-03-01,50,18,32,18
1991-03-08,50,21,29,21
1991-03-15,55,22,23,32
1991-03-22,42,31,27,15
1991-03-29,47,28,25,22
1991-04-05,58,22,20,38
1991-04-12,43,32,25,18
1991-04-19,39,39,22,17
1991-04-26,55,28,17,38
1991-05-03,39,33,28,11
1991-05-10,38,34,28,10
1991-05-17,42,32,26,16
1991-05-24,38,39,23,15
1991-05-31,42,35,23,19
1991-06-07,46,37,17,29
1991-06-14,47,31,22,25
1991-06-21,44,40,16,28
1991-06-28,28,37,35,-7
1991-07-03,28,39,33,-5
1991-07-12,41,39,20,21
1991-07-19,27,51,22,5
1991-07-26,35,42,23,12
1991-08-02,33,36,31,2
1991-08-09,26,45,29,-3
1991-08-16,37,33,30,7
1991-08-23,32,36,32,0
1991-08-30,41,40,19,22
1991-09-06,36,31,33,3
1991-09-13,43,39,18,25
1991-09-20,32,48,20,12
1991-09-27,31,38,31,0
1991-10-04,35,30,35,0
1991-10-11,39,37,24,15
1991-10-18,30,31,39,-9
1991-10-25,31,36,33,-2
1991-11-01,52,12,36,16
1991-11-08,32,36,32,0
1991-11-15,38,33,29,9
1991-11-22,48,32,20,28
1991-11-27,33,27,40,-7
1991-12-06,23,32,45,-22
1991-12-13,33,36,31,2
1991-12-20,36,30,34,2
1991-12-27,39,29,32,7
1992-01-03,49,20,31,18
1992-01-10,48,27,25,23
1992-01-17,51,21,28,23
1992-01-24,46,25,29,17
1992-01-31,47,26,27,20
1992-02-07,36,39,25,11
1992-02-14,46,28,26,20
1992-02-21,47,25,28,19
1992-02-28,43,36,21,22
1992-03-06,45,29,26,19
1992-03-13,38,35,27,11
1992-03-20,48,29,23,25
1992-03-27,43,35,22,21
1992-04-03,35,42,23,12
1992-04-10,43,27,30,13
1992-04-17,37,38,25,12
1992-04-24,52,34,14,38
1992-05-01,29,36,35,-6
1992-05-08,43,31,26,17
1992-05-15,40,37,23,17
1992-05-22,48,24,28,20
1992-05-29,41,43,16,25
1992-06-05,41,40,19,22
1992-06-12,31,46,23,8
1992-06-19,35,37,28,7
1992-06-26,39,34,27,12
1992-07-02,21,44,35,-14
1992-07-09,23,42,35,-12
1992-07-17,29,40,31,-2
1992-07-24,32,44,24,8
1992-07-31,22,47,31,-9
1992-08-05,28,39,33,-5
1992-08-14,26,37,37,-11
1992-08-21,22,34,44,-22
1992-08-28,30,37,33,-3
1992-09-04,14,44,42,-28
1992-09-11,22,39,39,-17
1992-09-18,21,42,37,-16
1992-09-25,25,34,41,-16
1992-10-02,30,35,35,-5
1992-10-09,21,35,44,-23
1992-10-16,20,24,56,-36
1992-10-23,21,32,47,-26
1992-10-30,35,35,30,5
1992-11-06,49,27,24,25
1992-11-13,37,44,19,18
1992-11-20,48,38,14,34
1992-11-25,43,37,20,23
1992-12-04,37,39,24,13
1992-12-11,43,42,15,28
1992-12-18,63,27,10,53
1992-12-24,55,30,15,40
1993-01-01,60,27,13,47
1993-01-08,20,49,31,-11
1993-01-15,54,32,14,40
1993-01-22,41,38,21,20
1993-01-29,40,37,23,17
1993-02-05,44,34,22,22
1993-02-12,47,31,22,25
1993-02-19,46,27,27,19
1993-02-26,34,32,34,0
1993-03-05,27,36,37,-10
1993-03-12,45,33,22,23
1993-03-19,41,32,27,14
1993-03-26,43,34,23,20
1993-04-02,37,36,27,10
1993-04-09,32,39,29,3
1993-04-16,31,35,34,-3
1993-04-23,28,42,30,-2
1993-04-30,22,37,41,-19
1993-05-07,21,45,34,-13
1993-05-14,20,41,39,-19
1993-05-21,21,34,45,-24
1993-05-28,24,37,39,-15
1993-06-04,33,39,28,5
1993-06-11,23,36,41,-18
1993-06-18,22,35,43,-21
1993-06-25,28,38,34,-6
1993-07-02,18,44,38,-20
1993-07-09,21,45,34,-13
1993-07-16,22,44,34,-12
1993-07-23,24,43,33,-9
1993-07-30,25,45,30,-5
1993-08-06,26,42,32,-6
1993-08-13,25,41,34,-9
1993-08-20,29,41,30,-1
1993-08-27,27,35,38,-11
1993-09-03,38,33,29,9
1993-09-10,30,30,40,-10
1993-09-17,32,34,34,-2
1993-09-24,28,40,32,-4
1993-10-01,26,34,40,-14
1993-10-08,29,37,34,-5
1993-10-15,31,38,31,0
1993-10-22,42,30,28,14
1993-10-29,43,33,24,19
1993-11-04,32,36,32,0
1993-11-11,35,30,35,0
1993-11-18,34,31,35,-1
1993-11-24,45,30,25,20
1993-12-02,33,32,35,-2
1993-12-09,37,39,24,13
1993-12-16,33,38,29,4
1993-12-23,36,31,33,3
1993-12-30,44,28,28,16
1994-01-06,40,33,27,13
1994-01-13,38,31,31,7
1994-01-20,48,26,26,22
1994-01-27,41,25,34,7
1994-02-03,38,29,33,5
1994-02-10,49,27,24,25
1994-02-17,40,36,24,16
1994-02-24,41,30,29,12
1994-03-03,31,42,27,4
1994-03-10,29,34,37,-8
1994-03-17,24,41,35,-11
1994-03-24,29,37,34,-5
1994-03-31,23,33,44,-21
1994-04-07,28,31,41,-13
1994-04-14,29,23,48,-19
1994-04-21,26,41,33,-7
1994-04-28,27,35,38,-11
1994-05-05,32,32,36,-4
1994-05-12,38,32,30,8
1994-05-19,22,36,42,-20
1994-05-26,29,33,38,-9
1994-06-02,39,36,25,14
1994-06-09,28,47,25,3
1994-06-16,32,42,26,6
1994-06-23,29,45,26,3
1994-06-30,32,37,31,1
1994-07-07,28,32,40,-12
1994-07-14,25,40,35,-10
1994-07-21,34,38,28,6
1994-07-28,27,42,31,-4
1994-08-04,22,52,26,-4
1994-08-11,34,37,29,5
1994-08-18,30,40,30,0
1994-08-25,32,39,29,3
1994-09-01,43,34,23,20
1994-09-08,47,33,20,27
1994-09-15,45,25,30,15
1994-09-22,37,36,27,10
1994-09-29,38,32,30,8
1994-10-06,33,39,28,5
1994-10-13,35,39,26,9
1994-10-20,39,33,28,11
1994-10-27,43,38,19,24
1994-11-03,40,35,25,15
1994-11-10,37,31,32,5
1994-11-17,39,22,39,0
1994-11-23,39,32,29,10
1994-11-30,44,30,26,18
1994-12-08,30,35,35,-5
1994-12-15,33,35,32,1
1994-12-22,42,25,33,9
1994-12-29,40,43,17,23
1995-01-05,44,31,25,19
1995-01-12,36,42,22,14
1995-01-19,37,39,24,13
1995-01-26,38,37,25,13
1995-02-02,38,37,25,13
1995-02-09,34,43,23,11
1995-02-16,43,37,20,23
1995-02-23,46,37,17,29
1995-03-02,53,26,21,32
1995-03-09,48,34,18,30
1995-03-16,39,41,20,19
1995-03-23,47,30,23,24
1995-03-30,52,23,25,27
1995-04-06,42,25,33,9
1995-04-13,40,23,37,3
1995-04-20,37,27,36,1
1995-04-27,52,29,19,33
1995-05-04,42,27,31,11
1995-05-11,44,26,30,14
1995-05-18,42,23,35,7
1995-05-25,44,26,30,14
1995-06-01,39,34,27,12
1995-06-08,44,25,31,13
1995-06-15,36,31,33,3
1995-06-22,48,21,31,17
1995-06-29,35,28,37,-2
1995-07-06,35,34,31,4
1995-07-13,44,18,38,6
1995-07-20,43,30,27,16
1995-07-27,41,26,33,8
1995-08-03,38,34,28,10
1995-08-10,40,30,30,10
1995-08-17,36,43,21,15
1995-08-24,35,28,37,-2
1995-08-31,38,42,20,18
1995-09-07,37,36,27,10
1995-09-14,46,32,22,24
1995-09-21,46,25,29,17
1995-09-28,42,27,31,11
1995-10-05,39,37,24,15
1995-10-12,41,30,29,12
1995-10-19,47,32,21,26
1995-10-26,46,33,21,25
1995-11-02,47,34,19,28
1995-11-09,49,35,16,33
1995-11-16,46,31,23,23
1995-11-22,48,18,34,14
1995-11-30,51,30,19,32
1995-12-07,48,28,24,24
1995-12-14,51,23,26,25
1995-12-21,48,28,24,24
1995-12-28,46,34,20,26
1996-01-04,55,18,27,28
1996-01-18,42,29,29,13
1996-01-25,36,40,24,12
1996-02-01,54,31,15,39
1996-02-08,53,31,16,37
1996-02-15,54,21,25,29
1996-02-22,49,22,29,20
1996-02-29,45,28,27,18
1996-03-07,44,28,28,16
1996-03-14,36,35,29,7
1996-03-21,47,31,22,25
1996-03-28,45,31,24,21
1996-04-04,40,43,17,23
1996-04-11,40,42,18,22
1996-04-18,36,38,26,10
1996-04-25,28,40,32,-4
1996-05-02,48,31,21,27
1996-05-09,46,38,16,30
1996-05-16,37,40,23,14
1996-05-23,51,35,14,37
1996-05-30,61,29,10,51
1996-06-06,47,28,25,22
1996-06-13,49,28,23,26
1996-06-20,42,32,26,16
1996-06-27,42,41,17,25
1996-07-03,32,44,24,8
1996-07-11,40,35,25,15
1996-07-18,29,45,26,3
1996-07-25,30,32,38,-8
1996-08-01,29,38,33,-4
1996-08-08,27,42,31,-4
1996-08-15,43,37,20,23
1996-08-22,28,46,26,2
1996-08-29,28,43,29,-1
1996-09-05,29,35,36,-7
1996-09-12,26,46,28,-2
1996-09-19,28,41,31,-3
1996-09-26,34,39,27,7
1996-10-03,40,31,29,11
1996-10-10,38,36,26,12
1996-10-17,39,36,25,14
1996-10-24,42,33,25,17
1996-10-31,37,29,34,3
1996-11-07,26,45,29,-3
1996-11-14,37,34,29,8
1996-11-21,43,30,27,16
1996-11-27,52,27,21,31
1996-12-05,41,26,33,8
1996-12-12,40,28,32,8
1996-12-19,33,28,39,-6
1996-12-26,37,33,30,7
1997-01-02,43,33,24,19
1997-01-09,36,39,25,11
1997-01-16,42,32,26,16
1997-01-23,37,41,22,15
1997-01-30,51,33,16,35
1997-02-06,47,29,24,23
1997-02-13,45,37,18,27
1997-02-20,44,36,20,24
1997-02-27,63,22,15,48
1997-03-06,43,37,20,23
1997-03-13,34,36,30,4
1997-03-20,36,42,22,14
1997-03-27,27,40,33,-6
1997-04-03,29,40,31,-2
1997-04-10,26,37,37,-11
1997-04-17,31,41,28,3
1997-04-24,28,40,32,-4
1997-05-01,27,44,29,-2
1997-05-08,30,44,26,4
1997-05-15,41,36,23,18
1997-05-22,40,35,25,15
1997-05-29,40,40,20,20
1997-06-05,52,33,15,37
1997-06-12,49,35,16,33
1997-06-19,59,26,15,44
1997-06-26,52,25,23,29
1997-07-03,45,30,25,20
1997-07-10,49,33,18,31
1997-07-17,54,30,16,38
1997-07-24,53,25,22,31
1997-07-31,48,26,26,22
1997-08-07,49,28,23,26
1997-08-14,49,30,21,28
1997-08-21,47,33,20,27
1997-08-28,50,28,22,28
1997-09-04,37,38,25,12
1997-09-11,42,36,22,20
1997-09-18,40,44,16,24
1997-09-25,39,42,19,20
1997-10-02,38,43,19,19
1997-10-09,43,43,14,29
1997-10-16,43,36,21,22
1997-10-23,40,46,14,26
1997-10-30,41,36,23,18
1997-11-06,38,37,25,13
1997-11-13,45,38,17,28
1997-11-20,40,38,22,18
1997-11-26,40,40,20,20
1997-12-04,49,33,18,31
1997-12-11,46,37,17,29
1997-12-18,40,41,19,21
1997-12-24,41,36,23,18
1997-12-31,34,35,31,3
1998-01-08,42,40,18,24
1998-01-16,38,45,17,21
1998-01-23,31,39,30,1
1998-01-30,38,42,20,18
1998-02-05,30,45,25,5
1998-02-12,45,36,19,26
1998-02-19,42,43,15,27
1998-02-26,53,33,14,39
1998-03-05,53,34,13,40
1998-03-12,44,36,20,24
1998-03-19,40,38,22,18
1998-03-26,45,35,20,25
1998-04-02,46,32,22,24
1998-04-09,41,36,23,18
1998-04-16,53,32,15,38
1998-04-23,40,38,22,18
1998-04-30,44,31,25,19
1998-05-07,43,34,23,20
1998-05-14,33,41,26,7
1998-05-21,38,39,23,15
1998-05-28,34,40,26,8
1998-06-04,25,44,31,-6
1998-06-11,27,49,24,3
1998-06-18,29,38,33,-4
1998-06-25,28,44,28,0
1998-07-02,33,48,19,14
1998-07-09,36,44,20,16
1998-07-16,35,44,21,14
1998-07-23,37,39,24,13
1998-07-30,44,36,20,24
1998-08-06,30,44,26,4
1998-08-13,27,38,35,-8
1998-08-20,25,42,33,-8
1998-08-27,23,32,45,-22
1998-09-03,23,37,40,-17
1998-09-10,29,31,40,-11
1998-09-17,34,35,31,3
1998-09-24,34,38,28,6
1998-10-01,32,35,33,-1
1998-10-08,25,43,32,-7
1998-10-15,25,34,41,-16
1998-10-22,32,35,33,-1
1998-10-29,43,36,21,22
1998-11-05,38,42,20,18
1998-11-12,50,36,14,36
1998-11-19,40,42,18,22
1998-11-25,48,35,17,31
1998-12-03,49,30,21,28
1998-12-10,44,30,26,18
1998-12-17,41,34,25,16
1998-12-23,34,34,32,2
1998-12-31,41,37,22,19
1999-01-07,38,39,23,15
1999-01-14,51,28,21,30
1999-01-21,56,24,20,36
1999-01-28,47,33,20,27
1999-02-04,48,38,14,34
1999-02-11,48,35,17,31
1999-02-18,37,39,24,13
1999-02-25,37,39,24,13
1999-03-04,36,45,19,17
1999-03-11,37,42,21,16
1999-03-18,48,31,21,27
1999-03-25,38,33,29,9
1999-04-01,40,35,25,15
1999-04-08,36,38,26,10
1999-04-15,41,31,28,13
1999-04-22,38,32,30,8
1999-04-29,41,32,27,14
1999-05-06,54,32,14,40
1999-05-13,43,31,26,17
1999-05-20,43,31,26,17
1999-05-27,38,42,20,18
1999-06-03,32,36,32,0
1999-06-10,32,40,28,4
1999-06-17,38,35,27,11
1999-06-24,30,39,31,-1
1999-07-01,35,38,27,8
1999-07-08,43,36,21,22
1999-07-15,54,28,18,36
1999-07-22,55,23,22,33
1999-07-29,42,38,20,22
1999-08-05,30,46,24,6
1999-08-12,30,40,30,0
1999-08-19,31,46,23,8
1999-08-26,35,40,25,10
1999-09-02,44,38,18,26
1999-09-09,37,38,25,12
1999-09-16,36,43,21,15
1999-09-23,36,36,28,8
1999-09-30,35,42,23,12
1999-10-07,34,38,28,6
1999-10-14,42,39,19,23
1999-10-21,38,37,25,13
1999-10-28,38,38,24,14
1999-11-04,43,35,22,21
1999-11-11,48,26,26,22
1999-11-18,46,32,22,24
1999-11-24,55,28,17,38
1999-12-02,62,25,13,49
1999-12-09,62,27,11,51
1999-12-16,54,26,20,34
1999-12-23,52,31,17,35
1999-12-30,60,25,15,45
2000-01-06,75,11.66,13.33,61.67
2000-01-13,59.26,22.22,18.52,40.74
2000-01-20,57.14,25,17.86,39.28
2000-01-27,53.7,25.93,20.37,33.33
2000-02-03,51.11,24.44,24.44,26.67
2000-02-10,41.86,30.23,27.91,13.95
2000-02-17,27.27,48.48,24.24,3.03
2000-02-24,41.38,27.59,31.03,10.35
2000-03-02,36.67,40,23.33,13.34
2000-03-08,58.33,25,16.67,41.66
2000-03-16,50,23.33,26.67,23.33
2000-03-23,65.71,14.29,20,45.71
2000-03-30,38.89,11.11,50,-11.11
2000-04-06,45.83,33.33,20.83,25
2000-04-13,51.85,18.52,29.63,22.22
2000-04-20,63.73,13.73,22.55,41.18
2000-04-27,61.29,24.19,14.52,46.77
2000-05-04,34.78,30.43,34.78,0
2000-05-11,30.23,44.19,25.58,4.65
2000-05-18,35.29,23.53,41.18,-5.89
2000-05-25,34.92,28.57,36.51,-1.59
2000-06-01,41.67,20.83,37.5,4.17
2000-06-08,61.54,15.38,23.08,38.46
2000-06-15,43.75,37.5,18.75,25
2000-06-22,26.67,33.33,40,-13.33
2000-07-06,56.1,28.05,15.85,40.25
2000-07-13,65,15,20,45
2000-07-20,66.67,21.33,12,54.67
2000-07-27,42.86,37.14,20,22.86
2000-08-03,41.3,34.78,23.91,17.39
2000-08-10,54.1,34.43,11.48,42.62
2000-08-17,59.38,21.88,18.75,40.63
2000-08-23,57.69,19.23,23.08,34.61
2000-08-31,55.88,26.47,17.65,38.23
2000-09-07,62.5,29.17,8.33,54.17
2000-09-14,41.18,35.29,23.53,17.65
2000-09-21,43.75,37.5,18.75,25
2000-09-28,53.33,40,6.67,46.66
2000-10-05,41.94,32.26,25.81,16.13
2000-10-12,41.46,26.83,31.71,9.75
2000-10-19,48.89,26.67,24.44,24.45
2000-10-26,64.1,17.95,17.95,46.15
2000-11-02,51.61,25.81,22.58,29.03
2000-11-09,62.86,28.57,8.57,54.29
2000-11-16,45.83,37.5,16.67,29.16
2000-11-23,36.51,26.98,36.51,0
2000-11-30,60.42,22.92,16.67,43.75
2000-12-07,47.06,15.69,37.25,9.81
2000-12-14,59.62,7.69,32.69,26.93
2000-12-21,31.11,17.78,51.11,-20
2000-12-28,40,28,32,8
2001-01-04,42.59,33.33,24.07,18.52
2001-01-11,35.71,21.43,42.86,-7.15
2001-01-18,36.59,39.02,24.39,12.2
2001-01-25,49.23,24.62,26.15,23.08
2001-02-01,50,30.77,19.23,30.77
2001-02-08,55.56,30,14.44,41.12
2001-02-15,30.43,47.83,21.74,8.69
2001-02-22,26.32,35.09,38.6,-12.28
2001-03-01,45.95,20.27,33.78,12.17
2001-03-08,31.63,36.73,31.63,0
2001-03-15,30.91,32.73,36.36,-5.45
2001-03-22,27.78,25,47.22,-19.44
2001-03-29,37.25,35.29,27.45,9.8
2001-04-05,35.14,26.13,38.74,-3.6
2001-04-12,30.3,28.79,40.91,-10.61
2001-04-19,43.75,25,31.25,12.5
2001-04-26,46.55,22.41,31.03,15.52
2001-05-03,63.51,14.87,21.62,41.89
2001-05-10,53.33,28.89,17.78,35.55
2001-05-17,51.76,29.41,18.82,32.94
2001-05-24,61.9,21.43,16.67,45.23
2001-05-31,49.35,22.08,28.57,20.78
2001-06-07,42.55,31.91,25.53,17.02
2001-06-14,30.51,47.46,22.03,8.48
2001-06-21,33.33,43.33,23.33,10
2001-06-28,30.38,36.71,32.91,-2.53
2001-07-05,40.74,40.74,18.52,22.22
2001-07-12,25.27,38.46,36.26,-10.99
2001-07-19,50,34.78,15.22,34.78
2001-07-26,29.52,32.38,38.1,-8.58
2001-08-02,36.36,27.27,36.36,0
2001-08-09,34.94,37.35,27.71,7.23
2001-08-16,35.42,27.08,37.5,-2.08
2001-08-23,34.48,34.48,31.03,3.45
2001-08-30,31.43,45.71,22.86,8.57
2001-09-06,30.34,35.96,33.71,-3.37
2001-09-13,26.67,36.67,36.67,-10
2001-09-20,31.08,24.32,44.59,-13.51
2001-09-27,51.11,26.67,22.22,28.89
2001-10-04,51.22,19.51,29.27,21.95
2001-10-11,47.37,24.56,28.07,19.3
2001-10-18,60.56,18.31,21.13,39.43
2001-10-25,55.88,26.47,17.65,38.23
2001-11-01,35,31.67,33.33,1.67
2001-11-08,34.62,23.08,42.31,-7.69
2001-11-15,45.45,21.21,33.33,12.12
2001-11-22,58.33,16.67,25,33.33
2001-11-29,69.33,10.67,20,49.33
2001-12-06,59.18,16.33,24.49,34.69
2001-12-13,61.4,24.56,14.04,47.36
2001-12-20,52.46,21.31,26.23,26.23
2001-12-27,57.69,15.38,26.92,30.77
2002-01-03,51.11,24.44,24.44,26.67
2002-01-10,54.79,23.29,21.92,32.87
2002-01-17,29.55,40.91,29.55,0
2002-01-24,34.69,34.69,30.61,4.08
2002-01-31,45.45,31.82,22.73,22.72
2002-02-07,37.5,39.58,22.93,14.57
2002-02-14,45.16,38.71,16.13,29.03
2002-02-21,36.36,38.18,25.45,10.91
2002-02-28,44.44,35.19,20.37,24.07
