# OFFICIAL S&P breadth via Barchart free EOD: pct_above_ma20=$S5TW, pct_above_ma50=$S5FI, pct_above_ma200=$S5TH. No survivorship bias (true index constituents). Accumulating cache: old dates kept if the free window ever shrinks. Read with comment='#'.
date,pct_above_ma20,pct_above_ma50,pct_above_ma200
2006-12-29,43.27,65.42,77.85
2007-01-02,43.27,65.42,77.85
2007-01-03,47.73,64.88,77.27
2007-01-04,49.17,66.53,76.86
2007-01-05,34.5,55.79,75
2007-01-08,41.94,55.99,76.03
2007-01-09,45.45,58.06,77.48
2007-01-10,49.9,59.38,78.14
2007-01-11,60.41,66.8,80.21
2007-01-12,61.65,68.25,82.06
2007-01-15,61.65,68.25,82.06
2007-01-16,63.51,67.22,81.44
2007-01-17,62.89,67.42,81.44
2007-01-18,55.46,61.86,80.82
2007-01-19,62.27,65.98,81.65
2007-01-22,56.49,59.59,80.82
2007-01-23,62.68,65.57,82.27
2007-01-24,70.52,71.55,83.92
2007-01-25,56.29,60.41,80.82
2007-01-26,55.26,56.91,80.62
2007-01-29,55.26,57.32,80.62
2007-01-30,62.89,61.44,82.27
2007-01-31,71.96,67.63,84.54
2007-02-01,77.53,73.81,85.98
2007-02-02,79.79,75.88,86.39
2007-02-05,78.56,74.43,85.77
2007-02-06,79.79,75.88,86.6
2007-02-07,80,77.53,87.22
2007-02-08,80.21,76.7,86.6
2007-02-09,70.72,74.43,85.36
2007-02-12,63.71,69.07,84.74
2007-02-13,70.93,73.81,86.6
2007-02-14,76.29,79.79,88.04
2007-02-15,77.32,79.38,88.25
2007-02-16,78.97,79.79,88.45
2007-02-19,78.97,79.79,88.45
2007-02-20,80.41,81.24,89.07
2007-02-21,77.94,81.65,89.48
2007-02-22,76.08,79.79,89.69
2007-02-23,70.52,77.11,89.69
2007-02-26,64.12,75.05,89.9
2007-02-27,18.97,46.19,78.97
2007-02-28,20.62,51.13,81.44
2007-03-01,19.18,46.39,80.41
2007-03-02,10.1,36.08,75.88
2007-03-05,6.8,27.22,70.72
