date,sp500_big_oi,sp500_big_noncomm_net,sp500_big_comm_net,sp500_big_cot_index_mm,sp500_emini_oi,sp500_emini_noncomm_net,sp500_emini_comm_net,sp500_emini_cot_index_mm,ndx_big_oi,ndx_big_noncomm_net,ndx_big_comm_net,ndx_big_cot_index_mm,ndx_mini_oi,ndx_mini_noncomm_net,ndx_mini_comm_net,ndx_mini_cot_index_mm
1986-01-15,61706.0,3063.0,-3.0,3066.0,,,,,,,,,,,,
1986-01-31,63660.0,-3019.0,4336.0,-7355.0,,,,,,,,,,,,
1986-02-14,70245.0,-207.0,5617.0,-5824.0,,,,,,,,,,,,
1986-02-28,86224.0,-517.0,1159.0,-1676.0,,,,,,,,,,,,
1986-03-14,104988.0,6461.0,-15342.0,21803.0,,,,,,,,,,,,
1986-03-31,78431.0,4885.0,-16176.0,21061.0,,,,,,,,,,,,
1986-04-15,73906.0,3811.0,-8438.0,12249.0,,,,,,,,,,,,
1986-04-30,73268.0,5902.0,-9331.0,15233.0,,,,,,,,,,,,
1986-05-15,101663.0,-5237.0,9393.0,-14630.0,,,,,,,,,,,,
1986-05-30,99371.0,2038.0,4072.0,-2034.0,,,,,,,,,,,,
1986-06-13,103091.0,-6174.0,9104.0,-15278.0,,,,,,,,,,,,
1986-06-30,83100.0,-1944.0,-923.0,-1021.0,,,,,,,,,,,,
1986-07-15,104426.0,-6663.0,5378.0,-12041.0,,,,,,,,,,,,
1986-07-31,112015.0,-7158.0,538.0,-7696.0,,,,,,,,,,,,
1986-08-15,108379.0,-904.0,4065.0,-4969.0,,,,,,,,,,,,
1986-08-29,107016.0,858.0,5704.0,-4846.0,,,,,,,,,,,,
1986-09-15,136713.0,3880.0,-8075.0,11955.0,,,,,,,,,,,,
1986-09-30,125304.0,-12637.0,16417.0,-29054.0,,,,,,,,,,,,
1986-10-15,136529.0,-12496.0,19274.0,-31770.0,,,,,,,,,,,,
1986-10-31,138262.0,-11819.0,16109.0,-27928.0,,,,,,,,,,,,
1986-11-14,143111.0,-16469.0,27508.0,-43977.0,,,,,,,,,,,,
1986-11-28,144347.0,-4419.0,14178.0,-18597.0,,,,,,,,,,,,
1986-12-15,142399.0,-2325.0,2633.0,-4958.0,,,,,,,,,,,,
1986-12-31,95433.0,-2571.0,457.0,-3028.0,,,,,,,,,,,,
1987-01-15,114397.0,-8839.0,17185.0,-26024.0,,,,,,,,,,,,
1987-01-30,107929.0,-10605.0,16771.0,-27376.0,,,,,,,,,,,,
1987-02-13,117480.0,-9743.0,12732.0,-22475.0,,,,,,,,,,,,
1987-02-27,123021.0,-6809.0,11201.0,-18010.0,,,,,,,,,,,,
1987-03-13,128619.0,-8051.0,20096.0,-28147.0,,,,,,,,,,,,
1987-03-31,97673.0,-8603.0,8681.0,-17284.0,,,,,,,,,,,,
1987-04-15,112594.0,-12682.0,5481.0,-18163.0,,,,,,,,,,,,
1987-04-30,121860.0,-6774.0,2121.0,-8895.0,,,,,,,,,,,,
1987-05-15,124892.0,-11308.0,11494.0,-22802.0,,,,,,,,,,,,
1987-05-29,128356.0,-10701.0,6426.0,-17127.0,,,,,,,,,,,,
1987-06-15,143775.0,-13225.0,11570.0,-24795.0,,,,,,,,,,,,
1987-06-30,109452.0,-1296.0,3931.0,-5227.0,,,,,,,,,,,,
1987-07-15,117192.0,-3450.0,15294.0,-18744.0,,,,,,,,,,,,
1987-07-31,115389.0,-7252.0,23556.0,-30808.0,,,,,,,,,,,,
1987-08-14,127849.0,-3523.0,77.0,-3600.0,,,,,,,,,,,,
1987-08-31,129539.0,-3480.0,-4179.0,699.0,,,,,,,,,,,,
1987-09-15,139638.0,-4423.0,2339.0,-6762.0,,,,,,,,,,,,
1987-09-30,114182.0,596.0,-5345.0,5941.0,,,,,,,,,,,,
1987-10-15,133696.0,15.0,-1078.0,1093.0,,,,,,,,,,,,
1987-10-30,152340.0,-520.0,2012.0,-2532.0,,,,,,,,,,,,
1987-11-13,138116.0,-6238.0,5086.0,-11324.0,,,,,,,,,,,,
1987-11-30,139887.0,-8876.0,7173.0,-16049.0,,,,,,,,,,,,
1987-12-15,141640.0,-5950.0,-617.0,-5333.0,,,,,,,,,,,,
1987-12-31,107973.0,-4447.0,9688.0,-14135.0,,,,,,,,,,,,
1988-01-15,115038.0,-6749.0,6852.0,-13601.0,,,,,,,,,,,,
1988-01-29,118583.0,-3921.0,4729.0,-8650.0,,,,,,,,,,,,
1988-02-12,120699.0,-4390.0,6188.0,-10578.0,,,,,,,,,,,,
1988-02-29,122741.0,-2923.0,3597.0,-6520.0,,,,,,,,,,,,
1988-03-15,125577.0,-4931.0,7872.0,-12803.0,,,,,,,,,,,,
1988-03-31,110129.0,-8372.0,14049.0,-22421.0,,,,,,,,,,,,
1988-04-15,115113.0,-9799.0,17394.0,-27193.0,,,,,,,,,,,,
1988-04-29,116738.0,-5089.0,9856.0,-14945.0,,,,,,,,,,,,
1988-05-13,130735.0,-3158.0,7191.0,-10349.0,,,,,,,,,,,,
1988-05-31,134175.0,-6463.0,6516.0,-12979.0,,,,,,,,,,,,
1988-06-15,129615.0,-4705.0,1466.0,-6171.0,,,,,,,,,,,,
1988-06-30,98175.0,-1602.0,585.0,-2187.0,,,,,,,,,,,,
1988-07-15,102272.0,-4025.0,3492.0,-7517.0,,,,,,,,,,,,
1988-07-29,114248.0,2024.0,35.0,1989.0,,,,,,,,,,,,
1988-08-15,118618.0,-441.0,1021.0,-1462.0,,,,,,,,,,,,
1988-08-31,119496.0,-927.0,3146.0,-4073.0,,,,,,,,,,,,
1988-09-15,132982.0,-2290.0,8237.0,-10527.0,,,,,,,,,,,,
1988-09-30,114434.0,-4791.0,7847.0,-12638.0,,,,,,,,,,,,
1988-10-14,121990.0,-5754.0,9053.0,-14807.0,,,,,,,,,,,,
1988-10-31,125889.0,-3743.0,12628.0,-16371.0,,,,,,,,,,,,
1988-11-15,137801.0,-4050.0,11217.0,-15267.0,,,,,,,,,,,,
1988-11-30,141766.0,-4885.0,9344.0,-14229.0,,,,,,,,,,,,
1988-12-15,142882.0,-7527.0,14102.0,-21629.0,,,,,,,,,,,,
1988-12-30,120511.0,-3251.0,2424.0,-5675.0,,,,,,,,,,,,
1989-01-13,127207.0,-3186.0,3369.0,-6555.0,,,,,,,,,,,,
1989-01-31,139535.0,1275.0,-3704.0,4979.0,,,,,,,,,,,,
1989-02-15,135255.0,-1233.0,6013.0,-7246.0,,,,,,,,,,,,
1989-02-28,135398.0,-10054.0,18633.0,-28687.0,,,,,,,,,,,,
1989-03-15,143601.0,-11000.0,17780.0,-28780.0,,,,,,,,,,,,
1989-03-31,134158.0,-11050.0,21294.0,-32344.0,,,,,,,,,,,,
1989-04-14,136087.0,-12432.0,17532.0,-29964.0,,,,,,,,,,,,
1989-04-28,136181.0,-6666.0,9745.0,-16411.0,,,,,,,,,,,,
1989-05-15,142708.0,-8674.0,13429.0,-22103.0,,,,,,,,,,,,
1989-05-31,140287.0,-5344.0,4620.0,-9964.0,,,,,,,,,,,,
1989-06-15,146701.0,-11624.0,15719.0,-27343.0,,,,,,,,,,,,
1989-06-30,110764.0,-10621.0,15727.0,-26348.0,,,,,,,,,,,,
1989-07-14,116089.0,-7101.0,8504.0,-15605.0,,,,,,,,,,,,
1989-07-31,122096.0,-1124.0,-940.0,-184.0,,,,,,,,,,,,
1989-08-15,129793.0,-5519.0,2282.0,-7801.0,,,,,,,,,,,,
1989-08-31,135826.0,-9816.0,6094.0,-15910.0,,,,,,,,,,,,
1989-09-15,144553.0,-10736.0,11705.0,-22441.0,,,,,,,,,,,,
1989-09-29,123256.0,-11569.0,12230.0,-23799.0,,,,,,,,,,,,
1989-10-13,125604.0,-14786.0,19144.0,-33930.0,,,,,,,,,,,,
1989-10-31,126768.0,-17546.0,28586.0,-46132.0,,,,,,,,,,,,
1989-11-15,127192.0,-14390.0,22554.0,-36944.0,,,,,,,,,,,,
1989-11-30,124470.0,-15997.0,20138.0,-36135.0,,,,,,,,,,,,
1989-12-15,139099.0,-11493.0,15707.0,-27200.0,,,,,,,,,,,,
1989-12-29,107195.0,-7377.0,6233.0,-13610.0,,,,,,,,,,,,
1990-01-15,111547.0,-9197.0,12737.0,-21934.0,,,,,,,,,,,,
1990-01-31,117579.0,-13235.0,17369.0,-30604.0,,,,,,,,,,,,
1990-02-15,122619.0,-16364.0,18340.0,-34704.0,,,,,,,,,,,,
1990-02-28,130380.0,-20013.0,27700.0,-47713.0,,,,,,,,,,,,
1990-03-15,138744.0,-19745.0,27662.0,-47407.0,,,,,,,,,,,,
1990-03-30,113762.0,-22680.0,31807.0,-54487.0,,,,,,,,,,,,
1990-04-12,114001.0,-20851.0,29963.0,-50814.0,,,,,,,,,,,,
1990-04-30,127944.0,-20507.0,33422.0,-53929.0,,,,,,,,,,,,
1990-05-15,127951.0,-13587.0,19822.0,-33409.0,,,,,,,,,,,,
1990-05-31,127765.0,-8785.0,7416.0,-16201.0,,,,,,,,,,,,
1990-06-15,135360.0,-5463.0,4568.0,-10031.0,,,,,,,,,,,,
1990-06-29,105589.0,-9511.0,9911.0,-19422.0,,,,,,,,,,,,
1990-07-13,113812.0,-6434.0,5581.0,-12015.0,,,,,,,,,,,,
1990-07-31,117966.0,-10750.0,11045.0,-21795.0,,,,,,,,,,,,
1990-08-15,129236.0,-20243.0,23779.0,-44022.0,,,,,,,,,,,,
1990-08-31,147876.0,-24981.0,29811.0,-54792.0,,,,,,,,,,,,
