date,open_interest,lev_money_net,lev_money_cot_index,asset_mgr_net,asset_mgr_cot_index,dealer_net,dealer_cot_index
2006-06-13,598465,-141309,,-34539,,210171,
2006-06-20,331256,-135398,,-40678,,154714,
2006-06-27,352844,-139556,,-45681,,161532,
2006-07-03,325610,-98519,,-36894,,85595,
2006-07-11,342671,-88545,,-38942,,98071,
2006-07-18,426672,-121220,,-47153,,149653,
2006-07-25,418976,-113712,,-50270,,144459,
2006-08-01,420045,-113645,,-47126,,165974,
2006-08-08,435921,-100616,,-44321,,155842,
2006-08-15,436324,-78743,,-38500,,101664,
2006-08-22,413528,-56974,,-36290,,69242,
2006-08-29,401969,-59125,,-35144,,59799,
2006-09-05,410662,-51663,,-37104,,59949,
2006-09-12,554206,-56645,,-31254,,72241,
2006-09-19,383393,-3488,,-27864,,72270,
2006-09-26,430416,-26154,,-24614,,76982,
2006-10-03,430732,-4803,,-24953,,72667,
2006-10-10,463295,-3709,,-14517,,40525,
2006-10-17,486123,54596,,-18706,,-11283,
2006-10-24,431235,36062,,-24302,,4142,
2006-10-31,430345,38040,,-24836,,-39835,
2006-11-07,473590,47943,,-20367,,-50168,
2006-11-14,492403,61934,,-17684,,-77718,
2006-11-21,542633,84742,,-18377,,-130883,
2006-11-28,511004,67914,,-17314,,-106182,
2006-12-05,532332,80350,,-16320,,-114500,
2006-12-12,607635,55754,,-9191,,-113802,
2006-12-19,311209,81541,,-3293,,-65852,
2006-12-26,320899,71773,,-7731,,-42107,
2007-01-03,359107,67454,,-436,,-16662,
2007-01-09,338155,89841,,-12272,,-36595,
2007-01-16,377805,97511,,1640,,-84296,
2007-01-23,385115,105244,,2985,,-94633,
2007-01-30,330592,39398,,12235,,-31775,
2007-02-06,335224,-4935,,7418,,24383,
2007-02-13,358493,-6290,,5752,,36200,
2007-02-20,366428,23126,,10206,,1091,
2007-02-27,379075,-24055,,11545,,32318,
2007-03-06,438592,-47140,38.1942219319984,1960,83.56131509479242,108142,70.08420953866543
2007-03-13,599120,-88936,21.242085880115024,6040,90.08879289656826,167421,87.46532807121453
2007-03-20,329880,-101547,16.12716130000446,6416,90.69034477241821,135286,78.043066493869
2007-03-27,331474,-77955,25.695895000263636,16394,100.0,88943,64.45489570566538
2007-04-03,350189,-68141,29.676377898464025,13059,94.99729989199568,74935,60.34762823482498
2007-04-10,379259,-86440,22.25444427770094,23584,100.0,82371,62.52792812868343
2007-04-17,392546,-69724,29.03432527691815,21688,97.43277276789341,70966,59.18388290417354
2007-04-24,429952,-30490,44.947333838971744,18836,93.57109973731957,46001,51.86392770646291
2007-05-01,459779,33255,70.80181543116491,17192,91.34508625125247,-19607,32.62709131105338
2007-05-08,473906,33020,70.7065012390845,22362,98.34538413626885,-31346,29.185114380713905
2007-05-15,458310,22075,66.267293441978,17798,92.16562406910931,-8039,36.018929553677715
2007-05-22,472751,24292,67.1664915859876,25498,100.0,-31943,29.01006878676104
2007-05-29,455492,-11475,52.659671551350016,20494,93.39562876148241,22678,45.02542119429768
2007-06-05,477255,-20856,48.854810121961606,26035,100.0,31911,47.732617122215245
2007-06-12,605929,-49026,37.429274841514804,22856,95.83382478212437,62427,56.68017381411741
2007-06-19,357164,32127,70.34430730917896,18725,90.42002490007208,-35486,27.97123036234731
2007-06-26,368787,6643,60.00819296459585,36764,100.0,-29979,29.58593067373495
2007-07-03,395201,20419,65.59563258204119,35511,98.56033274352552,-49417,23.886539961413735
2007-07-10,395988,4363,59.08344250526256,32261,94.82615989153665,-32242,28.922399385434566
2007-07-17,416450,-10012,53.25305309608888,29993,92.22028172897949,-40158,26.601359315533614
2007-07-24,442654,13279,62.69970351202379,45433,100.0,-99269,9.26949984459939
2007-07-31,450054,-1165,56.84132823368606,40097,94.42441720740207,-83406,13.920669454104043
2007-08-07,450183,-35120,43.069441458834405,31688,85.63785879230537,-52220,23.064675975065533
2007-08-14,429354,-72143,28.053197486950065,28890,82.71423048389288,-25478,30.90566303283351
2007-08-21,418030,-98923,17.191435512851193,27285,81.03716706895291,12462,42.03000111419306
2007-08-28,410512,-88713,21.33253296451473,19124,72.50974368619583,24972,45.69804195230081
2007-09-04,438432,-73752,27.400599465429337,35646,89.77357031650001,-11739,34.934057363350085
2007-09-11,488863,-54920,35.03871378567691,32005,85.96909187799756,-35401,27.996153101854837
2007-09-18,573788,-41053,40.66306230303424,37919,92.14862647983867,-48435,24.17447090490069
2007-09-25,325577,-17310,50.2930404416089,37758,91.98039768868269,-50339,23.616201539932096
2007-10-02,376929,6951,60.13311539506718,37433,91.64080540839889,-87196,12.809408480768441
2007-10-09,406680,11164,61.84187578330014,55388,100.0,-103156,8.129797627355199
2007-10-16,421054,36978,72.31183558910254,76615,100.0,-143474,0.0
2007-10-23,429715,31875,70.24209804788423,87183,100.0,-135775,2.1770419488470076
2007-10-30,432608,31511,70.09446244823629,89122,100.0,-134388,2.569243167583311
2007-11-06,448210,30423,69.65317801851934,93339,100.0,-138958,1.2769868088054404
2007-11-13,438287,-5254,55.182861291487015,85315,94.41260645224186,-92987,14.27618091589023
2007-11-20,432349,-29112,45.50624003763897,81472,91.7365903251189,-43983,28.1330147464265
2007-11-27,428044,-31679,44.465084586275566,55513,73.66042518226573,-20367,34.81089793436921
2007-12-04,417364,-39447,41.31444354763479,55271,73.49191206679248,-17308,35.67588966336297
2007-12-11,443585,-65125,30.899644295547002,52398,71.49134107193838,2011,41.13871255072177
2007-12-18,545657,-53750,35.51325678454531,67446,81.96979297954864,-3277,39.64342773119937
2007-12-24,282512,-76587,26.250745275863608,61971,78.157357825763,12090,43.98874577613143
2007-12-31,283298,-75655,26.628757305731426,69753,83.5762382580479,6304,42.35264177352995
2008-01-08,334132,-75875,26.539526998251894,53270,72.09854535579247,3577,41.58152949992224
2008-01-15,358574,-66432,30.369535150657264,44976,66.32314130729968,13915,44.50480001131078
2008-01-22,376145,-20050,49.18171752118206,32814,57.85431275198629,-25303,33.41514795911154
2008-01-29,363387,-41835,40.34588911917519,36251,60.24761679281939,4738,41.90982482432948
2008-02-05,385806,-34102,43.48233442708059,31051,56.62667381570793,12013,43.966972528948524
2008-02-12,408292,-79493,25.072094032520393,31419,56.882925164857355,52023,55.28057798074341
2008-02-19,441283,-88613,21.37309219518724,26463,53.43188797359497,75182,61.829235532808326
2008-02-26,414057,-68843,29.391652099142984,22203,50.4655000731152,53225,55.62046685235194
2008-03-04,451704,-79162,25.206345086046404,20387,49.20095537187781,60432,57.658386234783464
2008-03-11,441298,-41706,40.39821052674273,14166,44.86905416791427,30391,49.163709369565524
2008-03-18,579724,-80228,24.773983687077422,34294,58.88488883008725,48483,54.27957414921744
2008-03-25,309092,-94275,19.07662855450958,31427,56.88849584636061,43587,52.89513495171712
2008-04-01,309395,-102837,15.603947224329048,35409,59.661302564602494,43303,52.814828429639896
2008-04-08,312236,-99877,16.80450045223542,39528,62.52950720358752,44832,53.24718290941482
2008-04-15,313185,-92606,19.753562114433816,36168,60.18982097222319,44020,53.017574120940495
2008-04-22,320206,-70361,28.775962977534242,45450,66.65320418636715,21250,46.57891388256585
2008-04-29,339755,-40830,40.75350938743394,45853,66.93382726709329,1446,40.97894781489912
2008-05-06,369548,-34150,43.46286599635778,56056,74.03853518929871,-17103,35.73385739936942
2008-05-13,380316,-18804,49.68708553536156,58907,76.02378681001886,-36338,30.29478714530108
2008-05-20,372819,-44568,39.23740534489542,55108,73.37840943116379,-12877,36.928841069434036
2008-05-27,382400,4892,59.29800083552015,54739,73.12146174682645,-47698,27.082526262212102
2008-06-03,372626,-32012,44.3300223481361,53161,72.0226448203107,-16105,36.016061304415445
2008-06-10,391735,-17291,50.30074669543668,45388,66.61003140471698,-34703,30.75711518613299
2008-06-17,473192,-23833,47.64736182484091,43743,65.46456002061151,-29102,32.340906841606696
2008-06-24,269503,10449,61.55187728399167,48019,68.44208928409779,-52886,25.615518387083092
