date,open_interest,lev_money_net,lev_money_cot_index,asset_mgr_net,asset_mgr_cot_index,dealer_net,dealer_cot_index
2006-06-13,2042655,-163791,,201298,,-395275,
2006-06-20,1293970,-232233,,241524,,-271685,
2006-06-27,1298945,-244045,,224074,,-218878,
2006-07-03,1332529,-218166,,233885,,-240776,
2006-07-11,1344585,-245621,,242865,,-204703,
2006-07-18,1403408,-303162,,220954,,-131762,
2006-07-25,1378698,-269008,,243882,,-156600,
2006-08-01,1386714,-289416,,233707,,-111193,
2006-08-08,1465662,-328389,,243249,,-116345,
2006-08-15,1503215,-290140,,260940,,-211927,
2006-08-22,1547766,-313196,,280941,,-216578,
2006-08-29,1581886,-273421,,283277,,-281898,
2006-09-05,1672748,-314372,,314232,,-266879,
2006-09-12,1998218,-314102,,330157,,-275257,
2006-09-19,1303906,-212302,,401622,,-409709,
2006-09-26,1428199,-162614,,405079,,-479778,
2006-10-03,1453775,-127038,,390426,,-513768,
2006-10-10,1499138,-117332,,392482,,-556093,
2006-10-17,1557473,-91606,,391497,,-570530,
2006-10-24,1610999,-76792,,377886,,-560024,
2006-10-31,1649310,-14471,,323004,,-577133,
2006-11-07,1697597,-29671,,330437,,-591914,
2006-11-14,1738166,-4966,,333074,,-628131,
2006-11-21,1785579,19889,,364594,,-659655,
2006-11-28,1808800,27701,,379810,,-635302,
2006-12-05,1961863,-33647,,439195,,-636313,
2006-12-12,2361730,-50405,,466831,,-699457,
2006-12-19,1504936,-2425,,410231,,-543723,
2006-12-26,1489606,-17031,,412358,,-571055,
2007-01-03,1518364,20905,,351628,,-557582,
2007-01-09,1584567,46614,,371450,,-573826,
2007-01-16,1647575,57724,,364968,,-592839,
2007-01-23,1664762,-12213,,356689,,-517421,
2007-01-30,1669513,-103767,,381182,,-448516,
2007-02-06,1726207,-64250,,384226,,-433989,
2007-02-13,1783100,-81059,,374437,,-452084,
2007-02-20,1869638,-75613,,400208,,-486420,
2007-02-27,2006422,-162524,,420849,,-431549,
2007-03-06,2101358,-245285,21.52323283598325,423455,83.6645539349158,-277039,71.8075557912774
2007-03-13,2700111,-369518,0.0,424264,83.96922416422818,-122802,98.0265663035644
2007-03-20,1696188,-431537,0.0,416090,80.89088738499545,-200498,84.8188908381271
2007-03-27,1741510,-466972,0.0,440948,90.25243566712989,-241670,77.81999238437164
2007-04-03,1873931,-482331,0.0,450124,93.70812667352081,-237909,78.45933118463819
2007-04-10,1887175,-457281,4.638416457583023,453290,94.9004455190127,-252113,76.04476901527205
2007-04-17,1945192,-451195,5.765338715501199,452342,94.54342774721033,-190005,86.60261379244693
2007-04-24,2035415,-453953,5.254649989352936,487819,100.0,-223362,80.93220050861518
2007-05-01,1993806,-348184,24.839507087241113,458658,89.82238649174057,-306750,66.75693226170563
2007-05-08,2008221,-362319,22.222181074149855,479486,97.09166169320922,-340291,61.055240504263395
2007-05-15,2010006,-350877,24.340854172260233,512806,100.0,-384027,53.62048332041396
2007-05-22,2160963,-415808,12.317819481349122,517011,100.0,-279612,71.37016713584377
2007-05-29,2200527,-475543,1.2569090185258909,547549,100.0,-238468,78.36430582187589
2007-06-05,2405114,-501867,0.0,564189,100.0,-176838,88.84089456434526
2007-06-12,2861518,-526510,0.0,555719,97.66596581342607,-80622,100.0
2007-06-19,1577585,-245593,48.08295990989912,531334,90.94631721370881,-293490,65.60181631614242
2007-06-26,1642944,-258217,45.922181865485406,528822,90.25409833806846,-307194,63.38733264925223
2007-07-03,1619924,-330209,33.599722029186935,505969,83.9566150717433,-156903,87.67345091987363
2007-07-10,1682680,-368125,27.109856667020406,523738,88.85312669644604,-73975,100.0
2007-07-17,1702051,-386984,23.881869251019282,515627,86.61802028708345,-83318,98.50627196306209
2007-07-24,1787275,-419621,18.295580195606558,573836,100.0,-70947,100.0
2007-07-31,1981173,-430215,16.48226566752363,508404,82.43615416413897,-10578,100.0
2007-08-07,2111980,-410904,19.787619344303824,498319,79.72904777499208,22725,100.0
2007-08-14,2121969,-390894,23.212616862421566,475205,73.52458004284127,13360,98.70323547249862
2007-08-21,2085581,-364228,27.77688391979926,465183,70.83438468022054,-27772,93.00771827600245
2007-08-28,2115440,-365714,27.522533779273374,481524,75.22078284631365,-62090,88.25573054991678
2007-09-04,2086435,-381906,24.751041534727523,440633,64.24445291487044,55241,100.0
2007-09-11,2264864,-409993,19.94355001591828,459488,69.3056815680548,133275,100.0
2007-09-18,2851893,-424345,17.487000071889003,503354,81.08058775212193,141282,100.0
2007-09-25,1747463,-360788,28.365689090330243,519012,85.28364891635216,-317686,45.40897948114694
2007-10-02,1865981,-372504,26.360328224649717,537081,90.13389238144833,-348012,41.80191474405255
2007-10-09,1950942,-374752,25.975550892279465,561454,96.67631221512974,-377408,38.305466976077
2007-10-16,2000172,-369290,26.910450264791162,598951,100.0,-427698,32.323824635231624
2007-10-23,1977779,-420099,18.21376366318975,604895,100.0,-374657,38.632679107309166
2007-10-30,2026594,-435321,15.608300783590137,619409,100.0,-423641,32.806376295140346
2007-11-06,2036619,-476697,8.52620696501744,629913,100.0,-346020,42.038849155326446
2007-11-13,2055383,-417773,18.6118918104732,631926,100.0,-400318,35.58048336047215
2007-11-20,2149374,-401411,21.41248198495808,633801,100.0,-422390,32.95517396005181
2007-11-27,2150535,-377945,25.429023302306952,654070,100.0,-455437,29.024465381051666
2007-12-04,2164011,-432800,16.039805968156596,613805,91.10700308322953,-415693,33.751735080684966
2007-12-11,2342983,-434894,15.681387937025232,611274,90.54800208493458,-426376,32.481067251548936
2007-12-18,2757399,-331485,33.38131639035044,672121,100.0,-451901,29.445047749658336
2007-12-24,1747039,-220002,52.463225351485875,670004,99.5503618132504,-452900,29.32622371508875
2007-12-31,1725583,-213301,53.610197283964986,690600,100.0,-451054,29.545792451640757
2008-01-08,1993208,-256444,46.22565615832013,705715,100.0,-493095,24.545310732581694
2008-01-15,2139579,-192680,57.13977618556948,714935,100.0,-618185,9.666733671210686
2008-01-22,2509683,-71969,77.80118924951303,697912,96.68579171671823,-720903,0.0
2008-01-29,2389489,-163436,62.145304792257896,794410,100.0,-675656,5.24794562651867
2008-02-05,2490724,-209704,54.22587524861614,784231,98.28379800105208,-624873,11.13798082778058
2008-02-12,2473964,-272810,43.42438132666021,743040,91.33890395068723,-566558,17.901610443234343
2008-02-19,2371943,-330427,33.56240821314747,741172,91.02395500343948,-499414,25.689266224766143
2008-02-26,2358196,-347617,30.620094003430133,723195,87.99299289173041,-469294,29.182716006425537
2008-03-04,2402309,-288003,40.8238822115796,725604,88.39915564008147,-427035,34.0841002801023
2008-03-11,2494075,-296148,39.42974903891249,706931,85.25084638314517,-405469,36.585419602521505
2008-03-18,3089662,-171405,60.78129653529236,750476,92.59263005975262,-525387,22.676803702221683
2008-03-25,2083681,-430731,16.39394489194398,799195,100.0,-484875,27.37556324918666
2008-04-01,2112188,-428159,16.834179455492148,838978,100.0,-517350,23.60897023260669
2008-04-08,2098521,-437186,15.289079375729589,905548,100.0,-567406,17.80325568178523
2008-04-15,2040110,-376255,25.718290958759678,785867,83.00589279375222,-517402,23.60293904440462
2008-04-22,2042108,-401423,21.410428013432973,782486,82.52580759673411,-485753,27.27372895608251
2008-04-29,2070518,-421673,17.944351064813073,787947,83.30124245651402,-480840,27.843560256789434
2008-05-06,2117598,-342353,31.52110284577755,787613,83.25381611643593,-520638,23.22761356321439
2008-05-13,2129204,-396601,22.23578223793891,811594,86.65899893503727,-483053,27.58688680503604
2008-05-20,2225222,-429931,16.530876326951187,810717,86.53446929357472,-462393,29.98312427147306
2008-05-27,2290268,-420009,18.229168449628062,743132,76.93773517926873,-427564,34.02274453858511
2008-06-03,2348861,-397596,22.065473765648697,738618,76.29676961306355,-403088,36.861578431543116
2008-06-10,2452965,-383536,24.472043735900343,732506,75.42889598864039,-357962,42.095489947053125
2008-06-17,2862936,-369601,26.857218169432112,692563,69.75718849840256,-379369,39.61261214240564
