date,fng,momentum_spx,momentum_spx_ma125,strength_52w,breadth_mcclellan,putcall_5d,vix,vix_ma50,junk_spread,safehaven_diff,fng_rating
2020-09-21,50,3281.06,3095.01,2.10969,1003.02,0.671277,27.78,25.2862,2.1093,-4.25012,neutral
2020-09-22,50,3315.57,3101.73,1.95615,953.32,0.681688,26.86,25.1796,2.1402,-3.84167,neutral
2020-09-23,50,3236.92,3106.59,1.77495,869.614,0.704004,28.58,25.1608,2.1548,-7.48987,neutral
2020-09-24,50,3246.59,3112.23,1.52689,805.838,0.726122,28.51,25.1758,2.1567,-7.85368,neutral
2020-09-25,50,3298.46,3117.6,1.31521,767.759,0.725698,26.38,25.1434,2.1772,-6.86079,neutral
2020-09-28,50,3351.6,3123.74,1.25196,767.686,0.696495,26.19,25.1536,2.1665,-4.84583,neutral
2020-09-29,50,3335.47,3130.66,1.24784,744.943,0.699039,26.27,25.1898,2.1485,-6.07499,neutral
2020-09-30,50,3363,3137.35,1.17789,745.218,0.684229,26.37,25.2204,1.9819,-6.31316,neutral
2020-10-01,50,3380.8,3144.48,1.01241,753.152,0.639638,26.7,25.268,1.962,-2.19556,neutral
2020-10-02,50,3348.44,3149.96,0.935227,775.81,0.63394,27.63,25.299,2.1793,-2.77308,neutral
2020-10-05,50,3408.63,3155.96,1.08635,827.158,0.635523,27.96,25.3414,2.1787,2.53912,neutral
2020-10-06,50,3360.95,3160.84,1.32322,847.688,0.635165,29.48,25.4362,2.1477,-1.11438,neutral
2020-10-07,50,3419.45,3165.88,1.49537,897.932,0.624337,28.06,25.4886,2.143,2.78898,neutral
2020-10-08,50,3446.83,3171.36,1.71106,976.976,0.621334,26.36,25.5338,2.1287,3.63285,neutral
2020-10-09,50,3477.13,3176.41,1.98894,1045.17,0.59652,25,25.5386,2.1253,3.13418,neutral
2020-10-12,50,3534.22,3182.42,2.1919,1114.51,0.584574,25.07,25.5508,2.1203,4.12284,neutral
2020-10-13,50,3511.93,3188.12,2.27385,1145.76,0.566918,26.07,25.5866,2.1186,3.58184,neutral
2020-10-14,50,3488.67,3193.03,2.23734,1164.4,0.559419,26.4,25.6394,2.1269,3.81957,neutral
2020-10-15,50,3483.34,3198.31,2.21554,1191.02,0.571534,26.97,25.719,2.1293,4.93815,neutral
2020-10-16,50,3483.81,3204.29,2.29445,1212.09,0.576556,27.41,25.8142,2.1403,6.25897,neutral
2020-10-19,50,3426.92,3209.31,2.42469,1201.25,0.590401,29.18,25.9536,2.1341,3.79194,neutral
2020-10-20,50,3443.12,3214.47,2.54603,1213.2,0.603832,29.35,26.098,2.1275,7.35773,neutral
2020-10-21,50,3435.56,3219.26,2.66166,1208.98,0.621628,28.65,26.1904,2.1142,7.05252,neutral
2020-10-22,50,3453.49,3223.86,2.81615,1233.08,0.623964,28.11,26.307,2.1139,6.37597,neutral
2020-10-23,50,3465.39,3228.68,2.95534,1262.53,0.635224,27.55,26.4154,2.1086,4.83534,neutral
2020-10-26,3,3400.97,3232.37,2.83804,1244.35,0.670359,32.46,26.6236,2.1128,3.30994,extreme fear
2020-10-27,2,3390.68,3236.2,2.68649,1202.03,0.679742,33.35,26.8636,2.1359,1.70055,extreme fear
2020-10-28,0,3271.03,3239.72,2.44203,1123,0.723316,40.28,27.239,2.1515,-2.36511,extreme fear
2020-10-29,1,3310.11,3243.46,2.19585,1075.18,0.734431,37.59,27.54,2.1814,-0.14909,extreme fear
2020-10-30,2,3269.96,3246.67,2.02157,1025.43,0.786331,38.02,27.846,2.1664,-3.18436,extreme fear
2020-11-02,3,3310.24,3250.36,1.84948,1016.23,0.768157,37.13,28.1378,1.9895,-0.565226,extreme fear
2020-11-03,4,3369.16,3254.27,1.67811,1042.49,0.774717,35.55,28.4014,2.2205,-0.581723,extreme fear
2020-11-04,50,3443.44,3258.38,1.61388,1059.25,0.748176,29.57,28.5522,2.1965,0.0431676,neutral
