date,building_permits_k,housing_starts_k,months_supply_new
1959-01-01,,1657,
1959-02-01,,1667,
1959-03-01,,1620,
1959-04-01,,1590,
1959-05-01,,1498,
1959-06-01,,1503,
1959-07-01,,1547,
1959-08-01,,1430,
1959-09-01,,1540,
1959-10-01,,1355,
1959-11-01,,1416,
1959-12-01,,1601,
1960-01-01,1092,1460,
1960-02-01,1088,1503,
1960-03-01,955,1109,
1960-04-01,1016,1289,
1960-05-01,1052,1271,
1960-06-01,958,1247,
1960-07-01,999,1197,
1960-08-01,994,1344,
1960-09-01,984,1097,
1960-10-01,972,1246,
1960-11-01,979,1246,
1960-12-01,951,1063,
1961-01-01,969,1183,
1961-02-01,961,1226,
1961-03-01,1000,1312,
1961-04-01,1002,1166,
1961-05-01,1027,1228,
1961-06-01,1070,1382,
1961-07-01,1083,1335,
1961-08-01,1159,1312,
1961-09-01,1098,1429,
1961-10-01,1123,1415,
1961-11-01,1152,1385,
1961-12-01,1161,1365,
1962-01-01,1122,1361,
1962-02-01,1194,1278,
1962-03-01,1134,1443,
1962-04-01,1235,1524,
1962-05-01,1142,1483,
1962-06-01,1154,1404,
1962-07-01,1189,1450,
1962-08-01,1200,1517,
1962-09-01,1223,1324,
1962-10-01,1181,1533,
1962-11-01,1236,1622,
1962-12-01,1236,1564,
1963-01-01,1248,1244,4.7
1963-02-01,1212,1456,6.6
1963-03-01,1258,1534,6.4
1963-04-01,1288,1689,5.3
1963-05-01,1350,1641,5.1
1963-06-01,1345,1588,6
1963-07-01,1321,1614,4.6
1963-08-01,1310,1639,5.6
1963-09-01,1413,1763,5.4
1963-10-01,1414,1779,5.9
1963-11-01,1357,1622,5.5
1963-12-01,1423,1491,6.1
1964-01-01,1296,1603,5.8
1964-02-01,1442,1820,5.5
1964-03-01,1313,1517,5.8
1964-04-01,1264,1448,6
1964-05-01,1299,1467,6.2
1964-06-01,1280,1550,5.7
1964-07-01,1304,1562,5.5
1964-08-01,1306,1569,5.4
1964-09-01,1265,1455,5.4
1964-10-01,1230,1524,5.3
1964-11-01,1254,1486,5.6
1964-12-01,1164,1484,5.5
1965-01-01,1264,1361,5.6
1965-02-01,1185,1433,5.5
1965-03-01,1211,1423,5.4
1965-04-01,1162,1438,5.6
1965-05-01,1207,1478,5.3
1965-06-01,1241,1488,4.7
1965-07-01,1237,1529,5.2
1965-08-01,1249,1432,4.6
1965-09-01,1227,1482,4.9
1965-10-01,1279,1452,5
1965-11-01,1306,1460,4.6
1965-12-01,1315,1656,4.4
1966-01-01,1325,1370,4.7
1966-02-01,1159,1378,4.9
1966-03-01,1234,1394,5
1966-04-01,1145,1352,5.1
1966-05-01,1078,1265,5.3
1966-06-01,956,1194,6
1966-07-01,932,1086,5.9
1966-08-01,877,1119,6.8
1966-09-01,774,1046,7.2
1966-10-01,739,843,6.3
1966-11-01,736,961,6.2
1966-12-01,743,990,6.3
1967-01-01,995,1067,5.7
1967-02-01,907,1123,5.7
1967-03-01,955,1056,5.4
1967-04-01,1035,1091,4.9
1967-05-01,1076,1304,4.5
1967-06-01,1169,1248,4.6
1967-07-01,1177,1364,4.4
1967-08-01,1229,1407,4.4
1967-09-01,1279,1421,4.3
1967-10-01,1280,1491,4.1
1967-11-01,1297,1538,4.6
1967-12-01,1315,1308,4.7
1968-01-01,1179,1380,4.7
1968-02-01,1342,1520,4.1
1968-03-01,1370,1466,4.8
1968-04-01,1286,1554,4.9
1968-05-01,1297,1408,5.5
1968-06-01,1300,1405,5.5
1968-07-01,1344,1512,5.1
1968-08-01,1357,1495,5
1968-09-01,1464,1556,5.1
1968-10-01,1421,1569,5.2
1968-11-01,1436,1630,5.6
1968-12-01,1389,1548,5.2
1969-01-01,1459,1769,5.5
1969-02-01,1495,1705,4.9
1969-03-01,1438,1561,5.7
1969-04-01,1441,1524,6
