date,nonfarm_payrolls_k,nonfarm_payrolls_change_k,unemployment_rate_pct
1948-01-01,44679,,3.4
1948-02-01,44533,-146.0,3.8
1948-03-01,44683,150.0,4.0
1948-04-01,44379,-304.0,3.9
1948-05-01,44796,417.0,3.5
1948-06-01,45034,238.0,3.6
1948-07-01,45160,126.0,3.6
1948-08-01,45178,18.0,3.9
1948-09-01,45294,116.0,3.8
1948-10-01,45245,-49.0,3.7
1948-11-01,45192,-53.0,3.8
1948-12-01,45032,-160.0,4.0
1949-01-01,44668,-364.0,4.3
1949-02-01,44497,-171.0,4.7
1949-03-01,44240,-257.0,5.0
1949-04-01,44236,-4.0,5.3
1949-05-01,43984,-252.0,6.1
1949-06-01,43739,-245.0,6.2
1949-07-01,43531,-208.0,6.7
1949-08-01,43624,93.0,6.8
1949-09-01,43780,156.0,6.6
1949-10-01,42942,-838.0,7.9
1949-11-01,43242,300.0,6.4
1949-12-01,43522,280.0,6.6
1950-01-01,43526,4.0,6.5
1950-02-01,43297,-229.0,6.4
1950-03-01,43954,657.0,6.3
1950-04-01,44382,428.0,5.8
1950-05-01,44718,336.0,5.5
1950-06-01,45083,365.0,5.4
1950-07-01,45454,371.0,5.0
1950-08-01,46192,738.0,4.5
1950-09-01,46438,246.0,4.4
1950-10-01,46706,268.0,4.2
1950-11-01,46776,70.0,4.2
1950-12-01,46861,85.0,4.3
1951-01-01,47288,427.0,3.7
1951-02-01,47577,289.0,3.4
1951-03-01,47873,296.0,3.4
1951-04-01,47861,-12.0,3.1
1951-05-01,47952,91.0,3.0
1951-06-01,48064,112.0,3.2
1951-07-01,48061,-3.0,3.1
1951-08-01,48012,-49.0,3.1
1951-09-01,47954,-58.0,3.3
1951-10-01,48006,52.0,3.5
1951-11-01,48147,141.0,3.5
1951-12-01,48314,167.0,3.1
1952-01-01,48296,-18.0,3.2
1952-02-01,48522,226.0,3.1
1952-03-01,48504,-18.0,2.9
1952-04-01,48620,116.0,2.9
1952-05-01,48642,22.0,3.0
1952-06-01,48282,-360.0,3.0
1952-07-01,48143,-139.0,3.2
1952-08-01,48924,781.0,3.4
1952-09-01,49320,396.0,3.1
1952-10-01,49597,277.0,3.0
1952-11-01,49816,219.0,2.8
1952-12-01,50166,350.0,2.7
1953-01-01,50144,-22.0,2.9
1953-02-01,50339,195.0,2.6
1953-03-01,50473,134.0,2.6
1953-04-01,50435,-38.0,2.7
1953-05-01,50490,55.0,2.5
1953-06-01,50519,29.0,2.5
1953-07-01,50536,17.0,2.6
1953-08-01,50489,-47.0,2.7
1953-09-01,50368,-121.0,2.9
1953-10-01,50240,-128.0,3.1
1953-11-01,49908,-332.0,3.5
1953-12-01,49703,-205.0,4.5
1954-01-01,49469,-234.0,4.9
1954-02-01,49382,-87.0,5.2
1954-03-01,49157,-225.0,5.7
1954-04-01,49179,22.0,5.9
1954-05-01,48965,-214.0,5.9
1954-06-01,48895,-70.0,5.6
1954-07-01,48835,-60.0,5.8
1954-08-01,48826,-9.0,6.0
1954-09-01,48886,60.0,6.1
1954-10-01,48942,56.0,5.7
1954-11-01,49180,238.0,5.3
1954-12-01,49331,151.0,5.0
1955-01-01,49496,165.0,4.9
1955-02-01,49644,148.0,4.7
1955-03-01,49962,318.0,4.6
1955-04-01,50248,286.0,4.7
1955-05-01,50512,264.0,4.3
1955-06-01,50790,278.0,4.2
1955-07-01,50987,197.0,4.0
1955-08-01,51111,124.0,4.2
1955-09-01,51266,155.0,4.1
1955-10-01,51429,163.0,4.3
1955-11-01,51592,163.0,4.2
1955-12-01,51805,213.0,4.2
1956-01-01,51975,170.0,4.0
1956-02-01,52167,192.0,3.9
1956-03-01,52294,127.0,4.2
1956-04-01,52375,81.0,4.0
1956-05-01,52506,131.0,4.3
1956-06-01,52586,80.0,4.3
1956-07-01,51955,-631.0,4.4
1956-08-01,52631,676.0,4.1
1956-09-01,52604,-27.0,3.9
1956-10-01,52777,173.0,3.9
1956-11-01,52821,44.0,4.3
1956-12-01,52929,108.0,4.2
1957-01-01,52887,-42.0,4.2
1957-02-01,53097,210.0,3.9
1957-03-01,53156,59.0,3.7
1957-04-01,53238,82.0,3.9
1957-05-01,53150,-88.0,4.1
1957-06-01,53067,-83.0,4.3
1957-07-01,53123,56.0,4.2
1957-08-01,53128,5.0,4.1
1957-09-01,52934,-194.0,4.4
1957-10-01,52763,-171.0,4.5
1957-11-01,52558,-205.0,5.1
1957-12-01,52384,-174.0,5.2
1958-01-01,52076,-308.0,5.8
1958-02-01,51576,-500.0,6.4
1958-03-01,51299,-277.0,6.7
1958-04-01,51027,-272.0,7.4
1958-05-01,50914,-113.0,7.4
1958-06-01,50914,0.0,7.3
1958-07-01,51039,125.0,7.5
1958-08-01,51233,194.0,7.4
1958-09-01,51506,273.0,7.1
1958-10-01,51485,-21.0,6.7
1958-11-01,51944,459.0,6.2
1958-12-01,52085,141.0,6.2
1959-01-01,52478,393.0,6.0
1959-02-01,52688,210.0,5.9
1959-03-01,53014,326.0,5.6
1959-04-01,53321,307.0,5.2
1959-05-01,53550,229.0,5.1
1959-06-01,53681,131.0,5.0
1959-07-01,53804,123.0,5.1
1959-08-01,53336,-468.0,5.2
1959-09-01,53428,92.0,5.5
1959-10-01,53358,-70.0,5.7
1959-11-01,53634,276.0,5.8
1959-12-01,54174,540.0,5.3
1960-01-01,54274,100.0,5.2
1960-02-01,54513,239.0,4.8
1960-03-01,54454,-59.0,5.4
1960-04-01,54813,359.0,5.2
1960-05-01,54475,-338.0,5.1
1960-06-01,54348,-127.0,5.4
1960-07-01,54306,-42.0,5.5
1960-08-01,54272,-34.0,5.6
1960-09-01,54227,-45.0,5.5
1960-10-01,54142,-85.0,6.1
1960-11-01,53961,-181.0,6.1
1960-12-01,53742,-219.0,6.6
1961-01-01,53683,-59.0,6.6
1961-02-01,53557,-126.0,6.9
1961-03-01,53659,102.0,6.9
1961-04-01,53627,-32.0,7.0
1961-05-01,53786,159.0,7.1
1961-06-01,53977,191.0,6.9
1961-07-01,54123,146.0,7.0
1961-08-01,54298,175.0,6.6
1961-09-01,54388,90.0,6.7
1961-10-01,54522,134.0,6.5
1961-11-01,54742,220.0,6.1
1961-12-01,54872,130.0,6.0
1962-01-01,54891,19.0,5.8
1962-02-01,55188,297.0,5.5
1962-03-01,55275,87.0,5.6
1962-04-01,55602,327.0,5.6
1962-05-01,55628,26.0,5.5
1962-06-01,55644,16.0,5.5
1962-07-01,55746,102.0,5.4
1962-08-01,55838,92.0,5.7
1962-09-01,55978,140.0,5.6
1962-10-01,56041,63.0,5.4
1962-11-01,56056,15.0,5.7
1962-12-01,56028,-28.0,5.5
1963-01-01,56115,87.0,5.7
1963-02-01,56230,115.0,5.9
1963-03-01,56320,90.0,5.7
1963-04-01,56580,260.0,5.7
1963-05-01,56616,36.0,5.9
1963-06-01,56659,43.0,5.6
1963-07-01,56794,135.0,5.6
1963-08-01,56910,116.0,5.4
1963-09-01,57078,168.0,5.5
1963-10-01,57283,205.0,5.5
1963-11-01,57255,-28.0,5.7
1963-12-01,57361,106.0,5.5
1964-01-01,57487,126.0,5.6
1964-02-01,57753,266.0,5.4
1964-03-01,57897,144.0,5.4
1964-04-01,57922,25.0,5.3
1964-05-01,58089,167.0,5.1
1964-06-01,58219,130.0,5.2
1964-07-01,58412,193.0,4.9
1964-08-01,58619,207.0,5.0
1964-09-01,58903,284.0,5.1
1964-10-01,58793,-110.0,5.1
1964-11-01,59218,425.0,4.8
1964-12-01,59421,203.0,5.0
1965-01-01,59582,161.0,4.9
1965-02-01,59800,218.0,5.1
1965-03-01,60003,203.0,4.7
1965-04-01,60259,256.0,4.8
1965-05-01,60491,232.0,4.6
1965-06-01,60690,199.0,4.6
1965-07-01,60965,275.0,4.4
1965-08-01,61228,263.0,4.4
1965-09-01,61490,262.0,4.3
1965-10-01,61719,229.0,4.2
1965-11-01,61996,277.0,4.1
1965-12-01,62322,326.0,4.0
1966-01-01,62529,207.0,4.0
1966-02-01,62796,267.0,3.8
1966-03-01,63192,396.0,3.8
1966-04-01,63437,245.0,3.8
1966-05-01,63712,275.0,3.9
1966-06-01,64111,399.0,3.8
1966-07-01,64301,190.0,3.8
1966-08-01,64507,206.0,3.8
1966-09-01,64643,136.0,3.7
1966-10-01,64854,211.0,3.7
1966-11-01,65019,165.0,3.6
1966-12-01,65199,180.0,3.8
1967-01-01,65407,208.0,3.9
1967-02-01,65429,22.0,3.8
1967-03-01,65530,101.0,3.8
1967-04-01,65466,-64.0,3.8
1967-05-01,65620,154.0,3.8
1967-06-01,65750,130.0,3.9
1967-07-01,65888,138.0,3.8
1967-08-01,66143,255.0,3.8
1967-09-01,66164,21.0,3.8
1967-10-01,66225,61.0,4.0
1967-11-01,66703,478.0,3.9
1967-12-01,66900,197.0,3.8
1968-01-01,66804,-96.0,3.7
1968-02-01,67215,411.0,3.8
1968-03-01,67295,80.0,3.7
1968-04-01,67556,261.0,3.5
1968-05-01,67652,96.0,3.5
1968-06-01,67905,253.0,3.7
1968-07-01,68126,221.0,3.7
1968-08-01,68330,204.0,3.5
1968-09-01,68484,154.0,3.4
1968-10-01,68721,237.0,3.4
1968-11-01,68984,263.0,3.4
1968-12-01,69248,264.0,3.4
1969-01-01,69439,191.0,3.4
1969-02-01,69699,260.0,3.4
1969-03-01,69905,206.0,3.4
1969-04-01,70072,167.0,3.4
1969-05-01,70328,256.0,3.4
1969-06-01,70636,308.0,3.5
1969-07-01,70729,93.0,3.5
1969-08-01,71008,279.0,3.5
1969-09-01,70914,-94.0,3.7
1969-10-01,71121,207.0,3.7
1969-11-01,71086,-35.0,3.5
1969-12-01,71241,155.0,3.5
