date,sentiment,current_conditions,expectations,inflation_1y,inflation_5y
2025-05-01,52.2,58.9,47.9,6.6,4.2
2025-06-01,60.7,64.8,58.1,5.0,4.0
2025-07-01,61.7,68.0,57.7,4.5,3.4
2025-08-01,58.2,61.7,55.9,4.8,3.5
2025-09-01,55.1,60.4,51.7,4.7,3.7
2025-10-01,53.6,58.6,50.3,4.6,3.9
2025-11-01,51.0,51.1,51.0,4.5,3.4
2025-12-01,52.9,50.4,54.6,4.2,3.2
2026-01-01,56.4,55.4,57.0,4.0,3.3
2026-02-01,56.6,56.6,56.6,3.4,3.3
2026-03-01,53.3,55.8,51.7,3.8,3.2
2026-04-01,49.8,52.5,48.1,4.7,3.5
2026-05-01,44.8,45.8,44.1,4.8,3.9
