Date,naaim_mean,most_bullish,most_bearish
2006-07-05,19.4444,100,-100
2006-07-12,31.2,150,-50
2006-07-19,18.76,100,-100
2006-07-26,17.375,100,-50
2006-08-02,44.2333,175,-50
2006-08-09,45.0187,150,-100
2006-08-16,38.6,150,-100
2006-08-23,42.0952,100,-60
2006-08-30,42.0952,100,-60
2006-09-06,49.381,100,-70
2006-09-13,45.8,150,-100
2006-09-20,78,150,20
2006-09-27,49.9048,123,-125
2006-10-04,69.7,175,-100
2006-10-11,60.0909,120,-125
2006-10-18,84.4091,150,-20
2006-10-25,80.16,200,-100
2006-11-01,80.9583,200,-100
2006-11-08,73.9565,150,-50
2006-11-15,68.0952,150,-150
2006-11-22,92.4286,150,50
2006-11-29,86.6682,150,-25
2006-12-06,74.7308,125,-150
2006-12-13,93,125,50
2006-12-20,92.9091,150,50
2006-12-27,85.1739,150,-30
2007-01-03,100.048,200,50
2007-01-10,58.8846,125,-150
2007-01-17,84.8947,112,0
2007-01-24,72.5909,125,-50
2007-01-31,80.75,200,-50
2007-02-07,82,200,-50
2007-02-14,79.0909,200,-100
2007-02-21,73.6818,118,-150
2007-02-28,89.3333,200,-100
2007-03-07,52.4,150,-75
2007-03-14,38.0526,100,-150
2007-03-21,47.6957,200,-100
2007-03-28,44.5417,200,-120
2007-04-04,45.6538,200,-125
2007-04-11,59.32,200,-125
2007-04-18,54.1429,112,-200
2007-04-25,75.4231,200,-125
2007-05-02,82.6667,200,-125
2007-05-09,73.8333,117,-125
2007-05-16,87.375,200,-125
2007-05-23,82.5,200,-125
2007-05-30,80.5455,200,-50
2007-06-06,57.6333,200,-125
2007-06-13,53.04,150,-125
2007-06-20,61.4722,200,-125
2007-06-27,74.2258,200,-50
2007-07-05,56.0625,200,-125
2007-07-11,62.3939,200,-100
2007-07-18,74.1333,200,0
2007-07-25,40.5806,200,-125
2007-08-01,39,200,-125
2007-08-08,43.8182,200,-50
2007-08-15,21.25,200,-100
2007-08-22,38.1875,200,-15
2007-08-29,-2.11111,100,-200
2007-09-05,39.625,100,-50
2007-09-12,46.5517,200,-125
2007-09-19,63.5,200,0
2007-09-26,77.3636,200,0
2007-10-03,75.4948,200,-125
2007-10-10,66.4333,130,-125
2007-10-17,86.4643,200,-50
2007-10-24,69.1429,200,-200
2007-10-31,65.6923,200,-200
2007-11-07,84.4444,200,-20
2007-11-14,68.3462,200,0
2007-11-21,51.0417,200,-70
2007-11-28,51.0714,200,-200
2007-12-05,69.4333,200,-90
2007-12-12,73.5714,200,-200
