date,personal_income,real_disposable_income,personal_saving_rate_pct
1959-01-01,391.8,2318.4,11.3
1959-02-01,393.7,2325.4,10.6
1959-03-01,396.5,2338.7,10.3
1959-04-01,399.9,2353.8,11.2
1959-05-01,402.4,2366.6,10.6
1959-06-01,404.8,2374.5,10.5
1959-07-01,405.4,2370.8,10.7
1959-08-01,403.7,2356.8,9.6
1959-09-01,405.1,2357.8,8.7
1959-10-01,406.6,2359.5,9.4
1959-11-01,409.9,2376.6,10.1
1959-12-01,414.6,2399.7,11.0
1960-01-01,415.7,2404.9,10.9
1960-02-01,416.6,2405.3,10.6
1960-03-01,417.6,2408.1,9.4
1960-04-01,420.6,2417.3,8.4
1960-05-01,422.1,2422.6,10.4
1960-06-01,422.6,2424.9,10.4
1960-07-01,424.1,2428.8,10.4
1960-08-01,424.1,2423.3,10.3
1960-09-01,424.9,2426.7,10.0
1960-10-01,426.7,2435.6,9.8
1960-11-01,426.3,2425.5,9.8
1960-12-01,424.4,2414.6,10.4
1961-01-01,428.3,2437.9,11.1
1961-02-01,430.3,2448.1,11.1
1961-03-01,431.9,2458.4,10.4
1961-04-01,432.5,2463.4,10.6
1961-05-01,436.1,2483.5,10.8
1961-06-01,440.5,2509.1,11.5
1961-07-01,442.7,2517.6,12.0
1961-08-01,443.3,2517.7,11.7
1961-09-01,444.3,2519.9,11.3
1961-10-01,448.7,2546.6,11.7
1961-11-01,452.7,2570.1,11.6
1961-12-01,455.6,2585.8,11.6
1962-01-01,456.0,2579.4,11.3
1962-02-01,459.1,2590.9,11.8
1962-03-01,462.9,2608.1,11.6
1962-04-01,465.8,2619.6,11.7
1962-05-01,466.8,2621.1,11.1
1962-06-01,467.7,2621.6,11.5
1962-07-01,469.7,2633.0,11.6
1962-08-01,471.1,2635.5,11.4
1962-09-01,473.7,2636.3,10.4
1962-10-01,475.7,2649.3,11.3
1962-11-01,477.8,2656.5,10.4
1962-12-01,479.8,2669.0,10.3
1963-01-01,484.0,2688.2,10.9
1963-02-01,481.9,2672.3,10.7
1963-03-01,483.7,2683.6,10.6
1963-04-01,485.0,2694.6,10.7
1963-05-01,487.9,2705.0,10.9
1963-06-01,491.3,2718.6,10.5
1963-07-01,492.5,2721.6,10.1
1963-08-01,494.9,2732.5,10.2
1963-09-01,498.2,2752.9,11.0
1963-10-01,501.9,2768.9,11.5
1963-11-01,503.6,2774.7,11.0
1963-12-01,508.4,2797.1,10.7
1964-01-01,511.3,2806.4,10.7
1964-02-01,514.1,2815.3,10.4
1964-03-01,517.0,2882.1,12.1
1964-04-01,520.6,2897.7,12.4
1964-05-01,523.8,2912.9,11.7
1964-06-01,526.3,2922.5,11.5
1964-07-01,529.9,2936.4,11.2
1964-08-01,533.3,2949.4,11.1
1964-09-01,536.3,2961.1,11.8
1964-10-01,536.9,2960.2,11.2
1964-11-01,541.3,2979.4,12.5
1964-12-01,547.5,3008.0,12.5
1965-01-01,551.5,3013.8,12.1
1965-02-01,552.0,3014.5,10.7
1965-03-01,555.4,3024.6,10.8
1965-04-01,558.6,3027.8,10.2
1965-05-01,562.9,3061.4,11.2
1965-06-01,566.2,3065.8,12.1
1965-07-01,570.4,3097.8,11.9
1965-08-01,572.9,3113.1,11.7
1965-09-01,587.2,3194.5,12.5
1965-10-01,584.9,3178.9,10.9
1965-11-01,590.2,3201.4,11.5
1965-12-01,595.5,3214.6,11.7
1966-01-01,597.7,3216.8,11.2
1966-02-01,603.1,3230.2,11.0
1966-03-01,607.9,3242.8,10.7
1966-04-01,609.5,3230.5,10.3
1966-05-01,612.2,3235.7,11.2
1966-06-01,616.7,3249.2,11.4
1966-07-01,620.4,3260.4,10.9
1966-08-01,625.9,3277.2,11.2
1966-09-01,631.7,3296.6,11.0
1966-10-01,636.0,3307.3,11.6
1966-11-01,640.9,3322.5,11.8
1966-12-01,642.0,3319.6,11.6
1967-01-01,648.0,3353.7,12.1
1967-02-01,649.6,3360.2,12.6
1967-03-01,653.9,3385.5,12.8
1967-04-01,654.4,3384.5,11.9
1967-05-01,656.9,3391.3,12.0
1967-06-01,661.6,3403.8,11.9
1967-07-01,667.2,3417.4,12.6
1967-08-01,672.5,3429.7,12.6
1967-09-01,675.0,3429.3,11.9
1967-10-01,677.8,3434.5,12.9
1967-11-01,684.4,3455.3,12.8
1967-12-01,687.4,3461.6,11.8
1968-01-01,694.3,3480.2,11.7
1968-02-01,702.5,3505.4,12.3
1968-03-01,710.8,3538.4,11.7
1968-04-01,716.2,3550.7,12.3
1968-05-01,722.6,3565.2,12.0
1968-06-01,728.3,3581.3,11.7
1968-07-01,735.0,3573.9,10.7
1968-08-01,741.4,3578.5,10.5
1968-09-01,747.4,3578.9,10.6
1968-10-01,752.0,3591.7,10.8
1968-11-01,758.0,3605.1,10.6
1968-12-01,762.6,3617.6,11.1
1969-01-01,766.3,3611.0,10.3
1969-02-01,771.8,3611.8,9.7
1969-03-01,779.0,3618.3,10.2
1969-04-01,784.3,3613.0,9.7
1969-05-01,790.5,3654.1,10.1
1969-06-01,797.1,3679.9,11.1
1969-07-01,805.0,3705.6,11.8
1969-08-01,812.2,3728.3,11.5
1969-09-01,817.7,3736.6,11.6
1969-10-01,822.0,3745.4,11.4
1969-11-01,826.4,3751.9,11.6
1969-12-01,831.9,3758.6,11.8
1970-01-01,836.4,3778.6,11.8
1970-02-01,841.8,3790.5,11.7
1970-03-01,847.1,3805.0,12.4
1970-04-01,859.9,3846.0,13.3
1970-05-01,857.7,3830.3,12.4
1970-06-01,862.6,3838.2,12.3
1970-07-01,870.6,3892.6,13.5
1970-08-01,875.1,3905.1,13.4
1970-09-01,878.4,3900.8,12.9
1970-10-01,879.7,3888.1,13.1
1970-11-01,882.3,3882.3,13.6
1970-12-01,889.2,3900.0,13.2
1971-01-01,898.8,3959.8,13.3
1971-02-01,903.2,3965.2,13.3
1971-03-01,909.0,3978.2,13.5
1971-04-01,915.0,3986.5,13.2
1971-05-01,922.4,4002.6,13.6
1971-06-01,943.8,4087.3,14.7
1971-07-01,934.8,4029.1,13.8
1971-08-01,940.8,4043.3,13.6
1971-09-01,947.7,4067.3,13.3
1971-10-01,951.8,4080.4,13.3
1971-11-01,958.6,4090.0,13.1
1971-12-01,967.4,4110.9,13.0
1972-01-01,976.1,4090.1,12.5
1972-02-01,987.9,4115.2,12.8
1972-03-01,995.6,4132.3,11.8
1972-04-01,998.5,4130.6,11.5
1972-05-01,1004.9,4160.9,11.7
1972-06-01,1009.2,4174.2,11.7
1972-07-01,1019.0,4204.5,11.7
1972-08-01,1031.4,4243.5,12.0
1972-09-01,1040.0,4260.0,12.2
1972-10-01,1065.1,4366.9,13.0
1972-11-01,1079.2,4415.4,13.6
1972-12-01,1086.6,4435.1,13.7
1973-01-01,1085.6,4411.9,12.4
1973-02-01,1095.3,4444.7,12.5
1973-03-01,1104.4,4461.0,12.7
1973-04-01,1114.7,4466.7,13.2
1973-05-01,1125.1,4475.0,13.2
1973-06-01,1134.7,4488.3,13.6
1973-07-01,1142.2,4499.0,13.2
1973-08-01,1152.0,4484.4,13.9
1973-09-01,1163.4,4507.3,13.1
1973-10-01,1180.2,4546.9,14.4
1973-11-01,1192.6,4554.1,14.4
1973-12-01,1199.2,4537.2,14.8
1974-01-01,1200.4,4504.1,14.3
1974-02-01,1207.1,4470.2,14.2
1974-03-01,1213.1,4438.2,13.4
1974-04-01,1220.9,4435.1,13.1
1974-05-01,1234.1,4430.6,12.8
1974-06-01,1243.7,4421.7,12.8
1974-07-01,1257.8,4438.7,12.8
1974-08-01,1268.8,4432.6,12.1
1974-09-01,1280.7,4428.0,12.9
1974-10-01,1294.0,4442.6,13.4
1974-11-01,1296.0,4419.0,13.8
1974-12-01,1305.4,4419.7,14.0
1975-01-01,1312.3,4417.4,13.2
1975-02-01,1318.8,4420.1,12.5
1975-03-01,1324.2,4424.1,12.7
1975-04-01,1330.3,4505.1,14.2
1975-05-01,1343.8,4765.1,17.3
1975-06-01,1375.8,4604.9,14.3
1975-07-01,1372.3,4533.9,12.6
1975-08-01,1388.5,4564.1,13.0
1975-09-01,1398.7,4575.2,13.0
1975-10-01,1413.4,4594.3,13.4
1975-11-01,1422.4,4590.9,12.7
1975-12-01,1432.3,4595.3,12.0
1976-01-01,1447.2,4625.1,11.7
1976-02-01,1457.5,4653.7,12.3
1976-03-01,1463.6,4667.6,12.2
1976-04-01,1472.5,4673.7,11.7
1976-05-01,1481.2,4673.8,12.3
1976-06-01,1489.9,4678.3,11.4
1976-07-01,1506.7,4705.1,11.7
1976-08-01,1519.3,4714.6,11.7
1976-09-01,1529.2,4715.6,11.4
1976-10-01,1536.7,4707.4,11.1
1976-11-01,1557.2,4749.8,11.4
1976-12-01,1570.7,4767.9,10.6
1977-01-01,1572.2,4758.3,10.6
1977-02-01,1589.6,4716.2,9.3
1977-03-01,1604.7,4782.4,10.5
1977-04-01,1620.9,4789.7,10.5
1977-05-01,1633.2,4790.6,10.3
1977-06-01,1644.9,4810.5,10.6
1977-07-01,1662.6,4841.6,10.5
1977-08-01,1676.9,4861.2,10.9
1977-09-01,1693.7,4887.8,11.1
1977-10-01,1716.3,4923.4,11.0
1977-11-01,1739.8,4962.7,11.2
1977-12-01,1756.0,4983.5,11.4
1978-01-01,1760.1,4962.0,11.9
1978-02-01,1776.2,4991.5,11.1
1978-03-01,1797.9,5033.0,11.0
1978-04-01,1821.9,5050.5,10.8
1978-05-01,1837.0,5047.2,10.3
1978-06-01,1855.8,5047.5,10.0
1978-07-01,1876.2,5072.8,10.9
1978-08-01,1894.2,5094.2,10.5
1978-09-01,1907.5,5095.8,10.6
1978-10-01,1929.7,5109.5,10.7
1978-11-01,1944.0,5114.1,10.5
1978-12-01,1964.2,5139.6,10.4
1979-01-01,1985.6,5164.0,11.1
1979-02-01,2004.1,5184.7,11.0
1979-03-01,2025.9,5198.5,11.2
1979-04-01,2030.6,5156.1,11.0
1979-05-01,2044.6,5132.2,10.3
1979-06-01,2060.4,5118.9,9.8
1979-07-01,2091.8,5156.2,10.6
1979-08-01,2111.2,5163.7,9.7
1979-09-01,2129.7,5159.3,9.4
1979-10-01,2147.1,5156.6,9.7
1979-11-01,2168.9,5171.2,9.7
1979-12-01,2192.7,5182.2,10.1
1980-01-01,2218.8,5218.8,9.9
