# CAVEAT frozen source: CBOE stopped free daily put/call publication after 2019-10-04; this file is a static historical archive and will NOT extend. equity_pc definition change 2012-06-11 (ETPs excluded after). *_archive cols = older 2003-2012 series on a different (OCC cleared) volume basis - do not splice. Read with comment='#'.
date,equity_pc,index_pc,total_pc,equity_pc_archive,index_pc_archive
2003-10-17,,,,0.46,2.0
2003-10-20,,,,,1.09
2003-10-21,,,,0.59,1.27
2003-10-22,,,,0.77,1.89
2003-10-23,,,,0.72,1.6
2003-10-24,,,,0.79,1.49
2003-10-27,,,,0.51,1.37
2003-10-28,,,,0.66,1.06
2003-10-29,,,,0.53,0.92
2003-10-30,,,,0.7,1.49
2003-10-31,,,,1.03,1.65
2003-11-03,,,,0.47,1.29
2003-11-04,,,,0.49,1.43
2003-11-05,,,,0.55,1.57
2003-11-06,,,,0.61,1.46
2003-11-07,,,,0.61,1.85
2003-11-10,,,,0.78,1.57
2003-11-11,,,,0.73,2.1
2003-11-12,,,,0.68,1.41
2003-11-13,,,,0.63,1.58
2003-11-14,,,,0.55,1.46
2003-11-17,,,,0.65,1.53
2003-11-18,,,,0.63,1.18
2003-11-19,,,,0.77,1.13
2003-11-20,,,,0.65,1.1
2003-11-21,,,,0.66,1.4
2003-11-24,,,,0.51,1.38
2003-11-25,,,,0.48,1.17
2003-11-26,,,,0.54,1.7
2003-11-28,,,,0.55,1.28
2003-12-01,,,,0.54,1.33
2003-12-02,,,,0.52,1.56
2003-12-03,,,,0.74,1.4
2003-12-04,,,,0.57,1.62
2003-12-05,,,,0.68,1.74
2003-12-08,,,,0.71,1.91
2003-12-09,,,,0.56,1.38
2003-12-10,,,,0.69,1.46
2003-12-11,,,,0.5,1.23
2003-12-12,,,,0.5,1.49
2003-12-15,,,,0.54,1.11
2003-12-16,,,,0.5,1.35
2003-12-17,,,,0.49,1.37
2003-12-18,,,,0.51,0.87
2003-12-19,,,,0.61,1.57
2003-12-22,,,,0.61,3.28
2003-12-23,,,,0.58,1.68
2003-12-24,,,,0.5,3.12
2003-12-26,,,,0.38,2.91
2003-12-29,,,,0.38,1.09
2003-12-30,,,,0.37,1.82
2003-12-31,,,,0.95,2.96
2004-01-02,,,,0.53,1.94
2004-01-05,,,,0.53,1.44
2004-01-06,,,,0.4,1.68
2004-01-07,,,,0.51,1.67
2004-01-08,,,,0.52,1.33
2004-01-09,,,,0.45,1.75
2004-01-12,,,,0.61,1.66
2004-01-13,,,,0.48,1.07
2004-01-14,,,,0.52,1.14
2004-01-15,,,,0.46,1.06
2004-01-16,,,,0.35,1.95
2004-01-20,,,,0.52,1.22
2004-01-21,,,,0.47,2.07
2004-01-22,,,,0.74,2.24
2004-01-23,,,,0.6,2.17
2004-01-26,,,,0.47,1.22
2004-01-27,,,,0.64,2.26
2004-01-28,,,,0.66,1.9
2004-01-29,,,,0.64,1.82
2004-01-30,,,,0.71,1.3
2004-02-02,,,,0.61,1.52
2004-02-03,,,,0.58,1.72
2004-02-04,,,,0.64,2.03
2004-02-05,,,,0.66,1.36
2004-02-06,,,,0.46,1.72
2004-02-09,,,,0.59,1.57
2004-02-10,,,,0.62,1.28
2004-02-11,,,,0.56,1.19
2004-02-12,,,,0.43,1.61
2004-02-13,,,,0.59,1.58
2004-02-17,,,,0.81,1.21
2004-02-18,,,,0.64,1.34
2004-02-19,,,,0.59,1.14
2004-02-20,,,,0.66,2.02
2004-02-23,,,,0.47,1.6
2004-02-24,,,,0.65,1.49
2004-02-25,,,,0.62,1.95
2004-02-26,,,,0.52,1.34
2004-02-27,,,,0.59,1.4
2004-03-01,,,,0.55,1.26
2004-03-02,,,,0.51,1.86
2004-03-03,,,,0.6,1.24
2004-03-04,,,,0.6,1.22
2004-03-05,,,,0.61,1.5
2004-03-08,,,,0.66,1.66
2004-03-09,,,,0.86,1.33
2004-03-10,,,,0.72,1.42
2004-03-11,,,,0.96,1.92
2004-03-12,,,,0.82,1.7
2004-03-15,,,,0.85,1.6
2004-03-16,,,,0.93,1.35
2004-03-17,,,,0.67,1.16
2004-03-18,,,,0.65,1.14
2004-03-19,,,,0.89,1.6
2004-03-22,,,,0.74,1.68
2004-03-23,,,,0.57,1.06
2004-03-24,,,,0.73,1.42
2004-03-25,,,,0.6,1.19
2004-03-26,,,,0.62,1.46
2004-03-29,,,,0.47,1.45
2004-03-30,,,,0.46,1.45
2004-03-31,,,,1.1,2.27
2004-04-01,,,,0.47,1.11
2004-04-02,,,,0.53,1.62
2004-04-05,,,,0.49,1.54
2004-04-06,,,,0.69,1.57
2004-04-07,,,,0.54,1.52
2004-04-08,,,,0.59,1.42
2004-04-12,,,,0.57,1.81
2004-04-13,,,,0.77,1.39
2004-04-14,,,,0.6,1.42
2004-04-15,,,,0.67,1.37
2004-04-16,,,,0.61,1.69
2004-04-19,,,,0.56,1.23
2004-04-20,,,,0.69,1.46
2004-04-21,,,,0.54,1.37
2004-04-22,,,,0.54,1.06
2004-04-23,,,,0.63,1.16
2004-04-26,,,,0.54,1.6
2004-04-27,,,,0.57,1.8
2004-04-28,,,,0.65,2.33
2004-04-29,,,,0.77,2.13
2004-04-30,,,,0.95,1.44
2004-05-03,,,,0.64,1.71
2004-05-04,,,,0.5,1.53
2004-05-05,,,,0.66,1.96
2004-05-06,,,,0.97,2.07
2004-05-07,,,,0.79,1.77
2004-05-10,,,,0.87,2.41
2004-05-11,,,,0.92,1.68
2004-05-12,,,,0.94,1.53
2004-05-13,,,,0.77,1.89
2004-05-14,,,,0.82,1.44
2004-05-17,,,,0.96,1.87
2004-05-18,,,,0.75,1.88
2004-05-19,,,,0.56,1.49
2004-05-20,,,,1.02,1.61
2004-05-21,,,,0.81,2.12
2004-05-24,,,,0.62,1.39
2004-05-25,,,,0.69,1.67
2004-05-26,,,,0.73,2.45
2004-05-27,,,,0.63,2.12
2004-05-28,,,,0.7,2.83
2004-06-01,,,,0.73,2.08
2004-06-02,,,,0.64,1.97
2004-06-03,,,,1.01,1.59
2004-06-04,,,,0.83,1.58
2004-06-07,,,,0.63,1.35
2004-06-08,,,,0.66,1.44
2004-06-09,,,,0.73,1.69
2004-06-10,,,,1.01,1.58
2004-06-14,,,,1.19,1.59
2004-06-15,,,,0.63,1.19
2004-06-16,,,,0.53,1.03
2004-06-17,,,,0.63,1.23
2004-06-18,,,,0.6,1.78
2004-06-21,,,,0.63,1.78
2004-06-22,,,,0.69,1.37
2004-06-23,,,,0.57,2.19
2004-06-24,,,,0.49,1.42
2004-06-25,,,,0.57,1.24
2004-06-28,,,,0.51,1.4
2004-06-29,,,,0.77,1.42
2004-06-30,,,,0.73,0.96
2004-07-01,,,,0.74,1.61
2004-07-02,,,,0.71,1.27
2004-07-06,,,,1.0,1.33
2004-07-07,,,,0.91,1.34
2004-07-08,,,,0.82,1.26
2004-07-09,,,,0.67,0.98
2004-07-12,,,,0.91,1.96
2004-07-13,,,,0.63,1.48
2004-07-14,,,,0.76,1.47
2004-07-15,,,,0.62,1.48
2004-07-16,,,,0.93,1.92
2004-07-19,,,,0.58,1.22
2004-07-20,,,,0.57,1.05
2004-07-21,,,,0.6,1.64
2004-07-22,,,,0.71,1.5
2004-07-23,,,,0.63,1.75
2004-07-26,,,,0.71,1.24
2004-07-27,,,,0.55,1.38
2004-07-28,,,,0.55,1.37
2004-07-29,,,,0.56,1.04
2004-07-30,,,,0.53,1.21
2004-08-02,,,,0.66,1.32
2004-08-03,,,,0.54,1.55
2004-08-04,,,,0.72,1.59
2004-08-05,,,,0.7,1.37
2004-08-06,,,,1.28,1.65
2004-08-09,,,,0.87,1.08
2004-08-10,,,,0.89,1.33
2004-08-11,,,,0.69,1.47
2004-08-12,,,,0.98,1.32
2004-08-13,,,,0.75,1.73
2004-08-16,,,,0.67,1.36
2004-08-17,,,,0.69,1.77
2004-08-18,,,,0.82,1.31
2004-08-19,,,,0.73,1.24
2004-08-20,,,,0.72,1.64
2004-08-23,,,,0.72,1.13
2004-08-24,,,,0.59,1.64
2004-08-25,,,,0.6,1.46
2004-08-26,,,,0.7,1.35
2004-08-27,,,,0.73,1.51
2004-08-30,,,,0.69,1.49
2004-08-31,,,,0.59,1.01
2004-09-01,,,,0.77,2.2
2004-09-02,,,,0.72,1.51
2004-09-03,,,,0.79,1.64
2004-09-07,,,,0.7,1.25
2004-09-08,,,,0.81,2.29
2004-09-09,,,,0.72,1.58
2004-09-10,,,,0.61,2.24
2004-09-13,,,,0.56,1.04
2004-09-14,,,,0.67,1.62
2004-09-15,,,,0.64,1.97
2004-09-16,,,,0.61,1.11
2004-09-17,,,,0.66,1.63
2004-09-20,,,,0.58,2.43
2004-09-21,,,,0.72,0.91
2004-09-22,,,,0.95,1.66
2004-09-23,,,,0.81,1.32
2004-09-24,,,,0.82,1.39
2004-09-27,,,,0.79,1.81
2004-09-28,,,,0.85,1.11
2004-09-29,,,,0.65,2.32
2004-09-30,,,,0.73,1.64
2004-10-01,,,,0.77,1.64
2004-10-04,,,,0.67,1.83
2004-10-05,,,,0.67,1.95
2004-10-06,,,,0.66,1.47
2004-10-07,,,,0.75,1.26
2004-10-08,,,,0.82,1.6
2004-10-11,,,,0.62,1.58
2004-10-12,,,,0.9,1.28
2004-10-13,,,,0.8,1.62
2004-10-14,,,,0.85,1.58
2004-10-15,,,,0.76,1.24
2004-10-18,,,,0.71,1.05
2004-10-19,,,,0.87,1.39
2004-10-20,,,,0.83,0.94
2004-10-21,,,,0.76,1.35
2004-10-22,,,,0.67,0.99
2004-10-25,,,,0.66,1.16
2004-10-26,,,,0.58,1.18
2004-10-27,,,,0.59,1.19
2004-10-28,,,,0.55,1.16
2004-10-29,,,,0.6,1.32
2004-11-01,,,,0.76,1.54
2004-11-02,,,,0.55,1.76
2004-11-03,,,,0.68,1.42
2004-11-04,,,,0.64,1.42
2004-11-05,,,,0.51,1.32
2004-11-08,,,,0.49,1.46
2004-11-09,,,,0.53,1.6
2004-11-10,,,,0.57,1.34
2004-11-11,,,,0.56,1.41
2004-11-12,,,,0.64,1.15
2004-11-15,,,,0.4,1.21
2004-11-16,,,,0.59,1.16
2004-11-17,,,,0.51,1.02
2004-11-18,,,,0.5,1.08
2004-11-19,,,,0.52,2.53
2004-11-22,,,,0.53,1.88
2004-11-23,,,,0.66,1.55
2004-11-24,,,,0.49,1.41
2004-11-26,,,,0.58,1.76
2004-11-29,,,,0.53,1.84
2004-11-30,,,,0.69,1.68
2004-12-01,,,,0.53,1.61
2004-12-02,,,,0.69,1.62
2004-12-03,,,,0.54,1.6
2004-12-06,,,,0.6,1.44
2004-12-07,,,,0.59,1.49
2004-12-08,,,,0.67,1.8
2004-12-09,,,,0.76,1.0
2004-12-10,,,,0.47,1.34
2004-12-13,,,,0.47,1.52
2004-12-14,,,,0.61,1.28
2004-12-15,,,,0.42,1.47
2004-12-16,,,,0.44,1.52
2004-12-17,,,,0.54,2.1
2004-12-20,,,,0.62,1.76
2004-12-21,,,,0.51,2.05
2004-12-22,,,,0.65,2.13
2004-12-23,,,,0.57,2.19
2004-12-27,,,,0.67,1.49
2004-12-28,,,,0.48,1.8
2004-12-29,,,,0.59,3.51
2004-12-30,,,,0.6,1.85
2004-12-31,,,,0.45,1.68
2005-01-03,,,,0.58,1.87
2005-01-04,,,,0.6,1.35
2005-01-05,,,,0.73,1.75
2005-01-06,,,,0.67,1.44
2005-01-07,,,,0.78,1.6
2005-01-10,,,,0.65,1.42
2005-01-11,,,,0.65,1.78
2005-01-12,,,,0.67,1.72
2005-01-13,,,,0.68,1.74
2005-01-14,,,,0.58,1.19
2005-01-18,,,,0.67,1.28
2005-01-19,,,,0.75,1.24
2005-01-20,,,,0.76,1.48
2005-01-21,,,,0.64,1.91
2005-01-24,,,,0.64,1.18
2005-01-25,,,,0.63,1.5
2005-01-26,,,,0.57,2.02
2005-01-27,,,,0.53,1.84
2005-01-28,,,,0.61,1.19
2005-01-31,,,,0.56,1.46
2005-02-01,,,,0.52,1.9
2005-02-02,,,,0.5,1.51
2005-02-03,,,,0.64,1.41
2005-02-04,,,,0.49,1.65
2005-02-07,,,,0.45,1.92
2005-02-08,,,,0.57,1.76
2005-02-09,,,,0.7,1.7
2005-02-10,,,,0.75,1.87
2005-02-11,,,,0.66,1.44
2005-02-14,,,,0.67,1.73
2005-02-15,,,,0.54,1.4
2005-02-16,,,,0.51,1.09
2005-02-17,,,,0.62,1.47
2005-02-18,,,,0.59,1.76
2005-02-22,,,,0.53,1.46
2005-02-23,,,,0.56,1.96
2005-02-24,,,,0.78,1.95
2005-02-25,,,,0.63,1.32
2005-02-28,,,,0.55,1.36
2005-03-01,,,,0.68,1.79
2005-03-02,,,,0.62,1.39
2005-03-03,,,,0.66,1.39
2005-03-04,,,,0.61,1.31
2005-03-07,,,,0.57,1.38
2005-03-08,,,,0.68,1.62
2005-03-09,,,,0.7,1.9
2005-03-10,,,,0.66,2.18
2005-03-11,,,,0.62,1.97
2005-03-14,,,,0.66,2.0
2005-03-15,,,,0.57,1.41
2005-03-16,,,,0.83,1.41
2005-03-17,,,,0.69,1.97
2005-03-18,,,,0.72,2.95
2005-03-21,,,,0.62,1.25
2005-03-22,,,,0.82,1.62
2005-03-23,,,,0.52,1.62
2005-03-24,,,,0.5,2.04
2005-03-28,,,,0.51,1.43
2005-03-29,,,,0.68,1.49
2005-03-30,,,,0.57,1.4
2005-03-31,,,,0.58,1.11
2005-04-01,,,,0.81,1.61
2005-04-04,,,,0.69,1.53
2005-04-05,,,,0.6,1.48
2005-04-06,,,,0.81,1.38
2005-04-07,,,,0.54,1.06
2005-04-08,,,,0.55,1.82
2005-04-11,,,,0.71,2.01
2005-04-12,,,,0.68,2.04
2005-04-13,,,,0.73,1.53
2005-04-14,,,,0.7,1.73
2005-04-15,,,,1.0,2.17
2005-04-18,,,,0.69,1.58
2005-04-19,,,,0.59,2.09
2005-04-20,,,,0.63,1.87
2005-04-21,,,,0.58,1.28
2005-04-22,,,,0.67,1.9
2005-04-25,,,,0.65,1.21
2005-04-26,,,,0.71,0.94
2005-04-27,,,,0.77,1.79
2005-04-28,,,,0.76,1.98
2005-04-29,,,,0.74,1.65
2005-05-02,,,,0.67,1.78
2005-05-03,,,,0.62,1.71
2005-05-04,,,,0.84,1.32
2005-05-05,,,,0.74,2.14
2005-05-06,,,,0.8,1.67
2005-05-09,,,,0.63,1.4
2005-05-10,,,,0.53,1.72
2005-05-11,,,,0.7,1.8
2005-05-12,,,,0.74,1.81
2005-05-13,,,,0.72,1.58
2005-05-16,,,,0.55,1.3
2005-05-17,,,,0.69,1.67
2005-05-18,,,,0.52,1.2
2005-05-19,,,,0.53,1.11
2005-05-20,,,,0.46,2.23
2005-05-23,,,,0.51,1.8
2005-05-24,,,,0.56,1.32
2005-05-25,,,,0.68,2.14
2005-05-26,,,,0.47,1.41
2005-05-27,,,,0.57,1.61
2005-05-31,,,,0.72,1.88
2005-06-01,,,,0.56,0.89
2005-06-02,,,,0.62,1.78
2005-06-03,,,,0.61,1.9
2005-06-06,,,,0.51,1.93
2005-06-07,,,,0.56,1.42
2005-06-08,,,,0.64,1.77
2005-06-09,,,,0.48,1.99
2005-06-10,,,,0.47,1.55
2005-06-13,,,,0.61,1.45
2005-06-14,,,,0.56,1.42
2005-06-15,,,,0.56,1.46
2005-06-16,,,,0.73,0.86
2005-06-17,,,,0.53,1.93
2005-06-20,,,,0.58,2.33
2005-06-21,,,,0.61,2.75
2005-06-22,,,,0.52,1.7
2005-06-23,,,,0.47,1.83
2005-06-24,,,,0.57,1.5
2005-06-27,,,,0.63,1.83
2005-06-28,,,,0.58,1.29
2005-06-29,,,,0.61,1.39
2005-06-30,,,,0.51,1.23
2005-07-01,,,,0.55,2.1
2005-07-05,,,,0.49,1.16
2005-07-06,,,,0.52,2.5
2005-07-07,,,,0.58,1.92
2005-07-08,,,,0.42,1.58
2005-07-11,,,,0.5,1.54
2005-07-12,,,,0.46,1.53
2005-07-13,,,,0.55,1.25
2005-07-14,,,,0.43,1.27
2005-07-15,,,,0.54,1.19
2005-07-18,,,,0.55,2.89
2005-07-19,,,,0.54,1.48
2005-07-20,,,,0.51,1.96
2005-07-21,,,,0.54,2.3
2005-07-22,,,,0.56,1.97
2005-07-25,,,,0.6,1.98
2005-07-26,,,,0.59,1.95
2005-07-27,,,,0.59,1.54
2005-07-28,,,,0.56,1.53
2005-07-29,,,,0.66,1.65
2005-08-01,,,,0.61,2.13
2005-08-02,,,,0.7,1.97
2005-08-03,,,,0.56,2.1
2005-08-04,,,,0.64,2.37
2005-08-05,,,,0.55,2.77
2005-08-08,,,,0.6,1.65
2005-08-09,,,,0.63,1.82
2005-08-10,,,,0.6,1.41
2005-08-11,,,,0.59,2.02
2005-08-12,,,,0.63,2.8
2005-08-15,,,,0.57,0.83
2005-08-16,,,,0.68,1.83
2005-08-17,,,,0.54,2.09
2005-08-18,,,,0.62,1.77
2005-08-19,,,,0.58,1.7
2005-08-22,,,,0.57,1.5
2005-08-23,,,,0.61,2.39
2005-08-24,,,,0.71,1.46
2005-08-25,,,,0.56,1.98
2005-08-26,,,,0.81,1.99
2005-08-29,,,,0.55,2.04
2005-08-30,,,,0.64,2.09
2005-08-31,,,,0.57,1.58
2005-09-01,,,,0.58,1.77
2005-09-02,,,,0.61,3.01
2005-09-06,,,,0.68,1.53
2005-09-07,,,,0.55,1.75
2005-09-08,,,,0.62,1.76
2005-09-09,,,,0.51,1.6
2005-09-12,,,,0.59,1.41
2005-09-13,,,,0.66,1.55
2005-09-14,,,,0.67,1.37
2005-09-15,,,,0.64,1.05
2005-09-16,,,,0.52,1.3
2005-09-19,,,,0.5,2.54
2005-09-20,,,,0.68,2.12
2005-09-21,,,,0.71,2.42
2005-09-22,,,,0.57,3.89
2005-09-23,,,,0.63,1.87
2005-09-26,,,,0.56,3.28
2005-09-27,,,,0.6,1.7
2005-09-28,,,,0.55,1.24
2005-09-29,,,,0.56,1.4
2005-09-30,,,,0.53,1.73
2005-10-03,,,,0.64,1.93
2005-10-04,,,,0.62,1.61
2005-10-05,,,,0.7,1.57
2005-10-06,,,,0.61,1.84
2005-10-07,,,,0.61,1.68
2005-10-10,,,,0.8,1.8
2005-10-11,,,,0.64,2.55
2005-10-12,,,,0.76,2.47
2005-10-13,,,,0.89,2.26
2005-10-14,,,,0.7,1.65
2005-10-17,,,,0.64,1.48
2005-10-18,,,,0.67,1.62
2005-10-19,,,,0.77,1.64
2005-10-20,,,,0.75,1.52
2005-10-21,,,,0.66,1.65
2005-10-24,,,,0.5,1.11
2005-10-25,,,,0.59,1.73
2005-10-26,,,,0.61,2.01
2005-10-27,,,,0.66,2.54
2005-10-28,,,,0.68,1.2
2005-10-31,,,,0.52,1.69
2005-11-01,,,,0.72,1.76
2005-11-02,,,,0.49,1.26
2005-11-03,,,,0.5,2.04
2005-11-04,,,,0.51,2.05
2005-11-07,,,,0.69,1.26
2005-11-08,,,,0.64,0.91
2005-11-09,,,,0.59,1.3
2005-11-10,,,,0.62,1.1
2005-11-11,,,,0.49,1.13
2005-11-14,,,,0.59,1.59
2005-11-15,,,,0.74,1.08
2005-11-16,,,,0.58,1.18
2005-11-17,,,,0.6,0.85
2005-11-18,,,,0.46,0.86
2005-11-21,,,,0.58,1.19
2005-11-22,,,,0.49,2.16
2005-11-23,,,,0.55,1.21
2005-11-25,,,,0.61,1.59
2005-11-28,,,,0.6,2.05
2005-11-29,,,,0.62,2.37
2005-11-30,,,,0.59,1.56
2005-12-01,,,,0.55,1.57
2005-12-02,,,,0.58,1.65
2005-12-05,,,,0.61,1.72
2005-12-06,,,,0.64,1.06
2005-12-07,,,,0.58,1.13
2005-12-08,,,,0.64,1.99
2005-12-09,,,,0.58,1.37
2005-12-12,,,,0.63,0.85
2005-12-13,,,,0.52,0.83
2005-12-14,,,,0.57,0.85
2005-12-15,,,,0.42,0.41
2005-12-16,,,,0.54,1.27
2005-12-19,,,,0.55,1.85
2005-12-20,,,,0.77,2.37
2005-12-21,,,,0.7,0.72
2005-12-22,,,,0.56,1.68
2005-12-23,,,,0.51,1.39
2005-12-27,,,,0.76,1.8
2005-12-28,,,,0.56,1.88
2005-12-29,,,,0.61,1.87
2005-12-30,,,,0.5,1.39
2006-01-03,,,,0.54,1.31
2006-01-04,,,,0.49,1.36
2006-01-05,,,,0.45,1.27
2006-01-06,,,,0.58,0.87
2006-01-09,,,,0.47,1.31
2006-01-10,,,,0.55,1.22
2006-01-11,,,,0.53,0.89
2006-01-12,,,,0.55,1.44
2006-01-13,,,,0.59,1.64
2006-01-17,,,,0.52,1.6
2006-01-18,,,,0.66,1.56
2006-01-19,,,,0.53,1.64
2006-01-20,,,,0.69,1.91
2006-01-23,,,,0.58,1.62
2006-01-24,,,,0.37,1.68
2006-01-25,,,,0.62,1.74
2006-01-26,,,,0.55,1.27
2006-01-27,,,,0.59,1.45
2006-01-30,,,,0.47,2.44
2006-01-31,,,,0.51,2.24
2006-02-01,,,,0.6,2.67
2006-02-02,,,,0.68,2.16
2006-02-03,,,,0.7,2.5
2006-02-06,,,,0.7,1.56
2006-02-07,,,,0.67,1.69
2006-02-08,,,,0.6,1.39
2006-02-09,,,,0.5,1.53
2006-02-10,,,,0.57,0.86
2006-02-13,,,,0.67,2.05
2006-02-14,,,,0.65,1.36
2006-02-15,,,,0.58,0.92
2006-02-16,,,,0.58,0.89
2006-02-17,,,,0.51,1.36
2006-02-21,,,,0.53,2.04
2006-02-22,,,,0.51,1.3
2006-02-23,,,,0.56,1.69
2006-02-24,,,,0.64,2.07
2006-02-27,,,,0.57,1.1
2006-02-28,,,,0.57,1.83
2006-03-01,,,,0.58,1.16
2006-03-02,,,,0.64,2.35
2006-03-03,,,,0.66,1.41
2006-03-06,,,,0.67,1.93
2006-03-07,,,,0.74,1.63
2006-03-08,,,,0.63,2.16
2006-03-09,,,,0.74,1.83
2006-03-10,,,,0.53,2.02
2006-03-13,,,,0.66,1.48
2006-03-14,,,,0.55,1.29
2006-03-15,,,,0.61,0.95
2006-03-16,,,,0.57,0.24
2006-03-17,,,,0.61,1.05
2006-03-20,,,,0.53,2.28
2006-03-21,,,,0.63,2.04
2006-03-22,,,,0.63,2.21
2006-03-23,,,,0.76,1.38
2006-03-24,,,,0.63,1.55
2006-03-27,,,,0.58,2.04
2006-03-28,,,,0.64,2.34
2006-03-29,,,,0.64,1.22
2006-03-30,,,,0.47,2.38
2006-03-31,,,,0.61,1.68
2006-04-03,,,,0.45,1.48
2006-04-04,,,,0.54,1.97
2006-04-05,,,,0.64,1.75
2006-04-06,,,,0.59,1.43
2006-04-07,,,,0.58,1.83
2006-04-10,,,,0.65,1.39
2006-04-11,,,,0.66,1.81
2006-04-12,,,,0.58,1.6
2006-04-13,,,,0.6,1.45
2006-04-17,,,,0.56,1.65
2006-04-18,,,,0.51,1.14
2006-04-19,,,,0.46,1.53
2006-04-20,,,,0.54,1.52
2006-04-21,,,,0.6,1.65
2006-04-24,,,,0.57,1.84
2006-04-25,,,,0.59,2.2
2006-04-26,,,,0.79,2.35
2006-04-27,,,,0.55,1.23
2006-04-28,,,,0.62,1.69
2006-05-01,,,,0.56,1.92
2006-05-02,,,,0.62,1.92
2006-05-03,,,,0.64,1.95
2006-05-04,,,,0.51,1.13
2006-05-05,,,,0.48,1.72
2006-05-08,,,,0.63,2.01
2006-05-09,,,,0.66,1.5
2006-05-10,,,,0.62,1.34
2006-05-11,,,,0.64,1.47
2006-05-12,,,,0.72,2.1
2006-05-15,,,,0.65,2.42
2006-05-16,,,,0.63,2.04
2006-05-17,,,,0.8,2.44
2006-05-18,,,,0.75,1.81
2006-05-19,,,,0.75,1.95
2006-05-22,,,,0.64,2.39
2006-05-23,,,,0.62,2.42
2006-05-24,,,,0.7,3.04
2006-05-25,,,,0.51,1.82
2006-05-26,,,,0.47,1.28
2006-05-30,,,,0.67,2.54
2006-05-31,,,,0.62,1.6
2006-06-01,,,,0.76,1.84
2006-06-02,,,,0.87,2.08
2006-06-05,,,,0.64,1.71
2006-06-06,,,,0.74,1.34
2006-06-07,,,,0.63,2.3
2006-06-08,,,,0.79,2.05
2006-06-09,,,,0.63,1.62
2006-06-12,,,,0.56,1.57
2006-06-13,,,,0.78,1.99
2006-06-14,,,,0.76,1.38
2006-06-15,,,,0.54,1.18
2006-06-16,,,,0.68,2.35
2006-06-19,,,,0.59,1.94
2006-06-20,,,,0.74,1.26
2006-06-21,,,,0.55,1.54
