date,total_pc,index_pc,etp_pc,equity_pc,call_volume,put_volume
2019-10-07,1.05,1.05,1.89,0.7,1456874.0,1534921.0
2019-10-08,1.01,1.12,1.39,0.65,2024459.0,2042975.0
2019-10-09,1.03,1.35,1.23,0.59,1485876.0,1528717.0
2019-10-10,0.99,1.44,1.14,0.58,1793569.0,1784523.0
2019-10-11,0.94,1.44,0.83,0.56,3146912.0,2954207.0
2019-10-14,1.15,1.51,1.44,0.61,1719061.0,1982125.0
2019-10-15,1.01,1.6,0.98,0.55,2404579.0,2430997.0
2019-10-16,0.92,1.29,0.74,0.63,2197093.0,2010830.0
2019-10-17,0.91,1.16,1.2,0.6,2212160.0,2010796.0
2019-10-18,1.14,1.33,2.13,0.69,2393394.0,2726507.0
2019-10-21,0.94,1.41,1.16,0.61,1874419.0,1752638.0
2019-10-22,0.95,1.49,1.39,0.61,1830373.0,1745667.0
2019-10-23,0.87,1.12,0.94,0.69,1855272.0,1605345.0
2019-10-24,0.78,0.99,0.75,0.68,2079538.0,1614734.0
2019-10-25,0.82,1.04,1.1,0.56,2459422.0,2027933.0
2019-10-28,0.79,1.14,0.65,0.51,2120174.0,1672719.0
2019-10-29,0.85,1.26,1.01,0.55,2116830.0,1789135.0
2019-10-30,0.97,1.26,1.37,0.6,2360840.0,2292241.0
2019-10-31,1.16,1.26,2.16,0.71,2506758.0,2904060.0
2019-11-01,0.74,1.01,0.76,0.53,2907311.0,2144200.0
2019-11-04,0.65,0.75,0.72,0.54,3367065.0,2183769.0
2019-11-05,0.85,1.05,1.37,0.58,2293813.0,1960547.0
2019-11-06,0.93,1.36,1.15,0.63,2111640.0,1968039.0
2019-11-07,0.66,0.82,0.71,0.54,2964545.0,1957857.0
2019-11-08,0.94,1.36,1.4,0.59,2209608.0,2071254.0
2019-11-11,0.91,1.34,1.04,0.61,1872489.0,1697766.0
2019-11-12,0.88,1.15,1.26,0.59,2239910.0,1973569.0
2019-11-13,1.0,1.45,1.68,0.58,2108495.0,2109083.0
2019-11-14,0.92,1.19,2.16,0.47,2378203.0,2198900.0
2019-11-15,0.84,1.16,1.32,0.49,3173529.0,2664666.0
2019-11-18,0.84,1.14,1.2,0.55,2474914.0,2069328.0
2019-11-19,1.08,1.86,1.32,0.58,2073734.0,2231330.0
2019-11-20,1.0,1.27,1.39,0.64,2472733.0,2472522.0
2019-11-21,1.21,2.16,1.97,0.59,1717349.0,2081338.0
2019-11-22,0.96,1.71,1.02,0.58,2006140.0,1917112.0
2019-11-25,0.94,1.19,1.24,0.63,2168997.0,2043711.0
2019-11-26,1.05,1.05,2.37,0.57,1943828.0,2031752.0
2019-11-27,0.94,1.03,1.83,0.58,2148686.0,2027870.0
2019-11-28,,,,,,
2019-11-29,0.96,1.3,1.15,0.59,1227956.0,1182411.0
2019-12-02,0.99,1.34,0.92,0.66,2451302.0,2416259.0
2019-12-03,1.13,1.41,1.58,0.7,2224134.0,2502157.0
2019-12-04,0.98,1.45,1.26,0.54,1811749.0,1767740.0
2019-12-05,1.08,1.62,1.63,0.65,1395287.0,1513342.0
2019-12-06,0.88,1.23,1.14,0.53,2512997.0,2208461.0
2019-12-09,1.02,1.54,1.06,0.64,1889868.0,1933135.0
2019-12-10,0.98,1.3,0.83,0.76,1794181.0,1754761.0
2019-12-11,0.98,1.45,1.33,0.52,2152740.0,2101299.0
2019-12-12,0.72,1.11,0.72,0.45,3312635.0,2370809.0
2019-12-13,1.1,1.79,0.89,0.55,2980348.0,3274905.0
2019-12-16,0.87,1.09,0.91,0.61,3331330.0,2889222.0
2019-12-17,0.63,0.7,0.71,0.53,2736829.0,1736425.0
2019-12-18,1.06,1.21,2.56,0.49,2346720.0,2492299.0
2019-12-19,0.78,1.14,0.95,0.54,2830902.0,2217432.0
2019-12-20,0.79,1.1,1.33,0.46,3294760.0,2607601.0
2019-12-23,0.8,1.2,0.98,0.54,2119968.0,1688761.0
2019-12-24,0.8,1.88,0.71,0.52,999960.0,801458.0
2019-12-25,,,,,,
2019-12-26,0.79,1.67,1.1,0.43,1806265.0,1422695.0
2019-12-27,0.87,1.29,0.91,0.6,2304017.0,1998438.0
2019-12-30,0.9,1.25,0.94,0.59,2072906.0,1865914.0
2019-12-31,0.96,1.22,1.22,0.56,1920266.0,1835081.0
2020-01-01,,,,,,
2020-01-02,0.83,1.3,0.99,0.54,2489657.0,2076903.0
2020-01-03,0.85,1.36,0.75,0.55,2724124.0,2320609.0
2020-01-06,0.83,1.28,0.78,0.54,2322154.0,1920922.0
2020-01-07,0.83,1.21,1.66,0.44,2253162.0,1874087.0
2020-01-08,0.76,1.01,1.06,0.47,3062921.0,2332557.0
2020-01-09,0.66,0.85,0.71,0.49,3193445.0,2099569.0
2020-01-10,0.86,1.39,0.92,0.52,2999755.0,2593642.0
2020-01-13,0.76,1.11,1.09,0.47,2909182.0,2214071.0
2020-01-14,0.76,1.2,1.0,0.47,2694541.0,2049092.0
2020-01-15,0.75,1.11,0.95,0.44,2940400.0,2191944.0
2020-01-16,0.71,0.84,0.99,0.47,3362348.0,2403188.0
2020-01-17,0.66,0.78,0.93,0.48,4126341.0,2725376.0
2020-01-20,,,,,,
2020-01-21,0.83,1.18,0.91,0.59,2747608.0,2276073.0
2020-01-22,0.82,1.14,1.11,0.52,2977011.0,2439964.0
2020-01-23,0.76,1.09,0.86,0.54,2651871.0,2027665.0
2020-01-24,1.1,1.59,1.29,0.7,3323862.0,3667082.0
2020-01-27,1.01,1.3,1.19,0.64,2952841.0,2972306.0
2020-01-28,0.8,1.03,1.05,0.55,2456128.0,1957067.0
2020-01-29,0.83,1.44,1.26,0.5,2599868.0,2167168.0
2020-01-30,0.86,1.22,0.99,0.61,2562472.0,2206570.0
2020-01-31,1.07,1.15,1.46,0.74,3770271.0,4025707.0
2020-02-03,0.72,1.15,0.62,0.5,2913627.0,2098863.0
2020-02-04,0.82,1.35,1.15,0.46,2907506.0,2392886.0
2020-02-05,0.94,1.23,1.77,0.51,3008422.0,2829725.0
2020-02-06,0.71,0.93,1.07,0.47,3017865.0,2138322.0
2020-02-07,0.95,1.34,1.6,0.56,2737318.0,2604429.0
2020-02-10,0.84,1.36,1.25,0.46,2504831.0,2094032.0
2020-02-11,0.72,0.93,0.95,0.45,3217512.0,2322892.0
2020-02-12,0.7,1.02,0.74,0.48,3236890.0,2272198.0
2020-02-13,0.8,1.15,0.95,0.55,2645172.0,2116312.0
2020-02-14,0.83,1.1,1.14,0.58,2808718.0,2333789.0
2020-02-17,,,,,,
2020-02-18,0.78,1.06,0.84,0.51,3334848.0,2604381.0
2020-02-19,0.81,1.35,0.92,0.45,3025910.0,2456517.0
2020-02-20,0.84,1.22,1.11,0.51,3276778.0,2762421.0
2020-02-21,1.15,1.6,1.45,0.73,3117703.0,3582465.0
2020-02-24,1.09,1.18,1.47,0.7,4420289.0,4830164.0
