date,retail_food_services,retail_ex_autos
1992-01-01,159177,126498
1992-02-01,159189,126383
1992-03-01,158647,126194
1992-04-01,159921,126970
1992-05-01,160471,127274
1992-06-01,161205,127293
1992-07-01,162855,128256
1992-08-01,162412,129253
1992-09-01,164361,129319
1992-10-01,166063,130889
1992-11-01,166124,131160
1992-12-01,167691,132128
1993-01-01,169500,133412
1993-02-01,168840,133092
1993-03-01,167682,132443
1993-04-01,172102,134384
1993-05-01,172960,135168
1993-06-01,173018,135093
1993-07-01,175822,136477
1993-08-01,175233,135944
1993-09-01,176608,137233
1993-10-01,177588,137934
1993-11-01,179758,138617
1993-12-01,181077,139138
1994-01-01,179615,138384
1994-02-01,183101,140389
1994-03-01,186721,142940
1994-04-01,186423,142587
1994-05-01,185616,142378
1994-06-01,187800,144275
1994-07-01,188062,145012
1994-08-01,190771,146595
1994-09-01,192585,147260
1994-10-01,193914,148228
1994-11-01,194425,148131
1994-12-01,194939,149169
1995-01-01,195908,149915
1995-02-01,193068,148251
1995-03-01,195179,149356
1995-04-01,195310,149678
1995-05-01,198060,150931
1995-06-01,200383,151677
1995-07-01,199110,151778
1995-08-01,201078,152226
1995-09-01,201337,153644
1995-10-01,200597,152316
1995-11-01,203545,154548
1995-12-01,204032,155527
1996-01-01,203793,154263
1996-02-01,206875,155584
1996-03-01,207650,157137
1996-04-01,209294,158564
1996-05-01,211157,159585
1996-06-01,209474,159391
1996-07-01,210827,159617
1996-08-01,210846,160665
1996-09-01,213233,161368
1996-10-01,215526,162922
1996-11-01,215167,163871
1996-12-01,215690,164077
1997-01-01,218124,165069
1997-02-01,219587,166268
1997-03-01,221189,168000
1997-04-01,217925,165632
1997-05-01,217771,166535
1997-06-01,220233,167373
1997-07-01,222985,168610
1997-08-01,223120,169306
1997-09-01,224509,170143
1997-10-01,224300,170457
1997-11-01,223718,170153
1997-12-01,225236,170490
1998-01-01,225954,171713
1998-02-01,225746,172197
1998-03-01,226889,172008
1998-04-01,230409,173839
1998-05-01,230995,174527
1998-06-01,233207,174821
1998-07-01,231551,176263
1998-08-01,229792,176400
1998-09-01,232308,176388
1998-10-01,236174,178401
1998-11-01,237592,179263
1998-12-01,240140,180637
1999-01-01,240269,181548
1999-02-01,243346,183385
1999-03-01,244687,184025
1999-04-01,246628,185446
1999-05-01,248367,186516
1999-06-01,249329,186876
1999-07-01,251263,188256
1999-08-01,253844,189315
1999-09-01,255029,191225
1999-10-01,254816,192306
1999-11-01,258133,193342
1999-12-01,263311,198600
2000-01-01,261545,195603
2000-02-01,265686,197780
2000-03-01,269019,201690
2000-04-01,264067,200086
2000-05-01,265992,200582
2000-06-01,267750,202008
2000-07-01,265683,202232
2000-08-01,266885,202434
2000-09-01,270523,205788
2000-10-01,270339,205319
2000-11-01,268850,205905
2000-12-01,268338,206882
2001-01-01,272881,207847
2001-02-01,272627,207605
2001-03-01,269820,205633
2001-04-01,274410,208765
2001-05-01,275769,209255
2001-06-01,274474,209007
2001-07-01,273098,208248
2001-08-01,275659,210319
2001-09-01,268652,207049
2001-10-01,288632,209005
2001-11-01,280033,209495
2001-12-01,276302,210047
2002-01-01,277135,210592
2002-02-01,278869,211933
2002-03-01,278079,212922
2002-04-01,281147,214538
2002-05-01,278966,214712
2002-06-01,280426,214429
2002-07-01,284161,215007
2002-08-01,285884,215334
2002-09-01,281064,214949
2002-10-01,282940,216503
2002-11-01,283408,218069
2002-12-01,286646,218284
2003-01-01,288657,220353
2003-02-01,284696,219429
2003-03-01,288177,221858
2003-04-01,289053,220633
2003-05-01,289619,221437
2003-06-01,293671,223736
2003-07-01,296207,225986
2003-08-01,299592,229147
2003-09-01,298921,229152
2003-10-01,298205,229677
2003-11-01,299433,230537
2003-12-01,300702,231694
2004-01-01,301993,234649
2004-02-01,303915,234447
2004-03-01,309471,238680
2004-04-01,307358,238476
2004-05-01,311088,240314
2004-06-01,309127,240179
2004-07-01,311681,241785
2004-08-01,311192,241574
2004-09-01,317446,244150
2004-10-01,318476,247209
2004-11-01,320520,248720
2004-12-01,324672,250734
2005-01-01,321272,250896
2005-02-01,325308,253263
2005-03-01,326179,253552
2005-04-01,329124,257233
2005-05-01,327233,255512
2005-06-01,337219,258835
2005-07-01,339529,259399
2005-08-01,335605,263485
2005-09-01,336600,267324
2005-10-01,336753,270342
2005-11-01,339719,268072
2005-12-01,339895,268255
2006-01-01,349664,274469
2006-02-01,347021,274561
2006-03-01,348357,275211
2006-04-01,350072,276827
2006-05-01,348889,276464
2006-06-01,350795,276735
2006-07-01,351916,277199
2006-08-01,353285,279615
2006-09-01,351240,278325
2006-10-01,351035,276900
2006-11-01,352116,277479
2006-12-01,356367,282619
2007-01-01,355792,282001
2007-02-01,356545,282241
2007-03-01,359415,285660
2007-04-01,358562,283978
2007-05-01,363085,287491
2007-06-01,360234,287188
2007-07-01,361770,288091
2007-08-01,363676,288655
2007-09-01,365178,289574
2007-10-01,367322,291082
2007-11-01,370776,296595
2007-12-01,366569,294959
2008-01-01,367368,295112
2008-02-01,364126,293625
2008-03-01,365164,295087
2008-04-01,364816,296462
2008-05-01,368255,300834
2008-06-01,368926,303282
2008-07-01,367594,304291
2008-08-01,364611,301194
2008-09-01,358991,298040
2008-10-01,346137,290587
2008-11-01,332498,278953
2008-12-01,324767,272085
2009-01-01,329787,275518
2009-02-01,328376,275651
2009-03-01,322634,270920
2009-04-01,324323,272078
2009-05-01,327011,274405
2009-06-01,332227,277157
2009-07-01,333670,276959
2009-08-01,339586,278789
2009-09-01,330998,278920
2009-10-01,334595,279342
2009-11-01,337321,281406
2009-12-01,338736,283070
2010-01-01,339093,283647
2010-02-01,339580,285191
2010-03-01,346974,287536
2010-04-01,349869,289522
2010-05-01,346858,286736
2010-06-01,346516,286504
2010-07-01,347612,286354
2010-08-01,349188,288079
2010-09-01,352179,290362
2010-10-01,356215,292801
2010-11-01,359450,295658
2010-12-01,361979,298168
2011-01-01,364394,299671
2011-02-01,367475,301711
2011-03-01,370775,304658
2011-04-01,372820,307603
2011-05-01,372505,308104
2011-06-01,375587,310200
2011-07-01,375442,310314
2011-08-01,375860,311587
2011-09-01,380042,312673
2011-10-01,382207,313756
2011-11-01,383422,314672
2011-12-01,383985,314039
2012-01-01,387531,317438
2012-02-01,392310,321164
2012-03-01,393698,322583
2012-04-01,392073,320642
2012-05-01,391376,319194
2012-06-01,387901,316997
2012-07-01,389686,317985
2012-08-01,394524,322056
2012-09-01,397681,323914
2012-10-01,397494,324215
2012-11-01,399708,325300
2012-12-01,401093,325671
2013-01-01,404434,328110
2013-02-01,409118,331847
2013-03-01,406223,329715
2013-04-01,404231,327319
2013-05-01,406677,328289
2013-06-01,407921,327894
2013-07-01,410268,330068
2013-08-01,409691,329768
2013-09-01,410044,331214
2013-10-01,411399,331304
2013-11-01,412561,332174
2013-12-01,414812,334772
2014-01-01,411561,333704
2014-02-01,416736,336741
2014-03-01,421230,338208
2014-04-01,425546,341148
2014-05-01,426253,341774
2014-06-01,427305,342562
2014-07-01,428079,342903
2014-08-01,431379,345426
2014-09-01,430189,345318
2014-10-01,431903,346551
2014-11-01,433113,346656
2014-12-01,430110,344219
2015-01-01,428208,341152
2015-02-01,427119,341440
2015-03-01,433647,343998
2015-04-01,434470,344264
2015-05-01,437865,346941
2015-06-01,437951,347187
2015-07-01,441942,350764
2015-08-01,441849,350017
2015-09-01,439867,347614
2015-10-01,438693,347256
2015-11-01,440303,347778
2015-12-01,442149,349931
2016-01-01,439466,347668
2016-02-01,443117,349404
2016-03-01,441856,349791
2016-04-01,444254,351766
2016-05-01,445490,352784
2016-06-01,450237,356783
2016-07-01,449789,355106
2016-08-01,449946,354876
2016-09-01,453056,357222
2016-10-01,453847,358315
2016-11-01,453892,358672
2016-12-01,459305,361410
2017-01-01,464412,366585
2017-02-01,464284,367057
2017-03-01,463674,368272
2017-04-01,465276,369323
2017-05-01,462754,366527
2017-06-01,465130,367876
2017-07-01,465089,367728
2017-08-01,466020,370481
2017-09-01,475724,376369
2017-10-01,476107,376051
2017-11-01,480949,381716
2017-12-01,483586,384511
2018-01-01,481414,382986
2018-02-01,484031,385861
2018-03-01,484110,385772
2018-04-01,484154,385764
2018-05-01,491960,392669
2018-06-01,490228,391387
2018-07-01,493142,393827
2018-08-01,493445,394789
2018-09-01,491507,393463
2018-10-01,496416,397830
2018-11-01,498854,399145
2018-12-01,489113,388493
2019-01-01,490440,392701
2019-02-01,491751,392781
2019-03-01,499292,397587
2019-04-01,499343,399785
2019-05-01,504741,403398
2019-06-01,505251,403851
2019-07-01,509091,407200
2019-08-01,512561,408296
2019-09-01,509282,407535
2019-10-01,510648,408777
2019-11-01,514215,409726
2019-12-01,515866,413614
2020-01-01,515119,414267
2020-02-01,515330,413878
2020-03-01,468324,393751
2020-04-01,401028,336693
2020-05-01,478449,381626
2020-06-01,518038,412904
2020-07-01,526304,421417
2020-08-01,530735,425171
2020-09-01,541302,431983
2020-10-01,539114,430433
2020-11-01,533941,426447
2020-12-01,538548,429003
2021-01-01,559230,446473
2021-02-01,544891,436001
2021-03-01,603581,475805
2021-04-01,608961,477995
2021-05-01,605282,477118
2021-06-01,611950,486882
2021-07-01,601817,481516
2021-08-01,605533,488486
2021-09-01,609671,491553
2021-10-01,618573,498558
2021-11-01,624874,502877
2021-12-01,619938,501176
2022-01-01,631509,504428
2022-02-01,638101,510871
2022-03-01,651027,525362
2022-04-01,660194,532203
2022-05-01,659847,536643
2022-06-01,666113,541528
2022-07-01,659550,537880
2022-08-01,663566,538373
2022-09-01,661854,537491
2022-10-01,668671,541862
2022-11-01,659458,536108
2022-12-01,651763,532212
