,trade_balance_goods_services,durable_ex_transport_orders,durable_ex_transport_orders_mom
2016-01-01,-40045.0,20876.0,1.0
2016-02-01,-43305.0,21206.0,1.6
2016-03-01,-36801.0,21034.0,-0.8
2016-04-01,-38048.0,21758.0,3.4
2016-05-01,-39031.0,21611.0,-0.7
2016-06-01,-41719.0,21449.0,-0.7
2016-07-01,-39932.0,21529.0,0.4
2016-08-01,-40147.0,21480.0,-0.2
2016-09-01,-37004.0,21152.0,-1.5
2016-10-01,-38555.0,20990.0,-0.8
2016-11-01,-43895.0,20861.0,-0.6
2016-12-01,-40977.0,21483.0,3.0
2017-01-01,-43556.0,21216.0,-1.2
2017-02-01,-39785.0,21512.0,1.4
2017-03-01,-41124.0,20900.0,-2.8
2017-04-01,-44227.0,21350.0,2.2
2017-05-01,-43985.0,21175.0,-0.8
2017-06-01,-42579.0,21015.0,-0.8
2017-07-01,-43854.0,21789.0,3.7
2017-08-01,-41391.0,21779.0,0.0
2017-09-01,-41593.0,22577.0,3.7
2017-10-01,-42848.0,22295.0,-1.2
2017-11-01,-45463.0,22767.0,2.1
2017-12-01,-46535.0,22126.0,-2.8
2018-01-01,-46993.0,21876.0,-1.1
2018-02-01,-48714.0,22026.0,0.7
2018-03-01,-43514.0,21747.0,-1.3
2018-04-01,-46306.0,22440.0,3.2
2018-05-01,-41635.0,22716.0,1.2
2018-06-01,-44928.0,22836.0,0.5
2018-07-01,-49560.0,22970.0,0.6
2018-08-01,-49301.0,22856.0,-0.5
2018-09-01,-50245.0,22545.0,-1.4
2018-10-01,-52160.0,23254.0,3.1
2018-11-01,-49143.0,23366.0,0.5
2018-12-01,-54997.0,23343.0,-0.1
2019-01-01,-48785.0,22967.0,-1.6
2019-02-01,-47570.0,23016.0,0.2
2019-03-01,-48154.0,23250.0,1.0
2019-04-01,-49769.0,23818.0,2.4
2019-05-01,-51047.0,23512.0,-1.3
2019-06-01,-48703.0,23393.0,-0.5
