date,total_vehicle_sales_m,light_vehicle_sales_m,autos_m,light_trucks_m
1976-01-01,12.814,12.512,9.741,2.771
1976-02-01,13.34,13.044,10.132,2.912
1976-03-01,13.378,13.085,10.2,2.885
1976-04-01,13.223,12.915,9.999,2.916
1976-05-01,12.962,12.645,9.761,2.884
1976-06-01,13.051,12.727,9.784,2.943
1976-07-01,13.466,13.122,9.982,3.14
1976-08-01,12.953,12.594,9.514,3.08
1976-09-01,13.61,13.209,10.144,3.065
1976-10-01,12.823,12.537,9.569,2.968
1976-11-01,13.332,13.006,10.032,2.974
1976-12-01,14.527,14.197,11.074,3.123
1977-01-01,14.396,14.019,10.716,3.303
1977-02-01,14.709,14.335,10.889,3.446
1977-03-01,15.17,14.782,11.293,3.489
1977-04-01,15.135,14.753,11.262,3.491
1977-05-01,14.984,14.605,11.22,3.385
1977-06-01,14.952,14.571,11.326,3.245
1977-07-01,14.641,14.306,11.04,3.266
1977-08-01,14.859,14.488,11.124,3.364
1977-09-01,14.65,14.274,10.836,3.438
1977-10-01,14.9,14.511,10.934,3.577
1977-11-01,14.799,14.396,10.809,3.587
1977-12-01,15.175,14.789,11.102,3.687
1978-01-01,13.704,13.334,10.07,3.264
1978-02-01,14.363,13.969,10.45,3.519
1978-03-01,15.166,14.714,10.953,3.761
1978-04-01,16.198,15.757,11.786,3.971
1978-05-01,16.298,15.83,11.804,4.026
1978-06-01,16.348,15.868,11.811,4.057
1978-07-01,15.528,15.086,11.067,4.019
1978-08-01,16.045,15.676,11.654,4.022
1978-09-01,14.641,14.195,10.795,3.4
1978-10-01,15.845,15.391,11.402,3.989
1978-11-01,15.484,15.015,11.1,3.915
1978-12-01,15.338,14.839,11.075,3.764
1979-01-01,15.061,14.626,10.963,3.663
1979-02-01,15.321,14.856,11.27,3.586
1979-03-01,15.275,14.839,11.371,3.468
1979-04-01,14.742,14.304,10.889,3.415
1979-05-01,14.374,13.966,10.798,3.168
1979-06-01,12.744,12.363,9.615,2.748
1979-07-01,14.112,13.712,10.613,3.099
1979-08-01,14.344,13.999,10.806,3.193
1979-09-01,14.292,13.953,10.715,3.238
1979-10-01,13.112,12.733,9.59,3.143
1979-11-01,13.025,12.667,9.722,2.945
1979-12-01,13.496,13.198,10.354,2.844
1980-01-01,14.439,14.115,11.326,2.789
1980-02-01,13.276,12.967,10.477,2.49
1980-03-01,12.077,11.797,9.523,2.274
1980-04-01,10.444,10.198,8.106,2.092
1980-05-01,9.54,9.31,7.35,1.96
1980-06-01,10.449,10.181,7.949,2.232
1980-07-01,11.664,11.381,8.947,2.434
1980-08-01,11.154,10.86,8.659,2.201
1980-09-01,10.912,10.622,8.701,1.921
1980-10-01,11.412,11.146,9.089,2.057
1980-11-01,11.257,11.014,8.907,2.107
1980-12-01,10.939,10.718,8.748,1.97
1981-01-01,11.282,11.036,9.043,1.993
1981-02-01,12.351,12.116,10.032,2.084
1981-03-01,12.427,12.185,10.201,1.984
1981-04-01,10.49,10.212,8.09,2.122
1981-05-01,10.354,10.136,8.07,2.066
1981-06-01,10.415,10.205,8.076,2.129
1981-07-01,10.428,10.206,8.194,2.012
1981-08-01,12.681,12.457,10.058,2.399
1981-09-01,11.08,10.863,8.854,2.009
1981-10-01,9.418,9.209,7.281,1.928
1981-11-01,9.494,9.294,7.345,1.949
1981-12-01,9.055,8.849,7.169,1.68
1982-01-01,10.285,10.075,7.795,2.28
1982-02-01,10.924,10.725,8.316,2.409
1982-03-01,10.651,10.457,7.892,2.565
1982-04-01,9.747,9.541,7.326,2.215
1982-05-01,11.103,10.9,8.41,2.49
1982-06-01,9.613,9.42,7.312,2.108
1982-07-01,9.759,9.585,7.379,2.206
1982-08-01,9.947,9.779,7.539,2.24
1982-09-01,11.129,10.958,8.448,2.51
1982-10-01,10.14,9.981,7.709,2.272
1982-11-01,12.03,11.866,8.996,2.87
1982-12-01,11.249,11.073,8.632,2.441
1983-01-01,10.865,10.688,8.264,2.424
1983-02-01,10.608,10.441,8.176,2.265
1983-03-01,11.023,10.832,8.292,2.54
1983-04-01,11.673,11.507,8.723,2.784
1983-05-01,12.028,11.865,9.062,2.803
1983-06-01,12.96,12.785,9.796,2.989
1983-07-01,12.917,12.733,9.67,3.063
1983-08-01,12.246,12.048,9.039,3.009
1983-09-01,12.451,12.258,9.0,3.258
1983-10-01,13.311,13.103,9.911,3.192
1983-11-01,13.125,12.899,9.609,3.29
1983-12-01,14.503,14.278,10.603,3.675
1984-01-01,14.21,13.998,10.431,3.567
1984-02-01,14.381,14.13,10.569,3.561
1984-03-01,14.21,13.967,10.236,3.731
