date,o,h,l,c,v
2006-02-06,19.4626,19.5498,19.1058,19.1851,771500
2006-02-07,19.0662,19.1851,18.5905,18.6302,674400
2006-02-08,18.6222,18.7649,18.4954,18.5509,335400
2006-02-09,18.6777,18.8838,18.6381,18.7253,705900
2006-02-10,18.7491,18.7808,18.3130,18.3844,276700
2006-02-13,18.3844,18.3923,18.0514,18.0990,237600
2006-02-14,18.0752,18.0990,17.9246,17.9484,256400
2006-02-15,17.9959,18.0197,17.6313,17.6868,404800
2006-02-16,17.7026,17.9325,17.6392,17.9008,463600
2006-02-17,18.0118,18.1703,17.9801,18.1545,467700
2006-02-21,18.5112,18.5509,18.3130,18.4557,714100
2006-02-22,18.3527,18.4716,18.1149,18.1545,543900
2006-02-23,18.1149,18.3130,17.9484,18.0911,380400
2006-02-24,18.3923,18.5905,18.2338,18.5826,535300
2006-02-27,18.3923,18.4320,18.1703,18.2179,664500
2006-02-28,18.2734,18.4716,18.1228,18.4637,579700
2006-03-01,18.4557,18.4557,18.2734,18.4240,270500
2006-03-02,18.5192,18.8046,18.4478,18.7570,885900
2006-03-03,18.8442,18.9393,18.6777,18.9314,362900
2006-03-06,18.8283,18.8283,18.4320,18.6302,588300
2006-03-07,18.4716,18.5033,18.2100,18.3051,341300
2006-03-08,18.0594,18.1545,17.8612,18.0118,243700
2006-03-09,18.1149,18.2258,18.0197,18.1941,413100
2006-03-10,18.0197,18.1862,17.8612,18.1149,398800
2006-03-13,18.1149,18.3606,17.9880,18.3527,328800
2006-03-14,18.3448,18.6539,18.2972,18.6222,331700
2006-03-15,18.6064,18.6619,18.3606,18.4161,566900
2006-03-16,18.4161,18.6143,18.3051,18.5747,642100
2006-03-17,18.6064,18.6460,18.4320,18.4875,324200
2006-03-20,18.4082,18.5112,18.0435,18.1069,495500
2006-03-21,18.0752,18.2655,17.9563,18.1704,412200
2006-03-22,18.2338,18.2734,18.0435,18.1386,283800
2006-03-23,18.1941,18.4478,18.0752,18.4478,224500
2006-03-24,18.4082,18.5430,18.3368,18.4082,310800
2006-03-27,18.4557,18.5747,18.3923,18.5192,147300
2006-03-28,18.5430,18.7729,18.5430,18.7570,355200
2006-03-29,18.7253,18.8838,18.6698,18.8838,319600
2006-03-30,18.8838,19.1692,18.8838,19.1137,603700
2006-03-31,18.9790,19.0820,18.7887,18.9790,402600
2006-04-03,19.1692,19.2961,19.0265,19.0662,406400
2006-04-04,18.9790,19.0186,18.8284,18.9631,201400
2006-04-05,19.0265,19.1851,18.9869,19.0820,297300
2006-04-06,19.2882,19.4705,19.2882,19.4229,619900
2006-04-07,19.3040,19.3674,19.1455,19.3357,415600
2006-04-10,19.5736,19.7004,19.4309,19.6925,497100
2006-04-11,19.7004,19.7797,19.5022,19.7717,537900
2006-04-12,19.7559,19.8827,19.6211,19.7321,517700
2006-04-13,19.6211,19.8590,19.5418,19.8590,233200
2006-04-17,19.9779,20.0968,19.8827,20.0730,526600
2006-04-18,20.1206,20.3822,20.0651,20.3346,886800
2006-04-19,20.3663,20.6121,20.2553,20.5328,558500
2006-04-20,20.5170,20.5170,20.0571,20.2950,640100
2006-04-21,20.3505,20.7786,20.2236,20.7231,559000
2006-04-24,20.6042,20.6834,20.2633,20.3108,481900
2006-04-25,20.4773,20.5328,20.2316,20.3743,550700
2006-04-26,20.3980,20.5328,20.2553,20.2950,493900
2006-04-27,20.1761,20.2236,19.9145,19.9779,427100
2006-04-28,20.1761,20.4298,20.1047,20.3108,453800
2006-05-01,20.4060,20.6517,20.3505,20.5328,571700
2006-05-02,20.7231,20.8103,20.5962,20.7706,516300
2006-05-03,20.7627,20.7865,20.2950,20.3980,422000
2006-05-04,20.2871,20.4535,20.0175,20.1523,445500
2006-05-05,20.3188,20.4297,20.2157,20.3743,377300
2006-05-08,20.1364,20.3188,19.9382,20.3188,342900
2006-05-09,20.4852,20.7706,20.4535,20.6359,1164700
2006-05-10,20.7151,21.1512,20.6359,21.1512,757600
2006-05-11,21.5396,21.5396,21.2542,21.3573,1037600
2006-05-12,21.4049,21.5238,21.1829,21.2859,1040100
2006-05-15,20.7072,20.7786,20.4535,20.5645,685200
2006-05-16,20.5724,20.8420,20.4615,20.6279,602500
2006-05-17,20.8103,20.8103,20.3188,20.5962,785100
2006-05-18,20.5249,20.6121,20.3980,20.6042,263100
2006-05-19,20.2553,20.2950,19.9779,20.1523,724900
2006-05-22,19.8986,20.3188,19.8986,20.3108,863900
2006-05-23,20.5566,20.8261,20.4932,20.6279,855100
2006-05-24,20.3980,20.4615,20.0175,20.1047,402700
2006-05-25,20.1761,20.4535,20.1047,20.4535,324200
2006-05-26,20.5090,20.7706,20.4060,20.6517,333400
2006-05-30,20.7151,20.7469,20.4218,20.5407,429400
2006-05-31,20.4139,20.4852,20.0017,20.2316,337500
2006-06-01,19.9779,20.2316,19.7400,19.9858,584800
2006-06-02,20.1364,20.5011,20.0571,20.3822,349300
2006-06-05,20.4298,20.5487,20.2553,20.3267,492100
2006-06-06,20.1364,20.2157,19.9779,20.1523,329000
2006-06-07,20.0571,20.0968,19.8986,20.0175,176800
2006-06-08,19.8272,19.8669,19.5815,19.8035,722700
2006-06-09,19.9382,20.0571,19.8193,19.8352,343800
2006-06-12,19.9620,20.0413,19.5418,19.5973,362400
2006-06-13,19.2644,19.4626,19.0265,19.0662,900600
2006-06-14,19.0662,19.2247,19.0265,19.0583,265700
2006-06-15,19.2644,19.3674,19.1613,19.2644,289100
2006-06-16,19.1930,19.3040,19.0265,19.3040,202400
2006-06-19,19.0979,19.1613,18.8997,18.9473,178200
2006-06-20,19.0345,19.1375,18.9473,19.1058,318000
2006-06-21,19.0662,19.4229,19.0028,19.3833,302100
2006-06-22,19.3674,19.4467,19.2723,19.3754,171900
2006-06-23,19.2010,19.4229,19.2010,19.3357,151400
2006-06-26,19.3119,19.5815,19.1851,19.5498,150400
2006-06-27,19.5656,19.7163,19.4388,19.6211,227800
2006-06-28,19.5577,19.6370,19.3674,19.5418,205500
2006-06-29,19.6291,19.9699,19.6053,19.9699,346300
2006-06-30,20.0413,20.1761,20.0413,20.0571,405600
2006-07-03,20.3346,20.6042,20.1523,20.5883,144500
2006-07-05,20.2553,20.4456,20.2157,20.4298,998200
2006-07-06,20.4298,20.5645,20.2950,20.5645,675800
2006-07-07,20.5645,20.5645,20.3346,20.4139,391300
2006-07-10,20.3346,20.4218,20.1840,20.2712,204700
2006-07-11,20.6042,20.7548,20.5011,20.7151,232800
2006-07-12,20.8499,20.9292,20.5725,20.9213,395000
2006-07-13,20.9530,21.0323,20.8261,20.9133,418000
2006-07-14,21.1670,21.1987,20.8737,21.0085,462800
2006-07-17,20.8658,21.0005,20.4615,20.5328,191500
2006-07-18,20.6834,20.8182,20.2553,20.4060,206100
2006-07-19,20.3505,20.4773,20.0175,20.4773,236400
2006-07-20,20.6042,20.6914,20.1681,20.2633,293100
2006-07-21,20.3743,20.3743,20.0413,20.2078,151700
2006-07-24,20.1126,20.2950,19.9065,20.2950,214300
2006-07-25,20.3663,20.4060,19.9779,20.1206,428100
2006-07-26,20.0017,20.2791,19.9620,19.9858,225200
2006-07-27,20.3743,20.4377,20.2157,20.3743,155900
2006-07-28,20.3743,20.4139,20.0175,20.3029,180700
2006-07-31,20.3743,20.5090,20.1681,20.5011,241400
2006-08-01,20.5328,20.6517,20.4218,20.5962,200300
2006-08-02,20.7310,20.9292,20.7072,20.8737,642000
2006-08-03,20.6121,20.6993,20.4694,20.6755,181000
2006-08-04,20.7310,20.7469,20.4615,20.6517,136900
2006-08-07,20.7231,20.9768,20.7231,20.9768,293200
2006-08-08,20.7548,20.8499,20.5725,20.6834,243800
2006-08-09,20.7151,20.8816,20.6121,20.7151,217000
2006-08-10,20.5883,20.5962,20.2712,20.4456,347100
2006-08-11,20.5249,20.5487,20.0968,20.2474,179500
2006-08-14,20.0175,20.0889,19.8827,20.0571,123400
2006-08-15,20.0651,20.1285,19.9541,20.0889,247200
2006-08-16,20.0571,20.0809,19.8272,19.8748,228200
2006-08-17,19.6925,19.7797,19.4229,19.5656,617000
2006-08-18,19.6845,19.7004,19.4705,19.6687,180900
2006-08-21,19.6845,19.8272,19.6291,19.8272,259800
2006-08-22,19.8035,19.8352,19.7004,19.7955,281500
2006-08-23,19.7559,19.7559,19.5260,19.5894,322600
2006-08-24,19.6845,19.8748,19.6370,19.8748,241700
2006-08-25,19.9937,20.0571,19.8352,19.8669,145700
2006-08-28,19.7718,19.8431,19.4784,19.5577,354700
2006-08-29,19.5181,19.5815,19.4229,19.5260,230800
2006-08-30,19.5339,19.8193,19.3912,19.8193,122500
2006-08-31,19.8035,19.8986,19.6211,19.8193,158200
2006-09-01,19.8431,19.8669,19.6370,19.7797,240500
2006-09-05,19.7163,19.8986,19.6132,19.7480,261500
2006-09-06,19.6608,19.8035,19.5022,19.6449,147000
2006-09-07,19.5815,19.6528,19.4626,19.5815,97400
2006-09-08,19.5260,19.5498,19.3437,19.4229,197400
2006-09-11,19.0424,19.1296,18.8680,18.9710,541600
2006-09-12,18.8680,18.9473,18.5033,18.6698,318300
2006-09-13,18.6381,18.7887,18.5271,18.6222,384000
2006-09-14,18.7649,18.7649,18.3765,18.5112,288700
2006-09-15,18.4716,18.6302,18.2893,18.4557,616300
2006-09-18,18.5905,18.7887,18.4875,18.6777,345600
2006-09-19,18.7094,18.7729,18.3289,18.4003,490700
2006-09-20,18.3844,18.3923,18.1228,18.2893,511000
2006-09-21,18.2496,18.6302,18.2496,18.6064,422000
2006-09-22,18.6222,18.6222,18.3368,18.3923,296500
2006-09-25,18.1545,18.5271,18.1307,18.4320,1037000
2006-09-26,18.4716,18.6302,18.3527,18.5112,195200
2006-09-27,18.5509,18.7887,18.3289,18.7887,296900
2006-09-28,18.8601,19.0662,18.7411,18.9393,185800
2006-09-29,18.9076,18.9948,18.6777,18.9869,884300
2006-10-02,19.0265,19.1137,18.7094,18.7808,170700
2006-10-03,18.6381,18.6381,18.3765,18.4716,193100
2006-10-04,18.3606,18.6460,18.0990,18.6064,872600
2006-10-05,18.8284,18.8601,18.5350,18.7094,353500
2006-10-06,18.7094,18.7887,18.4954,18.7808,360200
2006-10-09,18.8601,19.4071,18.8601,19.3040,396900
2006-10-10,18.7887,19.0265,18.5747,18.7887,396700
2006-10-11,18.6302,18.8283,18.4716,18.5350,424000
2006-10-12,18.4716,18.9156,18.4716,18.7411,284100
2006-10-13,18.9314,19.3437,18.8838,19.1455,285200
2006-10-16,19.2485,19.3278,18.9869,19.3119,578600
2006-10-17,19.6132,19.6132,19.1692,19.3278,598600
2006-10-18,19.3040,19.4071,18.8680,19.0186,345300
2006-10-19,19.1534,19.3991,19.0503,19.3357,187300
2006-10-20,19.3437,19.3437,18.8680,19.0662,514900
2006-10-23,18.8759,19.1455,18.7491,19.1058,645800
2006-10-24,19.0741,19.2723,18.8680,19.2406,226500
2006-10-25,19.2406,19.6211,19.1534,19.5815,200300
2006-10-26,19.5656,19.5894,19.2961,19.4467,243800
2006-10-27,19.5815,19.5815,19.2723,19.5022,380900
2006-10-30,19.4626,19.4943,19.2247,19.2961,393100
2006-10-31,19.2247,19.2327,18.9869,19.1772,127200
2006-11-01,19.1455,19.4626,19.0345,19.4229,160400
2006-11-02,19.4071,19.5815,19.2247,19.2802,640300
2006-11-03,19.4546,19.6211,19.3357,19.5181,195900
2006-11-06,19.5815,19.8748,19.5418,19.8590,282600
2006-11-07,19.8907,19.8907,19.6766,19.8114,170800
2006-11-08,19.7400,19.8907,19.6291,19.7876,257400
2006-11-09,20.1364,20.1364,19.8193,20.0492,394000
2006-11-10,19.8827,19.9065,19.5181,19.6291,194400
2006-11-13,19.5418,19.5656,19.4229,19.4864,222600
2006-11-14,19.4705,19.6608,19.4626,19.5418,189900
2006-11-15,19.4705,19.7797,19.4705,19.6925,235500
