date,o,h,l,c,v
2003-04-14,7.1866,7.2367,7.1866,7.2367,93600
2003-04-15,7.2811,7.3442,7.2811,7.3227,421200
2003-04-16,7.4015,7.4373,7.4015,7.4072,9000
2003-04-17,7.4481,7.4624,7.4352,7.4603,17100
2003-04-21,7.4689,7.4696,7.4517,7.4574,72900
2003-04-22,7.4567,7.4825,7.4337,7.4825,19800
2003-04-23,7.4875,7.5176,7.4624,7.5176,31500
2003-04-24,7.4588,7.4588,7.3513,7.3693,90000
2003-04-25,7.2661,7.2661,7.2367,7.2475,102600
2003-04-28,7.2661,7.3671,7.2654,7.3671,91800
2003-04-29,7.4810,7.5806,7.4810,7.5770,76500
2003-04-30,7.5591,7.5656,7.5362,7.5556,228600
2003-05-01,7.5341,7.5641,7.5233,7.5262,234900
2003-05-02,7.5505,7.6415,7.5505,7.6415,67500
2003-05-05,7.6702,7.7254,7.6702,7.7239,47700
2003-05-06,7.7239,7.7727,7.7168,7.7633,109800
2003-05-07,7.7311,7.7504,7.7246,7.7490,313200
2003-05-08,7.7024,7.7067,7.6738,7.6809,417600
2003-05-09,7.6917,7.7769,7.6917,7.7712,63000
2003-05-12,7.8063,7.8794,7.8027,7.8794,752400
2003-05-13,7.8515,7.8515,7.8135,7.8350,276300
2003-05-14,7.8350,7.8350,7.7805,7.7956,206100
2003-05-15,7.8113,7.8113,7.7920,7.8113,337500
2003-05-16,7.8314,7.8457,7.7956,7.8171,256500
2003-05-19,7.7669,7.7669,7.6021,7.6308,128700
2003-05-20,7.6487,7.6781,7.6272,7.6688,53100
2003-05-21,7.6551,7.6774,7.6150,7.6752,45900
2003-05-22,7.6774,7.7447,7.6774,7.7447,84600
2003-05-23,7.7992,7.8429,7.7992,7.8242,74700
2003-05-27,7.8429,8.1094,7.8429,8.1044,864000
2003-05-28,8.1044,8.1510,8.1044,8.1395,396000
2003-05-29,8.1323,8.1667,8.1180,8.1502,306900
2003-05-30,8.1682,8.2448,8.1517,8.2448,368100
2003-06-02,8.2685,8.3974,8.2685,8.3043,587700
2003-06-03,8.3115,8.3115,8.1732,8.2412,244800
2003-06-04,8.2398,8.3480,8.2398,8.3473,241200
2003-06-05,8.3774,8.3774,8.3014,8.3559,509400
2003-06-06,8.4010,8.5192,8.4003,8.4340,608400
2003-06-09,8.4447,8.4447,8.3351,8.3616,208800
2003-06-10,8.3645,8.4476,8.3645,8.4476,233100
2003-06-11,8.4440,8.4612,8.3831,8.4548,294300
2003-06-12,8.4691,8.5185,8.4626,8.5185,402300
2003-06-13,8.4985,8.5228,8.4920,8.5157,694800
2003-06-16,8.5407,8.6081,8.5300,8.6074,163800
2003-06-17,8.6955,8.7915,8.6955,8.7844,352800
2003-06-18,8.7607,8.8016,8.7328,8.7521,171900
2003-06-19,8.8238,8.8381,8.7414,8.7521,225900
2003-06-20,8.7772,8.7915,8.7270,8.7521,300600
2003-06-23,8.7235,8.7235,8.5350,8.5372,332100
2003-06-24,8.5013,8.5013,8.4261,8.4741,188100
2003-06-25,8.4956,8.5966,8.4956,8.5443,1045800
2003-06-26,8.5852,8.6411,8.5701,8.6368,210600
2003-06-27,8.6482,8.6518,8.5751,8.5966,373500
2003-06-30,8.6210,8.6210,8.5766,8.5909,279900
2003-07-01,8.6231,8.6912,8.5981,8.6840,679500
2003-07-02,8.7808,8.8947,8.7808,8.8882,1129500
2003-07-03,8.9133,8.9176,8.8954,8.9133,110700
2003-07-07,9.0065,9.1340,9.0065,9.1340,569700
2003-07-08,9.1512,9.1763,9.1175,9.1598,347400
2003-07-09,9.1534,9.1534,9.0996,9.1383,472500
2003-07-10,9.0882,9.0882,8.9491,8.9778,1603800
2003-07-11,8.9778,9.0530,8.9778,9.0530,212400
2003-07-14,9.1534,9.2501,9.1534,9.2121,683100
2003-07-15,9.2573,9.2573,9.0960,9.0960,2222100
2003-07-16,9.0781,9.1283,9.0516,9.1032,828000
2003-07-17,9.0459,9.0459,8.8653,8.8653,367200
2003-07-18,8.8811,8.9835,8.8811,8.9835,205200
2003-07-21,8.9484,8.9484,8.8531,8.8646,2148300
2003-07-22,8.8875,8.9821,8.8775,8.9706,1022400
2003-07-23,8.9420,8.9420,8.8603,8.9133,904500
2003-07-24,8.9742,9.0344,8.9563,8.9563,749700
2003-07-25,9.0222,9.1032,9.0101,9.1032,212400
2003-07-28,9.1569,9.1820,9.1283,9.1534,1040400
2003-07-29,9.1677,9.1720,9.0925,9.1018,805500
2003-07-30,9.0803,9.0817,9.0172,9.0351,56700
2003-07-31,9.0495,9.1061,9.0495,9.0781,339300
2003-08-01,9.0960,9.1139,9.0860,9.0982,441000
2003-08-04,9.1104,9.1154,9.0280,9.0581,394200
2003-08-05,9.0581,9.0581,8.9606,8.9606,290700
2003-08-06,8.9585,8.9685,8.8976,8.9205,371700
2003-08-07,8.9850,9.0129,8.9635,8.9857,288900
2003-08-08,9.0602,9.0638,9.0237,9.0459,153000
2003-08-11,9.0996,9.1175,9.0638,9.0853,665100
2003-08-12,9.1018,9.1290,9.0889,9.1211,727200
2003-08-13,9.2336,9.2787,9.1913,9.2501,721800
2003-08-14,9.2558,9.3783,9.2558,9.3719,404100
2003-08-15,9.2787,9.2787,9.2787,9.2787,48600
2003-08-18,9.3647,9.4779,9.3554,9.4765,1189800
2003-08-19,9.5295,9.5295,9.4650,9.5231,453600
2003-08-20,9.5009,9.5245,9.4665,9.5245,1125000
2003-08-21,9.6019,9.7029,9.5904,9.6993,1083600
2003-08-22,9.8161,9.8161,9.7194,9.7488,1008000
2003-08-25,9.7352,9.7352,9.6628,9.6728,391500
2003-08-26,9.6334,9.6334,9.4973,9.5546,1186200
2003-08-27,9.5696,9.6657,9.5353,9.6657,632700
2003-08-28,9.6993,9.7330,9.6420,9.7330,441900
2003-08-29,9.7946,9.8233,9.7946,9.8032,417600
2003-09-02,9.8878,9.9501,9.8734,9.9487,1471500
2003-09-03,10.0848,10.0848,10.0203,10.0275,887400
2003-09-04,10.0354,10.0776,10.0246,10.0633,458100
2003-09-05,10.0812,10.0812,10.0347,10.0540,532800
2003-09-08,10.1536,10.2568,10.1536,10.2446,659700
2003-09-09,10.2661,10.2661,10.0511,10.0669,387900
2003-09-10,10.0511,10.0511,9.8476,9.8992,569700
2003-09-11,9.9028,9.9859,9.8878,9.8878,1097100
2003-09-12,9.9200,9.9580,9.8519,9.9580,948600
2003-09-15,9.9723,9.9723,9.7803,9.8111,809100
2003-09-16,9.9093,10.0132,9.8871,10.0132,1987200
2003-09-17,10.0304,10.0397,9.9637,9.9702,982800
2003-09-18,9.9945,10.1027,9.9594,10.0848,762300
2003-09-19,10.0991,10.0991,10.0160,10.0382,466200
2003-09-22,9.9931,9.9931,9.8312,9.8742,4203900
2003-09-23,9.8849,9.9057,9.8720,9.8985,453600
2003-09-24,10.0253,10.0447,9.9093,9.9164,789300
2003-09-25,9.9164,9.9164,9.7696,9.7696,530100
2003-09-26,9.7695,9.7695,9.7015,9.7015,2994300
2003-09-29,9.7172,9.7789,9.7086,9.7703,1071000
2003-09-30,9.8312,9.8312,9.7086,9.7395,2218500
2003-10-01,9.8742,9.9981,9.8670,9.9952,1123200
2003-10-02,10.0891,10.1565,10.0669,10.1385,1017900
2003-10-03,10.2818,10.2840,10.2217,10.2389,2016900
2003-10-06,10.2904,10.3005,10.2482,10.2783,356400
2003-10-07,10.3105,10.3105,10.2460,10.2675,529200
2003-10-08,10.3578,10.3643,10.3313,10.3442,351000
2003-10-09,10.5097,10.5685,10.4968,10.5183,987300
2003-10-10,10.5742,10.6501,10.5742,10.6473,1278000
2003-10-13,10.7118,10.8185,10.7118,10.8085,1638000
2003-10-14,10.7777,10.7777,10.5971,10.6021,1341000
2003-10-15,10.7297,10.7691,10.7046,10.7304,2833200
