date,o,h,l,c,v
2001-08-27,22.2452,22.2452,22.1640,22.2020,44700
2001-08-28,22.0465,22.0724,21.9066,21.9480,319800
2001-08-29,22.0033,22.0120,21.8219,21.8478,128400
2001-08-30,21.5973,21.5973,21.4764,21.5368,36900
2001-08-31,21.5282,21.6232,21.4936,21.5887,1656900
2001-09-04,21.1308,21.3381,21.0963,21.0963,570000
2001-09-05,21.0271,21.0876,20.9062,20.9667,31500
2001-09-06,20.6470,20.6470,20.4915,20.4915,284700
2001-09-07,20.4570,20.4570,20.3015,20.3706,99900
2001-09-10,19.9214,20.1460,19.8004,20.1373,1438200
2001-09-17,19.0488,19.3339,19.0229,19.2562,170400
2001-09-18,19.0834,19.2216,19.0056,19.1007,991500
2001-09-19,19.2821,19.2821,18.8069,19.0488,435600
2001-09-20,18.5391,18.5391,18.2195,18.2195,123000
2001-09-21,16.9323,17.8826,16.9323,17.7098,110100
2001-09-24,18.3145,18.5650,18.2022,18.5305,139500
2001-09-25,18.7292,18.8847,18.5823,18.7465,151500
2001-09-26,18.9106,18.9106,18.7810,18.8415,138600
2001-09-27,18.8415,19.1439,18.8069,19.1387,662400
2001-09-28,19.3339,19.5516,19.2959,19.5119,663900
2001-10-01,19.2130,19.4065,19.1750,19.4065,432900
2001-10-02,19.2068,19.4750,19.2068,19.4750,309900
2001-10-03,19.1203,19.7588,19.1203,19.6740,398700
2001-10-04,19.8470,19.9855,19.6567,19.8834,578400
2001-10-05,19.8834,20.0028,19.7778,19.9145,274200
2001-10-08,19.6792,19.9422,19.6567,19.7951,127800
2001-10-09,19.8903,19.9595,19.7172,19.7432,2442600
2001-10-10,19.9855,20.1758,19.9855,20.1412,84600
2001-10-11,20.3575,20.4077,20.1585,20.2796,197400
2001-10-12,20.0374,20.2537,20.0374,20.2537,83400
2001-10-15,19.9855,20.0720,19.9249,19.9335,192600
2001-10-16,20.1239,20.2104,20.0374,20.2104,361800
2001-10-17,20.5911,20.5911,20.2277,20.2277,224700
2001-10-18,20.1239,20.1758,19.8989,20.0633,260700
2001-10-19,19.7951,19.8816,19.6844,19.8643,258000
2001-10-22,19.7259,20.0028,19.7259,20.0028,393000
2001-10-23,20.2277,20.2969,20.1620,20.1620,159300
2001-10-24,20.3315,20.4180,20.2623,20.3644,161100
2001-10-25,20.1152,20.3661,20.0287,20.3350,63900
2001-10-26,20.2623,20.4665,20.2623,20.4665,169500
2001-10-29,20.4180,20.4336,20.0391,20.0391,595500
2001-10-30,19.9162,19.9682,19.7363,19.8124,260100
2001-10-31,20.0547,20.1152,19.8401,19.8678,783000
2001-11-01,20.1412,20.2865,20.0201,20.2865,810300
2001-11-02,20.2415,20.2935,20.1308,20.2848,908700
2001-11-05,20.3142,20.5322,20.3142,20.4873,168600
2001-11-06,20.5046,20.7382,20.4353,20.7001,651300
2001-11-07,20.4007,20.5738,20.3834,20.5132,352200
2001-11-08,20.6430,20.8454,20.6430,20.6603,989400
2001-11-09,20.4700,20.6482,20.4613,20.6257,970200
2001-11-12,20.3315,20.3800,20.2017,20.3488,512700
2001-11-13,20.4699,20.5599,20.4578,20.5357,298800
2001-11-14,20.6257,20.6551,20.5219,20.5565,152400
2001-11-15,20.5478,20.6568,20.5374,20.6447,4697400
2001-11-16,20.7641,20.8126,20.6845,20.7606,659700
2001-11-19,20.9718,21.0116,20.8351,20.8645,432900
2001-11-20,20.8506,20.8593,20.7209,20.7209,358800
2001-11-21,20.7295,20.7295,20.5893,20.6672,143100
2001-11-23,20.6603,20.7330,20.6603,20.7330,228300
2001-11-26,20.9198,20.9717,20.8299,20.9337,360300
2001-11-27,20.8074,20.8091,20.5945,20.7710,443700
2001-11-28,20.4180,20.5513,20.4007,20.4094,534000
2001-11-29,20.4959,20.5219,20.3955,20.4544,1168500
2001-11-30,20.4873,20.5997,20.4873,20.5322,1092600
2001-12-03,20.2969,20.4042,20.2554,20.3575,541500
2001-12-04,20.4526,20.6464,20.4526,20.6464,1386300
2001-12-05,20.9112,21.1794,20.8973,21.1430,524400
2001-12-06,21.1102,21.2451,21.0808,21.2088,508200
2001-12-07,20.9545,21.0133,20.8524,20.8887,5501100
2001-12-10,20.4873,20.6343,20.4613,20.4873,564000
2001-12-11,20.5565,20.6482,20.5236,20.5288,1061100
2001-12-12,20.6776,20.6776,20.4699,20.6136,447900
2001-12-13,20.2450,20.2883,20.0824,20.1256,728100
2001-12-14,20.2450,20.2779,20.1741,20.2415,874800
2001-12-17,20.3315,20.5651,20.3229,20.4821,678300
2001-12-18,20.5651,20.6257,20.4907,20.5374,908400
2001-12-19,20.2450,20.3575,20.2052,20.3229,772500
2001-12-20,20.2450,20.2969,20.1671,20.2242,1377600
2001-12-21,20.2623,20.3263,20.2364,20.3263,901200
2001-12-24,20.1553,20.2851,20.1553,20.2505,291300
2001-12-26,20.0860,20.3249,20.0860,20.2332,499500
2001-12-27,20.4323,20.5362,20.4063,20.5016,418500
2001-12-28,20.6228,20.6886,20.6055,20.6643,1309200
2001-12-31,20.6799,20.7630,20.6574,20.6574,717300
2002-01-02,20.7526,20.7717,20.5985,20.7717,1215900
2002-01-03,20.7959,20.9587,20.7786,20.9587,971400
2002-01-04,21.1249,21.1370,20.9518,21.0972,377400
2002-01-07,20.9050,20.9777,20.7821,20.8167,387900
2002-01-08,20.5362,20.6678,20.5102,20.5795,532500
2002-01-09,20.5743,20.6158,20.3630,20.3630,1169100
2002-01-10,20.4133,20.4548,20.3457,20.4115,539400
2002-01-11,20.4410,20.4912,20.2765,20.2955,697200
2002-01-14,20.1812,20.2591,20.0444,20.0929,537600
2002-01-15,20.1726,20.2072,19.9388,20.0773,887100
2002-01-16,19.8089,19.9094,19.7241,19.7241,425400
2002-01-17,20.0427,20.0669,19.9042,20.0081,526200
2002-01-18,19.9475,19.9994,19.8696,19.9994,580800
2002-01-22,20.0219,20.0219,19.6652,19.7657,561900
2002-01-23,19.8574,19.8609,19.7605,19.8176,757200
2002-01-24,20.0185,20.0514,19.8799,19.9250,467700
2002-01-25,19.7224,19.7847,19.6237,19.6410,582000
2002-01-28,19.8089,19.8332,19.6964,19.8245,1504800
2002-01-29,19.6618,19.7224,19.1839,19.2739,463200
2002-01-30,19.2981,19.4869,19.1267,19.4869,507900
2002-01-31,19.5406,19.5406,19.3328,19.4626,734100
2002-02-01,19.5613,19.5613,19.3553,19.4193,452100
2002-02-04,19.4713,19.4713,19.1458,19.2600,683400
2002-02-05,19.0644,19.1094,18.8566,18.8756,259800
2002-02-06,18.8220,18.9605,18.8220,18.8479,382800
2002-02-07,19.0124,19.1475,18.9605,19.0575,122100
2002-02-08,19.2375,19.3137,19.1215,19.3137,536100
2002-02-11,19.4367,19.5509,19.3934,19.5492,240300
2002-02-12,19.4886,19.6029,19.4193,19.5406,107100
2002-02-13,19.5925,19.6323,19.4973,19.5665,141900
2002-02-14,19.6531,19.8401,19.6444,19.7224,225000
2002-02-15,19.7743,19.7743,19.5752,19.6012,258300
2002-02-19,19.2583,19.2808,19.1094,19.1856,300000
2002-02-20,19.1336,19.2722,19.0211,19.2722,257700
2002-02-21,19.2808,19.3414,19.0644,19.1406,445800
2002-02-22,19.2548,19.3328,19.1683,19.2791,226200
2002-02-25,19.3761,19.5302,19.3293,19.5215,159900
2002-02-26,19.4557,19.4973,19.3120,19.4107,164700
2002-02-27,19.6531,19.7189,19.4886,19.6271,325500
2002-02-28,19.6600,19.8055,19.6531,19.6964,247500
2002-03-01,19.8678,20.0687,19.8038,20.0687,239400
2002-03-04,20.3457,20.7682,20.3284,20.7544,856500
2002-03-05,20.5275,20.6349,20.4669,20.5258,406800
2002-03-06,20.5708,20.8063,20.5189,20.7388,735600
2002-03-07,21.1682,21.1682,20.9518,21.0609,832800
2002-03-08,21.2635,21.2790,21.0245,21.0920,255900
2002-03-11,21.1336,21.1353,20.9864,21.1249,666600
2002-03-12,20.7440,20.8825,20.6366,20.8825,890700
2002-03-13,20.7786,20.8202,20.6574,20.6574,184200
2002-03-14,20.8306,20.9691,20.8271,20.8617,277800
2002-03-15,20.9518,21.1301,20.9258,21.0938,90300
2002-03-18,21.1076,21.1093,20.9795,21.0695,387600
2002-03-19,21.1942,21.2202,21.1284,21.1751,202200
2002-03-20,21.0297,21.0297,20.9033,20.9033,295500
2002-03-21,20.9500,20.9899,20.7959,20.9570,164100
