date,o,h,l,c,v
2004-11-18,44.4300,44.4900,44.0700,44.3800,5992000
2004-11-19,44.4900,44.9200,44.4700,44.7800,11655300
2004-11-22,44.7500,44.9700,44.7400,44.9500,11996000
2004-11-23,44.8800,44.9200,44.7200,44.7500,3169200
2004-11-24,44.9300,45.0500,44.7900,45.0500,6105100
2004-11-26,45.2500,45.6000,45.0600,45.2900,3097700
2004-11-29,45.1000,45.5000,45.0800,45.4000,3759000
2004-11-30,45.3700,45.4100,44.8200,45.1200,3857200
2004-12-01,45.2800,45.5900,45.2600,45.3800,2037500
2004-12-02,45.5500,45.5700,44.6800,44.9500,6457800
2004-12-03,45.0400,46.0000,44.8000,45.6000,4218300
2004-12-06,45.3900,45.4700,45.1100,45.1700,3102400
2004-12-07,45.3000,45.3200,45.0700,45.1100,3797300
2004-12-08,43.8000,44.0200,43.3600,44.0100,6148600
2004-12-09,43.7500,43.9000,43.2000,43.7800,3553400
2004-12-10,43.3700,43.6000,43.3100,43.4400,2464300
2004-12-13,43.6100,44.0100,43.5100,43.9100,1445100
2004-12-14,43.7600,43.8000,43.5100,43.5500,2240600
2004-12-15,44.1000,44.1700,43.9200,43.9900,2641400
2004-12-16,43.9900,44.0500,43.5800,43.6800,3269800
2004-12-17,43.9300,44.2200,43.7800,44.1900,1889300
2004-12-20,44.3300,44.3700,44.1300,44.3400,1942100
2004-12-21,44.1300,44.2400,44.0500,44.2200,1373400
2004-12-22,44.2000,44.2300,43.8900,44.0200,2705800
2004-12-23,44.1700,44.3500,44.0500,44.2700,639800
2004-12-27,44.2900,44.5600,44.2700,44.4800,2643500
2004-12-28,44.4200,44.4700,44.2900,44.3700,773200
2004-12-29,43.9200,44.0200,43.3500,43.6600,5632200
2004-12-30,43.5000,43.8800,43.4900,43.8300,1289600
2004-12-31,43.8500,43.9400,43.7300,43.8000,531600
2005-01-03,42.9800,43.1700,42.7400,43.0200,4750400
2005-01-04,42.8000,42.9100,42.4600,42.7400,3456800
2005-01-05,42.7500,42.8800,42.6000,42.6700,2033600
2005-01-06,42.4800,42.5600,42.0700,42.1500,2556400
2005-01-07,42.0900,42.3900,41.7000,41.8400,4492700
2005-01-10,41.9900,42.0700,41.8900,41.9500,1025800
2005-01-11,42.2100,42.2800,42.1200,42.2100,1507300
2005-01-12,42.5200,42.7900,42.4800,42.6000,1738000
2005-01-13,42.3900,42.6000,42.3400,42.6000,718300
2005-01-14,42.1900,42.3200,42.1300,42.3200,1262300
2005-01-18,42.2200,42.3800,42.1500,42.3200,666800
2005-01-19,42.6500,42.6500,42.2000,42.2600,1578900
2005-01-20,42.1200,42.3200,42.1100,42.2500,1276200
2005-01-21,42.3200,42.8200,42.2900,42.7400,889800
2005-01-24,42.7400,42.8200,42.6700,42.7700,2294900
2005-01-25,42.5300,42.5600,42.1000,42.2400,1332500
2005-01-26,42.5900,42.7800,42.5600,42.6900,541800
2005-01-27,42.4800,42.6500,42.4000,42.6200,571200
2005-01-28,42.7100,42.7300,42.4300,42.6900,1149100
2005-01-31,42.2100,42.3000,41.9600,42.2200,1692400
2005-02-01,42.0900,42.1400,41.9500,42.1000,1088900
2005-02-02,42.2200,42.2300,42.0200,42.1600,956500
2005-02-03,41.5600,41.7400,41.5000,41.6800,2446400
2005-02-04,41.5900,41.6500,41.3900,41.4700,1819400
2005-02-07,41.5500,41.5500,41.2100,41.2700,1754000
2005-02-08,41.1900,41.4000,41.0500,41.2600,1296800
2005-02-09,41.0300,41.3600,41.0200,41.3100,3477900
2005-02-10,41.5300,41.8400,41.4500,41.7500,7774500
2005-02-11,41.8900,42.1600,41.8300,42.0800,1896500
2005-02-14,42.4200,42.6300,42.3200,42.5500,2351800
2005-02-15,42.4000,42.6000,42.3400,42.5800,1559900
2005-02-16,42.3200,42.6000,42.2000,42.5200,1820400
2005-02-17,42.5200,42.8100,42.5100,42.7300,3054200
2005-02-18,42.7100,42.8200,42.6400,42.7500,863200
2005-02-22,43.3900,43.6300,43.2000,43.5700,3378400
2005-02-23,43.2900,43.5500,43.1500,43.4200,1534900
2005-02-24,43.4800,43.4800,43.2000,43.3300,1219300
2005-02-25,43.4100,43.5500,43.2200,43.5000,1100100
2005-02-28,43.6800,43.7400,43.5200,43.5300,755300
2005-03-01,43.3000,43.3700,43.1000,43.2200,3245600
2005-03-02,43.1600,43.3500,43.0800,43.2500,1188000
2005-03-03,43.0600,43.1300,42.9000,42.9700,1924600
2005-03-04,43.3100,43.5200,43.3100,43.3800,915000
2005-03-07,43.3200,43.5100,43.2600,43.4700,1290100
2005-03-08,43.7100,44.0800,43.5900,44.0300,2674900
2005-03-09,43.9500,44.2000,43.9200,44.0200,3025000
2005-03-10,44.1500,44.2500,44.0000,44.2000,2065000
2005-03-11,44.3100,44.6700,44.2800,44.4300,2659600
2005-03-14,44.2600,44.2600,43.9500,44.0300,866600
2005-03-15,44.2300,44.2300,43.9300,44.0600,1254900
2005-03-16,44.2900,44.3500,44.2000,44.3100,2223300
2005-03-17,43.9700,43.9700,43.6700,43.8200,1525200
2005-03-18,43.6100,43.9500,43.6000,43.8900,1207500
2005-03-21,43.2100,43.2500,42.8700,43.0900,3814400
2005-03-22,43.2100,43.2200,42.5500,42.6500,2609400
2005-03-23,42.6000,42.6700,42.3500,42.4200,2618600
2005-03-24,42.5100,42.5400,42.3700,42.3900,1466300
2005-03-28,42.4600,42.5800,42.4100,42.5400,581100
2005-03-29,42.6100,42.6300,42.5400,42.5600,1197800
2005-03-30,42.6500,42.8100,42.5600,42.6100,1324300
2005-03-31,42.8700,42.8700,42.7000,42.8200,1363200
2005-04-01,42.6000,42.6200,42.4500,42.6200,2448500
2005-04-04,42.4300,42.4300,42.2300,42.4000,1893100
2005-04-05,42.4900,42.5400,42.3800,42.4500,888000
2005-04-06,42.4900,42.7200,42.4900,42.6300,1637500
2005-04-07,42.7700,42.8100,42.5300,42.5700,2853000
2005-04-08,42.4800,42.7100,42.4600,42.6900,1002100
2005-04-11,42.8400,42.9600,42.7400,42.7800,514100
2005-04-12,42.7000,42.8400,42.6100,42.8400,2098700
2005-04-13,42.7600,42.9500,42.6800,42.9000,384000
2005-04-14,42.4500,42.4800,42.1600,42.3100,3679800
2005-04-15,42.3800,42.5600,42.3600,42.4000,1811100
2005-04-18,42.5500,42.7800,42.5200,42.6900,909800
2005-04-19,42.7900,43.3600,42.7200,43.2800,3145400
2005-04-20,43.2100,43.5200,43.1900,43.4000,1248100
2005-04-21,43.4200,43.4300,43.1400,43.1900,1550600
2005-04-22,43.4600,43.5000,43.3100,43.3900,1169000
2005-04-25,43.3500,43.4500,43.2200,43.4400,906300
2005-04-26,43.6900,43.7000,43.5000,43.6400,1531400
2005-04-27,43.5300,43.5400,43.1200,43.2000,2762500
2005-04-28,43.1600,43.2700,42.9900,43.0000,2260300
2005-04-29,43.1800,43.6100,43.1800,43.3500,3736700
2005-05-02,43.1300,43.1700,42.8100,42.8800,1707400
2005-05-03,42.7500,42.8000,42.5800,42.7600,1268700
2005-05-04,42.8700,42.9200,42.7300,42.9000,607600
2005-05-05,42.9600,42.9600,42.7100,42.9100,319300
2005-05-06,42.4300,42.6300,42.3400,42.5200,3722700
2005-05-09,42.5400,42.6100,42.4800,42.5500,600000
2005-05-10,42.7100,42.7900,42.5800,42.6400,461000
2005-05-11,42.5500,42.8300,42.5100,42.6900,764600
2005-05-12,42.4100,42.4800,41.9700,42.1600,1878700
2005-05-13,42.1200,42.1200,41.8300,41.9500,802600
2005-05-16,41.7700,41.9000,41.7700,41.8800,874500
2005-05-17,41.9500,42.0500,41.8300,41.8600,880800
2005-05-18,41.9900,42.1100,41.8300,42.0500,2207100
2005-05-19,42.0000,42.0500,41.8700,41.9800,610200
2005-05-20,41.7600,41.8300,41.6100,41.6500,932800
2005-05-23,41.6900,41.7500,41.5500,41.6200,5001900
2005-05-24,41.8300,41.8300,41.6500,41.7300,1684600
2005-05-25,41.7900,41.9000,41.6900,41.8700,1535100
2005-05-26,41.7300,41.8100,41.6500,41.6900,341500
2005-05-27,41.8100,41.9600,41.7400,41.8800,2453600
2005-05-31,41.3400,41.6900,41.3300,41.6500,3198900
2005-06-01,41.4100,41.6500,41.4000,41.5300,1787900
2005-06-02,41.9200,42.2800,41.9100,42.1000,5752600
2005-06-03,42.3300,42.3900,42.1700,42.1700,3350700
2005-06-06,42.5600,42.6500,42.4500,42.4800,2470800
2005-06-07,42.4800,42.4800,42.3100,42.3800,611000
2005-06-08,42.4500,42.5600,42.2400,42.3400,691500
2005-06-09,42.2400,42.4000,42.0300,42.2700,694700
2005-06-10,42.2500,42.7200,42.1200,42.6200,1678000
2005-06-13,42.8200,43.0100,42.7000,42.7800,2331600
2005-06-14,42.6600,42.7000,42.5800,42.6000,825500
2005-06-15,42.6900,42.8900,42.6700,42.7400,2311400
2005-06-16,43.3000,43.5500,43.1700,43.4600,1809200
2005-06-17,43.7800,43.8500,43.6100,43.6300,1816500
2005-06-20,43.9400,43.9400,43.6600,43.6600,1433700
2005-06-21,43.5800,43.8200,43.4200,43.8100,672600
2005-06-22,43.6600,43.7600,43.5300,43.7200,1258500
2005-06-23,43.8400,44.1300,43.7800,44.0200,1576600
2005-06-24,43.9600,44.0600,43.6800,43.9000,473500
2005-06-27,43.9000,43.9300,43.7300,43.9100,1016600
2005-06-28,43.6400,43.6400,43.3700,43.4500,1295600
2005-06-29,43.4900,43.7000,43.4600,43.6300,1199800
2005-06-30,43.6300,43.7700,43.3600,43.4400,1087500
2005-07-01,43.4000,43.4000,42.5900,42.7000,1755100
2005-07-05,42.3400,42.3400,42.0600,42.2800,2582700
2005-07-06,42.3600,42.3800,42.2400,42.2500,1254600
2005-07-07,42.4700,42.5600,42.0500,42.3600,4345200
