date,o,h,l,c,v
2007-04-11,31.6928,31.7050,31.6928,31.6928,1900
2007-04-12,31.7141,31.7141,31.6928,31.7141,6100
2007-04-13,31.7050,31.7354,31.6564,31.6564,3400
2007-04-16,31.6685,31.6685,31.6321,31.6442,7600
2007-04-17,31.6321,31.7080,31.6290,31.6290,28100
2007-04-18,31.6442,31.6685,31.6321,31.6382,6300
2007-04-19,31.6473,31.7596,31.6047,31.7475,47500
2007-04-20,31.7506,31.7506,31.7232,31.7293,4900
2007-04-23,31.7657,31.7870,31.7232,31.7475,1700
2007-04-24,31.7657,31.9844,31.7141,31.9662,398500
2007-04-25,31.9753,32.0148,31.9753,32.0148,16300
2007-04-26,32.0209,32.0725,31.9783,32.0725,48200
2007-04-27,32.0452,32.0725,32.0452,32.0725,8300
2007-04-30,32.0603,32.0816,31.9905,32.0755,15500
2007-05-01,32.0612,32.1100,32.0612,32.0795,8600
2007-05-02,32.0856,32.0978,32.0399,32.0673,4700
2007-05-03,32.0917,32.1252,32.0399,32.0703,17200
2007-05-04,32.0856,32.1130,32.0429,32.1099,4600
2007-05-07,32.0765,32.1069,32.0704,32.1069,4200
2007-05-08,32.1435,32.1465,32.1160,32.1313,16100
2007-05-09,32.1587,32.1617,32.0277,32.0460,9400
2007-05-10,32.1922,32.2257,32.1343,32.1617,17400
2007-05-11,32.1739,32.2165,32.1495,32.1800,12200
2007-05-14,32.1891,32.1922,32.1465,32.1770,11600
2007-05-15,32.1922,32.2622,32.1526,32.1526,39400
2007-05-16,32.2318,32.2409,32.2287,32.2379,78100
2007-05-17,32.2500,32.2622,32.1891,32.2287,14500
2007-05-18,32.2683,32.2683,32.2379,32.2379,5200
2007-05-21,32.2653,32.2714,32.2379,32.2683,14600
2007-05-22,32.3079,32.3110,32.2013,32.2714,10200
2007-05-23,32.2592,32.3171,32.1922,32.2470,22500
2007-05-24,32.2957,32.2957,32.2379,32.2561,17100
2007-05-25,32.2744,32.4267,32.2226,32.3018,7400
2007-05-29,32.1922,32.1983,32.1556,32.1739,4900
2007-05-30,32.2440,32.2653,32.2074,32.2470,4300
2007-05-31,32.2500,32.2500,32.1769,32.1952,6200
2007-06-01,32.1909,32.1970,32.1419,32.1909,13500
2007-06-04,32.2185,32.2246,32.1634,32.2185,21800
2007-06-05,32.2216,32.2216,32.1726,32.1726,4500
2007-06-06,32.1572,32.1756,32.1205,32.1327,74600
2007-06-07,32.0776,32.0776,31.9122,31.9827,12100
2007-06-08,31.9153,31.9337,31.8265,31.8969,17800
2007-06-11,31.8203,31.8724,31.7285,31.8295,2900
2007-06-12,31.7805,31.7836,31.5662,31.6672,67300
2007-06-13,31.7377,31.7928,31.5049,31.7223,24600
2007-06-14,31.6488,31.7468,31.5937,31.7468,18200
2007-06-15,31.6978,31.7530,31.6978,31.7407,13500
2007-06-18,31.8234,31.8234,31.6672,31.7591,14600
2007-06-19,31.8020,31.8020,31.6550,31.7989,19600
2007-06-20,31.8020,31.8020,31.5172,31.5172,16900
2007-06-21,31.5447,31.6764,31.5447,31.5754,13900
2007-06-22,31.6121,31.6550,31.4957,31.6366,27800
2007-06-25,31.6366,31.6488,31.4375,31.4528,29000
2007-06-26,31.5263,31.6029,31.4528,31.5447,43600
2007-06-27,31.4804,31.4835,31.3855,31.4345,6800
2007-06-28,31.4069,31.4345,31.2170,31.2691,9500
2007-06-29,31.2691,31.3916,31.1803,31.1803,14600
2007-07-02,31.3321,31.5077,31.2397,31.4246,19600
2007-07-03,31.3938,31.3938,31.3014,31.3661,11700
2007-07-05,31.3784,31.3815,31.1104,31.2521,14600
2007-07-06,31.2490,31.3599,31.1504,31.2859,8200
2007-07-09,31.2490,31.4184,31.2367,31.3815,8400
2007-07-10,31.2644,31.3476,31.1165,31.2983,19700
2007-07-11,31.3075,31.3106,30.9809,31.0641,17200
2007-07-12,31.1165,31.1566,31.0272,31.1566,8300
2007-07-13,31.2089,31.2890,31.1165,31.2859,5200
2007-07-16,31.2305,31.3660,31.1966,31.2983,17100
2007-07-17,31.3322,31.3352,31.1843,31.3352,10600
2007-07-18,31.3229,31.3229,31.0549,31.1011,15600
2007-07-19,31.1257,31.1350,31.1257,31.1350,6400
2007-07-20,31.1103,31.2151,30.9901,31.0548,18600
2007-07-23,31.0241,31.0272,30.9625,30.9871,9000
2007-07-24,30.9625,30.9655,30.7653,30.8084,44900
2007-07-25,30.7776,30.7776,30.4017,30.5157,28100
2007-07-26,30.3463,30.6544,29.6962,30.0844,43200
2007-07-27,29.8842,29.8842,29.4190,29.5823,44600
2007-07-30,29.8811,29.8903,29.6839,29.8687,24600
2007-07-31,29.8842,30.2538,29.8842,29.9704,34000
2007-08-01,30.0293,30.0293,29.5394,29.9084,33500
2007-08-02,30.0759,30.1813,30.0759,30.0790,28800
2007-08-03,30.1875,30.1875,29.8867,30.0790,20100
2007-08-06,30.6216,30.6216,29.7844,30.0138,30400
2007-08-07,30.7767,30.7767,30.0169,30.2278,68800
2007-08-08,30.6991,31.1643,30.3891,30.5844,30300
2007-08-09,30.5813,30.6743,30.3921,30.5534,12800
2007-08-10,30.4511,30.5038,30.3115,30.4914,18800
2007-08-13,30.7053,30.7146,30.5131,30.7146,21300
2007-08-14,30.7984,30.7984,30.4418,30.4759,12400
2007-08-15,30.4976,30.7116,30.4759,30.6464,9100
2007-08-16,31.0092,31.0092,30.3829,30.6061,15300
2007-08-17,30.6992,31.0092,30.5751,30.9162,30000
2007-08-20,31.0092,31.0092,30.6216,30.6216,49300
2007-08-21,30.7767,30.9627,30.4077,30.4635,33700
2007-08-22,30.5751,30.7612,30.4201,30.6991,52700
2007-08-23,30.7518,30.9472,30.6991,30.8852,59400
2007-08-24,30.9162,30.9627,30.7488,30.9627,11600
2007-08-27,31.0092,31.1643,30.9782,31.1643,11800
2007-08-28,31.1643,31.2883,31.0093,31.0558,55800
2007-08-29,31.0092,31.2883,30.9069,31.1798,18300
2007-08-30,31.2387,31.3317,31.0774,31.2449,42900
2007-08-31,31.4682,31.5302,31.3224,31.5271,11300
2007-09-04,31.8151,31.8151,31.5124,31.7464,13500
2007-09-05,31.7152,31.7870,31.5842,31.7589,14400
2007-09-06,31.6653,31.7433,31.6653,31.7402,16400
2007-09-07,31.7932,31.7932,31.3408,31.3783,50700
2007-09-10,31.6684,31.6684,31.3908,31.5124,10000
2007-09-11,31.6622,31.8244,31.5124,31.7714,24100
2007-09-12,31.8244,31.9804,31.6310,31.9149,32000
2007-09-13,31.9024,31.9024,31.5811,31.8026,10900
2007-09-14,31.8088,32.1177,31.5811,32.1021,33900
2007-09-17,32.1364,32.2924,31.9368,32.2488,20100
2007-09-18,32.3704,32.5607,32.1302,32.4796,31400
2007-09-19,32.5264,33.1036,32.5108,33.1005,85900
2007-09-20,33.0849,33.0849,32.1364,32.2893,410400
2007-09-21,32.7573,32.8853,31.8556,32.3705,105100
2007-09-24,32.0366,32.5888,32.0272,32.5888,45500
2007-09-25,32.1364,32.6668,32.1364,32.6668,167500
2007-09-26,32.6668,32.6668,32.4890,32.5483,25300
2007-09-27,32.6045,32.6201,31.5624,32.4485,49200
2007-09-28,32.5951,32.5982,32.3236,32.4485,46700
2007-10-01,32.7985,32.8079,32.4406,32.5725,50300
2007-10-02,32.1894,32.6478,32.1894,32.6353,72100
2007-10-03,32.6509,32.7985,32.4374,32.4626,35300
2007-10-04,32.5881,32.6352,32.4280,32.6007,17600
2007-10-05,32.6415,32.6509,32.5002,32.6195,22900
2007-10-08,32.7200,32.7734,32.6070,32.7294,18600
2007-10-09,32.7514,32.7577,32.6510,32.7546,14600
2007-10-10,32.8016,32.8016,32.6980,32.7263,21200
2007-10-11,32.8048,32.8079,32.6509,32.7734,22300
2007-10-12,32.7828,32.8393,32.7828,32.8079,73700
2007-10-15,33.0277,33.0277,32.8079,32.9649,24600
2007-10-16,32.8079,32.8644,32.6823,32.8393,60600
2007-10-17,32.6603,32.8550,32.4343,32.4343,15200
2007-10-18,32.7231,32.7294,32.4155,32.4186,13200
2007-10-19,32.4155,32.6321,32.0230,32.2742,40200
2007-10-22,32.2742,32.2742,31.9759,31.9759,64600
2007-10-23,32.0827,32.2428,32.0073,32.2428,27000
2007-10-24,32.2114,32.2585,32.1172,32.2428,22200
2007-10-25,32.3338,32.3338,32.2240,32.2899,16600
2007-10-26,32.2428,32.3652,32.2114,32.3652,10800
2007-10-29,32.4908,32.4939,32.3558,32.4626,19900
2007-10-30,32.4311,32.4311,32.2428,32.3997,10500
2007-10-31,32.5285,32.6509,32.3496,32.6039,12000
2007-11-01,32.4585,32.5185,32.2341,32.3921,29400
2007-11-02,32.3890,32.3921,32.2088,32.3131,32300
2007-11-05,33.4982,33.4982,32.0761,32.2973,13800
2007-11-06,32.2973,32.5975,32.2973,32.4648,34900
2007-11-07,32.1772,32.5817,32.1772,32.4237,11900
2007-11-08,32.5027,32.5027,31.7316,32.0129,121000
2007-11-09,32.0982,32.1551,31.7632,32.1551,38400
2007-11-12,32.5564,32.5564,32.2025,32.2815,41400
2007-11-13,32.5343,32.5343,32.0951,32.1551,15300
2007-11-14,32.4711,32.4711,32.1393,32.2341,7800
2007-11-15,32.2309,32.3415,32.1330,32.2246,15500
2007-11-16,32.5501,32.5501,32.0856,32.2341,18400
2007-11-19,32.4553,32.4553,32.1646,32.2341,16700
2007-11-20,32.1551,32.3573,31.7316,31.9181,26500
2007-11-21,31.8233,31.8233,30.6540,31.3177,139600
2007-11-23,31.3493,31.7601,31.2576,31.2576,3100
2007-11-26,30.9700,31.9181,30.9700,31.6020,69500
2007-11-27,31.7601,32.0698,31.4441,31.6495,25700
2007-11-28,31.4693,31.9813,31.4693,31.9497,11700
2007-11-29,32.1551,32.1551,31.6336,32.1077,20200
2007-11-30,32.2341,32.3921,32.0793,32.2373,34900
2007-12-03,32.7562,32.7562,32.1520,32.5622,31400
2007-12-04,32.7563,32.7563,32.4383,32.4383,16300
2007-12-05,32.3365,32.5973,31.8849,32.0566,270600
2007-12-06,32.3142,32.3587,31.8022,32.3428,33200
2007-12-07,31.9930,32.5941,31.9930,32.3269,27100
2007-12-10,32.0343,32.3237,32.0343,32.2792,23500
2007-12-11,32.4923,32.5909,32.0725,32.2474,30300
2007-12-12,32.5973,32.9948,32.2792,32.4223,29400
2007-12-13,32.3587,32.5273,32.1934,32.4064,44500
2007-12-14,32.5972,32.5972,32.1806,32.4541,15600
2007-12-17,32.5972,32.5972,32.1584,32.2792,18900
2007-12-18,32.2506,32.4382,32.2506,32.3110,53200
2007-12-19,32.1552,32.4701,32.1552,32.4701,24000
2007-12-20,32.2474,32.4224,32.2474,32.4001,31300
2007-12-21,32.5909,32.5909,32.2443,32.5019,37600
2007-12-24,32.4446,32.5209,32.1838,32.3874,66800
2007-12-26,32.2888,32.3428,32.1838,32.2442,48400
2007-12-27,32.3578,32.4921,32.3578,32.4569,22900
2007-12-28,32.4281,32.4985,32.0604,32.1403,88500
2007-12-31,32.0476,32.2171,31.9389,32.2107,38800
2008-01-02,31.8397,32.2683,31.7566,31.8205,61800
2008-01-03,31.8525,31.9644,31.7438,31.7598,64800
2008-01-04,31.9836,31.9964,31.6094,31.7246,48600
2008-01-07,31.8173,31.8173,31.4367,31.5359,177200
2008-01-08,31.8173,31.8173,31.3408,31.3536,42100
2008-01-09,31.4975,31.4975,30.9986,31.0114,51600
2008-01-10,31.0754,31.3952,31.0050,31.2417,154800
2008-01-11,31.2896,31.5007,31.1202,31.3088,71700
