date,o,h,l,c,v
2000-05-26,32.5342,32.6681,32.3779,32.6681,74800
2000-05-30,33.1371,33.8739,33.1371,33.8739,57600
2000-05-31,33.9856,34.4322,33.9856,33.9967,36000
2000-06-01,34.6945,34.7671,34.6945,34.7671,7000
2000-06-02,36.3413,36.5758,36.3413,36.5758,29400
2000-06-05,36.4865,36.8438,36.3972,36.4418,48400
2000-06-06,37.0168,37.4467,36.6875,36.7991,151800
2000-06-07,36.5758,36.8438,36.2409,36.8438,131000
2000-06-08,37.2457,37.2457,36.7544,36.7544,91400
2000-06-09,37.1117,37.4020,37.0894,37.4020,41600
2000-06-12,37.5137,37.5137,36.2632,36.2911,85200
2000-06-13,36.2018,36.7544,35.8613,36.7544,168200
2000-06-14,37.0559,37.0559,36.5758,36.5758,43200
2000-06-15,36.3525,36.6205,36.0008,36.6205,26800
2000-06-16,36.7768,36.7991,36.4195,36.4195,30200
2000-06-19,36.6205,37.3350,36.4530,37.3350,59200
2000-06-20,37.3908,37.6365,37.2457,37.5806,47000
2000-06-21,37.2670,37.8479,37.2670,37.7808,66800
2000-06-22,37.8925,37.8925,36.6414,36.6414,139600
2000-06-23,36.9988,36.9988,36.1051,36.3956,235800
2000-06-26,36.5408,36.8425,36.3733,36.8425,93600
2000-06-27,36.8983,37.2223,36.2616,36.2616,112800
2000-06-28,36.4180,37.3116,36.4180,37.1776,170600
2000-06-29,36.9988,37.0659,36.4850,36.5967,212200
2000-06-30,36.6190,36.9486,36.3174,36.9486,1171800
2000-07-03,36.8648,37.4680,36.8201,37.4680,15800
2000-07-05,37.2558,37.2670,36.9151,37.0435,138800
2000-07-06,37.0547,37.4792,36.7084,37.4792,154600
2000-07-07,37.4848,37.8590,37.4848,37.7138,71800
2000-07-10,37.6915,38.0936,37.6915,37.9596,44800
2000-07-11,37.8925,38.1048,37.7808,37.9149,253200
2000-07-12,38.1160,38.6745,38.0713,38.6745,45200
2000-07-13,38.7081,38.7974,38.6075,38.7974,102600
2000-07-14,38.9985,38.9985,38.5181,38.8309,54800
2000-07-17,38.8644,39.0320,38.7639,38.9650,46600
2000-07-18,38.7080,38.7080,38.2947,38.2947,235400
2000-07-19,38.1718,38.1718,37.6244,37.6244,35400
2000-07-20,37.9819,38.2500,37.9819,38.2500,150400
2000-07-21,38.0266,38.0266,37.1999,37.1999,150600
2000-07-24,37.4010,37.4010,36.5799,36.6581,37000
2000-07-25,36.9486,36.9486,36.5073,36.7307,36800
2000-07-26,36.4626,36.6637,36.0828,36.6637,15800
2000-07-27,36.5911,36.5911,35.6583,35.6583,275000
2000-07-28,35.8650,35.8650,34.9434,35.0327,171600
2000-07-31,35.2115,35.9264,34.8093,35.9264,166400
2000-08-01,35.6583,35.7924,35.4907,35.6918,263400
2000-08-02,35.4796,35.9488,35.3902,35.7477,388600
2000-08-03,35.0551,35.7924,35.0551,35.7253,1084200
2000-08-04,36.1498,36.1610,35.6918,35.9041,570400
2000-08-07,36.0381,36.5688,36.0381,36.5688,88200
2000-08-08,36.4626,36.5743,36.3956,36.3956,49600
2000-08-09,36.6637,36.6637,36.1331,36.1331,23000
2000-08-10,36.1387,36.1722,35.8147,35.9264,43000
2000-08-11,35.5689,36.5520,35.5689,36.5520,176000
2000-08-14,36.4403,36.9318,36.4180,36.9318,56800
2000-08-15,36.8536,36.9095,36.3956,36.3956,189200
2000-08-16,36.5520,36.8425,36.4180,36.5744,219400
2000-08-17,36.7084,37.0659,36.6190,36.9095,358800
2000-08-18,37.0435,37.1329,36.7754,36.8536,52200
2000-08-21,37.0882,37.1217,36.7531,36.9877,129200
2000-08-22,37.0100,37.2446,36.9318,36.9318,195600
2000-08-23,36.8871,36.9989,36.7308,36.8760,153000
2000-08-24,37.0770,37.6244,37.0770,37.4234,276200
2000-08-25,37.4457,37.6691,37.3340,37.5797,208600
2000-08-28,37.7585,37.9819,37.5798,37.6468,156000
2000-08-29,37.7361,38.0043,37.6244,38.0043,140200
2000-08-30,37.9707,38.1830,37.8367,38.0489,619000
