date,o,h,l,c,v
2009-09-28,20.5431,20.6007,20.5431,20.5431,800
2009-09-29,20.5431,20.5431,20.5431,20.5431,0
2009-09-30,20.2717,20.2717,20.2717,20.2717,1000
2009-10-01,20.3046,20.3046,20.2800,20.2882,22000
2009-10-02,20.0086,20.0086,20.0003,20.0003,2200
2009-10-05,20.0003,20.0003,20.0003,20.0003,0
2009-10-06,20.0003,20.0003,20.0003,20.0003,0
2009-10-07,20.4691,20.5267,20.4691,20.5267,600
2009-10-08,20.5267,20.5267,20.5267,20.5267,0
2009-10-09,20.5267,20.5267,20.5267,20.5267,0
2009-10-12,20.8721,20.8721,20.8721,20.8721,300
2009-10-13,20.8721,20.8721,20.8721,20.8721,0
2009-10-14,20.9790,21.0859,20.9379,21.0859,13900
2009-10-15,21.0530,21.0859,21.0448,21.0859,1500
2009-10-16,21.0612,21.1106,20.9872,21.1106,14700
2009-10-19,21.2750,21.2833,21.2668,21.2750,2900
2009-10-20,21.2257,21.2257,21.0941,21.1599,1700
2009-10-21,21.1846,21.2750,20.9872,20.9954,53500
2009-10-22,21.0365,21.0365,21.0365,21.0365,100
2009-10-23,21.1270,21.1270,20.9708,21.0694,36700
2009-10-26,21.1517,21.1517,20.9543,20.9543,7500
2009-10-27,20.9214,20.9214,20.7898,20.8145,600
2009-10-28,20.7652,20.7652,20.5596,20.5596,4100
2009-10-29,20.6583,20.8556,20.6500,20.8556,2100
2009-10-30,20.8145,20.8474,20.3869,20.3869,13600
2009-11-02,20.4773,20.6171,20.4773,20.5020,9600
2009-11-03,20.5349,20.5349,20.4691,20.5185,1300
2009-11-04,20.7898,20.8474,20.1730,20.6418,6400
2009-11-05,20.8145,21.0201,20.8145,21.0201,2000
2009-11-06,21.0859,21.0859,21.0859,21.0859,100
2009-11-09,21.3573,21.4313,21.3573,21.4313,3500
2009-11-10,21.5135,21.5547,21.5135,21.5547,800
2009-11-11,21.6862,21.7274,21.6451,21.6616,2200
2009-11-12,21.5876,21.6122,21.5300,21.5300,900
2009-11-13,21.5711,21.7027,21.5629,21.5629,2500
2009-11-16,21.8425,21.8425,21.8425,21.8425,100
2009-11-17,21.8836,21.9741,21.8836,21.9741,900
2009-11-18,21.8754,21.9001,21.8754,21.9001,1800
2009-11-19,21.6698,21.7438,21.6698,21.7438,1200
2009-11-20,21.6780,21.6945,21.6780,21.6945,3300
2009-11-23,22.0070,22.0070,21.9741,21.9741,1400
2009-11-24,21.9741,21.9741,21.9741,21.9741,0
2009-11-25,21.9905,22.0563,21.9905,22.0481,2100
2009-11-27,21.7274,21.7274,21.7274,21.7274,100
2009-11-30,21.8425,21.8425,21.7191,21.7191,23500
2009-12-01,21.9658,22.1056,21.9658,22.0892,10400
2009-12-02,22.1468,22.1468,22.1468,22.1468,200
2009-12-03,22.0892,22.1139,21.9001,21.9001,3100
2009-12-04,21.9083,21.9823,21.9083,21.9823,400
2009-12-07,21.9823,21.9823,21.9823,21.9823,0
2009-12-08,21.7931,21.7931,21.6533,21.6533,23700
2009-12-09,21.6862,21.6862,21.6862,21.6862,100
2009-12-10,21.9576,21.9576,21.9576,21.9576,500
2009-12-11,22.0645,22.0645,22.0645,22.0645,300
2009-12-14,22.1139,22.1139,22.0399,22.1139,2200
2009-12-15,22.0316,22.0316,21.9987,21.9987,6300
2009-12-16,22.1303,22.1303,21.9823,21.9823,1400
2009-12-17,21.9823,21.9823,21.9823,21.9823,0
2009-12-18,21.8672,21.8672,21.7356,21.7356,1400
2009-12-21,22.0728,22.0974,22.0728,22.0892,700
2009-12-22,22.1797,22.1961,22.1714,22.1797,16500
2009-12-23,22.2366,22.2614,22.1871,22.2614,4500
2009-12-24,22.2614,22.2614,22.2614,22.2614,0
2009-12-28,22.4348,22.4431,22.3853,22.4183,5200
2009-12-29,22.4926,22.4926,22.4761,22.4761,500
2009-12-30,22.3853,22.4596,22.3853,22.4596,4700
2009-12-31,22.4596,22.4596,22.3770,22.3770,1500
2010-01-04,22.3770,22.5256,22.3770,22.5009,2500
2010-01-05,22.5009,22.5009,22.3935,22.3935,1900
2010-01-06,22.4596,22.4596,22.4596,22.4596,5100
2010-01-07,22.3853,22.3853,22.2862,22.3687,1700
2010-01-08,22.4018,22.4761,22.4018,22.4513,5800
2010-01-11,22.5504,22.5504,22.5091,22.5091,900
2010-01-12,22.5091,22.5091,22.5091,22.5091,0
2010-01-13,22.4596,22.5587,22.4596,22.5587,600
2010-01-14,22.5422,22.6412,22.5422,22.6412,4100
2010-01-15,22.4266,22.4844,22.4266,22.4761,5600
2010-01-19,22.5009,23.1449,22.5009,22.7486,250400
2010-01-20,22.3770,22.4843,22.3192,22.4843,6100
2010-01-21,22.2944,22.2944,22.1045,22.1045,42700
2010-01-22,21.9889,21.9889,21.6751,21.6751,1500
2010-01-25,21.8320,21.8485,21.7164,21.7660,51100
2010-01-26,21.8568,21.8568,21.7412,21.7412,1600
2010-01-27,21.6504,21.9146,21.5926,21.7908,194800
2010-01-28,21.7990,21.7990,21.4605,21.4605,2200
2010-01-29,21.5430,21.6421,21.2293,21.2293,4600
2010-02-01,21.3779,21.4439,21.3614,21.4439,4500
2010-02-02,21.5018,21.6999,21.4274,21.6834,487900
2010-02-03,21.6091,21.6751,21.5595,21.6751,18200
2010-02-04,21.2953,21.2953,21.1384,21.1384,13200
2010-02-05,21.0971,21.1137,20.8577,20.9155,17400
2010-02-08,21.0971,21.0971,21.0971,21.0971,200
2010-02-09,21.1880,21.3366,21.0971,21.3366,12800
2010-02-10,21.2623,21.2953,21.0889,21.2953,900
2010-02-11,21.2127,21.3779,21.2127,21.3779,200
