date,o,h,l,c,v
2012-04-25,17.0739,17.1074,17.0487,17.0990,2700
2012-04-26,17.2417,17.2417,17.0487,17.1829,107100
2012-04-27,17.4598,17.4598,17.2836,17.3927,35200
2012-04-30,17.4766,17.4766,17.3507,17.4095,107000
2012-05-01,17.4347,17.6025,17.3507,17.6025,163200
2012-05-02,17.4514,17.4514,17.3256,17.4263,29600
2012-05-03,17.4430,17.4430,17.2668,17.2920,48000
2012-05-04,17.2333,17.2333,16.9816,16.9984,35200
2012-05-07,17.0235,17.0235,16.8809,16.9732,25000
2012-05-08,16.9564,16.9564,16.6711,16.8977,40800
2012-05-09,16.8054,16.8054,16.6124,16.7383,24700
2012-05-10,16.9816,16.9816,16.6460,16.7215,513500
2012-05-11,16.6711,16.7718,16.6040,16.6628,21000
2012-05-14,16.5033,16.6040,16.4194,16.5117,15400
2012-05-15,16.4950,16.5537,16.3607,16.3859,17000
2012-05-16,16.4950,16.6040,16.3104,16.3188,47200
2012-05-17,16.3188,16.3188,16.0587,16.0587,25500
2012-05-18,16.1174,16.1258,15.8657,15.9076,56200
2012-05-21,15.9748,16.1677,15.9412,16.1677,31200
2012-05-22,16.1761,16.1929,16.0251,16.0251,48200
2012-05-23,15.9999,15.9999,15.8070,15.9664,15000
2012-05-24,16.1174,16.1174,15.9244,16.0335,35100
2012-05-25,16.0922,16.1342,15.9748,15.9999,18500
2012-05-29,16.1510,16.2516,16.0754,16.1510,21900
2012-05-30,16.1006,16.1006,15.8405,15.8909,18800
2012-05-31,15.8657,15.8825,15.6811,15.8489,8100
2012-06-01,15.6559,15.6559,15.4798,15.5133,21800
2012-06-04,15.5133,15.5301,15.3455,15.4965,70600
2012-06-05,15.4965,15.6056,15.4965,15.5217,10000
2012-06-06,15.7063,15.8993,15.7063,15.8657,5400
2012-06-07,15.9999,16.1761,15.9748,15.9916,66300
2012-06-08,15.8993,16.0671,15.8993,16.0587,5500
2012-06-11,16.2097,16.2097,15.8825,15.8825,12100
