date,o,h,l,c,v
2007-03-30,15.1818,15.1909,15.1788,15.1788,2000
2007-04-02,15.1969,15.2242,15.1969,15.2121,11700
2007-04-03,15.2121,15.2484,15.2121,15.2484,4800
2007-04-04,15.2423,15.2484,15.2060,15.2060,7200
2007-04-05,15.2242,15.2363,15.2181,15.2272,7000
2007-04-09,15.2423,15.2484,15.2090,15.2393,7200
2007-04-10,15.2484,15.2635,15.2272,15.2514,8400
2007-04-11,15.2605,15.2605,15.2090,15.2242,8100
2007-04-12,15.2302,15.2302,15.2090,15.2151,4200
2007-04-13,15.2090,15.2212,15.1364,15.2121,6900
2007-04-16,15.2272,15.2363,15.1697,15.2060,18400
2007-04-17,15.2181,15.2272,15.1969,15.2211,20300
2007-04-18,15.2181,15.2242,15.2090,15.2181,9200
2007-04-19,15.2242,15.2242,15.1788,15.1848,13900
2007-04-20,15.2121,15.2211,15.1969,15.2211,4800
2007-04-23,15.2181,15.2393,15.1364,15.2090,12400
2007-04-24,15.2302,15.2333,15.2090,15.2181,20100
2007-04-25,15.2121,15.2423,15.1818,15.2090,29300
2007-04-26,15.2060,15.2151,15.1969,15.2121,13400
2007-04-27,15.2454,15.2454,15.2151,15.2302,7700
2007-04-30,15.2393,15.2484,15.2332,15.2332,7400
2007-05-01,15.2409,15.2409,15.2104,15.2256,13400
2007-05-02,15.2348,15.2652,15.2348,15.2652,11800
2007-05-03,15.2865,15.2865,15.2652,15.2774,19600
2007-05-04,15.2835,15.2835,15.2713,15.2744,32900
2007-05-07,15.2896,15.2957,15.2744,15.2835,55400
2007-05-08,15.3048,15.3078,15.2774,15.3048,24400
2007-05-09,15.3292,15.3292,15.2957,15.2957,21100
2007-05-10,15.3139,15.3139,15.2774,15.2774,10200
2007-05-11,15.3139,15.3383,15.3139,15.3352,5500
2007-05-14,15.3901,15.3901,15.3687,15.3687,14200
2007-05-15,15.3779,15.3961,15.3596,15.3626,9400
2007-05-16,15.3596,15.3626,15.2987,15.3231,13100
2007-05-17,15.2987,15.3048,15.2804,15.2957,10700
2007-05-18,15.2865,15.2926,15.2652,15.2804,20300
2007-05-21,15.2591,15.2926,15.2591,15.2926,9800
2007-05-22,15.2865,15.3779,15.2835,15.3139,20500
2007-05-23,15.3139,15.3383,15.3078,15.3139,5500
2007-05-24,15.2957,15.3017,15.2561,15.2896,15100
2007-05-25,15.2530,15.2804,15.2348,15.2622,12400
2007-05-29,15.2744,15.2926,15.2652,15.2652,4500
2007-05-30,15.2804,15.3139,15.2804,15.3048,7600
2007-05-31,15.3109,15.3322,15.2926,15.3261,15200
