date,o,h,l,c,v
1999-03-10,43.1271,43.1534,42.4153,43.0743,5232000
1999-03-11,43.3907,43.6411,42.4417,43.2852,9688600
1999-03-12,43.1270,43.1534,41.8881,42.2308,8743600
1999-03-15,42.5471,43.4961,42.0990,43.4434,6369000
1999-03-16,43.6279,43.9970,43.1534,43.8125,4905800
1999-03-17,43.8124,43.8652,43.3643,43.4961,3965000
1999-03-18,43.4434,44.3660,43.4302,44.3397,4848400
1999-03-19,44.9196,44.9196,43.1798,43.2061,7160400
1999-03-22,43.3907,43.4961,42.5998,42.6789,5024800
1999-03-23,42.4417,42.5998,41.0972,41.1763,10962400
1999-03-24,41.5454,42.5998,40.9127,42.5735,8447000
1999-03-25,43.2325,44.1288,42.9491,44.1288,8133800
1999-03-26,43.7597,44.2606,43.4698,43.6543,8256200
1999-03-29,44.1815,45.2623,43.9179,45.2360,5113800
1999-03-30,45.1832,45.5523,44.7351,44.9196,4940600
1999-03-31,45.6578,45.7105,44.1288,44.2606,8256600
1999-04-01,45.5523,45.6050,44.4451,45.1832,8715800
1999-04-05,45.9148,46.8835,45.6314,46.8176,5697200
1999-04-06,46.7649,47.4240,46.3695,46.9099,7522400
1999-04-07,47.3449,47.4503,45.4205,46.4222,11923600
1999-04-08,46.3431,47.0153,45.3941,46.7913,7952400
1999-04-09,46.7122,47.1867,46.5804,47.0813,4946800
1999-04-12,45.9741,47.0812,45.9213,46.7649,10934000
1999-04-13,47.0549,47.1603,45.7632,46.1323,9962200
1999-04-14,46.7122,46.7649,44.2936,44.5506,21253800
1999-04-15,44.7087,45.2294,43.1271,45.1569,17650600
1999-04-16,45.0514,45.0514,43.6016,43.8388,17274000
1999-04-19,44.1288,44.4978,41.3411,41.7826,19460600
1999-04-20,41.5981,43.0743,41.2027,42.7316,17413600
1999-04-21,43.1271,44.8669,42.5471,44.8406,10940400
1999-04-22,45.2623,46.1850,44.9658,46.0532,13630600
1999-04-23,45.8159,47.0022,45.3414,46.6595,7064400
1999-04-26,46.9758,48.0830,46.8242,47.7337,5421000
1999-04-27,48.0830,48.3202,46.4025,47.0022,16482800
1999-04-28,46.6068,46.7649,45.1898,45.3941,7676800
1999-04-29,45.1832,45.4469,44.0761,45.0251,19148200
1999-04-30,45.6577,45.8950,43.7070,45.3151,15295200
1999-05-03,45.1832,45.3678,44.3199,45.0778,11109800
1999-05-04,45.1569,45.8686,44.1024,44.3661,15428400
1999-05-05,44.3924,45.7105,43.0480,45.7105,12642600
1999-05-06,45.2887,45.6841,43.6279,44.0497,15173400
1999-05-07,44.4451,44.8142,43.4961,44.6824,16430400
1999-05-10,44.9723,45.4337,44.4451,45.1305,10604200
1999-05-11,45.4996,46.0795,45.2360,45.8423,8800800
1999-05-12,46.0532,46.9494,44.7087,46.7913,12507400
1999-05-13,47.1603,47.2394,45.7105,45.9214,9864000
1999-05-14,45.0251,45.5523,44.7087,45.0514,12205400
1999-05-17,44.6560,46.0004,44.2145,45.8620,9906800
1999-05-18,45.8159,46.0795,45.1305,45.6577,9267800
1999-05-19,45.8423,46.3168,45.1305,46.2904,7985600
1999-05-20,46.3893,46.3893,44.9460,45.0185,5997200
1999-05-21,45.1569,45.2887,44.3660,44.6033,10958600
1999-05-24,44.6824,44.7615,43.1798,43.4698,9569800
1999-05-25,43.4170,44.0497,41.8617,42.0462,17771200
1999-05-26,42.5999,43.3907,41.2818,43.2193,26772000
1999-05-27,43.0480,43.8059,42.4944,43.1798,23334800
1999-05-28,43.4434,44.1288,42.8898,43.8915,12969800
1999-06-01,43.8125,44.0234,42.6789,42.9162,6960200
1999-06-02,42.8898,43.8652,41.8156,43.6411,11996600
1999-06-03,43.9706,43.9706,42.7580,43.0216,11147800
1999-06-04,43.3380,44.4913,43.3380,44.3397,12987200
1999-06-07,44.6494,45.5457,44.5506,45.2623,11491800
1999-06-08,45.3678,45.5787,43.8981,44.1288,8134800
1999-06-09,44.2870,44.9921,44.2606,44.8669,8384400
1999-06-10,44.3924,44.6560,43.8191,44.3529,9392400
1999-06-11,44.6560,44.7022,43.2852,43.6807,16567600
1999-06-14,43.8388,43.8388,42.7580,42.8569,14136800
1999-06-15,42.9623,43.7531,42.8371,43.4961,9147800
1999-06-16,44.5769,45.7302,44.5242,45.7302,15060200
1999-06-17,45.1305,46.4486,45.1305,46.2377,16278200
1999-06-18,45.8159,46.5804,45.7368,46.4486,5392800
1999-06-21,46.7649,47.8655,46.6858,47.8391,10565200
1999-06-22,47.5557,48.1620,46.3958,46.3958,10862800
1999-06-23,46.4025,47.2394,46.1059,47.1274,9607000
1999-06-24,47.1076,47.1340,45.9741,46.1916,14988800
1999-06-25,46.5013,46.8704,45.7105,46.1323,8635600
1999-06-28,46.5277,47.2921,46.1454,47.2262,7666200
1999-06-29,47.1867,48.0566,46.9494,47.8721,9000400
1999-06-30,47.9182,50.5609,47.3515,48.6102,19467600
1999-07-01,48.7684,49.2165,47.9248,48.9397,6822600
1999-07-02,48.9265,49.6119,48.9265,49.5592,3302000
1999-07-06,49.8228,50.3237,48.9793,49.2429,8794800
1999-07-07,49.2165,49.5328,48.8738,49.3220,10520000
1999-07-08,49.3220,50.1853,49.0847,49.9810,11225000
1999-07-09,50.1655,50.5346,49.7965,50.4819,4206800
1999-07-12,50.6664,50.9300,49.9283,50.2182,7816200
1999-07-13,49.9810,50.1655,49.5856,49.9810,6230000
1999-07-14,50.4818,50.9300,49.7701,50.8311,6909400
1999-07-15,51.0091,51.2991,50.7257,51.2991,6539800
1999-07-16,51.3254,52.0635,51.3056,51.7735,4913800
1999-07-19,51.9845,51.9845,51.0420,51.2463,6833000
1999-07-20,50.6203,50.6928,49.1374,49.2692,14837400
1999-07-21,49.3747,49.9349,48.9793,49.5065,10980400
1999-07-22,49.5065,49.5065,48.1093,48.2477,15148400
1999-07-23,48.6102,48.8145,47.8194,48.3202,12115000
1999-07-26,47.6612,48.1884,47.0549,47.1340,10720000
1999-07-27,48.0830,48.8211,47.6744,48.0830,13732800
1999-07-28,48.6629,49.2956,48.0368,49.0254,10161800
1999-07-29,48.1093,48.5048,47.5030,47.9775,13033800
1999-07-30,48.1884,48.7156,47.6678,47.7403,10947400
1999-08-02,47.8194,48.7684,47.4240,47.6085,9642400
1999-08-03,48.2609,48.2675,46.6067,47.2987,13005000
1999-08-04,47.2987,47.6546,46.4025,46.4420,13227600
1999-08-05,46.4486,47.1801,45.3414,47.1801,18695200
1999-08-06,46.8440,47.7139,46.3431,46.6727,12392200
1999-08-09,46.8440,46.9758,45.9807,46.0729,7983400
1999-08-10,45.9477,46.2838,44.6560,45.6577,16767200
1999-08-11,46.4749,47.2394,45.7764,47.1603,13101400
1999-08-12,47.3449,47.6612,46.5013,46.6067,12715000
1999-08-13,47.5821,48.6893,47.5030,48.6366,14342600
1999-08-16,48.6102,49.1901,48.2939,49.0254,11470600
1999-08-17,49.4538,49.5065,48.3730,49.2692,11408400
1999-08-18,49.0320,49.6383,48.5311,48.7157,7035200
1999-08-19,48.2675,48.6102,47.8260,48.1357,10157800
1999-08-20,48.1884,48.9002,47.9248,48.9002,6920800
1999-08-23,49.3483,50.4555,49.2363,50.4555,9652000
1999-08-24,50.0864,51.3518,49.9876,50.7982,13891400
1999-08-25,51.1145,52.0899,50.5610,51.8790,11352000
1999-08-26,51.8790,52.0635,50.9366,51.0157,9753000
1999-08-27,51.3979,51.4045,50.3764,50.5082,9635400
1999-08-30,50.7191,50.8773,49.6647,49.7965,10141600
1999-08-31,50.1392,50.6664,49.0320,50.3501,14590400
1999-09-01,50.6664,51.1409,50.3501,50.7125,10752000
1999-09-02,49.7701,50.7982,49.6647,50.5346,14583200
1999-09-03,51.9844,52.8741,51.7999,52.8544,14195400
1999-09-07,52.7489,53.2762,52.5381,52.6171,9009000
1999-09-08,52.3008,52.8280,51.4836,51.9054,14303400
1999-09-09,51.9317,52.7753,51.6681,52.6435,12677600
1999-09-10,53.3552,53.7704,52.7489,53.2498,10251000
1999-09-13,53.1971,53.3025,52.3271,52.6105,7240800
1999-09-14,52.4062,53.2696,52.3008,52.9005,10022600
1999-09-15,53.5596,53.5596,51.8263,51.8790,16096000
1999-09-16,51.8526,52.3271,50.7784,51.8526,15371000
1999-09-17,52.3271,53.5134,52.2481,53.4080,14506400
1999-09-20,53.5661,53.7770,53.1707,53.5332,6187200
1999-09-21,53.0653,53.1707,52.0965,52.2481,12265800
1999-09-22,52.3271,53.0784,51.6945,52.8017,12441800
1999-09-23,53.3552,53.4607,50.3039,50.6137,19766000
1999-09-24,50.2973,50.8773,49.4538,50.6796,23570800
1999-09-27,51.4045,51.7736,50.8773,51.0354,12608800
1999-09-28,50.7784,51.4572,49.6910,51.2727,20622000
1999-09-29,51.2727,51.6418,50.2446,50.2446,15557000
1999-09-30,50.7191,51.2991,50.0865,50.7719,17604200
1999-10-01,50.0864,50.7916,49.5592,50.7916,19607400
1999-10-04,51.0618,52.1162,50.7718,51.9317,12434200
1999-10-05,52.1163,52.9335,51.1936,52.3008,19526400
1999-10-06,52.6171,53.4277,51.8197,53.3486,19098200
1999-10-07,53.6452,53.9022,52.8280,53.2234,22013600
1999-10-08,53.0125,53.9352,52.3008,53.7836,22523200
1999-10-11,53.9352,54.5679,53.8034,54.5415,13016000
1999-10-12,54.3570,54.7920,53.1444,53.3025,20182800
1999-10-13,52.6962,53.3289,51.5099,51.7208,22570600
1999-10-14,51.9054,52.4062,51.0618,52.0438,22130400
1999-10-15,50.7191,51.4572,50.1985,50.5082,33703000
1999-10-18,50.5609,50.7455,48.4323,49.8690,24714800
1999-10-19,50.4094,50.6664,49.2956,50.1392,26657200
1999-10-20,50.9036,52.0833,50.4028,51.6681,22486400
1999-10-21,50.8246,52.5117,50.4555,52.5117,22454800
1999-10-22,52.8214,53.3552,52.0899,52.2744,16589400
1999-10-25,52.0372,52.8742,51.8263,52.3008,13855400
1999-10-26,52.9335,53.2235,51.7736,51.8790,13542400
1999-10-27,51.7472,51.9845,50.9893,51.7999,15225200
1999-10-28,52.6171,53.7770,52.1426,53.5925,14103800
1999-10-29,54.8315,55.8859,54.6469,55.4641,19000000
1999-11-01,55.4641,56.1232,55.1017,55.1742,9681800
1999-11-02,55.4642,56.1496,54.9962,55.2071,12834800
1999-11-03,55.9914,56.6240,55.8332,56.3077,18752600
1999-11-04,57.0920,57.2040,56.3341,56.9404,20048600
1999-11-05,58.1003,58.3903,57.5203,57.5203,15134600
1999-11-08,57.7312,58.8845,57.5467,58.6802,10890800
1999-11-09,59.1547,59.2602,57.7839,58.2848,14629800
1999-11-10,58.3112,59.5501,58.0475,59.0493,16561000
1999-11-11,59.6819,60.1828,59.1547,60.1037,18501400
1999-11-12,60.4201,60.9473,58.5220,60.8946,28646600
1999-11-15,60.9473,61.1582,60.4728,60.7760,10909400
1999-11-16,61.0000,62.6080,60.7364,62.3181,19126400
1999-11-17,62.3181,62.5883,61.1582,61.4745,21683600
1999-11-18,61.8963,63.3593,61.5272,63.3593,17738400
1999-11-19,63.0825,64.0316,62.8453,63.9261,17939400
1999-11-22,64.0579,65.3760,62.9508,62.9508,18841800
1999-11-23,64.4797,64.5324,62.6344,63.2407,24047600
1999-11-24,63.4253,65.5803,62.7662,65.3233,18617800
1999-11-26,66.1405,66.4568,65.2705,65.5341,8045200
1999-11-29,65.4023,65.9559,64.3742,64.4533,20485200
1999-11-30,64.5852,64.6906,62.0018,62.0018,23702400
1999-12-01,62.6871,63.6625,62.2126,63.3461,23205800
1999-12-02,63.5834,65.4814,63.5439,65.3562,17229200
1999-12-03,66.9050,67.6431,66.5623,66.7468,21444600
1999-12-06,67.0038,67.9067,66.3778,67.3531,16018400
1999-12-07,67.5640,67.8276,66.5030,67.3531,23397000
1999-12-08,67.3729,67.9001,66.3777,66.5359,19563000
1999-12-09,67.4849,67.8540,65.1651,66.8522,28445400
1999-12-10,67.4058,67.6431,65.9032,67.4058,20428400
1999-12-13,67.1751,68.6118,66.8786,68.3218,16209200
1999-12-14,68.1176,68.5130,66.6413,67.0895,27760200
1999-12-15,66.3250,68.3812,65.7451,68.3812,31797200
1999-12-16,69.2774,70.2265,68.9611,70.0683,27219600
1999-12-17,71.2809,71.5972,70.3780,70.6746,23892400
1999-12-20,71.2018,71.9136,70.5955,71.5973,15392000
1999-12-21,71.8081,75.4460,71.3995,75.4460,26003800
1999-12-22,75.2351,75.3406,73.7589,75.2088,22313600
1999-12-23,75.8085,76.5532,75.0769,76.1050,17543600
1999-12-27,76.1841,76.2105,74.1543,75.6569,19281800
1999-12-28,75.7096,76.3423,74.7079,75.1824,15346400
1999-12-29,75.9205,78.0294,75.8151,78.0294,16512600
1999-12-30,78.9784,79.0838,77.1858,77.1858,21887000
1999-12-31,78.1348,78.6094,77.0804,77.0804,14464400
2000-01-03,81.1400,81.1400,76.5532,79.9274,36345200
2000-01-04,77.6076,78.8730,74.1807,74.4443,33786600
2000-01-05,73.8115,75.6041,71.0700,72.5462,42496600
2000-01-06,73.2844,74.2334,67.2740,67.5640,37134800
2000-01-07,69.9629,75.9205,69.5938,75.9205,28138200
2000-01-10,76.7641,79.2420,75.8678,78.0294,29675600
2000-01-11,77.3967,78.3457,73.3898,74.2334,32546600
2000-01-12,75.0769,75.2812,72.5463,72.5990,29050000
2000-01-13,74.6551,77.1858,73.4557,76.9749,25165200
2000-01-14,78.4512,78.9784,77.6076,78.7675,21898600
2000-01-18,77.6604,79.6638,77.1331,79.1893,16752400
2000-01-19,78.8664,80.9819,77.9701,80.9819,19006000
2000-01-20,80.5601,81.7200,79.3013,80.1910,25958000
2000-01-21,81.4037,81.4564,80.1910,81.1928,18698200
2000-01-24,82.1945,82.3526,76.7377,77.2913,28340400
2000-01-25,77.5022,79.3936,75.4196,78.4512,33276200
2000-01-26,78.6621,78.7148,75.0770,75.2879,23095600
2000-01-27,77.3967,78.0294,73.9170,76.3950,30739200
2000-01-28,75.9204,76.3159,71.4918,72.5462,35313800
2000-01-31,72.4408,75.9205,70.4373,75.6569,36014600
2000-02-01,75.5251,78.0294,74.6024,77.6867,26417600
2000-02-02,77.8185,79.9010,77.6867,78.3457,26169200
2000-02-03,79.5584,81.5091,77.8449,81.4036,30579800
2000-02-04,81.8254,82.8733,81.1664,81.9572,26640000
2000-02-07,82.0363,83.1962,81.1928,83.0908,17761000
2000-02-08,83.8289,86.7814,83.8289,86.5705,21999400
2000-02-09,86.0959,86.2080,83.3016,83.5125,27258200
2000-02-10,84.1979,86.2541,83.1369,86.2541,26341600
2000-02-11,86.0960,86.0960,82.6690,84.2507,24876000
2000-02-14,84.3495,84.3561,82.4581,84.1452,22814600
2000-02-15,83.4598,84.8834,80.8764,84.7515,30572800
2000-02-16,84.2770,85.7796,83.7762,84.3561,25310600
2000-02-17,85.3578,87.0977,84.0398,86.1487,30080200
2000-02-18,86.5705,86.8868,83.0380,83.0380,25271200
2000-02-22,83.5126,84.3034,81.1928,83.3017,37226200
2000-02-23,84.0859,88.5739,83.6444,87.9413,32170800
2000-02-24,88.4685,90.0963,86.0432,89.8393,48868200
2000-02-25,89.5756,90.6828,87.6249,87.7830,32617600
2000-02-28,87.0977,89.1538,84.7779,87.7303,38216200
2000-02-29,89.2066,90.3401,88.5212,90.0502,23978600
2000-03-01,90.4719,91.5791,89.8393,90.7883,24468400
2000-03-02,91.1573,91.2628,88.3630,88.6860,32739200
2000-03-03,91.1046,93.7407,90.2610,93.6880,32017200
2000-03-06,94.2680,95.5070,93.0026,94.4262,23268400
2000-03-07,96.0078,96.0605,91.7373,93.0026,39471000
2000-03-08,93.6353,94.4788,89.6547,93.8462,43512600
2000-03-09,93.8198,97.4313,92.0272,97.0095,30101400
2000-03-10,96.9041,98.2222,95.7508,96.5878,29750600
2000-03-13,92.7917,96.2714,92.3963,94.0571,37544200
2000-03-14,95.1115,95.6387,88.5739,90.5774,39106800
2000-03-15,89.8393,90.2610,85.9378,86.7814,51202600
2000-03-16,88.8903,92.1591,85.1997,91.7373,55282200
2000-03-17,91.1046,93.6880,91.0519,93.4771,31422400
2000-03-20,93.6353,94.0571,89.6284,90.8410,21167200
2000-03-21,89.5229,94.4261,87.3613,94.2680,33435100
2000-03-22,95.7442,97.8267,93.7407,96.1660,24370200
2000-03-23,96.5746,99.3293,95.7969,97.8531,19227400
2000-03-24,99.1053,101.6491,97.0227,99.1712,22063000
2000-03-27,99.5402,100.8056,98.8021,99.3293,11752600
2000-03-28,98.6835,99.3820,95.4279,96.7986,18336300
2000-03-29,97.3258,97.3785,92.7917,92.7917,27189500
2000-03-30,90.4719,95.1115,87.3086,90.4719,42328700
2000-03-31,91.2232,93.3189,87.7304,92.3699,31349900
2000-04-03,90.9069,92.0536,84.9888,86.8340,31551300
2000-04-04,87.4140,87.6776,74.4970,85.9905,66213000
2000-04-05,82.2472,87.6776,81.1927,84.4615,37631500
2000-04-06,86.3596,87.6249,84.1452,86.4650,30499900
2000-04-07,87.8358,90.5774,86.5705,89.9447,20645500
2000-04-10,90.7882,90.8410,83.7234,84.4615,26988200
2000-04-11,81.9309,85.6214,80.1910,82.4581,34497100
2000-04-12,82.3527,83.3017,76.1314,77.6076,34824400
2000-04-13,78.2930,80.9819,74.2334,74.2334,46330500
2000-04-14,72.5990,74.6552,65.7978,67.8012,60851300
2000-04-17,65.8109,75.9205,65.7978,75.6041,55398500
2000-04-18,75.4856,78.4512,73.7062,77.6076,36260900
2000-04-19,78.0294,78.9784,75.1297,75.2351,28082500
2000-04-20,76.2368,76.7377,72.5990,73.6007,21255600
2000-04-24,70.3847,71.9136,67.3795,71.4918,31190900
2000-04-25,72.9680,76.3422,72.5462,76.3159,28663200
2000-04-26,76.4477,77.9635,73.4953,73.7061,25688300
2000-04-27,70.8591,78.0162,69.3829,76.9749,37010400
2000-04-28,78.9257,79.9274,77.7131,79.9274,24828400
2000-05-01,80.7710,81.7200,79.5056,80.6655,23205700
2000-05-02,80.0328,80.6655,75.7096,76.0259,20307900
2000-05-03,75.4987,76.1314,72.1377,75.1824,26589700
2000-05-04,75.0769,76.5531,73.9170,75.3405,17750700
2000-05-05,74.3388,77.8712,74.2598,77.1331,20571200
2000-05-08,76.3423,76.5532,74.0225,74.1279,13903000
2000-05-09,74.6551,75.1823,71.1227,72.5462,19825800
2000-05-10,71.1754,71.6895,67.0631,67.2740,34847500
2000-05-11,69.8047,71.9136,68.2230,71.3864,24709700
2000-05-12,72.0190,73.8643,70.8591,71.3864,17832000
2000-05-15,71.5445,74.7606,69.6992,74.4970,17950800
2000-05-16,75.9205,77.1858,74.2861,76.6059,23758800
2000-05-17,75.2878,76.3423,74.0225,75.0242,20339400
2000-05-18,75.0769,75.3801,72.0190,72.3354,19063000
2000-05-19,70.6482,71.7027,68.5921,68.9084,28178100
2000-05-22,68.8557,69.3829,63.7548,68.8557,43879800
2000-05-23,68.6448,69.6992,62.6344,63.1089,31898500
2000-05-24,63.2671,67.3795,60.9473,67.0632,49476000
2000-05-25,67.6958,69.3829,64.5325,65.5869,29632700
2000-05-26,65.5869,66.8522,63.8998,65.5869,18203200
2000-05-30,67.4849,72.4935,67.4849,72.1772,31590400
2000-05-31,71.2546,73.1130,69.8047,70.1210,29675400
2000-06-01,71.8609,74.5497,70.8591,73.7061,28993500
2000-06-02,78.1349,79.2420,69.5938,78.9784,31677200
2000-06-05,77.8185,80.4019,77.5022,79.1761,23784300
2000-06-06,78.6093,80.1383,76.6586,76.9749,23200500
2000-06-07,77.2385,79.2947,75.5514,79.0311,22524400
2000-06-08,79.8220,80.0329,77.2913,78.6621,19313800
2000-06-09,79.9274,79.9274,78.4512,79.0838,17014600
2000-06-12,79.5584,79.5584,75.9205,76.5532,16484700
2000-06-13,76.3423,79.8219,75.3801,79.5056,25187900
2000-06-14,80.0328,80.0328,77.1858,77.7130,20274500
2000-06-15,77.5022,79.1893,76.6586,79.0838,18807800
2000-06-16,79.9274,80.4019,78.5039,79.5056,21203400
2000-06-19,79.3079,82.8799,78.1876,82.6690,20042500
2000-06-20,82.8799,84.0925,81.9836,82.3527,20988300
2000-06-21,81.6673,84.1189,81.5618,83.4071,20880600
2000-06-22,83.1962,83.5125,79.7165,80.3492,21526700
2000-06-23,80.1383,80.5601,77.0804,77.1858,24888100
2000-06-26,78.5039,79.6506,77.6076,79.2947,22169200
2000-06-27,79.0970,80.1910,77.9239,78.3457,14786000
2000-06-28,78.4380,80.5601,78.0294,79.2947,19259800
2000-06-29,78.3985,78.7675,76.4477,77.3045,21355800
2000-06-30,77.4495,79.2552,77.0277,78.8203,15153100
2000-07-03,78.8730,80.3492,78.6621,80.3492,5212000
2000-07-05,78.9784,79.2684,76.6586,77.2386,16489000
2000-07-06,77.2386,79.9274,75.9732,79.2947,23594700
2000-07-07,80.1383,81.8254,79.6638,80.9291,16603200
2000-07-10,79.8747,80.8764,79.2947,79.7033,12659400
2000-07-11,79.3475,80.7710,78.2930,80.1383,14374600
2000-07-12,80.5073,82.4581,79.8219,82.0363,18252600
2000-07-13,82.6163,84.1452,81.9309,83.0908,19566700
2000-07-14,84.5670,85.3051,83.3544,84.8834,17219400
2000-07-17,85.1470,86.0960,84.2507,85.8324,13140500
2000-07-18,84.6724,85.0151,82.9721,83.9343,20684000
2000-07-19,82.9326,83.4598,80.6919,82.0363,21828500
2000-07-20,82.5635,84.7779,82.0495,84.6724,19521200
2000-07-21,83.0381,83.9475,81.8254,81.8254,14411400
2000-07-24,82.6163,83.5126,79.5056,80.1383,18579200
2000-07-25,80.6655,81.8254,79.1365,80.7709,19065700
2000-07-26,80.5601,81.0873,78.6621,80.6655,20318700
2000-07-27,79.2420,80.1910,77.2386,77.5022,26141800
2000-07-28,77.7658,78.3457,72.5463,73.2844,36485600
2000-07-31,73.9170,76.0259,72.3090,75.4460,27609900
2000-08-01,75.7623,75.9073,73.9698,74.4443,15751800
2000-08-02,74.1279,76.2500,72.9680,73.1262,23578200
2000-08-03,71.0700,76.9750,70.2792,76.2896,35874700
2000-08-04,77.6076,78.2535,75.1824,76.0259,22283400
2000-08-07,76.6586,78.4775,76.1314,77.8185,15103300
2000-08-08,77.6604,79.5057,77.1859,79.4002,14832300
2000-08-09,79.0311,79.6638,77.0804,77.2913,18649800
2000-08-10,77.4495,77.8054,75.4988,75.7624,15336200
2000-08-11,75.2878,76.8563,74.1279,76.8168,21050600
2000-08-14,77.0804,78.4512,76.0918,78.4512,12539300
2000-08-15,78.2403,79.2815,77.6076,78.4512,14090300
2000-08-16,78.8202,79.8747,77.6076,79.2420,15245300
2000-08-17,78.3984,80.8764,78.3457,80.7709,14492400
2000-08-18,80.9291,81.5091,79.8747,80.3492,14706700
2000-08-21,80.9819,81.7068,79.6111,80.5601,13560100
2000-08-22,80.9819,82.1286,80.3624,80.5601,14878200
2000-08-23,79.8747,82.1945,79.1498,81.8782,21396400
2000-08-24,82.1945,83.2489,81.0346,83.1435,13567700
2000-08-25,83.0776,84.3165,81.8254,82.6953,11764700
2000-08-28,82.8799,84.2243,82.6163,83.0908,12314200
2000-08-29,83.1962,83.6575,82.5503,83.5125,11162800
2000-08-30,82.9326,83.9344,82.4713,83.4071,10545300
2000-08-31,84.0398,86.0432,83.4071,85.7269,15588700
2000-09-01,86.8868,87.3218,85.3579,86.5705,14071900
2000-09-05,85.7269,85.8323,83.8684,83.9343,16348300
2000-09-06,83.7234,83.9211,80.5601,80.9819,20964900
2000-09-07,81.6673,83.8684,81.4564,82.7744,16669700
2000-09-08,82.4713,82.6690,79.9406,80.2438,23475200
2000-09-11,79.7165,81.0873,77.6076,78.2930,27262100
2000-09-12,78.8730,79.8747,76.6323,77.0804,24256000
2000-09-13,76.1314,79.1893,75.9205,78.8730,34093100
2000-09-14,80.3492,80.9291,78.1480,78.4512,28615300
2000-09-15,78.5566,78.9784,76.5005,77.0277,24994600
2000-09-18,77.4494,78.4512,74.2334,75.8150,29218500
2000-09-19,76.5532,79.1102,75.8151,78.6094,27568700
2000-09-20,78.7675,80.3360,77.0277,79.8220,33123200
2000-09-21,79.0839,79.7034,73.3898,74.0225,25031400
2000-09-22,73.9170,78.6621,73.8116,78.3984,33710100
2000-09-25,78.9784,79.5056,75.9205,76.3159,20560800
2000-09-26,76.5664,78.0294,75.0110,75.4460,26011200
2000-09-27,76.4477,76.9222,74.2334,75.5514,28482900
2000-09-28,74.8397,78.4512,74.8397,77.2386,29050000
2000-09-29,77.6076,77.9899,74.8133,74.8660,27198800
2000-10-02,76.1314,76.1314,72.5463,73.1789,24968200
2000-10-03,74.2861,74.9188,70.2397,70.8591,35731200
2000-10-04,70.4374,73.2712,69.2775,72.2299,37672100
2000-10-05,71.9136,73.5480,71.3337,72.4409,23443100
2000-10-06,72.1772,73.0207,68.5393,70.0155,36335800
2000-10-09,69.6465,70.7010,66.9577,69.6992,28834600
2000-10-10,69.0139,70.2792,65.6924,66.0614,35283200
2000-10-11,64.8488,67.8671,64.1634,65.0069,48462600
2000-10-12,66.8522,67.1158,62.7662,63.3725,53223600
2000-10-13,63.0035,68.8557,62.9507,68.5393,42410200
2000-10-16,68.4339,69.4356,67.2740,69.1720,27644900
2000-10-17,70.1210,70.1605,65.7977,66.0086,52101400
2000-10-18,64.7434,68.4867,62.8981,65.7978,64354400
2000-10-19,69.5015,71.7950,68.6975,71.7554,44278900
2000-10-20,71.2809,74.1279,71.1886,72.8099,40692200
2000-10-23,72.7045,73.8116,70.9646,72.7045,28989200
2000-10-24,72.9153,73.3898,69.4884,69.5938,31466200
2000-10-25,68.5393,69.1720,64.8619,65.6923,48635400
2000-10-26,65.9559,67.4849,62.1072,67.3794,69991300
2000-10-27,68.2098,69.0534,65.3628,67.2476,51046400
2000-10-30,65.9559,67.3794,63.8602,64.7565,35496700
2000-10-31,65.7978,69.6465,65.6923,68.9216,43863800
2000-11-01,67.7485,69.8574,66.7995,68.3284,45186400
2000-11-02,69.3302,70.2265,68.3812,69.1720,26594300
2000-11-03,69.9101,70.8064,68.8688,70.0683,29837100
2000-11-06,70.5428,70.9645,69.1720,69.5410,23485800
2000-11-07,68.6975,69.5674,67.6958,69.2774,24334400
2000-11-08,69.2775,69.3829,63.7943,63.8602,40338200
2000-11-09,63.0562,64.9015,61.5799,63.8470,64955900
2000-11-10,62.6344,63.8470,60.5255,60.5255,49235500
2000-11-13,59.8533,62.5817,57.5862,60.6177,75023400
