date,o,h,l,c,v
2003-05-01,17.7346,17.9717,17.6767,17.9067,157200
2003-05-02,17.8874,18.2404,17.8874,18.2404,61200
2003-05-05,18.2755,18.3580,18.2158,18.2790,140000
2003-05-06,18.2965,18.5090,18.2965,18.4247,30000
2003-05-07,18.3141,18.4844,18.2614,18.3527,20800
2003-05-08,18.1842,18.2755,18.1473,18.1543,92800
2003-05-09,18.2965,18.4528,18.2158,18.4107,28800
2003-05-12,18.4370,18.7671,18.4107,18.7531,36800
2003-05-13,18.7004,18.7970,18.6512,18.7092,16800
2003-05-14,18.7390,18.7531,18.6653,18.7531,35600
2003-05-15,18.8936,18.9480,18.7935,18.9480,41600
2003-05-16,18.9058,18.9813,18.7829,18.9813,44800
2003-05-19,18.9023,18.9023,18.4879,18.4879,38800
2003-05-20,18.5863,18.6091,18.3194,18.4651,224400
2003-05-21,18.4195,18.5389,18.3404,18.5389,617600
2003-05-22,18.5863,18.8303,18.5863,18.8022,17200
2003-05-23,18.7706,18.9146,18.7496,18.9076,124800
2003-05-27,18.8584,19.3167,18.8584,19.3150,28800
2003-05-28,19.3641,19.4396,19.2763,19.3659,136000
2003-05-29,19.4080,19.5415,19.2588,19.2974,92000
2003-05-30,19.4379,19.6749,19.4344,19.6749,19600
2003-06-02,19.8593,20.0068,19.7838,19.7838,49200
2003-06-03,19.7452,19.8330,19.6890,19.7768,129200
2003-06-04,19.7803,20.1982,19.7803,20.1912,144400
2003-06-05,20.0682,20.3334,20.0682,20.3334,31200
2003-06-06,20.5353,20.7513,20.2280,20.2280,57200
2003-06-09,20.0876,20.1157,19.8681,19.8997,104000
2003-06-10,20.0524,20.0700,19.9243,20.0437,70400
2003-06-11,20.0173,20.3878,20.0173,20.3878,88800
2003-06-12,20.5178,20.5178,20.3351,20.4721,54400
2003-06-13,20.4651,20.4651,20.0981,20.1578,155600
2003-06-16,20.2807,20.5652,20.2421,20.5652,63200
2003-06-17,20.6231,20.6231,20.4739,20.6020,34800
2003-06-18,20.5090,20.6231,20.4300,20.5055,29200
2003-06-19,20.5617,20.6056,20.2316,20.2386,62400
2003-06-20,20.3334,20.4563,20.2122,20.2193,78000
2003-06-23,19.9734,19.9734,19.8417,19.9348,32000
2003-06-24,19.8768,19.9471,19.7452,19.8768,109200
2003-06-25,19.9383,20.0314,19.7715,19.7715,36800
2003-06-26,19.7627,19.9734,19.7487,19.9418,70000
2003-06-27,20.0191,20.0261,19.8242,19.8312,22400
2003-06-30,19.9910,19.9910,19.7803,19.8453,53600
2003-07-01,19.7803,19.9295,19.5380,19.9120,62400
2003-07-02,19.9295,20.1648,19.9295,20.1648,117600
2003-07-03,20.0683,20.2000,19.9436,20.0542,25200
2003-07-07,20.2807,20.4352,20.2807,20.3913,47600
2003-07-08,20.4036,20.5810,20.3422,20.5810,48800
2003-07-09,20.5002,20.6337,20.4598,20.5933,21600
2003-07-10,20.4124,20.4124,20.1192,20.2087,24800
2003-07-11,20.3071,20.3948,20.2772,20.3316,17200
2003-07-14,20.5652,20.6863,20.5459,20.6284,28800
2003-07-15,20.5880,20.5880,20.3457,20.3685,98000
2003-07-16,20.4300,20.4300,20.1262,20.1912,27200
2003-07-17,20.1174,20.1174,19.8944,19.8944,14800
2003-07-18,19.9383,20.1912,19.9383,20.1648,22800
2003-07-21,19.9524,19.9524,19.8944,19.9014,70800
2003-07-22,19.8944,20.1578,19.8944,20.1508,26800
2003-07-23,20.1754,20.1754,19.9857,19.9857,22400
2003-07-24,20.3070,20.3738,20.0700,20.0700,16400
2003-07-25,20.1666,20.3773,20.1508,20.3773,10000
2003-07-28,20.4739,20.4739,20.3913,20.4177,15200
2003-07-29,20.4282,20.4282,20.1683,20.2632,14800
2003-07-30,20.2473,20.3281,20.2210,20.2210,24800
2003-07-31,20.3071,20.5722,20.3071,20.3123,126000
2003-08-01,20.1525,20.2035,20.1016,20.1824,48000
2003-08-04,20.1560,20.1964,19.8944,20.1473,39600
2003-08-05,20.1315,20.1315,19.7820,19.7820,42400
2003-08-06,19.7452,19.9225,19.6978,19.8330,24800
2003-08-07,19.8066,19.9260,19.8049,19.9014,25600
2003-08-08,19.9875,20.0050,19.9155,19.9752,62800
