date,o,h,l,c,v
2015-10-12,22.2997,22.2997,22.2732,22.2732,200
2015-10-13,22.2732,22.2732,22.2732,22.2732,0
2015-10-14,22.2732,22.2732,22.2732,22.2732,0
2015-10-15,22.2732,22.2732,22.2732,22.2732,0
2015-10-16,22.4146,22.4146,22.4058,22.4058,200
2015-10-19,22.4058,22.4058,22.4058,22.4058,0
2015-10-20,22.4058,22.4058,22.4058,22.4058,0
2015-10-21,22.4058,22.4058,22.4058,22.4058,0
2015-10-22,22.4942,22.5835,22.4942,22.5835,200
2015-10-23,22.5835,22.5835,22.5835,22.5835,0
2015-10-26,22.8125,22.8125,22.8125,22.8125,100
2015-10-27,22.8125,22.8125,22.8125,22.8125,0
2015-10-28,23.3077,23.3077,23.3077,23.3077,1100
2015-10-29,23.2546,23.2546,23.2546,23.2546,2100
2015-10-30,23.1485,23.1485,23.1485,23.1485,100
2015-11-02,23.1485,23.1485,23.1485,23.1485,100
2015-11-03,23.1485,23.1485,23.1485,23.1485,0
2015-11-04,23.1485,23.1485,23.1485,23.1485,0
2015-11-05,23.0778,23.0778,23.0778,23.0778,200
2015-11-06,23.0955,23.0955,23.0955,23.0955,1000
2015-11-09,23.0955,23.0955,23.0955,23.0955,0
2015-11-10,22.9531,22.9531,22.9531,22.9531,500
2015-11-11,22.9531,22.9531,22.9531,22.9531,0
2015-11-12,22.9531,22.9531,22.9531,22.9531,0
2015-11-13,22.4792,22.4792,22.4792,22.4792,200
2015-11-16,22.3704,22.5941,22.3704,22.5941,300
2015-11-17,22.5941,22.5941,22.5941,22.5941,0
2015-11-18,22.5941,22.5941,22.5941,22.5941,0
2015-11-19,23.0133,23.0133,22.9717,22.9717,500
2015-11-20,22.9717,22.9717,22.9717,22.9717,0
2015-11-23,22.9717,22.9717,22.9717,22.9717,0
2015-11-24,22.9894,23.0336,22.9894,23.0336,400
2015-11-25,23.3873,23.3873,23.3873,23.3873,200
2015-11-27,23.3873,23.3873,23.3873,23.3873,0
2015-11-30,23.3873,23.3873,23.3873,23.3873,0
2015-12-01,23.3130,23.3130,23.3077,23.3077,2000
2015-12-02,23.3077,23.3077,23.3077,23.3077,0
2015-12-03,23.3077,23.3077,23.3077,23.3077,0
2015-12-04,23.3077,23.3077,23.3077,23.3077,0
2015-12-07,23.3077,23.3077,23.3077,23.3077,0
2015-12-08,23.3077,23.3077,23.3077,23.3077,0
2015-12-09,23.3077,23.3077,23.3077,23.3077,0
2015-12-10,23.3077,23.3077,23.3077,23.3077,0
2015-12-11,23.3077,23.3077,23.3077,23.3077,0
2015-12-14,23.3077,23.3077,23.3077,23.3077,0
2015-12-15,23.3077,23.3077,23.3077,23.3077,0
2015-12-16,23.3077,23.3077,23.3077,23.3077,0
2015-12-17,23.3077,23.3077,23.3077,23.3077,0
2015-12-18,22.8924,22.8924,22.8924,22.8924,500
2015-12-21,22.8924,22.8924,22.8924,22.8924,0
2015-12-22,22.8924,22.8924,22.8924,22.8924,0
2015-12-23,22.8924,22.8924,22.8924,22.8924,0
2015-12-24,22.8924,22.8924,22.8924,22.8924,0
2015-12-28,22.8924,22.8924,22.8924,22.8924,0
2015-12-29,22.8924,22.8924,22.8924,22.8924,0
2015-12-30,22.8924,22.8924,22.8924,22.8924,0
2015-12-31,22.8924,22.8924,22.8924,22.8924,0
2016-01-04,22.8924,22.8924,22.8924,22.8924,0
2016-01-05,22.8924,22.8924,22.8924,22.8924,0
2016-01-06,22.6174,22.6174,22.6174,22.6174,200
2016-01-07,22.6174,22.6174,22.6174,22.6174,0
2016-01-08,22.6174,22.6174,22.6174,22.6174,0
2016-01-11,22.6174,22.6174,22.6174,22.6174,0
2016-01-12,22.6174,22.6174,22.6174,22.6174,0
2016-01-13,22.6174,22.6174,22.6174,22.6174,0
2016-01-14,21.7922,21.7922,21.7922,21.7922,300
2016-01-15,21.7922,21.7922,21.7922,21.7922,0
2016-01-19,22.1116,22.1116,22.1116,22.1116,400
2016-01-20,22.1116,22.1116,22.1116,22.1116,0
2016-01-21,21.5615,21.5615,21.5615,21.5615,1000
2016-01-22,21.5615,21.5615,21.5615,21.5615,0
2016-01-25,21.5615,21.5615,21.5615,21.5615,0
2016-01-26,21.5615,21.5615,21.5615,21.5615,0
2016-01-27,21.5615,21.5615,21.5615,21.5615,0
2016-01-28,21.5881,21.5881,21.5881,21.5881,800
2016-01-29,21.5615,21.9785,21.5615,21.9785,3300
2016-02-01,21.9785,21.9785,21.9785,21.9785,0
2016-02-02,21.8277,21.8277,21.7389,21.7389,300
2016-02-03,21.7478,21.7478,21.7389,21.7389,600
2016-02-04,21.7389,21.7389,21.7389,21.7389,0
2016-02-05,21.0735,21.0735,21.0735,21.0735,800
2016-02-08,21.0735,21.0735,21.0735,21.0735,0
2016-02-09,21.0735,21.0735,21.0735,21.0735,0
2016-02-10,20.9847,20.9847,20.9847,20.9847,300
2016-02-11,20.9847,20.9847,20.9847,20.9847,0
2016-02-12,20.8073,20.8073,20.8073,20.8073,100
2016-02-16,21.2687,21.2687,21.2687,21.2687,100
2016-02-17,21.2687,21.2687,21.2687,21.2687,0
2016-02-18,21.5703,21.5703,21.5703,21.5703,200
2016-02-19,21.5703,21.5703,21.5703,21.5703,0
2016-02-22,21.9341,21.9341,21.9341,21.9341,1000
2016-02-23,21.9341,21.9341,21.9341,21.9341,0
2016-02-24,21.9341,21.9341,21.9341,21.9341,0
2016-02-25,21.9341,21.9341,21.9341,21.9341,0
2016-02-26,21.9341,21.9341,21.9341,21.9341,100
2016-02-29,21.9341,21.9341,21.9341,21.9341,0
2016-03-01,21.9341,21.9341,21.9341,21.9341,0
2016-03-02,21.9341,21.9341,21.9341,21.9341,0
2016-03-03,21.9341,21.9341,21.9341,21.9341,0
2016-03-04,22.3689,22.3689,22.3157,22.3157,400
2016-03-07,22.3157,22.3157,22.3157,22.3157,0
2016-03-08,22.3157,22.3157,22.3157,22.3157,0
2016-03-09,22.3157,22.3157,22.3157,22.3157,0
2016-03-10,22.3157,22.3157,22.3157,22.3157,0
2016-03-11,22.3157,22.3157,22.3157,22.3157,0
2016-03-14,22.3157,22.3157,22.3157,22.3157,0
2016-03-15,22.3157,22.3157,22.3157,22.3157,0
2016-03-16,22.3157,22.3157,22.3157,22.3157,0
2016-03-17,22.3778,22.4754,22.3778,22.4754,1700
2016-03-18,22.4754,22.4754,22.4754,22.4754,0
2016-03-21,22.4754,22.4754,22.4754,22.4754,0
2016-03-22,22.4754,22.4754,22.4754,22.4754,0
2016-03-23,22.4754,22.4754,22.4754,22.4754,0
2016-03-24,22.4754,22.4754,22.4754,22.4754,0
2016-03-28,22.4754,22.4754,22.4754,22.4754,0
2016-03-29,22.4754,22.4754,22.4754,22.4754,0
2016-03-30,23.1143,23.1143,23.1143,23.1143,200
2016-03-31,23.1143,23.1143,23.1143,23.1143,0
2016-04-01,23.1143,23.1143,23.1143,23.1143,0
2016-04-04,23.1143,23.1143,23.1143,23.1143,0
2016-04-05,23.1143,23.1143,23.1143,23.1143,0
2016-04-06,23.1143,23.1143,23.1143,23.1143,0
2016-04-07,22.8809,22.8809,22.8809,22.8809,400
2016-04-08,23.0078,23.0078,23.0078,23.0078,1600
2016-04-11,23.0078,23.0078,23.0078,23.0078,0
2016-04-12,23.0078,23.0078,23.0078,23.0078,0
2016-04-13,23.0078,23.0078,23.0078,23.0078,0
2016-04-14,23.0344,23.0433,23.0344,23.0433,2500
2016-04-15,23.0433,23.0433,23.0433,23.0433,0
2016-04-18,22.9900,23.2296,22.9900,23.2296,600
2016-04-19,23.2296,23.2296,23.2296,23.2296,0
2016-04-20,23.2296,23.2296,23.2296,23.2296,0
2016-04-21,23.2296,23.2296,23.2296,23.2296,0
2016-04-22,23.2296,23.2296,23.2296,23.2296,0
2016-04-25,23.2296,23.2296,23.2296,23.2296,0
2016-04-26,23.2296,23.2296,23.2296,23.2296,0
2016-04-27,23.2296,23.2296,23.2296,23.2296,0
2016-04-28,23.2296,23.2296,23.2296,23.2296,0
2016-04-29,23.2296,23.2296,23.2296,23.2296,0
2016-05-02,22.9217,22.9217,22.9217,22.9217,100
2016-05-03,22.9217,22.9217,22.9217,22.9217,0
2016-05-04,22.9217,22.9217,22.9217,22.9217,0
2016-05-05,22.9217,22.9217,22.9217,22.9217,0
2016-05-06,22.9217,22.9217,22.9217,22.9217,0
2016-05-09,22.9217,22.9217,22.9217,22.9217,0
2016-05-10,22.9217,22.9217,22.9217,22.9217,0
2016-05-11,22.9217,22.9217,22.9217,22.9217,0
2016-05-12,22.9217,22.9217,22.9217,22.9217,0
2016-05-13,23.1409,23.1498,23.1409,23.1498,200
2016-05-16,23.1498,23.1498,23.1498,23.1498,0
2016-05-17,23.1498,23.1498,23.1498,23.1498,0
2016-05-18,23.1498,23.1498,23.1498,23.1498,0
2016-05-19,23.1498,23.1498,23.1498,23.1498,0
2016-05-20,22.8392,22.8392,22.8392,22.8392,400
2016-05-23,22.8392,22.8392,22.8392,22.8392,0
2016-05-24,22.8392,22.8392,22.8392,22.8392,0
2016-05-25,22.8392,22.8392,22.8392,22.8392,0
2016-05-26,22.8392,22.8392,22.8392,22.8392,0
2016-05-27,23.0965,23.2385,23.0965,23.2385,600
2016-05-31,23.2385,23.2385,23.2385,23.2385,0
2016-06-01,23.2385,23.2385,23.2385,23.2385,0
2016-06-02,23.1817,23.2562,23.1817,23.2562,500
2016-06-03,23.2562,23.2562,23.2562,23.2562,0
2016-06-06,23.2562,23.2562,23.2562,23.2562,0
2016-06-07,23.2562,23.2562,23.2562,23.2562,0
2016-06-08,23.2562,23.2562,23.2562,23.2562,0
2016-06-09,23.2562,23.2562,23.2562,23.2562,0
2016-06-10,23.2562,23.2562,23.2562,23.2562,0
2016-06-13,23.2562,23.2562,23.2562,23.2562,0
2016-06-14,23.0344,23.0521,23.0344,23.0344,500
2016-06-15,23.0344,23.0344,23.0344,23.0344,0
2016-06-16,23.0344,23.0344,23.0344,23.0344,0
2016-06-17,23.1074,23.1074,23.1074,23.1074,0
2016-06-20,23.1074,23.1074,23.1074,23.1074,0
2016-06-21,23.1074,23.1074,23.1074,23.1074,0
2016-06-22,23.1074,23.1074,23.1074,23.1074,0
2016-06-23,23.1074,23.1074,23.1074,23.1074,0
