date,o,h,l,c,v
1993-01-29,24.1926,24.1926,24.0722,24.1754,1003200
1993-02-01,24.1926,24.3473,24.1926,24.3473,480500
1993-02-02,24.3301,24.4161,24.2785,24.3989,201300
1993-02-03,24.4333,24.6740,24.4161,24.6568,529400
1993-02-04,24.7428,24.8116,24.4677,24.7600,531500
1993-02-05,24.7428,24.7944,24.6052,24.7428,492100
1993-02-08,24.7428,24.8288,24.7084,24.7428,596100
1993-02-09,24.6568,24.6568,24.5193,24.5709,122100
1993-02-10,24.5708,24.6224,24.5021,24.6052,379600
1993-02-11,24.6396,24.8288,24.6396,24.7256,19500
1993-02-12,24.6912,24.6912,24.5365,24.5365,42500
1993-02-16,24.4677,24.4677,23.8831,23.9175,374800
1993-02-17,23.9175,23.9518,23.8143,23.9003,210900
1993-02-18,24.1754,24.1754,23.5564,23.8831,378100
1993-02-19,23.8831,23.9690,23.8487,23.9690,34900
1993-02-22,24.0378,24.0894,23.9691,24.0550,513600
1993-02-23,24.1238,24.1410,23.9175,24.0378,373700
1993-02-24,24.0550,24.3473,24.0550,24.3473,26300
1993-02-25,24.3301,24.4161,24.2785,24.3989,44500
1993-02-26,24.4505,24.4505,24.3129,24.4333,66200
1993-03-01,24.5193,24.5193,24.3301,24.3645,66500
1993-03-02,24.3817,24.7256,24.3473,24.7256,182400
1993-03-03,24.7600,24.8460,24.7256,24.8288,280100
1993-03-04,24.8632,24.8632,24.6912,24.6912,89500
1993-03-05,24.7256,24.8288,24.6052,24.6224,40000
1993-03-08,24.6740,25.1726,24.6740,25.1726,50800
1993-03-09,25.1211,25.1383,25.0351,25.0867,169300
1993-03-10,25.0867,25.1383,24.9835,25.1383,194400
1993-03-11,25.1555,25.2242,25.0351,25.0695,70900
1993-03-12,24.8631,24.8803,24.6568,24.8116,643600
1993-03-15,24.7944,24.9319,24.7944,24.9319,310800
1993-03-16,24.9319,25.0007,24.9319,24.9319,30800
1993-03-17,24.8976,24.8976,24.7428,24.7772,21800
1993-03-18,24.8804,25.0351,24.8804,24.9319,59300
1993-03-19,25.0324,25.0324,24.8942,24.8942,66900
1993-03-22,24.6523,24.8078,24.6351,24.7560,183400
1993-03-23,24.8251,24.8424,24.7733,24.8078,55200
1993-03-24,24.7733,24.9115,24.6524,24.8078,37200
1993-03-25,24.8251,25.0151,24.7905,24.9633,110100
1993-03-26,24.9460,24.9633,24.8078,24.8251,101500
1993-03-29,24.8424,25.0497,24.8424,24.9287,87100
1993-03-30,24.9633,24.9979,24.9288,24.9979,56000
1993-03-31,25.0670,25.1361,24.9806,24.9806,111600
1993-04-01,25.0151,25.0151,24.8424,24.8942,129500
1993-04-02,24.6869,24.6869,24.3759,24.3759,59400
1993-04-05,24.5660,24.5660,24.4278,24.4969,172200
1993-04-06,24.5487,24.5487,24.3587,24.4278,129700
1993-04-07,24.4623,24.5141,24.4105,24.5141,28000
1993-04-08,24.6178,24.6178,24.3759,24.4796,180800
1993-04-12,24.7214,24.8424,24.6869,24.8251,348500
1993-04-13,24.8078,24.9633,24.7906,24.8769,146100
1993-04-14,24.8942,24.9115,24.8251,24.8424,119600
1993-04-15,24.8251,24.8942,24.7387,24.8424,148600
1993-04-16,24.8597,24.8942,24.8078,24.8424,47900
1993-04-19,24.8424,24.9115,24.7214,24.7387,157000
1993-04-20,24.7042,24.7387,24.4623,24.6178,279500
1993-04-21,24.6696,24.6696,24.5314,24.6005,67900
1993-04-22,24.4969,24.7042,24.2895,24.2895,97700
1993-04-23,24.2377,24.3068,24.1514,24.1859,106000
1993-04-26,24.2032,24.2896,23.9268,23.9959,62600
1993-04-27,23.9613,24.2550,23.9613,24.2550,156800
1993-04-28,24.2205,24.2723,24.1686,24.2032,85900
1993-04-29,24.2550,24.3068,24.1168,24.3068,85000
1993-04-30,24.3932,24.4796,24.3414,24.3414,88500
1993-05-03,24.3759,24.4969,24.2723,24.4969,80500
1993-05-04,24.5487,24.6696,24.5141,24.5832,149100
1993-05-05,24.5832,24.7387,24.5832,24.6523,109000
1993-05-06,24.6178,24.6351,24.5487,24.5660,54700
1993-05-07,24.5832,24.5832,24.4796,24.5141,68000
1993-05-10,24.5487,24.7042,24.5487,24.5660,113900
1993-05-11,24.5660,24.6696,24.4969,24.6696,42600
1993-05-12,24.5660,24.6523,24.5660,24.6351,31000
1993-05-13,24.5314,24.5314,24.3241,24.3414,129100
1993-05-14,24.3414,24.4105,24.3068,24.3241,63500
1993-05-17,24.3932,24.4105,24.2896,24.4105,34000
1993-05-18,24.4278,24.4450,24.3068,24.3932,105200
1993-05-19,24.3932,24.8942,24.2377,24.8942,50200
1993-05-20,24.8942,24.9633,24.8424,24.9633,98200
1993-05-21,24.9806,25.0151,24.7214,24.7387,221400
1993-05-24,24.7906,24.9288,24.7906,24.8424,30500
1993-05-25,24.9460,24.9460,24.8942,24.8942,191800
1993-05-26,24.9633,25.2224,24.9460,25.2052,102400
1993-05-27,25.2397,25.2397,25.0842,25.1188,53800
1993-05-28,25.1015,25.1015,24.8769,24.9979,79100
1993-06-01,25.0842,25.3261,25.0497,25.2397,28300
1993-06-02,25.1706,25.2915,25.0670,25.2052,20300
1993-06-03,25.1533,25.1533,25.0670,25.1188,21600
1993-06-04,25.0497,25.0497,24.9288,25.0324,32000
1993-06-07,25.0842,25.0842,24.9460,24.9460,121400
1993-06-08,24.8769,24.8769,24.7215,24.7215,104500
1993-06-09,24.8078,24.9115,24.7733,24.8078,43300
1993-06-10,24.7905,24.8424,24.7387,24.8251,17900
1993-06-11,24.9115,24.9633,24.8251,24.9287,647400
1993-06-14,24.9633,24.9806,24.8942,24.8942,64200
1993-06-15,24.9288,24.9460,24.8424,24.8424,142400
1993-06-16,24.8424,24.8942,24.7733,24.8942,330900
1993-06-17,24.9460,24.9806,24.8942,24.9806,37400
1993-06-18,24.9663,24.9663,24.7749,24.7749,58500
1993-06-21,24.8445,24.8445,24.7923,24.8271,29300
1993-06-22,24.8619,24.8619,24.8097,24.8445,137500
1993-06-23,24.8445,24.8445,24.6183,24.6183,227600
1993-06-24,24.6879,24.9488,24.6879,24.9488,243700
1993-06-25,24.9315,25.0010,24.9141,24.9315,44800
1993-06-28,25.0532,25.2098,25.0184,25.2098,439900
1993-06-29,25.1750,25.1750,25.0532,25.0880,207500
1993-06-30,25.1228,25.1750,25.0532,25.0880,437600
1993-07-01,25.1228,25.1228,24.9837,25.0185,605700
1993-07-02,24.9314,24.9488,24.7923,24.8793,285400
1993-07-06,24.8445,24.9141,24.5835,24.6183,246400
1993-07-07,24.6009,24.7227,24.6009,24.6879,343700
1993-07-08,24.7053,25.0184,24.6705,24.9662,248200
1993-07-09,24.9663,25.0359,24.9141,25.0359,378200
1993-07-12,25.0011,25.0358,24.9663,25.0185,373700
1993-07-13,25.0358,25.1054,24.8619,25.0011,389600
1993-07-14,25.0184,25.1576,25.0010,25.0880,617300
1993-07-15,25.0706,25.0706,24.9315,24.9837,443800
1993-07-16,25.0010,25.0184,24.8793,24.9141,216400
1993-07-19,24.9141,24.9141,24.8271,24.8967,188200
1993-07-20,24.8793,24.9662,24.7575,24.9662,68500
1993-07-21,24.9314,24.9488,24.8619,24.9488,142700
1993-07-22,24.9141,24.9489,24.7749,24.7749,632400
1993-07-23,24.8271,24.8967,24.8097,24.8967,286200
1993-07-26,24.9663,25.0880,24.9663,25.0359,121300
1993-07-27,25.0532,25.0706,24.9315,25.0185,92800
1993-07-28,24.9662,25.0184,24.9315,24.9662,30800
1993-07-29,25.0185,25.1750,24.9837,25.1054,331000
1993-07-30,25.1054,25.1054,24.9315,24.9662,75300
1993-08-02,25.0011,25.1228,25.0011,25.0359,41300
1993-08-03,25.0881,25.1576,24.9663,25.0533,81600
1993-08-04,25.0533,25.1054,24.9837,25.0533,434000
1993-08-05,25.0532,25.0532,24.9663,25.0011,36800
1993-08-06,25.0707,25.0880,25.0011,25.0359,402300
1993-08-09,25.1054,25.2446,25.0532,25.1750,828200
1993-08-10,25.1576,25.1750,25.1228,25.1576,604900
1993-08-11,25.1402,25.2272,25.1402,25.1576,542200
1993-08-12,25.2272,25.2272,25.0010,25.0880,303700
1993-08-13,25.1054,25.1402,25.1054,25.1228,103500
1993-08-16,25.1402,25.3316,25.1402,25.2620,241800
1993-08-17,25.2446,25.3490,25.2446,25.3490,369300
1993-08-18,25.4360,25.5404,25.4186,25.4882,414300
1993-08-19,25.5056,25.5056,25.4534,25.4882,28500
1993-08-20,25.4360,25.5056,25.4186,25.5056,80700
1993-08-23,25.4012,25.4708,25.4012,25.4534,15600
1993-08-24,25.4534,25.7318,25.4534,25.7318,273400
1993-08-25,25.7318,25.8536,25.6970,25.7492,242300
1993-08-26,25.7666,25.9058,25.6622,25.7666,120000
