date,o,h,l,c,v
2002-07-30,35.6559,35.7213,35.5556,35.5556,6100
2002-07-31,35.7432,36.1139,35.7214,35.9962,29400
2002-08-01,36.0005,36.2099,36.0005,36.2012,25000
2002-08-02,36.2709,36.6809,36.1488,36.5719,52800
2002-08-05,36.6548,36.8292,36.5719,36.7333,61100
2002-08-06,36.5806,36.5937,36.2971,36.4193,64900
2002-08-07,36.4628,36.6984,36.3582,36.5065,40300
2002-08-08,36.4541,36.5370,36.3582,36.5065,40900
2002-08-09,36.6374,37.0212,36.6374,37.0212,35900
2002-08-12,37.2043,37.8149,37.1345,37.2479,32100
2002-08-13,37.4137,37.7146,37.2349,37.7059,75400
2002-08-14,38.1464,38.3384,37.8368,37.8499,130000
2002-08-15,37.6754,37.7277,37.4442,37.5184,87100
2002-08-16,37.7015,37.7364,36.9949,37.0996,85000
2002-08-19,37.0953,37.2218,36.9470,37.2130,47300
2002-08-20,37.3439,37.6361,37.3352,37.6274,40800
2002-08-21,37.3701,37.5533,37.3483,37.4268,40000
2002-08-22,37.3133,37.3133,37.0996,37.0996,34400
2002-08-23,37.1607,37.4879,37.1607,37.4660,20100
2002-08-26,37.3788,37.6012,37.3657,37.5009,23900
2002-08-27,37.2480,37.3701,37.1607,37.2654,301800
2002-08-28,37.5271,37.5882,37.4399,37.4530,18100
2002-08-29,37.8411,37.8847,37.6623,37.7539,135700
2002-08-30,37.8367,38.0025,37.7059,37.9807,78100
2002-09-03,38.1440,38.5645,38.1090,38.5645,102100
2002-09-04,38.5602,38.6785,38.4770,38.5558,66300
2002-09-05,38.7968,38.8318,38.2755,38.7661,648400
2002-09-06,38.5339,38.6303,38.1966,38.3105,140000
2002-09-09,38.3281,38.4726,38.2230,38.2536,83800
2002-09-10,38.1835,38.5471,38.1090,38.4376,336000
2002-09-11,38.1090,38.2404,37.9995,38.2361,177700
2002-09-12,38.3193,38.6084,38.3149,38.5339,43400
2002-09-13,38.6916,38.9588,38.6259,38.8887,155100
2002-09-16,39.0727,39.0815,38.9413,38.9544,73000
2002-09-17,38.8274,39.1253,38.7048,39.0289,75400
2002-09-18,39.0552,39.2304,38.9938,39.0377,196600
2002-09-19,39.2917,39.3224,39.0990,39.3005,109900
2002-09-20,39.1822,39.2129,39.0114,39.1165,113500
2002-09-23,39.4231,39.5283,39.3224,39.4669,163200
2002-09-24,39.5546,39.8349,39.5152,39.7210,251900
2002-09-25,39.4669,39.5808,39.0990,39.2392,127200
2002-09-26,39.0070,39.2173,38.8143,39.1472,429000
2002-09-27,39.2173,39.4407,39.1954,39.4407,298200
2002-09-30,39.7122,39.8174,39.4582,39.5983,297800
2002-10-01,39.2039,39.2655,39.0457,39.1072,257500
2002-10-02,39.2391,39.3446,39.0632,39.3314,91000
2002-10-03,39.2655,39.3578,39.0456,39.2347,29900
2002-10-04,38.8698,39.4502,38.8698,39.3578,131000
2002-10-07,39.5294,39.5557,39.3359,39.4238,433800
2002-10-08,39.3534,39.8019,39.2919,39.4370,530900
2002-10-09,39.7052,39.7404,39.5513,39.6393,402900
2002-10-10,39.6480,39.6480,39.2567,39.3271,97100
2002-10-11,39.1776,39.2304,38.7203,38.8610,421800
2002-10-14,38.9137,38.9357,38.7247,38.8038,18300
2002-10-15,38.2542,38.3861,37.8804,37.8848,297100
2002-10-16,38.0783,38.0783,37.7661,37.9024,125200
2002-10-17,37.4363,37.6210,37.4056,37.4407,233400
2002-10-18,37.3835,37.5462,37.0582,37.5374,459100
2002-10-21,37.5946,37.6386,37.1549,37.1725,134900
2002-10-22,37.3088,37.3088,37.0318,37.0670,205000
2002-10-23,37.2648,37.4627,37.0142,37.0802,127800
2002-10-24,37.0054,37.4847,36.9703,37.4056,339600
2002-10-25,37.5286,37.6210,37.4407,37.5418,146100
2002-10-28,37.6210,37.6562,37.4627,37.4891,97800
2002-10-29,37.7353,38.2058,37.7134,37.9772,125000
2002-10-30,37.9772,38.1135,37.8453,37.9640,31900
2002-10-31,37.8365,38.1926,37.8233,38.1355,512700
2002-11-01,38.1174,38.3956,37.6536,37.9760,125100
2002-11-04,37.7552,37.8745,37.6536,37.8082,342500
2002-11-05,37.8082,37.8082,37.5829,37.6624,73800
2002-11-06,37.5652,38.0423,37.5034,37.8126,118500
2002-11-07,38.4486,38.7490,38.3603,38.7490,147900
2002-11-08,39.0449,39.1553,38.8461,39.0625,294700
2002-11-11,39.1112,39.2746,39.0449,39.2746,70000
2002-11-12,39.3762,39.3762,39.0316,39.0493,494300
2002-11-13,39.0670,39.1730,38.8506,39.1332,104700
2002-11-14,38.7136,38.7136,38.3205,38.3205,118000
2002-11-15,38.2234,38.5281,38.0997,38.4751,110700
2002-11-18,38.4354,38.7048,38.4089,38.6474,32200
2002-11-19,38.8461,38.9698,38.6518,38.7887,51800
2002-11-20,38.9566,38.9654,38.3426,38.4089,307400
2002-11-21,38.2057,38.2057,37.9230,38.0378,323200
2002-11-22,38.1306,38.1571,37.9318,38.0025,184800
2002-11-25,37.9849,38.1527,37.8965,37.9319,288200
2002-11-26,38.0732,38.4354,38.0511,38.4089,377800
2002-11-27,38.0953,38.1306,37.5255,37.5432,325600
2002-11-29,37.6138,37.8214,37.6050,37.7861,31700
2002-12-02,37.4306,37.8921,37.3375,37.8211,284900
2002-12-03,38.0252,38.0252,37.7679,37.8744,113800
2002-12-04,38.1140,38.1583,37.9587,38.0696,129000
2002-12-05,37.8389,38.2826,37.8300,38.1672,206400
2002-12-06,38.6021,38.6420,38.0519,38.2338,440500
2002-12-09,38.2471,38.5355,38.2338,38.4468,400300
2002-12-10,38.4290,38.5710,38.3802,38.5488,151600
2002-12-11,38.6686,38.8905,38.5843,38.8062,163800
2002-12-12,38.6287,38.8683,38.6287,38.7707,135800
2002-12-13,38.6642,38.6731,38.3936,38.3936,425800
2002-12-16,38.5577,38.5577,38.0874,38.1051,115700
2002-12-17,38.2915,38.3137,38.0164,38.1051,290600
2002-12-18,38.3713,38.4645,38.2693,38.4024,191000
2002-12-19,38.5133,38.8195,38.4468,38.7440,134400
2002-12-20,38.7041,38.8505,38.6686,38.7707,41900
2002-12-23,38.7618,38.7795,38.2693,38.7795,74200
2002-12-24,39.0458,39.0813,38.9748,38.9970,46600
2002-12-26,39.0014,39.0724,38.9259,39.0724,13500
2002-12-27,39.2898,39.5028,39.1700,39.5028,140200
2002-12-30,39.4451,39.5959,39.3253,39.5959,274900
2002-12-31,39.6655,39.8350,39.3846,39.4960,109400
2003-01-02,39.1081,39.1973,38.4437,38.4749,192100
2003-01-03,38.4169,38.5908,38.2742,38.5641,311200
2003-01-06,38.4258,38.4794,38.2653,38.4615,35600
2003-01-07,38.4348,38.6845,38.4258,38.5998,69800
2003-01-08,38.7425,38.8584,38.6979,38.7915,160100
2003-01-09,38.4258,38.4258,37.9130,38.0468,237500
2003-01-10,38.3143,38.3143,37.9576,38.1449,145200
2003-01-13,38.1449,38.2921,38.0825,38.2073,53300
2003-01-14,38.3500,38.4749,38.3322,38.3411,98900
2003-01-15,38.4749,38.6622,38.4392,38.5284,129600
2003-01-16,38.5195,38.6176,38.1806,38.5819,57900
2003-01-17,38.8405,38.9030,38.7647,38.7736,97700
2003-01-21,38.7425,38.9966,38.7068,38.9966,107500
2003-01-22,39.0992,39.1973,39.0278,39.1884,107100
2003-01-23,38.9387,39.1081,38.9297,38.9966,110700
2003-01-24,39.1259,39.4381,39.1259,39.2285,285300
2003-01-27,39.1973,39.2597,39.0189,39.0858,150500
2003-01-28,39.0858,39.1438,38.8406,39.0858,454700
2003-01-29,39.1661,39.1884,38.7870,38.8718,221400
2003-01-30,38.8851,39.1973,38.8406,39.1616,108600
2003-01-31,39.1973,39.3355,39.0368,39.2687,182300
2003-02-03,39.2320,39.3394,39.0709,39.3259,55200
2003-02-04,39.5452,39.5586,39.4289,39.5005,56900
2003-02-05,39.4826,39.6929,39.1246,39.1604,223300
2003-02-06,39.3080,39.4960,39.2857,39.4781,120900
2003-02-07,39.2767,39.6123,39.2141,39.5676,247200
2003-02-10,39.4333,39.5586,39.2409,39.2901,76600
2003-02-11,39.2006,39.3393,39.1245,39.2812,259100
2003-02-12,39.2901,39.4378,39.2319,39.4199,121300
2003-02-13,39.5005,39.9077,39.4557,39.6347,440200
2003-02-14,39.5139,39.5452,39.2051,39.2946,829700
2003-02-18,39.1827,39.3707,39.0843,39.3438,213200
2003-02-19,39.5541,39.6929,39.4915,39.6123,62100
2003-02-20,39.5318,39.7824,39.5318,39.7466,486700
2003-02-21,39.6302,39.7018,39.4736,39.5139,250400
2003-02-24,39.7734,39.7824,39.6571,39.7018,168200
2003-02-25,40.0061,40.1180,39.8271,39.8853,358500
2003-02-26,39.9972,40.1627,39.8942,40.1627,334000
2003-02-27,40.0330,40.2701,39.9658,40.2299,695700
2003-02-28,40.1314,40.5162,40.0866,40.4849,213100
2003-03-03,40.4266,40.6287,40.3861,40.5344,204100
2003-03-04,40.4849,40.6287,40.4355,40.5613,83100
2003-03-05,40.7050,40.7095,40.4445,40.6960,126000
2003-03-06,40.6736,40.7320,40.4535,40.5388,166000
2003-03-07,40.7499,40.7814,40.4490,40.6781,263800
2003-03-10,40.7904,40.8892,40.7320,40.8892,147200
2003-03-11,40.8712,40.9476,40.7544,40.8173,82800
2003-03-12,40.8398,41.0374,40.8218,40.9655,454800
2003-03-13,40.4939,40.6017,40.2109,40.2109,830200
2003-03-14,40.3816,40.4805,40.2559,40.4086,590900
2003-03-17,40.6601,40.6601,39.9145,39.9234,724400
2003-03-18,39.9594,40.0672,39.5326,39.5461,415200
2003-03-19,39.5461,39.5596,39.2272,39.2542,398400
2003-03-20,39.4473,39.5057,38.9712,39.1913,206700
2003-03-21,39.0431,39.1015,38.6523,38.6523,843400
2003-03-24,39.1239,39.3485,39.0116,39.2631,373800
2003-03-25,39.3709,39.4473,39.0341,39.2182,606400
2003-03-26,39.1913,39.3710,39.1913,39.2991,309500
2003-03-27,39.4159,39.4698,39.2272,39.3260,191600
2003-03-28,39.4922,39.5641,39.4024,39.4159,253400
2003-03-31,39.6629,39.9459,39.6629,39.9324,643800
2003-04-01,39.8774,40.0533,39.6519,39.8188,289800
2003-04-02,39.5390,39.5616,39.3721,39.4037,312200
2003-04-03,39.3586,39.5075,39.3090,39.3812,245600
2003-04-04,39.2729,39.3812,39.1917,39.2684,184900
2003-04-07,38.8940,39.1827,38.7587,39.1782,485400
2003-04-08,39.2684,39.5120,39.2413,39.4939,194700
2003-04-09,39.4263,39.6338,39.3225,39.6112,102400
2003-04-10,39.5842,39.6293,39.4037,39.4263,53300
2003-04-11,39.1646,39.3902,39.0609,39.3631,450000
2003-04-14,39.2909,39.2954,39.1150,39.2548,207100
2003-04-15,39.3947,39.4850,39.2639,39.4669,128500
2003-04-16,39.4849,39.6518,39.4579,39.6293,97700
2003-04-17,39.8052,39.8774,39.6067,39.6924,106200
2003-04-21,39.4624,39.6203,39.3631,39.6067,148000
2003-04-22,39.7646,39.8142,39.5255,39.5842,299900
2003-04-23,39.5977,39.7015,39.5165,39.6654,42700
2003-04-24,39.8774,40.1436,39.8774,40.0218,199000
2003-04-25,40.0353,40.1932,40.0037,40.1120,529700
2003-04-28,40.1887,40.1887,40.0488,40.0488,80500
2003-04-29,39.9361,40.0443,39.8413,39.9812,177500
2003-04-30,40.0534,40.3827,40.0263,40.3511,293400
2003-05-01,40.4522,40.6336,40.2708,40.3706,231200
2003-05-02,40.3887,40.3932,40.0304,40.0531,231500
2003-05-05,40.0486,40.3025,39.9987,40.2663,77700
2003-05-06,40.2889,40.5429,40.1438,40.4658,260600
2003-05-07,40.8150,40.9647,40.7334,40.9374,306900
2003-05-08,41.0871,41.2231,40.9419,41.0372,437400
2003-05-09,40.9510,41.0961,40.9056,41.0780,110000
2003-05-12,41.3320,41.3547,41.1461,41.3365,364700
2003-05-13,41.2231,41.4363,41.1914,41.4272,227800
2003-05-14,41.6449,42.1664,41.5497,42.0621,1426500
2003-05-15,41.9941,42.4340,41.9941,42.1937,810300
2003-05-16,42.3932,42.5201,42.1528,42.5020,703900
2003-05-19,42.6789,42.7378,42.2345,42.3569,817800
2003-05-20,42.2435,42.9827,42.2299,42.9827,606600
2003-05-21,42.7424,43.3818,42.6834,42.9782,1799600
2003-05-22,43.1278,43.3999,43.0371,43.3591,576200
2003-05-23,43.4317,43.6312,43.3727,43.4680,690600
2003-05-27,43.3637,43.4045,42.6834,42.6834,846400
2003-05-28,42.5836,42.6925,42.3161,42.6108,730500
2003-05-29,42.7650,42.9918,42.6607,42.9827,508300
2003-05-30,42.8331,42.9646,42.6154,42.9011,722200
2003-06-02,42.7545,42.7545,42.3947,42.5859,478600
2003-06-03,42.6998,43.0732,42.6770,42.9275,389400
2003-06-04,43.0186,43.1324,42.8319,43.0550,394100
2003-06-05,43.3556,43.4376,42.7180,42.7180,820900
2003-06-06,42.6725,42.8774,42.5267,42.8729,276800
2003-06-09,43.1279,43.2099,42.9321,43.1598,282200
2003-06-10,43.3009,43.6880,43.2964,43.6744,534800
2003-06-11,43.8338,43.9932,43.5833,43.6198,633600
2003-06-12,43.7700,44.0524,43.7245,43.9613,315400
2003-06-13,44.1435,44.3029,44.0661,44.2573,478400
2003-06-16,44.4030,44.4759,43.8383,43.8383,789300
2003-06-17,43.7062,43.7336,43.4467,43.4922,691600
2003-06-18,43.2918,43.2918,42.9002,42.9366,657600
2003-06-19,42.7909,43.0277,42.5814,42.8546,817700
2003-06-20,42.7635,42.8319,42.3673,42.6952,561700
2003-06-23,42.7271,43.0049,42.5950,42.9503,819900
