date,o,h,l,c,v
2004-09-29,19.4959,19.5506,19.4920,19.4959,205800
2004-09-30,19.5546,19.6836,19.5507,19.6523,27900
2004-10-01,19.6914,20.0434,19.6523,20.0160,129800
2004-10-04,20.0982,20.1607,20.0982,20.1021,8100
2004-10-05,20.1021,20.1412,20.0825,20.0982,11900
2004-10-06,20.1412,20.1920,20.1373,20.1920,9300
2004-10-07,20.1999,20.1999,19.9847,19.9847,7900
2004-10-08,20.1686,20.1686,20.0434,20.0825,16400
2004-10-11,20.1412,20.1412,19.9848,20.0043,4500
2004-10-12,20.0239,20.0708,19.9456,20.0708,3600
2004-10-13,20.1607,20.1725,20.1216,20.1216,2500
2004-10-14,20.1216,20.2820,20.1216,20.2781,19200
2004-10-15,20.3758,20.4853,20.3680,20.4853,9800
2004-10-18,20.4736,20.6496,20.4501,20.5948,4000
2004-10-19,20.6496,20.7278,20.4853,20.4853,6200
2004-10-20,20.4541,20.4541,20.1959,20.3876,5500
2004-10-21,20.3485,20.5948,20.3485,20.5948,7400
2004-10-22,20.5910,20.6887,20.4306,20.4306,69900
2004-10-25,20.4150,20.4150,20.2624,20.3328,14000
2004-10-26,20.3876,20.5245,20.3446,20.5245,9000
2004-10-27,20.6731,20.7669,20.6261,20.7669,9100
2004-10-28,20.7317,20.8256,20.7161,20.7787,12800
2004-10-29,20.8960,20.8960,20.7200,20.7669,50200
2004-11-01,20.8060,20.9703,20.7982,20.9703,5400
2004-11-02,21.0094,21.0094,20.7669,20.7669,14100
2004-11-03,21.0759,21.0759,20.9468,20.9781,12800
2004-11-04,20.9625,21.2949,20.9625,21.2949,5200
2004-11-05,21.2323,21.2323,20.6887,20.7200,51900
2004-11-08,20.7865,20.8099,20.6848,20.7748,31600
2004-11-09,20.7787,20.8530,20.7435,20.8530,22300
2004-11-10,20.8843,21.0563,20.8295,21.0016,13600
2004-11-11,21.0133,21.1737,21.0016,21.1737,13600
2004-11-12,21.2245,21.5882,21.1932,21.5882,14900
2004-11-15,21.7173,21.8855,21.6860,21.8620,39900
2004-11-16,21.9871,21.9871,21.7290,21.7290,26000
2004-11-17,21.8033,21.8229,21.1502,21.2245,21500
2004-11-18,21.4279,21.4279,21.0133,21.1893,80200
2004-11-19,21.2245,21.2910,20.9703,20.9703,74800
2004-11-22,21.0563,21.1267,20.9234,21.1150,84200
2004-11-23,21.0994,21.2793,21.0290,21.2050,9100
2004-11-24,21.4122,21.6273,21.4122,21.5726,10600
2004-11-26,21.6664,21.7016,21.5296,21.5491,11800
2004-11-29,21.6078,21.6078,21.3692,21.4709,86900
2004-11-30,21.5491,21.5882,21.4005,21.5882,32800
2004-12-01,21.6469,22.0458,21.6391,22.0067,23600
2004-12-02,22.0067,22.0067,21.7212,21.8190,36900
2004-12-03,21.9011,22.1201,21.9011,22.1123,35800
2004-12-06,22.1553,22.3157,22.0810,22.2179,53800
2004-12-07,22.2648,22.2648,21.9050,21.9363,47900
2004-12-08,21.9832,22.0966,21.9011,21.9950,76000
2004-12-09,22.0145,22.1553,21.8776,22.1553,24900
2004-12-10,22.1358,22.3430,22.1279,22.3430,13700
2004-12-13,22.4095,22.4095,22.2570,22.2805,14900
2004-12-14,22.2531,22.2883,22.1436,22.2609,12800
2004-12-15,22.3548,22.3626,22.1709,22.3039,21700
2004-12-16,22.3391,22.3391,22.1006,22.1006,11000
2004-12-17,22.1553,22.3509,21.9207,22.3509,28300
2004-12-20,22.3313,22.3313,22.1788,22.2726,10500
2004-12-21,22.3508,22.5268,22.3508,22.5268,12500
2004-12-22,22.5548,22.6948,22.5148,22.6948,21200
2004-12-23,22.6148,22.6748,22.4349,22.5228,27100
2004-12-27,22.5228,22.5348,22.2949,22.3549,24900
2004-12-28,22.3949,22.4788,22.3909,22.4389,14800
2004-12-29,22.4948,22.5748,22.4748,22.5668,29400
2004-12-30,22.6308,22.6908,22.5348,22.6748,33700
2004-12-31,22.7428,22.7628,22.6148,22.6148,36500
2005-01-03,22.6948,22.6948,22.1949,22.3509,31900
2005-01-04,22.3509,22.5068,22.0149,22.0149,52500
2005-01-05,22.0629,22.0629,21.1272,21.2831,77300
2005-01-06,21.2551,21.5231,21.2551,21.4471,42200
2005-01-07,21.5431,21.5471,21.3031,21.3991,24200
2005-01-10,21.3751,21.4551,21.2751,21.3311,12500
2005-01-11,21.3431,21.3551,21.0552,21.1152,25300
2005-01-12,21.1552,21.1552,20.6913,21.0152,82800
2005-01-13,21.0112,21.3551,20.9832,21.0152,34200
2005-01-14,21.2111,21.2951,21.1152,21.2751,219900
2005-01-18,21.2551,21.5071,21.1911,21.4831,26000
2005-01-19,21.5551,21.7910,21.4471,21.5031,29600
