date,o,h,l,c,v
1998-12-22,5.6579,5.6706,5.6494,5.6706,3800
1998-12-23,5.7089,5.7557,5.7089,5.7302,1400
1998-12-24,5.7983,5.8621,5.7727,5.8621,3000
1998-12-28,5.8536,5.8536,5.8025,5.8110,5000
1998-12-29,5.9174,5.9174,5.9174,5.9174,200
1998-12-30,5.9131,5.9131,5.9004,5.9004,1600
1998-12-31,5.9514,5.9897,5.9514,5.9684,6600
1999-01-04,5.9727,6.0578,5.8961,5.8961,26000
1999-01-05,5.9514,6.0705,5.9514,6.0407,8800
1999-01-06,6.0790,6.1471,6.0493,6.1471,25800
1999-01-07,6.1173,6.3683,6.0790,6.1003,172400
1999-01-08,6.1556,6.3088,6.1556,6.3088,50400
1999-01-11,6.3130,6.3215,6.2620,6.3215,28400
1999-01-12,6.2662,6.2960,6.1471,6.1599,10200
1999-01-13,5.9769,6.0918,5.9769,6.0237,11000
1999-01-14,6.0407,6.0493,5.8706,5.9216,254600
1999-01-15,5.9897,6.0110,5.9599,6.0110,31600
1999-01-19,5.9897,5.9897,5.8578,5.9004,53400
1999-01-20,5.9004,5.9429,5.8748,5.8791,81800
1999-01-21,5.8791,5.8876,5.8238,5.8536,119800
1999-01-22,5.7940,5.8153,5.7302,5.7387,14000
1999-01-25,5.7983,5.8536,5.7770,5.8536,58600
1999-01-26,5.8323,5.8366,5.7685,5.8366,3600
1999-01-27,5.9429,5.9429,5.7898,5.7898,30200
1999-01-28,5.8238,5.8238,5.7174,5.7174,13600
1999-01-29,5.7047,5.7472,5.7047,5.7472,800
1999-02-01,5.7940,5.8536,5.7940,5.7940,5800
1999-02-02,5.7727,5.8195,5.7685,5.7983,5600
1999-02-03,5.8025,5.8238,5.7855,5.8025,2200
1999-02-04,5.8153,5.9940,5.8153,5.9727,13600
1999-02-05,6.0025,6.1088,6.0025,6.0535,88800
1999-02-08,6.0705,6.0875,5.9982,6.0237,44600
1999-02-09,6.0237,6.0237,5.9089,5.9089,28400
1999-02-10,5.9514,5.9514,5.8961,5.9216,9800
1999-02-11,5.8876,5.9429,5.8621,5.8621,20200
1999-02-12,5.8706,5.8876,5.8323,5.8323,5000
1999-02-16,5.9429,5.9429,5.7770,5.7770,12600
1999-02-17,5.7515,5.8323,5.7174,5.7174,10200
1999-02-18,5.7302,5.7685,5.6962,5.7600,62000
1999-02-19,5.7813,5.8153,5.7685,5.8068,16200
1999-02-22,5.7855,5.9216,5.7855,5.9046,20000
1999-02-23,5.9174,5.9216,5.8195,5.8536,10600
1999-02-24,5.9387,5.9387,5.8366,5.8366,5600
1999-02-25,5.8025,5.8366,5.7855,5.8366,13600
1999-02-26,5.8366,5.8366,5.8366,5.8366,1400
1999-03-01,5.7940,5.7983,5.7685,5.7685,4200
1999-03-02,5.7812,5.8366,5.7174,5.7174,95400
1999-03-03,5.7898,5.7898,5.6792,5.6792,7800
1999-03-04,5.6749,5.7515,5.6749,5.6962,5800
1999-03-05,5.7642,5.8876,5.7642,5.8876,8400
1999-03-08,5.8366,5.9259,5.8366,5.9259,13400
1999-03-09,5.8961,5.8961,5.8536,5.8748,11200
1999-03-10,5.8791,5.9812,5.8663,5.9557,53600
1999-03-11,5.9854,6.0493,5.9727,6.0195,27800
1999-03-12,6.0705,6.0875,5.9940,5.9940,15800
1999-03-15,5.9940,6.0322,5.9642,6.0067,13400
1999-03-16,5.9982,6.0152,5.9769,5.9812,15000
1999-03-17,6.0110,6.0110,5.9557,5.9642,7000
1999-03-18,6.0280,6.0918,5.9940,6.0918,22600
1999-03-19,6.1806,6.1806,6.0995,6.0995,10600
1999-03-22,6.0739,6.1379,6.0739,6.1166,49800
1999-03-23,6.0867,6.0867,5.9287,5.9629,33400
1999-03-24,5.9373,6.0098,5.9245,5.9672,152000
1999-03-25,5.9672,6.0440,5.9672,5.9885,7600
1999-03-26,5.9287,5.9842,5.9074,5.9416,8400
1999-03-29,6.0056,6.0696,5.9885,6.0397,10600
1999-03-30,6.0355,6.0355,5.9672,6.0269,33000
1999-03-31,5.9928,6.0227,5.9330,5.9416,21200
1999-04-01,5.9501,6.0568,5.9501,6.0098,24600
1999-04-05,6.0269,6.1251,6.0269,6.0824,23800
1999-04-06,6.0483,6.0824,5.9757,5.9757,105600
1999-04-07,6.0098,6.0611,5.9928,6.0397,90400
1999-04-08,6.0312,6.1251,6.0227,6.1251,24000
1999-04-09,6.0355,6.1336,6.0355,6.0952,50200
1999-04-12,6.0952,6.2873,6.0952,6.2745,32400
1999-04-13,6.3214,6.3641,6.2873,6.3513,136000
1999-04-14,6.3940,6.8080,6.3513,6.6586,601400
1999-04-15,6.7440,7.0641,6.7440,6.9147,2011000
1999-04-16,6.9574,7.0727,6.9318,6.9916,341600
1999-04-19,6.9916,7.3330,6.9916,7.0641,1728400
1999-04-20,7.0812,7.0855,6.9532,6.9788,281600
1999-04-21,7.0257,7.0599,6.9446,7.0086,166400
1999-04-22,7.0172,7.0257,6.8294,6.8977,173800
1999-04-23,6.8635,7.0172,6.8635,7.0001,254800
1999-04-26,7.0342,7.0342,6.9105,6.9318,76200
1999-04-27,6.9147,7.1025,6.8806,7.0684,169000
1999-04-28,7.1025,7.4782,7.1025,7.4440,276400
1999-04-29,7.4611,7.5934,7.4611,7.4995,1467200
1999-04-30,7.4952,7.5465,7.3117,7.4099,1055400
1999-05-03,7.4355,7.6062,7.4099,7.5806,362000
1999-05-04,7.6276,7.6532,7.4824,7.5337,831400
1999-05-05,7.5507,7.6574,7.4654,7.6233,587800
1999-05-06,7.6233,7.7172,7.5635,7.6873,279200
1999-05-07,7.6873,7.7343,7.5849,7.7044,64200
1999-05-10,7.7044,7.7812,7.6361,7.6617,169200
1999-05-11,7.6873,7.7086,7.5635,7.6489,305600
1999-05-12,7.6276,7.6276,7.3885,7.4568,334600
1999-05-13,7.4056,7.4867,7.3843,7.4269,253800
1999-05-14,7.4184,7.5080,7.3885,7.4056,73600
1999-05-17,7.4056,7.4483,7.3245,7.3971,47200
1999-05-18,7.3672,7.3714,7.1580,7.2178,106200
1999-05-19,7.2178,7.3288,7.1964,7.2903,110800
1999-05-20,7.3202,7.3501,7.1964,7.2050,73000
1999-05-21,7.1708,7.2647,7.1538,7.2007,20600
1999-05-24,7.2092,7.3458,7.1367,7.1708,70000
1999-05-25,7.2349,7.2775,7.1025,7.1025,246800
1999-05-26,6.9873,7.0727,6.9660,7.0342,92800
1999-05-27,6.9873,7.0172,6.8294,6.8721,70200
1999-05-28,6.8422,6.8977,6.7355,6.7355,98800
1999-06-01,6.8038,7.0769,6.7910,7.0257,431800
1999-06-02,7.0428,7.0428,6.9318,7.0172,23400
1999-06-03,7.0001,7.0727,6.9702,7.0385,115200
1999-06-04,7.0385,7.1964,7.0001,7.1708,11000
1999-06-07,7.2050,7.2562,7.1708,7.1922,27800
1999-06-08,7.1580,7.2135,7.0769,7.1025,89400
1999-06-09,7.1153,7.2135,7.0342,7.0342,180600
1999-06-10,7.0428,7.1538,7.0428,7.1538,119800
1999-06-11,7.1879,7.2349,7.0897,7.0897,6800
1999-06-14,7.1879,7.3330,7.1879,7.2605,445800
1999-06-15,7.3074,7.3800,7.2775,7.3245,125400
1999-06-16,7.3586,7.3586,7.2391,7.3544,201400
1999-06-17,7.3160,7.3800,7.2647,7.3800,71400
1999-06-18,7.3687,7.4073,7.3473,7.3987,17200
1999-06-21,7.4201,7.4201,7.2189,7.2189,132800
1999-06-22,7.2446,7.2446,7.1076,7.1247,112200
1999-06-23,7.1247,7.1761,7.0648,7.1589,15400
1999-06-24,7.1333,7.1333,6.9962,6.9962,203800
1999-06-25,7.0048,7.1204,7.0048,7.0391,76000
1999-06-28,7.1076,7.2018,7.1076,7.1718,170600
1999-06-29,7.1076,7.1290,7.0776,7.1290,13800
1999-06-30,7.1247,7.2146,7.0819,7.1247,54200
1999-07-01,7.1632,7.2574,7.1161,7.1932,27400
1999-07-02,7.2275,7.3473,7.2275,7.3388,109200
1999-07-06,7.3645,7.3645,7.2703,7.3045,30400
1999-07-07,7.3045,7.3045,7.2446,7.2617,77400
1999-07-08,7.2360,7.3302,7.1932,7.2103,171800
1999-07-09,7.2018,7.3944,7.2018,7.3259,63400
1999-07-12,7.2960,7.3259,7.2617,7.2788,20200
1999-07-13,7.2360,7.3088,7.2360,7.2746,23600
1999-07-14,7.2788,7.3473,7.2317,7.2360,36400
1999-07-15,7.2232,7.2617,7.1247,7.1247,139400
1999-07-16,7.1889,7.2146,7.1547,7.1889,21000
1999-07-19,7.2060,7.2060,7.0476,7.1204,19800
1999-07-20,7.0819,7.1589,7.0733,7.1076,27200
1999-07-21,7.1889,7.1932,7.0904,7.0904,16600
1999-07-22,7.1033,7.1889,7.0990,7.1247,436400
1999-07-23,7.1975,7.1975,7.0862,7.1247,29000
1999-07-26,7.0562,7.1161,7.0348,7.0348,35800
1999-07-27,7.1204,7.1333,7.0605,7.1333,461800
1999-07-28,7.1290,7.1804,7.1247,7.1718,25400
1999-07-29,7.0904,7.1076,6.9834,7.0391,27000
1999-07-30,7.0048,7.0605,6.9920,7.0433,17200
1999-08-02,6.9962,7.0904,6.9962,7.0648,13600
1999-08-03,7.0862,7.1504,7.0605,7.0605,44000
1999-08-04,7.1461,7.2531,7.1461,7.2317,246000
1999-08-05,7.2403,7.2874,7.1375,7.2831,19600
1999-08-06,7.2660,7.2660,7.1418,7.1761,35800
1999-08-09,7.1161,7.2018,7.1076,7.1076,15000
1999-08-10,7.0776,7.0947,7.0519,7.0819,28400
1999-08-11,7.1161,7.3088,7.0690,7.2617,69800
1999-08-12,7.2703,7.3816,7.2703,7.3259,269400
1999-08-13,7.2531,7.3388,7.2531,7.3216,23200
1999-08-16,7.2960,7.2960,7.2146,7.2146,85800
1999-08-17,7.2660,7.3045,7.2146,7.3045,18600
1999-08-18,7.2146,7.2960,7.1804,7.1804,60000
1999-08-19,7.1589,7.2531,7.1161,7.2403,31200
1999-08-20,7.2917,7.3645,7.2917,7.3045,3200
1999-08-23,7.2874,7.3473,7.2703,7.3131,78600
