date,o,h,l,c,v
2018-06-19,45.8127,46.1445,45.7021,46.0523,16600
2018-06-20,46.5040,46.9087,46.5040,46.6239,190000
2018-06-21,46.7990,46.8727,46.2736,46.3381,428700
2018-06-22,46.6331,46.6515,46.2643,46.5409,181500
2018-06-25,46.3012,46.3012,45.1812,45.5822,2509600
2018-06-26,45.8311,45.8864,45.4900,45.6578,104000
2018-06-27,45.9233,46.0892,45.2596,45.2596,144900
2018-06-28,45.2596,45.8956,45.1398,45.7113,336500
2018-06-29,45.9048,45.9417,45.5546,45.6560,152300
2018-07-02,45.2688,45.9417,45.1121,45.9417,321300
2018-07-03,46.0892,46.0892,45.3416,45.3794,97500
2018-07-05,45.7113,46.0892,45.4716,46.0708,324900
2018-07-06,46.2183,46.8414,46.0247,46.7990,199800
2018-07-09,47.1953,47.1953,46.6884,47.0663,118100
2018-07-10,47.2046,47.2046,46.8912,47.0469,1153200
2018-07-11,46.7345,47.2230,46.6884,46.9833,227500
2018-07-12,47.2875,47.7208,47.1400,47.7208,361400
2018-07-13,47.7300,47.7484,47.4249,47.6470,80100
2018-07-16,47.7300,47.7300,47.4258,47.5088,200700
2018-07-17,46.8359,47.6378,46.7529,47.5180,172600
2018-07-18,47.5548,47.5641,47.2230,47.3797,147800
2018-07-19,47.4074,47.4442,47.0165,47.0479,258400
2018-07-20,47.0571,47.1824,46.8635,46.8911,158400
2018-07-23,46.9465,47.1032,46.6884,47.0847,94800
2018-07-24,48.0342,48.0342,47.1585,47.4166,211200
2018-07-25,47.4995,47.8176,47.3613,47.7576,604300
2018-07-26,45.8588,46.1076,45.6928,45.9565,833400
2018-07-27,45.8772,45.9325,44.8337,45.0845,1111200
2018-07-30,45.1858,45.1858,44.1249,44.3747,251300
2018-07-31,44.5867,44.9554,44.3747,44.6697,1211400
2018-08-01,44.7618,44.9637,44.3553,44.4853,1250400
2018-08-02,44.3286,44.8540,44.1535,44.7803,190700
2018-08-03,44.3286,45.1029,44.3286,45.0845,117200
2018-08-06,45.0845,45.5454,45.0015,45.5361,110200
2018-08-07,45.7942,45.9039,45.5546,45.5914,128800
2018-08-08,45.6744,45.7205,45.4974,45.5546,114200
2018-08-09,45.5914,45.9832,45.5914,45.8034,306400
2018-08-10,45.6560,45.6560,45.3057,45.4163,177600
2018-08-13,45.4716,45.7297,45.3241,45.3518,261000
2018-08-14,45.5730,45.7481,45.2688,45.6744,189800
2018-08-15,45.3886,45.4439,44.6973,45.0384,555100
2018-08-16,45.3426,45.3840,44.9462,45.0199,177600
2018-08-17,44.8540,44.9923,44.6143,44.8079,226900
2018-08-20,45.0291,45.0291,44.5876,44.8817,145800
2018-08-21,45.1213,45.3794,44.9923,45.1582,384900
2018-08-22,45.0291,45.1951,44.9370,45.1029,501900
2018-08-23,45.0568,45.3241,44.9093,44.9185,283700
2018-08-24,45.1305,45.5730,45.0568,45.5730,330900
2018-08-27,45.8588,46.1067,45.7767,46.0155,299200
2018-08-28,46.1445,46.1445,45.7491,45.8127,150200
2018-08-29,45.9325,46.1076,45.7850,46.0708,270900
2018-08-30,45.9141,46.1215,45.6099,45.7850,344400
2018-08-31,45.7389,45.7389,45.2061,45.3333,235000
2018-09-04,45.2135,45.2135,44.6143,44.7710,343700
2018-09-05,44.7250,44.7250,44.0244,44.1903,773600
2018-09-06,44.1627,44.2272,43.4805,43.8585,599600
2018-09-07,43.5819,44.1995,43.5359,43.9507,755700
2018-09-10,44.2272,44.2272,43.8391,44.0429,310900
2018-09-11,43.9875,44.5775,43.9322,44.4853,615700
2018-09-12,44.3655,44.4761,44.1074,44.3562,713300
2018-09-13,44.5314,44.7250,44.4392,44.6697,754500
2018-09-14,44.8356,44.8356,44.4761,44.5867,1190800
2018-09-17,44.6328,44.6328,44.1166,44.1535,810800
2018-09-18,44.1995,44.6236,44.1535,44.4669,430100
2018-09-19,44.5130,44.6328,44.2364,44.5867,2385200
2018-09-20,44.9554,45.1213,44.7250,45.0752,4554200
2018-09-21,45.3082,45.3266,44.7536,44.8737,7974600
2018-09-24,44.5595,44.9384,44.3746,44.8737,6769400
2018-09-25,44.8645,44.9662,44.5965,44.8922,3994500
2018-09-26,44.9662,45.5207,44.9200,45.0678,5688600
2018-09-27,45.3451,45.7795,45.1880,45.4560,3649400
2018-09-28,45.3544,45.4006,45.1030,45.2897,2306600
2018-10-01,45.4468,45.4930,44.8922,45.1048,7636900
2018-10-02,45.0771,45.2555,44.9015,45.0678,5823500
2018-10-03,45.3174,45.4653,45.1510,45.2712,5146200
2018-10-04,45.2250,45.2250,44.2452,44.6242,5292200
2018-10-05,44.6889,44.8553,43.8848,44.1990,2648400
2018-10-08,43.9957,44.2083,43.4504,44.0511,2170000
2018-10-09,44.0511,44.4763,43.9680,44.0234,1991400
2018-10-10,43.9310,43.9402,42.2488,42.2858,4050700
2018-10-11,42.2026,42.7664,41.5278,41.9253,8840700
2018-10-12,42.9235,42.9790,42.1379,42.8588,5877600
2018-10-15,42.7109,43.1453,42.5168,42.6924,1576900
2018-10-16,43.1546,43.9079,43.0806,43.8201,3707300
2018-10-17,44.1251,44.1251,43.5428,43.9957,4571000
2018-10-18,43.8940,43.8940,42.8653,43.1916,21297200
2018-10-19,43.4411,43.8201,43.0160,43.1823,3544400
2018-10-22,43.4319,43.5520,42.9882,43.1546,2711700
2018-10-23,42.5446,43.2470,42.1823,43.0622,2779600
2018-10-24,43.0529,43.0529,40.9640,41.0103,3552300
2018-10-25,41.7497,42.6555,41.7497,42.3690,3391700
2018-10-26,41.0657,42.1471,40.7053,41.2229,5229100
