date,o,h,l,c,v
1998-12-22,5.6733,5.6923,5.6429,5.6619,30400
1998-12-23,5.6809,5.7798,5.6733,5.7798,135600
1998-12-24,5.7950,5.7950,5.7418,5.7494,24600
1998-12-28,5.7798,5.7798,5.6809,5.7189,27000
1998-12-29,5.7341,5.7760,5.6809,5.7760,44000
1998-12-30,5.7722,5.7722,5.6847,5.6885,43600
1998-12-31,5.6809,5.6809,5.6505,5.6809,26000
1999-01-04,5.6657,5.7798,5.6657,5.6771,57200
1999-01-05,5.7113,5.7113,5.6391,5.6467,85400
1999-01-06,5.7113,5.8406,5.6733,5.8330,112800
1999-01-07,5.8330,5.8368,5.7380,5.8064,145200
1999-01-08,5.8406,5.9775,5.6885,5.8330,842200
1999-01-11,5.7798,5.7874,5.7037,5.7227,70000
1999-01-12,5.7189,5.7418,5.6277,5.6353,178400
1999-01-13,5.5364,5.6429,5.5212,5.5516,84800
1999-01-14,5.5364,5.5668,5.4452,5.4452,140000
1999-01-15,5.4908,5.5364,5.4642,5.5288,21400
1999-01-19,5.5516,5.5516,5.4832,5.5288,25600
1999-01-20,5.4984,5.5516,5.4794,5.4832,31600
1999-01-21,5.4832,5.5744,5.4756,5.5288,47800
1999-01-22,5.5364,5.5516,5.4908,5.4984,38600
1999-01-25,5.5212,5.5212,5.4452,5.4908,36400
1999-01-26,5.4984,5.4984,5.3919,5.4376,51400
1999-01-27,5.4452,5.4452,5.3235,5.3387,74200
1999-01-28,5.3539,5.3539,5.2626,5.3083,61600
1999-01-29,5.2778,5.3083,5.2170,5.3083,37200
1999-02-01,5.3083,5.3235,5.2550,5.2550,46200
1999-02-02,5.2626,5.3083,5.2398,5.2626,53000
1999-02-03,5.2931,5.4147,5.2931,5.3843,58800
1999-02-04,5.3843,5.4300,5.3691,5.4147,52000
1999-02-05,5.4299,5.5820,5.3995,5.5668,132000
1999-02-08,5.5897,5.6429,5.5820,5.6429,62200
1999-02-09,5.6505,5.6505,5.5364,5.5364,128600
1999-02-10,5.5592,5.6125,5.5212,5.5516,138600
1999-02-11,5.5288,5.5288,5.4223,5.5060,433600
1999-02-12,5.4452,5.5060,5.3919,5.3919,484600
1999-02-16,5.4338,5.4604,5.3007,5.3539,73200
1999-02-17,5.3235,5.3767,5.2931,5.3007,83400
1999-02-18,5.2931,5.3463,5.2398,5.3159,166000
1999-02-19,5.3387,5.3463,5.2398,5.2855,260600
1999-02-22,5.3235,5.3539,5.2778,5.3387,159000
1999-02-23,5.3539,5.3767,5.2931,5.2931,619200
1999-02-24,5.3083,5.3767,5.2702,5.2702,69000
1999-02-25,5.2664,5.3311,5.2626,5.2969,89200
1999-02-26,5.3159,5.3539,5.2626,5.2626,49800
1999-03-01,5.2740,5.2778,5.1942,5.2094,26600
1999-03-02,5.2170,5.2398,5.1334,5.1562,110200
1999-03-03,5.2018,5.2931,5.1638,5.2702,206600
1999-03-04,5.3159,5.4908,5.3159,5.4604,180800
1999-03-05,5.5973,5.6049,5.5060,5.5630,185400
1999-03-08,5.5935,5.6581,5.5706,5.6429,215200
1999-03-09,5.5820,5.6733,5.5592,5.5820,158000
1999-03-10,5.6049,5.9167,5.6049,5.9015,3467600
1999-03-11,6.0840,6.1448,5.9015,5.9851,1818000
1999-03-12,6.0536,6.0992,5.9015,5.9623,1208600
1999-03-15,5.9775,5.9927,5.8444,5.9167,1046000
1999-03-16,5.8634,5.9167,5.8406,5.8862,546600
1999-03-17,5.9167,6.0459,5.9015,6.0383,725600
1999-03-18,6.1448,6.1600,6.0688,6.1144,665200
1999-03-19,6.1669,6.1745,6.0143,6.0524,520800
1999-03-22,6.1058,6.1364,6.0410,6.0906,330000
1999-03-23,6.0448,6.0448,5.9227,5.9837,275800
1999-03-24,6.0143,6.0372,5.8998,5.9532,122200
1999-03-25,5.9379,5.9990,5.8769,5.9685,333000
1999-03-26,6.0295,6.0753,5.9761,6.0448,89400
1999-03-29,6.1974,6.2738,6.1898,6.2127,168800
1999-03-30,6.1745,6.1822,6.0830,6.0982,121600
1999-03-31,6.1440,6.1516,6.0066,6.0066,134000
1999-04-01,6.0143,6.0219,5.9341,5.9990,44000
1999-04-05,5.9990,6.1669,5.9990,6.1440,116800
1999-04-06,6.1287,6.1364,6.0372,6.0829,85200
1999-04-07,6.0753,6.0829,5.9761,6.0219,1672800
1999-04-08,6.0486,6.1516,6.0257,6.0829,1704600
1999-04-09,6.0868,6.2280,6.0791,6.1974,104800
1999-04-12,6.1669,6.2890,6.1669,6.2432,125000
1999-04-13,6.2051,6.2852,6.2051,6.2356,135600
1999-04-14,6.2280,6.2661,6.1593,6.1593,54000
