date,o,h,l,c,v
1998-12-22,14.3837,14.4321,14.3837,14.4321,600
1998-12-23,14.5386,14.7227,14.5386,14.6839,900
1998-12-24,14.8195,14.8873,14.7711,14.8777,1400
1998-12-28,14.8777,14.9648,14.8777,14.9551,7400
1998-12-29,15.0326,15.1682,15.0326,15.1682,1400
1998-12-30,15.1585,15.1585,15.0617,15.1004,2800
1998-12-31,15.1004,15.2263,15.0714,15.2263,33100
1999-01-04,15.2457,15.4007,15.0133,15.0133,6400
1999-01-05,15.1682,15.3523,15.1004,15.3232,2000
1999-01-06,15.4685,15.7010,15.4685,15.6525,13500
1999-01-07,15.5363,15.5750,15.4007,15.5169,13100
1999-01-08,15.4782,15.6525,15.3910,15.6332,11000
1999-01-11,15.5944,15.5944,15.4201,15.4879,2200
1999-01-12,15.4104,15.4491,15.2554,15.3038,6500
1999-01-13,14.8970,15.1004,14.8777,14.9164,1700
1999-01-14,14.8776,15.0133,14.8486,14.8486,4100
1999-01-15,14.9261,15.1392,14.9261,15.1004,4900
1999-01-19,15.2360,15.2360,14.9455,15.0714,10100
1999-01-20,15.1101,15.1876,15.0036,15.0036,1700
1999-01-21,14.9648,14.9648,14.8680,14.8777,2500
1999-01-22,14.6646,14.7227,14.5871,14.5871,8700
1999-01-25,14.6549,14.8292,14.6355,14.8292,4600
1999-01-26,14.8292,14.8292,14.8292,14.8292,0
1999-01-27,15.0036,15.0036,14.9455,14.9455,500
1999-01-28,14.8970,14.9939,14.8486,14.9648,1900
1999-01-29,15.0229,15.1295,14.8486,15.0617,109200
1999-02-01,15.1876,15.1876,15.0811,15.0811,2400
1999-02-02,14.9745,14.9939,14.7905,14.9648,20700
1999-02-03,14.9648,15.1101,14.9648,15.1101,20100
1999-02-04,15.0907,15.1392,15.0326,15.1295,6100
1999-02-05,15.1779,15.1779,15.0617,15.0811,4300
1999-02-08,15.1876,15.1876,14.9648,15.1295,2900
1999-02-09,15.1004,15.1004,14.9261,14.9261,4100
1999-02-10,14.9842,14.9842,14.9067,14.9842,5400
1999-02-11,15.0811,15.1876,15.0811,15.1876,3500
1999-02-12,15.1198,15.1198,15.0714,15.1004,2600
1999-02-16,15.1973,15.2070,15.1682,15.1779,3800
1999-02-17,15.0520,15.3426,15.0520,15.1779,5400
1999-02-18,15.0811,15.2070,15.0423,15.1779,4300
1999-02-19,15.1101,15.2941,15.1101,15.2748,2800
1999-02-22,15.2845,15.5072,15.2845,15.5072,6400
1999-02-23,15.4588,15.5266,15.4104,15.4976,5400
1999-02-24,15.5944,15.6041,15.4201,15.4588,5300
1999-02-25,15.2360,15.2360,15.0520,15.1489,3200
1999-02-26,15.2263,15.2845,15.1101,15.1973,3400
1999-03-01,15.1682,15.1876,15.0714,15.1876,3200
1999-03-02,15.2263,15.2554,15.0617,15.0617,47600
1999-03-03,15.1779,15.1779,14.9454,14.9745,13600
1999-03-04,15.0907,15.2651,15.0907,15.2651,15700
1999-03-05,15.5266,15.6041,15.5266,15.6041,5200
1999-03-08,15.6622,15.6913,15.6138,15.6913,1800
1999-03-09,15.6913,15.8172,15.6816,15.7688,1800
1999-03-10,15.7106,15.7881,15.6428,15.7397,2700
1999-03-11,15.7494,15.9334,15.7494,15.7591,1800
1999-03-12,15.7785,15.8366,15.7785,15.8075,2200
1999-03-15,15.7978,15.8559,15.7688,15.7688,1900
1999-03-16,15.7978,15.8075,15.6622,15.6622,4800
1999-03-17,15.6913,15.7785,15.6138,15.6332,1900
1999-03-18,15.6041,15.6719,15.5654,15.6719,3900
1999-03-19,15.7498,15.8179,15.7207,15.7693,9100
1999-03-22,15.7012,15.7693,15.6429,15.6526,9900
1999-03-23,15.6526,15.6526,15.2832,15.2832,4900
1999-03-24,15.2832,15.9151,15.2054,15.2443,4800
1999-03-25,15.3221,15.5068,15.3123,15.4096,6500
1999-03-26,15.2929,15.4679,15.2929,15.4485,3100
1999-03-29,15.6332,15.7012,15.6332,15.7012,3000
1999-03-30,15.5943,15.7110,15.5943,15.6915,3500
1999-03-31,15.5943,15.6235,15.5165,15.5165,21700
1999-04-01,15.5359,15.6818,15.5359,15.6818,3500
1999-04-05,15.7984,16.0221,15.7887,16.0221,7700
1999-04-06,15.9637,15.9734,15.8665,15.9346,2700
1999-04-07,16.0026,16.0318,15.8471,15.9637,24400
1999-04-08,15.9248,16.0804,15.8859,16.0512,24800
1999-04-09,16.0609,16.0804,15.9734,16.0609,1200
1999-04-12,16.0609,16.4498,16.0415,16.4498,11500
1999-04-13,16.4304,16.5762,16.4109,16.5762,1100
1999-04-14,16.6540,17.0818,16.6443,16.9359,25500
1999-04-15,17.1109,17.4512,17.0915,17.3734,61700
1999-04-16,17.4220,17.5387,17.2665,17.4706,173300
1999-04-19,17.6651,18.2387,17.5387,17.6165,292800
1999-04-20,17.7137,17.7137,17.3248,17.4998,102300
1999-04-21,17.5387,17.5873,17.3832,17.5582,58100
1999-04-22,17.4901,18.1804,17.4901,17.5679,56200
1999-04-23,17.4220,17.7040,17.4220,17.7040,109800
1999-04-26,17.7623,17.8109,17.6845,17.6845,64900
1999-04-27,17.8984,17.9081,17.7331,17.7720,160800
1999-04-28,17.7818,18.0831,17.7818,17.9956,27200
1999-04-29,18.1318,18.1804,17.8984,18.0637,85400
1999-04-30,18.0831,18.0831,17.6651,17.8498,63200
1999-05-03,17.7818,18.1998,17.7818,18.1998,26700
1999-05-04,18.1998,18.3943,18.1609,18.2776,333200
1999-05-05,18.2290,18.3262,18.0734,18.2776,70000
1999-05-06,18.1998,18.3165,18.1123,18.3165,108700
1999-05-07,18.3943,18.6665,18.3748,18.6665,119300
1999-05-10,18.5109,18.6373,18.4137,18.4137,24900
1999-05-11,18.6276,18.7540,18.5401,18.7248,83400
1999-05-12,18.6665,18.6665,18.4623,18.5401,50900
1999-05-13,18.4623,18.5401,18.2970,18.3554,32400
1999-05-14,18.1220,18.3554,18.0637,18.1220,34400
1999-05-17,18.0929,18.1026,17.9373,18.0831,22600
1999-05-18,17.9179,17.9956,17.6359,17.8498,19500
1999-05-19,17.9470,18.1415,17.9470,18.1220,74300
1999-05-20,18.2193,18.2873,17.5776,18.1706,11100
1999-05-21,18.1026,18.1026,17.9179,17.9568,90600
1999-05-24,17.9956,18.1706,17.8012,17.8012,14900
1999-05-25,17.9470,17.9665,17.7429,17.7429,17600
1999-05-26,17.6359,17.6845,17.5387,17.6165,77400
1999-05-27,17.5387,17.5387,17.2082,17.3248,719300
1999-05-28,17.3637,17.5679,17.3637,17.4998,2200
1999-06-01,17.4998,17.7332,17.3540,17.5095,11800
1999-06-02,17.8498,17.8498,17.6651,17.7429,22800
1999-06-03,17.7429,17.9568,17.7429,17.9276,17900
1999-06-04,18.0248,18.1123,18.0248,18.1123,4600
1999-06-07,18.2679,18.3068,18.2387,18.2873,10800
1999-06-08,18.2581,18.2581,18.1220,18.1220,24900
1999-06-09,18.1901,18.2387,18.1026,18.1415,8500
1999-06-10,17.9859,17.9957,17.8401,17.9276,46400
1999-06-11,18.0054,18.0929,17.8984,17.8984,2100
1999-06-14,18.0442,18.1415,18.0442,18.1123,14400
1999-06-15,18.1220,18.2095,18.1220,18.1706,4400
1999-06-16,18.3262,18.4915,18.3262,18.4234,183200
1999-06-17,18.3359,18.5790,18.3359,18.5693,11000
1999-06-18,18.6319,18.7097,18.5734,18.7097,1000
1999-06-21,18.6903,18.6903,18.4177,18.4566,4400
1999-06-22,18.4956,18.5442,18.3690,18.3690,33000
