date,o,h,l,c,v
1998-12-22,13.6562,14.0025,13.6562,13.9860,150300
1998-12-23,14.1427,15.1983,14.0850,14.3241,44000
1998-12-24,14.3241,14.3241,14.2499,14.2994,45500
1998-12-28,14.3241,14.3324,14.1510,14.2169,25400
1998-12-29,14.2252,14.5468,13.7139,14.5303,123500
1998-12-30,14.5303,14.5715,14.4148,14.4396,10200
1998-12-31,14.4066,14.4726,14.2911,14.3324,66300
1999-01-04,14.4478,14.5633,14.1097,14.2169,50000
1999-01-05,14.2994,14.3984,14.2582,14.3241,27900
1999-01-06,14.4231,14.5056,14.3324,14.4973,118500
1999-01-07,14.3901,14.3901,14.2252,14.3324,43500
1999-01-08,14.3324,14.3406,14.0520,14.2746,63800
1999-01-11,14.2417,14.2417,13.8953,13.9860,65400
1999-01-12,13.9778,14.0273,13.8541,13.8788,29400
1999-01-13,13.4830,13.9778,13.4830,13.9036,73800
1999-01-14,13.8458,13.8953,13.4500,13.6397,30800
1999-01-15,13.7551,13.8376,13.6314,13.7881,39000
1999-01-19,13.8953,13.8953,13.5407,13.6314,39200
1999-01-20,13.7139,13.8211,13.6067,13.6727,480500
1999-01-21,13.6149,13.6892,13.3840,13.4665,42500
1999-01-22,13.3840,13.5490,13.3098,13.4005,75700
1999-01-25,13.4005,13.4500,13.2521,13.3675,179000
1999-01-26,13.3758,13.6809,13.3510,13.6809,85000
1999-01-27,13.8129,13.9448,13.7716,13.8623,50400
1999-01-28,13.8788,14.1427,13.8623,14.1097,57300
1999-01-29,14.1510,14.2417,13.9530,14.1427,167800
1999-02-01,14.2417,14.2911,14.0767,14.0850,57200
1999-02-02,14.1345,14.2004,14.0025,14.2004,81800
1999-02-03,14.1345,14.2004,14.0108,14.1510,65300
1999-02-04,14.0932,14.2004,14.0190,14.0850,34400
1999-02-05,14.0850,14.0850,13.8541,13.8706,33000
1999-02-08,13.8376,13.9201,13.7304,13.8458,83500
1999-02-09,13.8129,13.8129,13.5737,13.5984,44500
1999-02-10,13.6644,13.6974,13.5242,13.6974,32000
1999-02-11,13.7469,13.9366,13.7057,13.9283,22400
1999-02-12,13.9530,13.9943,13.7139,13.8129,29600
1999-02-16,13.9860,14.0767,13.9366,13.9778,37700
1999-02-17,13.9695,14.1015,13.7386,13.8376,26800
1999-02-18,13.8871,14.0273,13.8623,13.9860,29400
1999-02-19,13.9613,14.0520,13.9036,13.9283,30300
1999-02-22,13.9860,14.3159,13.9448,14.2252,183700
1999-02-23,14.2417,14.3324,14.1345,14.2004,35400
1999-02-24,14.2994,14.3901,14.0355,14.1180,69000
1999-02-25,13.9778,14.0520,13.7634,13.9530,28100
1999-02-26,13.9201,14.0355,13.8376,13.9943,15100
1999-03-01,13.9448,13.9943,13.8046,13.9283,17500
1999-03-02,14.0025,14.0932,13.8623,13.8871,29700
1999-03-03,13.9448,13.9448,13.7469,13.8871,32000
1999-03-04,13.9118,14.1015,13.8376,14.0767,85300
1999-03-05,14.0850,14.3736,14.0850,14.2912,49100
1999-03-08,14.3241,14.3571,14.1592,14.3571,30700
1999-03-09,14.3736,14.4561,14.2499,14.3736,23300
1999-03-10,14.3159,14.3159,14.1674,14.2169,32600
1999-03-11,14.3241,14.4561,14.2582,14.3571,55700
1999-03-12,14.4891,14.5550,14.3819,14.4808,48100
1999-03-15,14.5633,14.7117,14.5138,14.6045,246400
1999-03-16,14.6293,14.7529,14.6210,14.6705,63700
1999-03-17,14.6622,14.6622,14.4148,14.4231,40900
1999-03-18,14.3654,14.6705,14.3654,14.6705,22300
1999-03-19,14.7625,14.7625,14.4899,14.6055,174200
1999-03-22,14.5312,14.6055,14.4238,14.5973,93400
1999-03-23,14.4320,14.5312,14.0190,14.1842,91600
1999-03-24,14.0603,14.2007,14.0107,14.1759,46700
1999-03-25,14.3081,14.3742,14.1512,14.2833,46000
1999-03-26,14.1512,14.2668,14.1181,14.2338,20400
1999-03-29,14.3742,14.5229,14.3742,14.4155,18200
1999-03-30,14.1264,14.3494,14.1264,14.2916,45800
1999-03-31,14.3990,14.3990,13.9612,13.9777,45800
1999-04-01,14.1264,14.1264,13.9446,14.0025,38500
1999-04-05,14.1429,14.1429,14.0273,14.0768,32900
1999-04-06,13.9694,14.0768,13.8207,13.9199,136600
1999-04-07,14.0355,14.0355,13.8207,13.9033,77800
1999-04-08,13.9281,14.2586,13.9281,14.2255,49100
1999-04-09,14.2586,14.3412,14.0851,14.2586,61000
1999-04-12,14.2751,14.5642,14.2751,14.4981,28400
1999-04-13,14.6055,14.6303,14.3742,14.5477,70200
1999-04-14,14.5394,14.5394,14.0520,14.1099,38700
1999-04-15,14.1512,14.1512,13.6142,13.7629,292300
1999-04-16,13.8290,13.8290,13.6803,13.8207,16800
1999-04-19,13.7546,13.8455,13.2177,13.2424,71700
1999-04-20,13.3829,13.6059,13.2838,13.4903,29400
1999-04-21,13.6142,14.0190,13.5398,13.9199,92900
1999-04-22,13.9116,14.0933,13.9033,14.0933,29700
1999-04-23,14.1016,14.1264,13.9529,14.0686,16600
1999-04-26,14.0768,14.0768,13.8703,13.9694,51800
1999-04-27,14.1264,14.1677,13.9859,13.9859,39800
1999-04-28,13.8951,14.0438,13.5316,13.7794,110200
1999-04-29,13.8042,13.8042,13.6142,13.6720,27100
1999-04-30,13.6968,13.7299,13.3829,13.4903,34700
1999-05-03,13.6142,13.8042,13.5316,13.8042,46900
1999-05-04,13.8786,13.9116,13.6059,13.6885,91200
1999-05-05,13.7133,13.8207,13.4738,13.8207,23500
1999-05-06,13.8620,13.8786,13.6059,13.6390,28100
1999-05-07,13.6390,13.8538,13.6142,13.7546,31900
1999-05-10,13.7464,13.7464,13.5151,13.5399,125400
1999-05-11,13.4985,13.7464,13.4985,13.5977,59800
1999-05-12,13.5894,13.8455,13.5729,13.7959,38300
1999-05-13,13.8786,13.9116,13.7464,13.8620,173300
1999-05-14,13.6059,13.7629,13.4903,13.6142,41600
1999-05-17,13.5068,13.7299,13.4820,13.7051,36800
1999-05-18,13.7051,14.2586,13.4077,13.5233,95500
1999-05-19,13.5894,13.7381,13.5481,13.7133,59400
1999-05-20,13.6720,13.8372,13.6720,13.7464,150600
1999-05-21,13.7216,13.8042,13.6059,13.7051,78100
1999-05-24,13.6225,13.7712,13.3499,13.3499,20100
1999-05-25,13.3911,13.5068,13.2177,13.2177,33500
1999-05-26,13.3333,13.3498,13.1433,13.2177,67600
1999-05-27,13.1020,13.3581,13.0938,13.1516,24400
1999-05-28,13.2838,13.4325,13.2177,13.3499,16500
1999-06-01,13.3746,13.4159,13.1929,13.3994,36700
1999-06-02,13.2590,13.3912,13.1929,13.1929,65200
1999-06-03,13.2177,13.4655,13.2177,13.3168,40600
