date,o,h,l,c,v
2015-10-08,20.9048,21.0441,20.9048,21.0441,2000
2015-10-09,21.0372,21.0372,20.9396,21.0093,4300
2015-10-12,21.1904,21.1904,21.0859,21.1416,2300
2015-10-13,21.0093,21.0093,21.0093,21.0093,500
2015-10-14,21.0093,21.0093,21.0093,21.0093,0
2015-10-15,20.9187,20.9466,20.9187,20.9466,2500
2015-10-16,21.3130,21.3576,21.3130,21.3451,400
2015-10-19,21.3855,21.6014,21.3855,21.5944,2000
2015-10-20,21.8452,21.8452,21.5875,21.6153,3200
2015-10-21,21.6327,21.6327,21.6327,21.6327,400
2015-10-22,21.7198,21.9170,21.7177,21.9065,2200
2015-10-23,21.6314,21.6432,21.5526,21.6432,3500
2015-10-26,21.6139,21.6780,21.6139,21.6711,600
2015-10-27,21.6362,21.6780,21.5944,21.6766,3400
2015-10-28,21.7616,21.8243,21.5979,21.5979,3200
2015-10-29,21.6153,21.6961,21.6014,21.6961,3900
2015-10-30,21.5596,21.5596,21.5596,21.5596,200
2015-11-02,21.5596,21.5596,21.5596,21.5596,100
2015-11-03,22.0124,22.0124,21.8173,21.8382,500
2015-11-04,21.9567,21.9567,21.7477,21.7477,1900
2015-11-05,21.7895,21.7895,21.5596,21.6641,23800
2015-11-06,21.1625,21.1625,20.8630,20.8630,9000
2015-11-09,20.9396,20.9703,20.6192,20.6958,45500
2015-11-10,20.9745,20.9745,20.7934,20.9187,27200
2015-11-11,20.9710,21.0790,20.8909,20.9912,27100
2015-11-12,20.8003,20.9536,20.8003,20.8630,63900
2015-11-13,20.7725,20.8073,20.5885,20.5913,47700
2015-11-16,20.5704,20.6331,20.5704,20.5704,4200
2015-11-17,20.8978,21.0232,20.8491,20.8909,25700
2015-11-18,20.6471,21.1382,18.5991,21.1382,28600
2015-11-19,21.1834,21.2810,21.1834,21.2531,3500
2015-11-20,21.3924,21.4342,21.3924,21.4273,600
2015-11-23,21.5735,21.6028,21.5387,21.5387,2400
2015-11-24,21.6084,21.6084,21.2113,21.2113,2500
2015-11-25,21.2113,21.2113,21.2113,21.2113,0
2015-11-27,21.3715,21.3715,21.3715,21.3715,0
2015-11-30,21.5944,21.5944,21.4008,21.4203,1600
2015-12-01,21.5805,21.7748,21.5805,21.7748,5600
2015-12-02,21.6711,21.7477,21.3297,21.3297,4400
2015-12-03,21.1556,21.1556,20.9048,20.9048,800
2015-12-04,21.1138,21.4760,21.1138,21.3297,4400
2015-12-07,21.3297,21.3297,21.3297,21.3297,0
2015-12-08,21.0929,21.4273,20.8421,21.3994,4600
2015-12-09,21.2531,21.2810,21.2531,21.2810,600
2015-12-10,21.1068,21.1068,21.1068,21.1068,700
2015-12-11,21.0232,21.0232,20.9940,20.9940,300
2015-12-14,20.9675,21.0859,20.9605,21.0588,600
2015-12-15,21.4015,21.4482,21.3019,21.3019,4100
2015-12-16,21.4969,21.6850,21.4969,21.6850,1600
2015-12-17,21.9149,21.9149,21.6348,21.6571,2400
2015-12-18,21.5254,21.5444,21.3754,21.3754,1400
2015-12-21,21.4501,21.4501,21.4106,21.4106,500
2015-12-22,21.6078,21.6078,21.6078,21.6078,200
2015-12-23,21.6571,21.8191,21.6571,21.8191,4500
2015-12-24,21.7318,21.8402,21.7318,21.8402,300
2015-12-28,21.8543,21.8543,21.7769,21.7818,2100
2015-12-29,22.0093,22.1783,22.0093,22.1431,3500
2015-12-30,22.2347,22.2487,22.1431,22.1431,2000
2015-12-31,22.0586,22.1079,21.9628,21.9628,36800
2016-01-04,21.8191,21.8191,21.3832,21.4529,1900
2016-01-05,21.7839,22.1029,21.7839,22.1029,1500
2016-01-06,21.7064,21.9635,21.7064,21.8895,3700
2016-01-07,21.6367,21.6571,21.4860,21.4881,1500
2016-01-08,21.4881,21.4944,21.1853,21.2064,4000
2016-01-11,21.3332,21.3332,21.3332,21.3332,500
2016-01-12,21.1571,21.2064,21.1007,21.1007,2300
2016-01-13,21.2979,21.3332,20.8824,20.8824,3300
2016-01-14,21.0078,21.0078,20.7768,20.9528,3700
2016-01-15,20.5274,20.6359,20.5274,20.6007,1400
2016-01-19,20.7838,20.7838,20.6746,20.7415,4700
2016-01-20,20.1851,20.3471,19.8048,20.1851,4600
2016-01-21,20.3401,20.3401,20.3401,20.3401,100
2016-01-22,20.7521,20.7627,20.7465,20.7627,300
2016-01-25,20.7627,20.7627,20.7627,20.7627,0
2016-01-26,20.8401,21.0275,20.8401,20.9472,500
2016-01-27,20.7627,20.7627,20.7627,20.7627,900
2016-01-28,20.7627,20.7697,20.5373,20.5373,1700
2016-01-29,20.4317,20.5655,20.4317,20.5584,600
2016-02-01,20.8521,20.9951,20.8521,20.9951,700
2016-02-02,20.9035,20.9035,20.7275,20.7275,1100
2016-02-03,20.9035,20.9035,20.4577,20.7486,3800
2016-02-04,20.7373,20.8789,20.7373,20.8732,1500
2016-02-05,20.5725,20.5725,20.4936,20.4936,200
2016-02-08,19.7907,19.7907,19.4076,19.4076,700
2016-02-09,19.3118,19.4034,19.0660,19.2555,1400
2016-02-10,19.6640,19.6640,19.6640,19.6640,300
2016-02-11,19.2273,19.2273,19.1710,19.1710,800
2016-02-12,19.1710,19.3738,19.1710,19.3611,1800
2016-02-16,19.3611,19.3611,19.3611,19.3611,100
2016-02-17,20.0020,20.0372,19.9513,19.9668,2600
2016-02-18,20.0591,20.2133,20.0591,20.2133,3900
2016-02-19,20.1851,20.1851,20.1851,20.1851,200
2016-02-22,20.4950,20.5338,20.4774,20.4950,800
2016-02-23,20.3894,20.3894,20.3894,20.3894,300
2016-02-24,20.3676,20.4063,20.3612,20.4063,800
2016-02-25,20.5373,20.5373,20.5373,20.5373,100
2016-02-26,20.7768,20.7803,20.6852,20.6852,2500
2016-02-29,20.8662,20.8824,20.6570,20.6570,700
2016-03-01,20.9880,21.1571,20.9810,21.1500,1000
2016-03-02,21.2909,21.3825,21.2627,21.3825,1300
2016-03-03,21.3853,21.4233,21.3853,21.4120,1100
2016-03-04,21.4811,21.5022,21.4388,21.4740,1700
2016-03-07,21.5585,21.5726,21.4599,21.4599,1500
2016-03-08,21.4423,21.4423,21.4275,21.4275,600
2016-03-09,21.4458,21.4930,21.3050,21.3620,3700
2016-03-10,21.5867,21.5867,21.2613,21.2613,1000
2016-03-11,21.6783,21.7557,21.6783,21.7557,400
2016-03-14,21.8607,21.9022,21.8262,21.8262,3000
2016-03-15,21.8332,21.9705,21.8332,21.9705,2300
2016-03-16,21.9741,21.9776,21.8050,21.8050,1500
2016-03-17,22.5305,22.5699,22.5234,22.5347,1100
2016-03-18,22.5326,22.5965,22.3477,22.3761,136400
2016-03-21,22.4828,22.4828,22.2232,22.2624,3400
2016-03-22,22.1984,22.3335,22.1941,22.2233,1600
2016-03-23,22.2304,22.2816,22.1415,22.1415,2600
2016-03-24,22.0490,22.1770,22.0256,22.1770,2200
2016-03-28,22.0490,22.3761,22.0490,22.3192,2600
2016-03-29,22.5539,22.8027,22.4046,22.8027,17300
2016-03-30,22.9876,22.9876,22.7494,22.7530,4200
2016-03-31,22.7530,22.8667,22.7530,22.8667,11300
2016-04-01,22.7693,22.9144,22.7693,22.9144,700
2016-04-04,22.9464,22.9464,22.8241,22.8810,5300
2016-04-05,22.6819,22.6819,22.6648,22.6762,300
2016-04-06,22.7032,22.7387,22.6463,22.7387,600
2016-04-07,22.7764,22.7764,22.5539,22.5539,2100
2016-04-08,22.8881,22.9307,22.7672,22.7672,1900
2016-04-11,22.7928,22.8980,22.7487,22.7530,3100
2016-04-12,22.8162,22.8881,22.8162,22.8525,1300
2016-04-13,22.8525,22.8667,22.7167,22.7651,2800
2016-04-14,22.7316,22.7316,22.6428,22.6748,3600
2016-04-15,22.6748,22.8312,22.6748,22.8312,700
2016-04-18,22.8454,22.9165,22.6463,22.9165,1000
2016-04-19,23.0445,23.0445,22.7850,22.8383,32800
2016-04-20,22.7601,22.7672,22.5823,22.6108,1900
2016-04-21,22.4899,22.5084,22.0491,22.0874,1300
2016-04-22,22.3192,22.4686,22.2695,22.3690,2400
2016-04-25,22.4010,22.5261,22.4010,22.5261,2300
2016-04-26,22.7359,22.7359,22.5894,22.5894,2500
2016-04-27,22.4828,22.5041,22.4017,22.5041,1200
2016-04-28,23.5707,23.5707,22.5269,22.5269,1100
2016-04-29,22.5041,22.5041,22.1059,22.3121,20100
2016-05-02,22.1770,22.6172,22.1770,22.5468,3800
2016-05-03,22.4721,22.6605,22.4721,22.6605,4700
2016-05-04,22.5219,22.9876,22.5219,22.9876,1700
2016-05-05,22.9947,23.0161,22.9698,23.0089,2700
2016-05-06,22.9350,23.2279,22.9201,23.1298,3800
2016-05-09,23.3076,23.3936,23.2862,23.3630,5200
2016-05-10,23.5991,23.5991,23.4021,23.4498,7700
2016-05-11,23.5280,23.5280,22.9236,23.0232,7100
2016-05-12,23.0872,23.1831,22.8810,23.1014,3600
2016-05-13,23.0587,23.4604,22.6890,22.7679,3700
2016-05-16,22.8383,23.1085,22.8383,23.0786,7000
