date,o,h,l,c,v
1998-12-22,16.6431,16.8108,16.6431,16.7899,5700
1998-12-23,16.8947,17.1672,16.8947,17.1672,18100
1998-12-24,17.1881,17.2720,17.1148,17.2720,4900
1998-12-28,17.2196,17.2720,17.0204,17.0204,15500
1998-12-29,17.0204,17.3977,17.0204,17.3977,5300
1998-12-30,17.4397,17.4606,17.2510,17.2510,17300
1998-12-31,17.3139,17.4397,17.2720,17.4397,6600
1999-01-04,17.6074,17.6912,17.2929,17.3977,249200
1999-01-05,17.4397,17.6702,17.4397,17.6702,4400
1999-01-06,17.7960,17.9637,17.7541,17.9637,38500
1999-01-07,17.7960,17.9008,17.6702,17.8798,15900
1999-01-08,17.9218,18.0999,17.9218,18.0999,24400
1999-01-11,18.0895,18.2781,17.9846,18.1419,7700
1999-01-12,18.1943,18.2781,18.0475,18.0685,270700
1999-01-13,17.2929,18.0266,17.2929,17.9008,7100
1999-01-14,17.9637,18.0161,17.6912,17.7541,12200
1999-01-15,17.8170,18.0475,17.8170,17.9951,7700
1999-01-19,18.2991,18.5506,18.1943,18.5087,22700
1999-01-20,18.6135,18.8650,18.5087,18.6135,25800
1999-01-21,18.5716,18.5716,17.9218,17.9637,23200
1999-01-22,17.8379,18.0266,17.7122,17.8903,67100
1999-01-25,17.9008,18.0475,17.9008,18.0371,495300
1999-01-26,18.0685,18.1314,17.8903,18.1209,187400
1999-01-27,18.1733,18.1733,17.9427,17.9427,6800
1999-01-28,18.1104,18.3410,18.1104,18.2781,25800
1999-01-29,18.2991,18.2991,18.0475,18.2781,13800
1999-02-01,18.3619,18.4248,18.2152,18.3829,34000
1999-02-02,18.0895,18.1419,17.8589,18.1104,141700
1999-02-03,18.0685,18.4563,18.0685,18.4563,38900
1999-02-04,18.3410,18.4039,18.1943,18.3200,7400
1999-02-05,18.3200,18.3200,17.9846,18.1104,16900
1999-02-08,18.1943,18.1943,18.0266,18.0999,6500
1999-02-09,18.1523,18.1733,17.7750,17.7750,220800
1999-02-10,17.6493,17.8170,17.5654,17.8170,17800
1999-02-11,17.7541,18.2991,17.6912,18.2991,5300
1999-02-12,18.1943,18.1943,17.9218,18.0266,8400
1999-02-16,18.1104,18.3200,18.1104,18.1943,18500
1999-02-17,18.1523,18.2781,17.9847,18.0056,12900
1999-02-18,18.0685,18.2467,17.9532,18.2362,11500
1999-02-19,18.2362,18.3620,18.2362,18.2886,13900
1999-02-22,18.3619,18.6868,18.3200,18.6764,17800
1999-02-23,18.7183,18.7183,18.4458,18.6449,15000
1999-02-24,18.6973,18.7707,18.4248,18.4248,28000
1999-02-25,18.3410,18.3410,18.0266,18.2467,98900
1999-02-26,18.3200,18.3515,18.0371,18.2991,10800
1999-03-01,18.2571,18.2781,18.0475,18.2676,8800
1999-03-02,18.3829,18.5401,18.1419,18.2571,11500
1999-03-03,18.3200,18.3200,18.1104,18.1419,13100
1999-03-04,18.4039,18.4668,18.2676,18.4668,10400
1999-03-05,18.7393,18.9279,18.6764,18.8860,25400
1999-03-08,18.8441,18.9069,18.7392,18.9069,62700
1999-03-09,18.6764,18.9489,18.6554,18.7602,12200
1999-03-10,18.7393,18.9279,18.6345,18.9279,10700
1999-03-11,18.9279,19.1585,18.9279,19.0537,23600
1999-03-12,19.1375,19.2214,18.9489,18.9489,24600
1999-03-15,19.0746,19.1480,18.9279,19.0117,144800
1999-03-16,19.0746,19.0746,18.9384,18.9698,9100
1999-03-17,18.9069,19.0222,18.7917,18.8650,2700
1999-03-18,18.7602,19.1270,18.7602,19.1270,9500
1999-03-19,19.1375,19.2214,18.9698,19.0432,6900
1999-03-22,18.9908,19.1794,18.9698,18.9908,40900
1999-03-23,18.9489,18.9489,18.4039,18.4668,15400
1999-03-24,18.4248,18.5506,18.3410,18.5506,12800
1999-03-25,18.7183,18.8650,18.6135,18.8650,9700
1999-03-26,18.7288,18.8021,18.6764,18.7183,6600
1999-03-29,18.7393,19.0013,18.7393,18.9489,8100
1999-03-30,18.9279,19.0222,18.8441,18.8860,37300
1999-03-31,18.9489,18.9489,18.7812,18.7812,6300
1999-04-01,18.7812,18.8336,18.5506,18.7812,22500
1999-04-05,19.0746,19.2842,19.0746,19.2004,12400
1999-04-06,19.2842,19.3681,19.1585,19.2214,14500
1999-04-07,19.3471,19.6825,19.3471,19.5882,15700
1999-04-08,19.5358,19.7873,19.5148,19.7873,29600
1999-04-09,19.7873,19.8502,19.6406,19.8502,6600
1999-04-12,19.6406,20.3533,19.6406,20.3533,87300
1999-04-13,20.4161,20.4371,20.1437,20.1437,23600
1999-04-14,20.2904,20.3323,19.9550,19.9550,96900
1999-04-15,19.9969,19.9969,19.3052,19.4519,17800
1999-04-16,19.4519,19.4519,19.1375,19.2633,10400
1999-04-19,19.4100,19.5148,18.6973,18.7393,32700
1999-04-20,18.8650,19.0956,18.7183,19.0956,15700
1999-04-21,19.0537,19.5358,19.0537,19.5358,16000
1999-04-22,19.6196,20.0179,19.6196,19.9340,20200
1999-04-23,20.0598,20.3847,20.0598,20.3847,9800
1999-04-26,20.4790,20.4790,20.2484,20.3533,36200
1999-04-27,20.5105,20.5209,20.1856,20.3742,13900
1999-04-28,20.2904,20.2904,19.8292,19.8292,25500
1999-04-29,19.8712,19.9969,19.4729,19.5987,9800
1999-04-30,19.7454,19.8502,19.4519,19.4519,5800
1999-05-03,19.6825,19.8502,19.6196,19.8292,13000
1999-05-04,19.9131,19.9131,19.4519,19.4519,23000
1999-05-05,19.5148,19.6615,19.3262,19.6196,17100
1999-05-06,19.7035,19.8502,19.6615,19.7035,17500
1999-05-07,19.8712,19.8712,19.5777,19.6406,8000
1999-05-10,19.6615,19.8292,19.5567,19.5987,27300
1999-05-11,19.8292,19.9550,19.7873,19.9131,51000
1999-05-12,19.7663,20.1646,19.7244,20.1017,8100
1999-05-13,20.1856,20.1856,19.9550,19.9760,9600
1999-05-14,19.5358,19.6615,19.5358,19.6196,4600
1999-05-17,19.3890,19.4939,19.2423,19.4939,5800
1999-05-18,19.4100,19.5986,19.2842,19.2842,8500
1999-05-19,19.4310,19.5777,19.3890,19.5148,12100
1999-05-20,19.6196,19.8712,19.6196,19.7768,15300
1999-05-21,19.7035,19.7035,19.4939,19.5567,8400
1999-05-24,19.5987,19.6196,19.0956,19.0956,14000
1999-05-25,19.1165,19.2842,18.9069,18.9069,7200
