date,o,h,l,c,v
1998-12-22,9.3219,9.3794,9.3219,9.3794,7400
1998-12-23,9.3909,9.4830,9.3794,9.4197,24000
1998-12-24,9.5521,9.5923,9.5060,9.5923,3200
1998-12-28,9.5463,9.5521,9.5060,9.5060,17200
1998-12-29,9.5348,9.7132,9.5348,9.7132,2200
1998-12-30,9.7074,9.7247,9.6326,9.6326,63400
1998-12-31,9.6326,9.6672,9.6211,9.6211,64800
1999-01-04,9.6326,9.7707,9.5406,9.5636,10400
1999-01-05,9.6211,9.7247,9.6211,9.7247,2600
1999-01-06,9.8398,10.0009,9.8398,10.0009,16200
1999-01-07,9.9549,10.0584,9.9434,9.9894,27400
1999-01-08,10.0469,10.0930,9.9836,10.0009,37200
1999-01-11,10.0354,10.0469,9.8686,9.9491,126200
1999-01-12,9.7995,9.8283,9.6787,9.6902,6600
1999-01-13,9.4600,9.7362,9.4600,9.7362,6800
1999-01-14,9.6441,9.6902,9.4715,9.5175,73200
1999-01-15,9.6441,9.6499,9.5923,9.6384,69600
1999-01-19,9.7477,9.7880,9.6326,9.6326,8200
1999-01-20,9.7707,9.8858,9.7304,9.7937,7000
1999-01-21,9.7707,9.7822,9.6787,9.7017,63000
1999-01-22,9.5521,9.7765,9.5290,9.7477,24600
1999-01-25,9.7017,9.7477,9.6556,9.7247,16200
1999-01-26,9.7822,9.9549,9.7535,9.9549,7400
1999-01-27,9.9664,9.9894,9.9434,9.9434,3800
1999-01-28,9.9664,10.0469,9.9664,10.0469,8600
1999-01-29,10.0815,10.1505,10.0124,10.1160,13600
1999-02-01,10.1620,10.1678,10.1045,10.1390,12200
1999-02-02,10.0584,10.0584,9.9203,10.0124,41800
1999-02-03,9.9894,10.1850,9.9779,10.1735,46200
1999-02-04,10.2368,10.2483,10.1045,10.1160,39000
1999-02-05,10.0124,10.0757,9.8628,9.8628,11600
1999-02-08,9.9491,10.0239,9.8225,10.0239,16400
1999-02-09,9.8973,9.9088,9.7132,9.7132,18800
1999-02-10,9.7017,9.7707,9.6556,9.7132,18400
1999-02-11,9.7707,10.0412,9.7420,10.0297,24400
1999-02-12,9.8973,9.9088,9.7880,9.8513,11600
1999-02-16,9.9376,10.0354,9.9318,9.9779,18600
1999-02-17,10.0009,10.1448,9.9434,9.9434,29400
1999-02-18,9.9434,9.9549,9.8570,9.9549,7000
1999-02-19,9.9664,10.0067,9.9376,10.0067,1800
1999-02-22,10.0354,10.2598,10.0354,10.2598,28000
1999-02-23,10.2656,10.2771,10.1275,10.2080,13600
1999-02-24,10.2771,10.3462,10.0815,10.0815,18000
1999-02-25,10.0584,10.0699,9.8168,9.9664,38200
1999-02-26,9.9549,10.0930,9.9549,10.0527,17000
1999-03-01,10.0239,10.0584,9.9664,10.0584,17200
1999-03-02,10.0815,10.2023,10.0815,10.0815,36200
1999-03-03,10.0930,10.1102,10.0297,10.0297,2000
1999-03-04,10.2541,10.2771,10.1505,10.2426,10800
1999-03-05,10.4727,10.6224,10.4727,10.5533,49600
1999-03-08,10.6339,10.6339,10.4612,10.5993,24600
1999-03-09,10.5763,10.6914,10.5476,10.6281,24200
1999-03-10,10.6339,10.6511,10.5763,10.5993,11200
1999-03-11,10.6799,10.7777,10.6511,10.7144,26200
1999-03-12,10.8295,10.8871,10.4958,10.7605,27400
1999-03-15,10.7490,10.7892,10.6799,10.7835,14200
1999-03-16,10.8525,10.8525,10.6799,10.7259,12400
1999-03-17,10.7144,10.7144,10.5763,10.6799,13400
1999-03-18,10.6108,10.8640,10.6108,10.8640,14000
1999-03-19,10.8643,10.8643,10.7145,10.7145,26200
1999-03-22,10.6915,10.6915,10.5532,10.5993,37200
1999-03-23,10.5187,10.5187,10.2537,10.2767,19600
1999-03-24,10.3228,10.3228,10.1731,10.1961,25800
1999-03-25,10.3574,10.5072,10.2998,10.5072,20400
1999-03-26,10.4841,10.5302,10.3919,10.4380,12600
1999-03-29,10.6166,10.6915,10.5936,10.6915,10200
1999-03-30,10.6454,10.7261,10.6108,10.7030,72600
1999-03-31,10.7606,10.7721,10.5417,10.5417,48800
1999-04-01,10.5993,10.5993,10.4668,10.5302,8200
1999-04-05,10.5993,10.7030,10.5648,10.6685,19200
1999-04-06,10.7088,10.7952,10.6685,10.7261,21800
1999-04-07,10.8125,10.8413,10.7837,10.8182,27200
1999-04-08,10.8528,11.0602,10.8528,11.0602,41600
1999-04-09,11.0141,11.1811,11.0141,11.1639,145800
1999-04-12,10.9910,11.3021,10.9910,11.2560,42200
1999-04-13,11.2906,11.3021,11.1408,11.1984,65400
1999-04-14,11.1984,11.2215,10.9450,10.9450,99400
1999-04-15,11.0141,11.0371,10.7606,10.9219,71600
1999-04-16,10.9219,10.9680,10.8413,10.9565,23200
1999-04-19,11.1293,11.2675,10.6800,10.7145,74800
1999-04-20,10.7837,10.8989,10.7491,10.8528,31200
