date,call_vol,put_vol,pc_vol,pc_oi,total_oi
2024-10-01,2309893,1396178,0.604434,1.019349,24997619
2024-10-02,1459643,946908,0.648726,1.003879,25434383
2024-10-03,2490113,1357829,0.545288,1.005099,25765594
2024-10-04,2681909,1782615,0.664681,1.005214,26128204
2024-10-07,2943280,1660645,0.564216,1.054556,26285996
2024-10-08,3000333,1512167,0.504,1.031725,25575697
2024-10-09,1942378,1156251,0.595276,1.022915,26165142
2024-10-10,2840354,1510361,0.531751,1.020227,26319678
2024-10-11,2334798,1436810,0.615389,0.996524,27057415
2024-10-14,2251023,1184701,0.526294,1.040298,26981570
2024-10-15,3588248,1726585,0.481178,1.002462,26264415
2024-10-16,2336343,1291229,0.552671,0.991439,26927912
2024-10-17,3442235,1664068,0.483427,0.992133,27345066
2024-10-18,2558241,1442204,0.563748,0.977343,27971165
2024-10-21,2192697,1379100,0.628951,1.027274,27769358
2024-10-22,1680654,1175050,0.699162,0.989491,25793820
2024-10-23,2350793,1300786,0.553339,0.99088,26103505
2024-10-24,1707079,937408,0.54913,0.983222,26426744
2024-10-25,3063504,1618244,0.528233,0.987382,26644507
2024-10-28,1105256,637799,0.57706,1.026043,26528280
2024-10-29,989689,671473,0.678469,1.002256,25602874
2024-11-01,1991093,1462303,0.734422,0.993083,26454809
2024-11-04,1142813,665124,0.582006,1.004367,26570994
2024-11-05,1005188,690841,0.687275,1.00833,25490600
2024-11-06,2346418,1220920,0.520333,1.004938,25774371
2024-11-07,2192730,1247004,0.568699,0.997285,26260932
2024-11-08,2271904,1534622,0.675478,1.000907,26647916
2024-11-11,1548789,1067687,0.689369,1.044068,26742811
2024-11-12,2336801,965983,0.413378,1.006534,26152150
2024-11-13,1789630,741290,0.414214,1.004788,26526534
2024-11-14,2072824,1014099,0.489235,0.997452,26850035
2024-11-15,3170855,2073769,0.654009,0.999992,27151327
2024-11-18,1417552,903388,0.637287,1.033893,27285302
2024-11-19,1580506,996913,0.630756,0.985122,25035484
2024-11-20,2273909,1579694,0.694704,0.985128,25563297
2024-11-21,4949557,2511153,0.507349,0.982152,26662245
2024-11-22,3451333,1894550,0.548933,0.968807,27187512
2024-11-25,3206278,1247740,0.389155,0.966837,27796487
2024-11-26,2240397,1126924,0.503001,0.972272,26292926
2024-11-27,2484419,1551234,0.624385,0.974745,26765970
2024-11-29,1899647,1116391,0.587683,0.967484,27308283
2024-12-02,1473078,961015,0.652386,0.9817,27415531
2024-12-03,1462416,709494,0.485152,0.997892,26226993
2024-12-04,3340964,1406216,0.420901,0.991399,26567429
2024-12-05,1748081,1151515,0.658731,0.985272,27115163
2024-12-06,2707967,1583776,0.584858,0.98613,27337416
2024-12-09,1915563,1106888,0.57784,1.005208,27578531
2024-12-10,2483454,1284966,0.51741,0.997321,26868049
2024-12-11,2183061,1006212,0.460918,0.979071,27396532
2024-12-12,1796610,899577,0.500708,0.977641,27737778
2024-12-13,3069401,1903821,0.620258,0.969548,28134432
2024-12-16,2411283,1264060,0.524227,0.956599,28554993
2024-12-17,4933338,2762268,0.559919,0.978821,55698626
2024-12-18,3380643,1366554,0.404229,0.971766,28480785
2024-12-19,2098687,1234205,0.588084,0.970463,28898672
2024-12-20,3064759,1735072,0.566137,0.961092,29017218
2024-12-23,2490200,963747,0.387016,1.023967,28328130
2024-12-24,1466012,723940,0.493816,0.998496,25029212
2024-12-25,1466012,723940,0.493816,0.998496,25029212
2024-12-26,1475324,794058,0.538226,1.002367,25293345
2024-12-27,2614941,1194411,0.456764,0.994643,25649458
2024-12-30,1729927,854267,0.493817,0.983884,25903890
2024-12-31,1758694,774536,0.440404,0.987194,24877202
2025-01-02,1962883,1016492,0.517857,0.978991,25270797
2025-01-03,3801895,1906539,0.501471,0.979328,25580408
2025-01-06,4238059,1495314,0.35283,0.998413,26041579
2025-01-07,5074086,1658453,0.326848,0.924556,26278962
2025-01-08,2514835,1188076,0.472427,0.952862,26575148
2025-01-10,2458853,1696322,0.689883,0.950716,26944806
2025-01-13,1979098,1245949,0.629554,0.944493,27282222
2025-01-14,2026881,966765,0.476972,1.002092,25922693
2025-01-15,1863120,1050828,0.564015,0.99349,26521306
2025-01-16,1768339,1211101,0.684881,0.996921,26867619
2025-01-17,2668601,1387057,0.519769,0.992468,27165622
2025-01-21,2067466,917394,0.443729,1.146697,25580729
2025-01-22,3257703,1269098,0.389568,0.890213,19636767
2025-01-23,1436534,915775,0.637489,0.88482,20192034
2025-01-24,3218900,1943916,0.603907,0.890165,20456427
2025-01-27,5884281,4321704,0.734449,0.909376,20748560
2025-01-28,4260055,2690202,0.631495,0.88456,21969198
2025-01-29,3141514,2466888,0.785254,0.884285,22803753
2025-01-30,4069771,2814115,0.691468,0.877108,23867341
2025-01-31,5311294,2366096,0.445484,0.879471,25469213
2025-02-03,2532570,1541726,0.608759,0.822197,26174840
2025-02-04,2098956,989120,0.471244,0.86604,24471889
2025-02-05,2294268,1239873,0.540422,0.864893,24782980
2025-02-06,2411949,1301063,0.539424,0.861485,25123602
2025-02-07,3201326,1810179,0.565447,0.86245,25387474
2025-02-10,2288785,1238556,0.541141,0.888054,25424412
2025-02-11,1491263,940686,0.630798,0.887612,24098690
2025-02-12,1353079,776795,0.574094,0.885016,24353384
2025-02-13,2198126,1139949,0.518599,0.885375,24581205
2025-02-14,3147975,1477317,0.469291,0.885799,24873414
2025-02-18,2146495,1252246,0.583391,0.916982,24866587
2025-02-19,1467237,875295,0.59656,0.909666,24192923
2025-02-20,1456411,939544,0.645109,0.913824,24322494
2025-02-21,2996761,1811763,0.604574,0.917083,24535390
2025-02-24,1546695,914648,0.591356,0.955262,24329156
2025-02-25,1595420,1248255,0.782399,0.930222,21298440
2025-02-26,2365133,1496007,0.632526,0.936038,21808455
2025-02-27,4445712,3332424,0.749582,0.943712,22692057
2025-02-28,3936446,2942154,0.747414,0.927111,23571035
2025-03-03,2845477,2000258,0.702961,0.891576,23805006
2025-03-04,3158859,1937695,0.613416,0.924522,22659787
2025-03-05,2094190,1092787,0.521818,0.916614,23093191
2025-03-06,2547280,1602206,0.628987,0.904999,23469881
2025-03-07,3352121,2069721,0.617436,0.903244,24054969
2025-03-10,2388234,1227616,0.514027,0.885909,24461583
2025-03-11,2184868,1407495,0.644201,0.917064,23292337
2025-03-12,2244690,1305621,0.581649,0.915694,23686004
2025-03-13,2129448,1525734,0.716493,0.917862,23938657
2025-03-14,3325729,1731309,0.52058,0.921613,24206986
2025-03-17,1622195,1031245,0.63571,0.934485,24207199
2025-03-18,2040785,1094129,0.536131,0.909961,23045230
2025-03-19,2089223,1123963,0.537981,0.899766,23288814
2025-03-20,1963799,1365489,0.69533,0.894823,23392198
2025-03-21,2225652,1352654,0.607756,0.883779,23558387
2025-03-24,1645262,978046,0.594462,0.862933,23167758
2025-03-25,1107106,692675,0.625663,0.939915,19734877
2025-03-26,2387505,1715461,0.718516,0.929845,20018818
2025-03-27,1964370,1746759,0.889221,0.925111,20641947
2025-03-28,2569269,2030191,0.790182,0.939207,21129516
2025-03-31,2135678,1365026,0.639153,0.926109,21402212
2025-04-01,1219240,722531,0.592608,0.95998,20338138
2025-04-02,1255174,787784,0.627629,0.953694,20602194
2025-04-03,2687820,1762165,0.655611,0.951232,20886766
2025-04-04,4307674,3290026,0.763759,0.920096,21420459
