date,call_vol,put_vol,pc_vol,pc_oi,total_oi
2024-10-01,4469516,5229802,1.170105,2.836689,19572480
2024-10-02,2968785,4440589,1.49576,2.57266,18666614
2024-10-03,3389509,4223527,1.246059,2.691491,19009524
2024-10-04,3569235,5077657,1.422618,2.687662,19345301
2024-10-07,3476882,4191115,1.205423,2.9155,20165847
2024-10-08,2856367,4217699,1.476596,2.73623,20120270
2024-10-09,3105340,4444993,1.431403,2.889017,20194336
2024-10-10,3047896,3652583,1.198395,2.846009,20619764
2024-10-11,3167951,4696445,1.482487,2.753122,20725051
2024-10-14,2396917,3313918,1.382575,2.865602,21504543
2024-10-15,3239272,4344145,1.341087,2.807852,21089760
2024-10-16,2709488,3097693,1.143276,2.62411,21214257
2024-10-17,3252439,3537774,1.08773,2.764977,21464684
2024-10-18,2582747,3249006,1.257965,2.760178,21838939
2024-10-21,2936771,3512334,1.195985,3.069626,21664151
2024-10-22,2943197,3118353,1.059512,2.587208,19037734
2024-10-23,4574757,4432855,0.968982,2.566591,19305573
2024-10-24,3275357,3013799,0.920144,2.401547,19847855
2024-10-25,3706644,4322696,1.166202,2.497778,19712794
2024-10-28,2389839,3717814,1.555676,2.519325,19919800
2024-10-29,2761862,3163534,1.145435,2.557943,19764180
2024-11-01,3471467,4624979,1.332284,2.380535,20356798
2024-11-04,3233744,4160233,1.286507,2.198879,19520915
2024-11-05,3357101,4860420,1.447803,2.036479,18370317
2024-11-06,3520907,4579468,1.30065,2.177857,19187504
2024-11-07,3523939,3579648,1.015809,2.24691,19826685
2024-11-08,3227626,4104540,1.27169,2.172043,20286522
2024-11-11,2639507,3069658,1.162966,2.357254,20938555
2024-11-12,3476893,3863485,1.111189,2.235285,20607756
2024-11-13,3408108,4133828,1.212939,2.178531,20877261
2024-11-14,3679697,4411386,1.198845,2.197774,21178359
2024-11-15,5227820,5459834,1.044381,2.116439,21424484
2024-11-18,3361627,3169256,0.942774,2.134209,21691366
2024-11-19,3586104,4210991,1.174252,1.855517,18516698
2024-11-20,3462105,3390374,0.979281,1.912243,18747477
2024-11-21,3988050,4372220,1.09633,1.871112,18903309
2024-11-22,3772471,3889651,1.031061,1.901075,19231293
2024-11-25,4558026,4165335,0.913846,2.033122,18984019
2024-11-26,3362422,4305508,1.280478,1.971247,19068995
2024-11-27,3039373,3635204,1.196037,2.078272,19310083
2024-11-29,2113024,2545431,1.204639,2.039518,19458429
2024-12-02,2924188,3573551,1.222066,2.231369,19289421
2024-12-03,2471206,3191809,1.2916,2.004573,18155256
2024-12-04,2601247,3577845,1.375435,2.011186,18244376
2024-12-05,2764667,3248189,1.174893,2.056766,18608430
2024-12-06,2747565,3162357,1.150967,2.030059,18893504
2024-12-09,3052941,3752001,1.228979,2.090577,19143469
2024-12-10,2873595,3280867,1.141729,1.951321,18761042
2024-12-11,2683614,3183952,1.186442,1.942712,19017994
2024-12-12,2900993,3674723,1.266712,2.006018,19164319
2024-12-13,3419104,3674224,1.074616,1.959806,19268862
2024-12-16,2611935,3033950,1.161572,1.975924,19431873
2024-12-17,5748410,6528428,1.135693,2.044245,37974708
2024-12-18,4976004,5440156,1.093278,2.002247,19300916
2024-12-19,4627436,4841209,1.046197,1.822491,20043633
2024-12-20,4837547,5268364,1.089057,2.012306,19886253
2024-12-23,3806845,4322998,1.135586,1.985974,19739325
2024-12-24,3320333,3060567,0.921765,1.88321,16815503
2024-12-25,3320333,3060567,0.921765,1.88321,16815503
2024-12-26,3820283,3169102,0.829546,2.087155,17332244
2024-12-27,4942262,4782442,0.967663,2.044985,17400327
2024-12-30,4687595,4639308,0.989699,1.969193,17866674
2024-12-31,4340894,4102237,0.945021,1.977827,17691859
2025-01-02,4841358,4579586,0.94593,1.966172,17993853
2025-01-03,3616443,4447117,1.229694,1.942529,16804244
2025-01-06,4501656,5625860,1.249731,2.142382,17347220
2025-01-07,4936976,5441309,1.102154,2.268324,18050896
2025-01-08,4091938,5059354,1.23642,2.119128,18502506
2025-01-10,5218171,6341428,1.215259,2.234448,18668491
2025-01-13,4386480,5304992,1.209396,2.100581,19113715
2025-01-14,4757630,4457109,0.936834,2.199413,18992330
